c,h,l,n,o,t,v,vw
14.09,16.32,14.01,9711,15.0,2016-10-19T04:00:00Z,2075635,14.860487
13.94,14.23,13.85,1178,14.06,2016-10-20T04:00:00Z,365387,13.979474
13.82,14.179,13.75,368,14.0,2016-10-21T04:00:00Z,119372,13.897844
14.01,14.148,13.9,475,14.05,2016-10-24T04:00:00Z,102400,13.976149
14.41,14.4999,14.01,458,14.15,2016-10-25T04:00:00Z,90992,14.284223
14.8,14.99,14.38,527,14.99,2016-10-26T04:00:00Z,125143,14.741049
15.82,17.49,14.966,1260,15.47,2016-10-27T04:00:00Z,232401,16.231231
16.74,17.0,16.3746,549,16.4,2016-10-28T04:00:00Z,121353,16.854524
18.25,18.88,17.07,1554,17.5,2016-10-31T04:00:00Z,260667,18.118171
17.95,18.74,17.75,821,18.68,2016-11-01T04:00:00Z,121344,18.235464
15.3,18.741,15.06,1218,18.57,2016-11-02T04:00:00Z,152342,16.415377
15.32,15.9163,15.02,964,15.4,2016-11-03T04:00:00Z,147906,15.375172
15.2,15.5,15.0,466,15.5,2016-11-04T04:00:00Z,57488,15.230439
15.21,16.27,15.05,318,16.27,2016-11-07T05:00:00Z,49991,15.576546
15.89,16.1066,15.2,542,15.2,2016-11-08T05:00:00Z,99067,15.702396
16.27,16.9,15.89,438,15.89,2016-11-09T05:00:00Z,81048,16.250817
16.84,18.19,16.5,329,16.76,2016-11-10T05:00:00Z,39399,17.011871
17.5,18.33,17.065,548,18.33,2016-11-11T05:00:00Z,89917,17.765011
17.6,18.2,17.1,393,18.17,2016-11-14T05:00:00Z,87232,17.647771
18.15,18.58,17.0791,624,17.74,2016-11-15T05:00:00Z,101517,17.98204
21.58,21.61,18.525,1272,18.75,2016-11-16T05:00:00Z,192444,20.598904
21.8,23.9699,20.9,1360,21.75,2016-11-17T05:00:00Z,192518,22.194505
20.5,23.3032,20.0,628,21.78,2016-11-18T05:00:00Z,74389,21.055472
20.8,21.49,20.5308,519,20.54,2016-11-21T05:00:00Z,87569,21.006763
20.07,21.49,20.0,435,21.13,2016-11-22T05:00:00Z,48499,20.448904
19.34,20.433,18.0641,564,20.1,2016-11-23T05:00:00Z,74845,19.265029
20.4,20.5,19.96,125,19.96,2016-11-25T05:00:00Z,15833,20.239092
20.56,21.98,20.55,454,21.43,2016-11-28T05:00:00Z,61068,21.314634
23.07,23.25,20.56,524,21.2,2016-11-29T05:00:00Z,62392,22.212062
21.82,23.25,21.115,596,23.0,2016-11-30T05:00:00Z,111053,22.195516
19.98,21.7,19.98,614,21.67,2016-12-01T05:00:00Z,115803,20.485781
19.03,21.0034,19.0,526,20.5,2016-12-02T05:00:00Z,71622,19.609012
20.94,21.0166,19.1,326,19.1,2016-12-05T05:00:00Z,46854,20.425441
22.23,22.38,20.3315,745,21.68,2016-12-06T05:00:00Z,62844,21.385436
20.89,22.0,20.54,685,21.8,2016-12-07T05:00:00Z,92411,21.383101
21.1,21.54,20.27,392,20.9,2016-12-08T05:00:00Z,61223,20.786555
20.77,21.9667,20.1,315,21.29,2016-12-09T05:00:00Z,39270,21.13913
20.36,21.4992,20.08,292,21.01,2016-12-12T05:00:00Z,35534,20.719316
19.6,21.13,19.15,866,20.0,2016-12-13T05:00:00Z,109257,19.806839
19.11,19.8779,18.63,452,19.12,2016-12-14T05:00:00Z,65408,19.300396
19.18,19.8,18.76,282,19.2,2016-12-15T05:00:00Z,38327,19.299457
19.52,20.28,19.0467,288,20.28,2016-12-16T05:00:00Z,48322,19.705181
20.55,21.0,19.6989,403,19.85,2016-12-19T05:00:00Z,58968,20.439988
20.18,21.9774,20.18,629,20.87,2016-12-20T05:00:00Z,79364,21.185278
20.28,21.4999,20.07,456,20.75,2016-12-21T05:00:00Z,79651,20.699202
20.12,21.2409,20.0,278,20.76,2016-12-22T05:00:00Z,36172,20.344303
20.86,20.9,20.05,133,20.27,2016-12-23T05:00:00Z,13413,20.532642
21.02,21.59,20.6,282,21.59,2016-12-27T05:00:00Z,38528,21.137378
20.0,21.5,20.0,363,21.5,2016-12-28T05:00:00Z,66699,20.492191
20.03,21.1,20.0,148,21.085,2016-12-29T05:00:00Z,17328,20.267638
20.26,20.694,19.95,163,20.45,2016-12-30T05:00:00Z,22159,20.242662
22.5,22.5,20.5,367,21.0,2017-01-03T05:00:00Z,50200,21.276759
23.55,24.9992,21.51,1521,24.85,2017-01-04T05:00:00Z,197361,23.301807
22.96,24.01,22.2598,476,24.0,2017-01-05T05:00:00Z,59093,23.113152
22.54,24.36,21.6,495,24.36,2017-01-06T05:00:00Z,56126,22.603673
22.89,23.4,22.3,426,23.4,2017-01-09T05:00:00Z,49760,22.793616
22.82,23.2,22.59,289,23.2,2017-01-10T05:00:00Z,35968,22.913756
22.39,23.0,21.7301,484,23.0,2017-01-11T05:00:00Z,65864,22.468625
22.23,22.99,21.879,388,22.93,2017-01-12T05:00:00Z,44925,22.303051
21.14,22.8657,21.0,504,22.6,2017-01-13T05:00:00Z,50489,21.93858
21.5,22.06,21.3,290,21.34,2017-01-17T05:00:00Z,32080,21.560011
22.23,22.478,21.5,323,21.97,2017-01-18T05:00:00Z,41103,21.891277
21.03,22.45,21.02,434,22.23,2017-01-19T05:00:00Z,50631,21.783435
20.0,21.678,20.0,700,21.39,2017-01-20T05:00:00Z,61449,20.422903
18.54,20.5,17.6201,1677,20.0,2017-01-23T05:00:00Z,196202,18.479841
18.95,18.952,18.12,469,18.86,2017-01-24T05:00:00Z,58359,18.607664
18.84,19.203,18.1992,288,19.0,2017-01-25T05:00:00Z,32564,18.700594
18.58,18.84,18.3292,287,18.41,2017-01-26T05:00:00Z,48337,18.570818
18.43,18.9213,18.3,275,18.57,2017-01-27T05:00:00Z,25193,18.575552
17.74,18.342,17.7,318,18.0,2017-01-30T05:00:00Z,70203,17.925508
17.75,18.34,17.5,350,17.5,2017-01-31T05:00:00Z,57948,17.793765
17.22,18.37,17.01,364,17.5,2017-02-01T05:00:00Z,40503,17.450794
16.26,17.22,15.58,892,17.22,2017-02-02T05:00:00Z,107986,16.402237
15.65,16.25,15.27,723,16.04,2017-02-03T05:00:00Z,107061,15.731279
15.75,16.47,15.67,435,15.73,2017-02-06T05:00:00Z,56808,15.889901
15.22,15.8,15.22,501,15.8,2017-02-07T05:00:00Z,58165,15.467799
14.9,15.49,14.5,706,15.25,2017-02-08T05:00:00Z,84421,15.031888
14.78,15.185,14.6431,912,14.95,2017-02-09T05:00:00Z,138195,15.010432
15.01,15.2092,14.5,408,14.78,2017-02-10T05:00:00Z,55706,14.965066
16.43,16.5631,15.1,770,15.21,2017-02-13T05:00:00Z,94038,16.082353
17.26,17.49,16.2031,673,16.46,2017-02-14T05:00:00Z,80400,17.006957
15.9,17.52,11.63,4769,17.26,2017-02-15T05:00:00Z,729395,14.479743
18.49,19.0,15.5,2034,16.18,2017-02-16T05:00:00Z,301251,17.519847
18.07,19.99,17.3496,1224,19.0,2017-02-17T05:00:00Z,183613,18.619088
17.3,18.9,17.1,726,18.13,2017-02-21T05:00:00Z,106895,17.772746
17.71,17.71,16.54,566,17.35,2017-02-22T05:00:00Z,71673,17.197175
17.64,17.9999,17.02,493,17.85,2017-02-23T05:00:00Z,53955,17.455849
17.9,18.14,17.1729,454,17.69,2017-02-24T05:00:00Z,44986,17.656924
19.95,19.95,18.0,946,18.03,2017-02-27T05:00:00Z,124517,18.87237
23.73,24.0,19.25,1502,20.16,2017-02-28T05:00:00Z,169760,21.276003
22.47,23.5,21.5,762,23.5,2017-03-01T05:00:00Z,94231,22.446727
21.54,23.5,21.0,631,22.5,2017-03-02T05:00:00Z,81585,22.265213
21.14,22.5,21.01,441,21.69,2017-03-03T05:00:00Z,35861,21.39712
21.88,22.34,20.7,347,21.39,2017-03-06T05:00:00Z,38454,21.265568
21.34,22.466,20.7,545,22.04,2017-03-07T05:00:00Z,50133,21.323813
22.43,22.87,21.53,547,21.53,2017-03-08T05:00:00Z,57556,22.425677
21.37,23.9,21.02,2002,22.82,2017-03-09T05:00:00Z,196096,22.501707
21.15,23.3666,21.0321,368,21.62,2017-03-10T05:00:00Z,32611,21.47587
21.17,22.6357,20.88,704,22.0,2017-03-13T04:00:00Z,89026,21.839162
21.34,22.19,21.17,564,21.6,2017-03-14T04:00:00Z,55914,21.528805
