c,h,l,n,o,t,v,vw
38.51,39.01,38.08,4790,38.85,2016-01-04T05:00:00Z,447907,38.598284
37.85,38.42,37.01,6766,38.0,2016-01-05T05:00:00Z,732572,37.825947
36.49,37.5,36.3,6235,37.45,2016-01-06T05:00:00Z,860043,36.63824
34.93,35.84,33.9,5869,35.6,2016-01-07T05:00:00Z,770420,35.022944
34.14,35.99,33.775,5763,35.9,2016-01-08T05:00:00Z,871180,34.478304
33.3,34.88,32.75,7540,34.37,2016-01-11T05:00:00Z,951200,33.400389
32.48,33.91,31.98,6091,33.67,2016-01-12T05:00:00Z,891511,32.663463
31.4,33.36,30.85,6306,32.5,2016-01-13T05:00:00Z,794677,31.535703
30.82,31.46,30.04,7161,31.46,2016-01-14T05:00:00Z,1042836,30.891667
29.5,29.86,29.05,7456,29.81,2016-01-15T05:00:00Z,822570,29.479129
28.5,31.0,27.61,5704,29.94,2016-01-19T05:00:00Z,584169,28.998244
28.04,28.28,26.715,7256,28.02,2016-01-20T05:00:00Z,966205,27.712141
28.93,30.27,27.54,7878,28.56,2016-01-21T05:00:00Z,1005622,29.357879
30.11,31.07,29.33,11381,29.33,2016-01-22T05:00:00Z,1563190,30.113819
29.86,31.055,29.51,4807,30.79,2016-01-25T05:00:00Z,621758,30.041361
28.55,31.09,27.69,6558,29.78,2016-01-26T05:00:00Z,1050807,28.993302
28.46,29.42,27.72,5489,29.0,2016-01-27T05:00:00Z,656141,28.743329
28.57,29.81,28.43,3535,28.51,2016-01-28T05:00:00Z,455524,28.918513
29.58,29.81,28.58,3601,28.58,2016-01-29T05:00:00Z,469048,29.368617
29.71,29.85,28.75,2723,29.46,2016-02-01T05:00:00Z,289821,29.556176
29.29,30.411,29.05,4131,29.5,2016-02-02T05:00:00Z,483611,29.535087
29.83,30.19,29.29,7438,29.29,2016-02-03T05:00:00Z,752762,29.720076
30.29,30.94,29.84,4873,29.91,2016-02-04T05:00:00Z,568609,30.445909
27.64,31.44,27.22,7933,30.24,2016-02-05T05:00:00Z,1022178,28.42276
25.95,27.64,24.23,12701,27.55,2016-02-08T05:00:00Z,1461703,25.45171
26.04,26.73,24.81,10639,25.69,2016-02-09T05:00:00Z,1213859,26.064374
33.39,36.61,29.0,33847,32.49,2016-02-10T05:00:00Z,5618809,33.668949
33.28,35.2799,31.76,11328,32.9,2016-02-11T05:00:00Z,1344804,33.556372
34.39,35.79,33.36,6256,34.34,2016-02-12T05:00:00Z,1052097,34.406098
36.75,37.0,35.19,9620,35.22,2016-02-16T05:00:00Z,1207831,36.116283
37.7,39.0,37.03,7941,37.03,2016-02-17T05:00:00Z,1103804,38.094418
38.14,39.0,37.5,9482,38.02,2016-02-18T05:00:00Z,947937,38.143342
37.19,38.41,35.96,8333,38.0,2016-02-19T05:00:00Z,807428,36.874812
37.3,38.33,36.11,5484,38.05,2016-02-22T05:00:00Z,561303,36.900582
37.08,37.56,36.4,3065,37.27,2016-02-23T05:00:00Z,312886,37.010765
37.17,37.65,35.42,5114,36.8,2016-02-24T05:00:00Z,462598,36.650981
37.53,37.63,36.53,4740,37.1,2016-02-25T05:00:00Z,401785,37.018271
38.22,38.34,37.13,3344,37.73,2016-02-26T05:00:00Z,366116,37.860406
37.1,38.76,36.5946,3068,38.28,2016-02-29T05:00:00Z,387458,37.229453
37.91,38.09,36.55,5737,37.54,2016-03-01T05:00:00Z,611819,37.456901
37.95,38.3,37.05,2082,37.7,2016-03-02T05:00:00Z,210344,37.848329
39.72,40.0,37.28,7359,37.67,2016-03-03T05:00:00Z,1160027,39.019436
39.9,40.76,39.18,12073,39.54,2016-03-04T05:00:00Z,1510339,40.237303
38.89,39.9999,37.335,7191,39.87,2016-03-07T05:00:00Z,890869,38.39559
