c,h,l,n,o,t,v,vw
2.67,2.76,2.45,1052,2.67,2016-01-04T05:00:00Z,268162,2.616833
2.7,2.81,2.46,1271,2.68,2016-01-05T05:00:00Z,542764,2.669834
2.58,2.7,2.51,1010,2.65,2016-01-06T05:00:00Z,162087,2.568243
2.48,2.56,2.405,1801,2.55,2016-01-07T05:00:00Z,301466,2.492099
2.42,2.58,2.41,1161,2.51,2016-01-08T05:00:00Z,199486,2.461926
2.36,2.45,2.35,1261,2.43,2016-01-11T05:00:00Z,177050,2.384572
2.35,2.42,2.29,1638,2.39,2016-01-12T05:00:00Z,794521,2.35594
2.32,2.49,2.27,1952,2.35,2016-01-13T05:00:00Z,284172,2.353747
2.36,2.4,2.23,1127,2.33,2016-01-14T05:00:00Z,168920,2.344998
2.32,2.36,2.021,1076,2.25,2016-01-15T05:00:00Z,195622,2.28562
2.42,2.44,2.285,1846,2.36,2016-01-19T05:00:00Z,573217,2.384563
2.51,2.55,2.3,1621,2.39,2016-01-20T05:00:00Z,305691,2.409642
2.75,2.78,2.51,961,2.55,2016-01-21T05:00:00Z,163065,2.700409
2.95,2.96,2.75,1090,2.75,2016-01-22T05:00:00Z,192501,2.895379
2.76,3.0,2.75,1242,2.88,2016-01-25T05:00:00Z,191728,2.826746
2.9,2.93,2.75,832,2.79,2016-01-26T05:00:00Z,126134,2.881692
2.92,2.93,2.85,845,2.88,2016-01-27T05:00:00Z,120075,2.897556
3.09,3.1,2.91,1339,2.95,2016-01-28T05:00:00Z,187489,3.023113
3.1,3.17,3.01,893,3.08,2016-01-29T05:00:00Z,154133,3.091904
3.08,3.1,2.91,574,3.06,2016-02-01T05:00:00Z,123579,3.039626
2.91,3.16,2.89,528,3.03,2016-02-02T05:00:00Z,98819,2.971432
2.82,2.9563,2.671,831,2.95,2016-02-03T05:00:00Z,111216,2.814299
2.93,3.02,2.59,662,2.8,2016-02-04T05:00:00Z,79039,2.888345
2.62,2.91,2.61,962,2.91,2016-02-05T05:00:00Z,147995,2.695809
2.56,2.59,2.5,824,2.57,2016-02-08T05:00:00Z,117827,2.528751
2.53,2.55,2.46,603,2.52,2016-02-09T05:00:00Z,80373,2.506293
2.42,2.66,2.409,554,2.54,2016-02-10T05:00:00Z,73841,2.455944
2.25,2.415,2.24,686,2.39,2016-02-11T05:00:00Z,137307,2.284676
2.28,2.464,2.18,892,2.29,2016-02-12T05:00:00Z,108326,2.25536
2.25,2.3,2.2,517,2.3,2016-02-16T05:00:00Z,79018,2.243715
2.36,2.36,2.23,1465,2.27,2016-02-17T05:00:00Z,388803,2.279377
2.36,2.41,2.27,608,2.39,2016-02-18T05:00:00Z,88494,2.355105
2.12,2.37,2.1,795,2.355,2016-02-19T05:00:00Z,155345,2.202477
2.24,2.25,2.175,944,2.18,2016-02-22T05:00:00Z,144576,2.217292
2.31,2.33,2.1805,973,2.2,2016-02-23T05:00:00Z,141114,2.269482
2.3,2.32,2.23,677,2.3,2016-02-24T05:00:00Z,107717,2.284157
2.26,2.31,2.22,299,2.28,2016-02-25T05:00:00Z,51042,2.266901
2.44,2.46,2.238,773,2.26,2016-02-26T05:00:00Z,150642,2.372421
2.51,2.55,2.34,691,2.44,2016-02-29T05:00:00Z,123968,2.478395
2.61,2.61,2.48,483,2.51,2016-03-01T05:00:00Z,79872,2.551301
2.69,2.728,2.56,461,2.59,2016-03-02T05:00:00Z,78245,2.675698
2.87,2.91,2.64,1146,2.67,2016-03-03T05:00:00Z,151641,2.824438
3.18,3.25,2.84,1853,2.9,2016-03-04T05:00:00Z,363047,3.139222
3.26,3.33,3.0701,1102,3.26,2016-03-07T05:00:00Z,180061,3.245453
2.99,3.2875,2.97,1010,3.23,2016-03-08T05:00:00Z,157154,3.044374
3.06,3.14,3.01,822,3.01,2016-03-09T05:00:00Z,118860,3.084629
3.04,3.11,2.92,465,3.11,2016-03-10T05:00:00Z,76238,3.011597
2.78,3.15,2.66,821,3.03,2016-03-11T05:00:00Z,165342,2.839634
2.65,2.78,2.62,883,2.7,2016-03-14T04:00:00Z,148400,2.667364
2.41,2.74,2.32,649,2.62,2016-03-15T04:00:00Z,126938,2.463144
2.28,2.44,2.25,825,2.41,2016-03-16T04:00:00Z,224159,2.3457
2.43,2.44,2.21,1175,2.3,2016-03-17T04:00:00Z,228004,2.32931
2.52,2.62,2.31,1191,2.42,2016-03-18T04:00:00Z,616116,2.484972
2.49,2.55,2.47,828,2.48,2016-03-21T04:00:00Z,130859,2.511595
2.58,2.62,2.435,1066,2.47,2016-03-22T04:00:00Z,754607,2.48879
2.42,2.64,2.405,767,2.56,2016-03-23T04:00:00Z,242597,2.483617
2.62,2.65,2.3,1341,2.39,2016-03-24T04:00:00Z,223287,2.508652
2.54,2.65,2.4901,902,2.65,2016-03-28T04:00:00Z,172884,2.561229
2.56,2.65,2.48,1516,2.56,2016-03-29T04:00:00Z,281737,2.578619
2.54,2.605,2.49,1222,2.57,2016-03-30T04:00:00Z,210739,2.552192
2.65,2.69,2.5,1451,2.54,2016-03-31T04:00:00Z,232068,2.615407
2.52,2.63,2.52,785,2.63,2016-04-01T04:00:00Z,169409,2.538375
2.51,2.57,2.4305,1315,2.52,2016-04-04T04:00:00Z,196421,2.505444
2.46,2.48,2.39,643,2.45,2016-04-05T04:00:00Z,113817,2.445484
2.46,2.47,2.35,821,2.44,2016-04-06T04:00:00Z,126722,2.414179
2.36,2.48,2.35,744,2.42,2016-04-07T04:00:00Z,140601,2.379446
2.34,2.42,2.29,757,2.37,2016-04-08T04:00:00Z,120411,2.340518
2.31,2.43,2.3,827,2.34,2016-04-11T04:00:00Z,117617,2.338953
2.38,2.45,2.31,985,2.31,2016-04-12T04:00:00Z,129133,2.382668
2.44,2.48,2.3,1023,2.39,2016-04-13T04:00:00Z,175306,2.436885
2.52,2.53,2.4,716,2.47,2016-04-14T04:00:00Z,104120,2.488182
2.49,2.53,2.46,351,2.49,2016-04-15T04:00:00Z,83364,2.496883
2.53,2.57,2.44,1261,2.44,2016-04-18T04:00:00Z,209148,2.535325
2.59,2.62,2.55,879,2.55,2016-04-19T04:00:00Z,131688,2.592438
2.65,2.75,2.57,633,2.57,2016-04-20T04:00:00Z,122404,2.650348
2.63,2.6899,2.58,571,2.62,2016-04-21T04:00:00Z,126576,2.632966
2.69,2.74,2.5939,442,2.63,2016-04-22T04:00:00Z,78642,2.707997
2.57,2.74,2.57,509,2.74,2016-04-25T04:00:00Z,75295,2.600719
2.62,2.64,2.5401,647,2.6,2016-04-26T04:00:00Z,88346,2.597227
2.69,2.74,2.63,582,2.65,2016-04-27T04:00:00Z,140567,2.691373
2.66,2.74,2.65,481,2.65,2016-04-28T04:00:00Z,72471,2.68564
2.57,2.72,2.506,583,2.67,2016-04-29T04:00:00Z,121033,2.589014
2.53,2.57,2.5,659,2.57,2016-05-02T04:00:00Z,87970,2.525729
2.37,2.7,2.37,702,2.5,2016-05-03T04:00:00Z,155751,2.433638
2.15,2.58,2.14,881,2.37,2016-05-04T04:00:00Z,208491,2.235326
