c,h,l,n,o,t,v,vw
20.64,20.64,20.45,14,20.58,2016-01-07T05:00:00Z,2524,20.58
20.19,20.19,20.19,3,20.19,2016-01-08T05:00:00Z,286,20.19
19.83,19.83,19.78,9,19.78,2016-01-11T05:00:00Z,2712,19.81
19.83,19.83,19.83,0,19.83,2016-01-12T05:00:00Z,0,0.0
19.29,19.33,19.29,2,19.33,2016-01-13T05:00:00Z,774,19.31
19.6,19.6,19.45,2,19.45,2016-01-14T05:00:00Z,400,19.53
19.6,19.6,19.6,0,19.6,2016-01-15T05:00:00Z,0,0.0
19.31,19.53,19.31,4,19.53,2016-01-19T05:00:00Z,504,19.41
18.77,18.77,18.68,21,18.68,2016-01-20T05:00:00Z,6572,18.68
19.08,19.09,19.08,5,19.09,2016-01-21T05:00:00Z,2080,19.09
19.36,19.46,19.29,44,19.35,2016-01-22T05:00:00Z,12720,19.37
19.31,19.46,19.31,36,19.34,2016-01-25T05:00:00Z,8672,19.39
19.33,19.33,19.33,3,19.33,2016-01-26T05:00:00Z,506,19.32
19.33,19.33,19.33,0,19.33,2016-01-27T05:00:00Z,0,0.0
18.69,18.92,18.69,5,18.92,2016-01-28T05:00:00Z,2198,18.9
18.69,18.69,18.69,0,18.69,2016-01-29T05:00:00Z,0,0.0
18.98,18.98,18.98,2,18.98,2016-02-01T05:00:00Z,328,19.06
18.98,18.98,18.98,0,18.98,2016-02-02T05:00:00Z,0,0.0
18.98,18.98,18.98,0,18.98,2016-02-03T05:00:00Z,0,0.0
18.46,18.83,18.46,10,18.83,2016-02-04T05:00:00Z,1094,18.65
18.54,18.54,18.54,4,18.54,2016-02-05T05:00:00Z,412,18.53
17.65,17.65,17.65,4,17.65,2016-02-08T05:00:00Z,282,17.78
17.51,17.89,17.51,17,17.65,2016-02-09T05:00:00Z,1384,17.6
18.03,18.03,18.03,7,18.03,2016-02-10T05:00:00Z,854,18.03
18.03,18.03,18.03,0,18.03,2016-02-11T05:00:00Z,0,0.0
18.03,18.03,18.03,0,18.03,2016-02-12T05:00:00Z,0,0.0
18.03,18.03,18.03,0,18.03,2016-02-16T05:00:00Z,0,0.0
18.97,18.97,18.92,21,18.92,2016-02-17T05:00:00Z,8944,18.92
18.97,18.97,18.97,0,18.97,2016-02-18T05:00:00Z,0,0.0
18.97,18.97,18.97,0,18.97,2016-02-19T05:00:00Z,0,0.0
