c,h,l,n,o,t,v,vw
43.85,44.5,43.27,7482,43.99,2016-01-04T05:00:00Z,965993,43.842919
43.8,44.43,43.14,4706,43.82,2016-01-05T05:00:00Z,602836,43.886892
42.1,43.5,41.36,7024,42.99,2016-01-06T05:00:00Z,948746,42.40393
39.69,41.98,39.5,9168,41.22,2016-01-07T05:00:00Z,1362438,40.43284
38.29,40.6199,38.08,8210,40.27,2016-01-08T05:00:00Z,1168480,38.929754
37.91,38.945,36.3383,13815,38.5,2016-01-11T05:00:00Z,1788126,37.414304
37.84,39.3022,36.7807,7807,38.45,2016-01-12T05:00:00Z,1109399,38.042173
45.27,47.5,43.96,46696,45.38,2016-01-13T05:00:00Z,7381110,45.670964
46.75,47.0,42.43,14387,44.56,2016-01-14T05:00:00Z,1999684,45.494506
48.31,48.95,44.36,16076,44.95,2016-01-15T05:00:00Z,2495561,47.55625
46.34,48.63,45.7,13031,48.2,2016-01-19T05:00:00Z,1781043,46.931751
46.33,46.82,44.324,10469,44.88,2016-01-20T05:00:00Z,1359724,45.641264
48.65,49.25,46.0,9234,46.63,2016-01-21T05:00:00Z,1550955,48.106314
46.3,49.56,46.04,7110,49.27,2016-01-22T05:00:00Z,937402,47.373479
44.57,46.18,44.26,5221,46.0,2016-01-25T05:00:00Z,753079,44.983791
43.01,44.6236,42.294,7297,44.0,2016-01-26T05:00:00Z,1029263,43.076032
42.16,43.0,41.23,6822,42.45,2016-01-27T05:00:00Z,869695,41.896232
39.86,42.98,39.31,7798,42.37,2016-01-28T05:00:00Z,963110,40.301317
43.58,43.65,40.01,7571,40.52,2016-01-29T05:00:00Z,1194853,42.38269
44.13,45.16,42.59,5799,43.33,2016-02-01T05:00:00Z,727660,44.088336
42.94,44.835,42.71,6390,43.43,2016-02-02T05:00:00Z,787731,43.653279
43.35,44.09,42.26,6681,43.71,2016-02-03T05:00:00Z,797046,43.282511
43.68,44.4599,42.59,4904,43.2,2016-02-04T05:00:00Z,537464,43.472297
40.84,42.92,39.53,8116,42.92,2016-02-05T05:00:00Z,1083120,40.598327
37.18,39.76,35.551,9304,39.74,2016-02-08T05:00:00Z,1219506,37.308115
35.17,38.69,35.0,10634,36.16,2016-02-09T05:00:00Z,1266617,36.349494
35.97,37.87,35.56,11342,36.09,2016-02-10T05:00:00Z,1659124,36.625186
36.74,36.9,33.89,13142,35.07,2016-02-11T05:00:00Z,1839077,35.766114
32.78,34.49,31.5,21748,32.4,2016-02-12T05:00:00Z,3683048,32.732979
34.47,34.52,32.62,8534,33.0,2016-02-16T05:00:00Z,1179384,33.712222
36.32,37.32,34.54,12174,34.93,2016-02-17T05:00:00Z,1545601,36.486624
35.99,36.844,35.0,5033,35.9,2016-02-18T05:00:00Z,641188,35.893191
36.04,36.25,35.29,4483,35.92,2016-02-19T05:00:00Z,715514,35.899243
36.81,36.95,36.35,6820,36.75,2016-02-22T05:00:00Z,755900,36.637952
35.92,36.8,35.9,4172,36.56,2016-02-23T05:00:00Z,537587,36.263634
35.96,36.24,34.627,3431,35.33,2016-02-24T05:00:00Z,495606,35.553704
36.87,37.29,35.63,5743,36.19,2016-02-25T05:00:00Z,911262,36.554718
38.07,38.49,37.16,5446,37.93,2016-02-26T05:00:00Z,788444,37.880574
37.47,38.41,37.07,4470,38.0,2016-02-29T05:00:00Z,649374,37.679823
37.8,38.35,37.47,5604,37.69,2016-03-01T05:00:00Z,744527,37.840658
37.66,37.84,36.77,5431,37.65,2016-03-02T05:00:00Z,808948,37.400937
38.56,38.7,37.17,5703,37.49,2016-03-03T05:00:00Z,820038,38.147355
39.62,39.8,37.73,6519,38.6,2016-03-04T05:00:00Z,958742,39.10485
38.75,40.16,37.45,7321,39.33,2016-03-07T05:00:00Z,1135404,38.960801
38.22,39.18,37.92,4769,38.51,2016-03-08T05:00:00Z,750789,38.438432
38.04,38.751,37.83,5003,38.4,2016-03-09T05:00:00Z,695047,38.26435
37.44,38.3062,37.06,4522,38.18,2016-03-10T05:00:00Z,716078,37.553686
38.53,38.75,37.2,5820,37.61,2016-03-11T05:00:00Z,855094,38.267845
38.41,39.83,38.33,4525,39.5,2016-03-14T04:00:00Z,643955,38.75822
37.85,38.98,37.56,6601,37.94,2016-03-15T04:00:00Z,907754,38.350486
37.67,37.94,36.4,5578,37.79,2016-03-16T04:00:00Z,965883,37.385441
39.97,39.97,37.74,4977,37.82,2016-03-17T04:00:00Z,697088,39.113634
41.63,41.97,40.3,5489,40.5,2016-03-18T04:00:00Z,762471,41.385783
42.63,43.07,41.59,6047,42.13,2016-03-21T04:00:00Z,775767,42.272441
42.19,42.86,41.46,3731,42.19,2016-03-22T04:00:00Z,471997,42.251512
40.67,42.53,40.63,3206,41.84,2016-03-23T04:00:00Z,417377,41.279669
40.25,41.0,39.28,6360,40.5,2016-03-24T04:00:00Z,807603,40.286337
40.89,41.16,39.55,3208,40.59,2016-03-28T04:00:00Z,541851,40.351023
41.57,41.7499,40.52,2694,40.73,2016-03-29T04:00:00Z,393506,41.270156
42.04,42.4,41.185,3622,41.85,2016-03-30T04:00:00Z,496540,41.962536
42.63,42.88,41.7,3060,42.01,2016-03-31T04:00:00Z,412586,42.549998
42.26,42.73,41.44,3062,42.21,2016-04-01T04:00:00Z,414430,42.121367
42.49,43.3,42.04,4548,42.37,2016-04-04T04:00:00Z,587107,42.828221
42.09,43.13,41.65,3419,42.47,2016-04-05T04:00:00Z,420442,42.163603
42.76,42.9735,41.93,3094,41.93,2016-04-06T04:00:00Z,370587,42.655895
40.7,42.75,40.56,5322,42.36,2016-04-07T04:00:00Z,666382,41.284459
40.3,41.5,40.0,4418,41.25,2016-04-08T04:00:00Z,627313,40.431628
38.48,40.665,38.37,6476,40.43,2016-04-11T04:00:00Z,840505,39.275876
38.5,38.81,37.0,6092,38.44,2016-04-12T04:00:00Z,917430,37.960973
38.78,39.8,38.5,4820,38.6,2016-04-13T04:00:00Z,722977,38.954085
39.42,39.69,37.89,6064,38.91,2016-04-14T04:00:00Z,790744,38.848467
39.61,39.72,38.23,3394,39.21,2016-04-15T04:00:00Z,438588,39.241254
39.66,39.9,39.0001,3542,39.11,2016-04-18T04:00:00Z,468630,39.625942
39.79,39.815,38.81,3927,39.6,2016-04-19T04:00:00Z,602187,39.496888
39.18,39.96,39.1,3811,39.17,2016-04-20T04:00:00Z,506375,39.667572
39.62,40.0,39.16,2739,39.22,2016-04-21T04:00:00Z,355491,39.745483
39.6,39.99,39.05,3398,39.49,2016-04-22T04:00:00Z,447079,39.647825
39.26,39.85,39.0,3121,39.6,2016-04-25T04:00:00Z,363319,39.42468
39.61,39.8,39.3,2248,39.3,2016-04-26T04:00:00Z,318930,39.611354
41.02,41.07,39.4,8142,39.86,2016-04-27T04:00:00Z,1048756,40.499072
39.58,41.3,39.515,5079,40.8,2016-04-28T04:00:00Z,692421,40.565695
40.84,40.93,39.03,3588,39.67,2016-04-29T04:00:00Z,492280,40.197642
42.28,42.39,40.85,4193,40.95,2016-05-02T04:00:00Z,535190,41.766257
