c,h,l,n,o,t,v,vw
4.2,4.2527,3.55,760,4.19,2020-12-09T05:00:00Z,315548,3.952012
4.2,4.38,3.9,430,4.35,2020-12-10T05:00:00Z,71974,4.12682
4.19,4.24,4.0,378,4.1684,2020-12-11T05:00:00Z,93454,4.129944
4.09,4.35,4.05,648,4.35,2020-12-14T05:00:00Z,99886,4.135762
3.98,4.26,3.95,667,4.2,2020-12-15T05:00:00Z,139797,4.108756
3.85,4.12,3.57,431,4.12,2020-12-16T05:00:00Z,105563,3.805721
4.74,4.9,3.8201,14706,4.07,2020-12-17T05:00:00Z,3234986,4.532707
5.59,8.73,5.37,165671,8.32,2020-12-18T05:00:00Z,35346890,7.335349
6.39,6.5,5.3,10171,5.32,2020-12-21T05:00:00Z,1769461,5.938121
5.78,6.2,5.41,5351,6.05,2020-12-22T05:00:00Z,879561,5.828768
5.18,5.6394,5.0,4218,5.52,2020-12-23T05:00:00Z,774624,5.244092
5.1101,5.2002,5.04,1097,5.2,2020-12-24T05:00:00Z,152044,5.128326
4.67,5.0,4.6,2628,5.0,2020-12-28T05:00:00Z,510414,4.833699
4.34,4.7859,4.25,2032,4.63,2020-12-29T05:00:00Z,373375,4.501449
4.44,4.49,4.15,2125,4.38,2020-12-30T05:00:00Z,382834,4.320067
4.35,4.76,4.26,1480,4.48,2020-12-31T05:00:00Z,285302,4.438737
4.25,4.71,4.16,1041,4.4,2021-01-04T05:00:00Z,186805,4.379412
5.21,6.74,4.93,70879,5.5,2021-01-05T05:00:00Z,18464021,5.918246
5.1,5.39,4.93,4371,5.24,2021-01-06T05:00:00Z,691052,5.20409
4.65,5.0999,4.6001,2201,5.02,2021-01-07T05:00:00Z,477980,4.832751
5.05,5.2,4.8,1304,4.82,2021-01-08T05:00:00Z,244333,4.979788
4.8,5.1,4.66,1180,4.9,2021-01-11T05:00:00Z,287896,4.834927
4.85,4.915,4.67,1072,4.75,2021-01-12T05:00:00Z,179363,4.7689
5.03,5.25,4.8,1129,4.85,2021-01-13T05:00:00Z,272147,5.003933
5.54,5.73,5.09,1941,5.09,2021-01-14T05:00:00Z,476954,5.423355
5.7,5.76,5.21,1558,5.6,2021-01-15T05:00:00Z,346526,5.508692
5.94,6.0,5.38,1515,5.78,2021-01-19T05:00:00Z,460627,5.768672
5.74,6.1832,5.6,1171,5.98,2021-01-20T05:00:00Z,361595,5.862354
6.14,6.29,5.74,1601,5.86,2021-01-21T05:00:00Z,340335,6.017636
6.15,6.32,6.0187,937,6.05,2021-01-22T05:00:00Z,219643,6.181526
6.27,6.6,6.2,1207,6.2,2021-01-25T05:00:00Z,275450,6.373782
6.24,6.6,6.05,839,6.6,2021-01-26T05:00:00Z,156231,6.253348
6.6,6.8,6.24,2569,6.4,2021-01-27T05:00:00Z,500786,6.550002
