c,h,l,n,o,t,v,vw
313.6,313.6,313.6,1,313.6,2021-04-26T04:00:00Z,3,313.6
320.0,320.0,313.6,14,313.6,2021-04-27T04:00:00Z,45,316.07
312.32,315.2,312.0,26,315.2,2021-04-28T04:00:00Z,69,313.61
315.52,319.68,312.32,60,312.32,2021-04-29T04:00:00Z,153,314.4
315.52,315.52,314.88,22,315.52,2021-04-30T04:00:00Z,60,315.43
316.48,318.08,316.48,19,318.08,2021-05-03T04:00:00Z,216,316.53
316.48,316.48,316.48,0,316.48,2021-05-04T04:00:00Z,0,0.0
313.28,313.28,313.28,8,313.28,2021-05-05T04:00:00Z,30,313.16
313.28,313.28,313.28,0,313.28,2021-05-06T04:00:00Z,0,0.0
312.4,312.4,312.4,3,312.4,2021-05-07T04:00:00Z,6,312.4
312.57,312.57,312.57,3,312.57,2021-05-10T04:00:00Z,5,313.32
312.57,312.57,312.57,0,312.57,2021-05-11T04:00:00Z,0,0.0
312.57,312.57,312.57,0,312.57,2021-05-12T04:00:00Z,0,0.0
312.57,312.57,312.57,0,312.57,2021-05-13T04:00:00Z,0,0.0
312.0,312.0,311.04,25,312.0,2021-05-14T04:00:00Z,379,311.99
312.0,312.0,312.0,0,312.0,2021-05-17T04:00:00Z,0,0.0
312.0,312.0,312.0,0,312.0,2021-05-18T04:00:00Z,0,0.0
311.68,316.8,309.12,185,316.8,2021-05-19T04:00:00Z,994,310.76
311.68,311.68,311.68,0,311.68,2021-05-20T04:00:00Z,0,0.0
311.68,311.68,311.68,0,311.68,2021-05-21T04:00:00Z,0,0.0
311.68,311.68,311.68,0,311.68,2021-05-24T04:00:00Z,0,0.0
311.68,311.68,311.68,0,311.68,2021-05-25T04:00:00Z,0,0.0
316.8,316.8,316.42,12,316.42,2021-05-26T04:00:00Z,50,316.66
316.8,316.8,316.8,0,316.8,2021-05-27T04:00:00Z,0,0.0
316.8,316.8,316.8,0,316.8,2021-05-28T04:00:00Z,0,0.0
316.8,316.8,316.8,0,316.8,2021-06-01T04:00:00Z,0,0.0
316.8,316.8,316.8,0,316.8,2021-06-02T04:00:00Z,0,0.0
311.36,315.2,311.36,19,315.2,2021-06-03T04:00:00Z,109,314.02
316.48,316.48,311.36,25,311.36,2021-06-04T04:00:00Z,136,314.46
316.16,318.4,314.88,5855,316.8,2021-06-07T04:00:00Z,165544,316.72
317.12,320.0,315.84,3264,320.0,2021-06-08T04:00:00Z,32183,317.42
316.8,319.68,316.48,2652,318.4,2021-06-09T04:00:00Z,30666,317.17
317.44,320.0,316.16,979,319.36,2021-06-10T04:00:00Z,10987,317.3
318.08,319.04,316.8,169,316.8,2021-06-11T04:00:00Z,722,318.08
316.8,320.0,315.84,358,319.68,2021-06-14T04:00:00Z,5499,316.65
318.4,318.72,317.12,399,318.72,2021-06-15T04:00:00Z,2588,317.58
317.76,318.4,317.12,83,318.4,2021-06-16T04:00:00Z,768,317.75
316.48,318.4,316.16,484,317.44,2021-06-17T04:00:00Z,3000,317.1
316.8,318.38,315.84,198,316.48,2021-06-18T04:00:00Z,1166,316.64
316.8,318.08,316.16,96,316.16,2021-06-21T04:00:00Z,309,316.68
316.48,318.4,315.2,384,316.8,2021-06-22T04:00:00Z,4574,316.23
316.8,316.8,316.48,128,316.8,2021-06-23T04:00:00Z,503,316.75
316.8,318.4,316.48,194,316.8,2021-06-24T04:00:00Z,1245,316.89
317.12,318.4,316.48,221,318.4,2021-06-25T04:00:00Z,936,316.79
316.8,318.4,316.48,251,318.4,2021-06-28T04:00:00Z,2693,317.21
316.8,318.72,316.16,872,318.72,2021-06-29T04:00:00Z,6096,317.61
316.48,317.44,315.84,546,317.44,2021-06-30T04:00:00Z,3379,316.27
316.48,316.8,316.16,108,316.8,2021-07-01T04:00:00Z,436,316.55
316.8,317.12,315.84,136,316.8,2021-07-02T04:00:00Z,1367,316.77
316.48,318.08,316.16,371,318.08,2021-07-06T04:00:00Z,4023,316.81
316.48,316.8,315.84,190,315.84,2021-07-07T04:00:00Z,2342,316.21
316.48,316.62,315.84,76,315.84,2021-07-08T04:00:00Z,1193,316.19
316.48,318.08,316.16,194,318.08,2021-07-09T04:00:00Z,686,316.34
316.8,316.8,316.16,225,316.8,2021-07-12T04:00:00Z,1032,316.28
