c,h,l,n,o,t,v,vw
9.8,9.8,9.8,1,9.8,2019-07-25T04:00:00Z,100,9.8
9.8,9.8,9.8,0,9.8,2019-07-26T04:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2019-07-29T04:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2019-07-30T04:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2019-07-31T04:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2019-08-01T04:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2019-08-02T04:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2019-08-05T04:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2019-08-06T04:00:00Z,0,0.0
9.76,9.76,9.76,2,9.76,2019-08-07T04:00:00Z,150000,9.76
9.76,9.76,9.76,0,9.76,2019-08-08T04:00:00Z,0,0.0
9.76,9.76,9.76,0,9.76,2019-08-09T04:00:00Z,0,0.0
9.76,9.76,9.76,0,9.76,2019-08-12T04:00:00Z,0,0.0
9.78,9.78,9.77,4,9.77,2019-08-13T04:00:00Z,320000,9.774219
9.78,9.78,9.78,0,9.78,2019-08-14T04:00:00Z,0,0.0
9.78,9.78,9.78,0,9.78,2019-08-15T04:00:00Z,0,0.0
9.78,9.78,9.78,0,9.78,2019-08-16T04:00:00Z,0,0.0
9.78,9.78,9.78,0,9.78,2019-08-19T04:00:00Z,0,0.0
9.85,9.85,9.84,3,9.84,2019-08-20T04:00:00Z,1001,9.849001
9.85,9.85,9.85,0,9.85,2019-08-21T04:00:00Z,0,0.0
9.85,9.85,9.85,0,9.85,2019-08-22T04:00:00Z,0,0.0
9.85,9.85,9.85,0,9.85,2019-08-23T04:00:00Z,0,0.0
9.85,9.85,9.85,0,9.85,2019-08-26T04:00:00Z,0,0.0
9.85,9.85,9.85,3,9.85,2019-08-27T04:00:00Z,99099,9.85
9.85,9.85,9.85,1,9.85,2019-08-28T04:00:00Z,97388,9.85
9.85,9.85,9.85,0,9.85,2019-08-29T04:00:00Z,0,0.0
9.85,9.85,9.85,0,9.85,2019-08-30T04:00:00Z,0,0.0
9.85,9.85,9.85,0,9.85,2019-09-03T04:00:00Z,0,0.0
9.85,9.85,9.85,0,9.85,2019-09-04T04:00:00Z,0,0.0
9.85,9.85,9.85,0,9.85,2019-09-05T04:00:00Z,0,0.0
9.85,9.85,9.85,0,9.85,2019-09-06T04:00:00Z,0,0.0
9.85,9.85,9.85,0,9.85,2019-09-09T04:00:00Z,0,0.0
9.85,9.85,9.85,0,9.85,2019-09-10T04:00:00Z,0,0.0
9.85,9.85,9.85,0,9.85,2019-09-11T04:00:00Z,0,0.0
9.85,9.85,9.85,0,9.85,2019-09-12T04:00:00Z,0,0.0
9.85,9.85,9.85,0,9.85,2019-09-13T04:00:00Z,0,0.0
9.85,9.85,9.85,0,9.85,2019-09-16T04:00:00Z,0,0.0
9.85,9.85,9.85,0,9.85,2019-09-17T04:00:00Z,0,0.0
9.9,9.92,9.85,8,9.85,2019-09-18T04:00:00Z,88755,9.850388
9.9,9.9,9.9,0,9.9,2019-09-19T04:00:00Z,0,0.0
9.85,9.85,9.84,7,9.84,2019-09-20T04:00:00Z,290000,9.846379
9.85,9.85,9.85,0,9.85,2019-09-23T04:00:00Z,0,0.0
9.85,9.85,9.85,5,9.85,2019-09-24T04:00:00Z,26503,9.85
9.85,9.85,9.85,0,9.85,2019-09-25T04:00:00Z,0,0.0
9.85,9.85,9.85,1,9.85,2019-09-26T04:00:00Z,25000,9.85
9.85,9.85,9.85,0,9.85,2019-09-27T04:00:00Z,0,0.0
9.85,9.85,9.85,0,9.85,2019-09-30T04:00:00Z,0,0.0
9.92,9.92,9.906,3,9.906,2019-10-01T04:00:00Z,2500,9.91328
9.92,9.92,9.92,0,9.92,2019-10-02T04:00:00Z,0,0.0
9.89,9.89,9.89,1,9.89,2019-10-03T04:00:00Z,100000,9.89
9.92,9.92,9.8955,3,9.92,2019-10-04T04:00:00Z,900,9.914556
9.92,9.92,9.92,0,9.92,2019-10-07T04:00:00Z,0,0.0
9.92,9.92,9.92,0,9.92,2019-10-08T04:00:00Z,0,0.0
9.92,9.92,9.92,3,9.92,2019-10-09T04:00:00Z,35800,9.92
9.92,9.92,9.92,0,9.92,2019-10-10T04:00:00Z,0,0.0
9.92,9.92,9.92,0,9.92,2019-10-11T04:00:00Z,0,0.0
9.92,9.92,9.92,0,9.92,2019-10-14T04:00:00Z,0,0.0
9.95,9.95,9.85,7,9.85,2019-10-15T04:00:00Z,6161,9.867948
9.926,9.95,9.85,16,9.85,2019-10-16T04:00:00Z,706298,9.868394
9.95,9.95,9.9,5,9.9,2019-10-17T04:00:00Z,151000,9.900325
9.95,9.95,9.9,7,9.95,2019-10-18T04:00:00Z,10400,9.92048
9.9239,9.95,9.9,18,9.95,2019-10-21T04:00:00Z,32700,9.904145
9.87,9.9001,9.87,4,9.9001,2019-10-22T04:00:00Z,279900,9.873205
9.87,9.87,9.87,0,9.87,2019-10-23T04:00:00Z,0,0.0
9.87,9.87,9.87,0,9.87,2019-10-24T04:00:00Z,0,0.0
9.85,9.85,9.85,1,9.85,2019-10-25T04:00:00Z,100000,9.85
9.85,9.85,9.85,0,9.85,2019-10-28T04:00:00Z,0,0.0
9.93,9.93,9.93,2,9.93,2019-10-29T04:00:00Z,17500,9.93
9.8809,9.9121,9.8501,17,9.9,2019-10-30T04:00:00Z,8930,9.978186
10.08,10.15,10.07,962,10.15,2019-10-31T04:00:00Z,1700195,10.097519
10.08,10.132,10.08,37,10.1,2019-11-01T04:00:00Z,32827,10.099346
10.09,10.09,10.06,16,10.09,2019-11-04T05:00:00Z,246548,10.063062
10.09,10.09,10.06,12,10.07,2019-11-05T05:00:00Z,10144,10.064196
10.05,10.1,10.05,119,10.0701,2019-11-06T05:00:00Z,137693,10.05702
10.08,10.1,10.04,16,10.07,2019-11-07T05:00:00Z,18457,10.056267
10.1,10.1,10.07,5,10.075,2019-11-08T05:00:00Z,1610,10.073481
10.0864,10.0888,10.0864,3,10.0888,2019-11-11T05:00:00Z,605,10.086496
10.0864,10.0864,10.0864,0,10.0864,2019-11-12T05:00:00Z,0,0.0
10.0864,10.0864,10.0864,0,10.0864,2019-11-13T05:00:00Z,0,0.0
10.09,10.1,10.04,14,10.05,2019-11-14T05:00:00Z,2011320,10.041431
10.09,10.09,10.09,0,10.09,2019-11-15T05:00:00Z,0,0.0
10.04,10.09,10.04,14,10.05,2019-11-18T05:00:00Z,17003,10.045567
10.04,10.04,10.04,0,10.04,2019-11-19T05:00:00Z,0,0.0
10.0427,10.0427,10.0427,3,10.0427,2019-11-20T05:00:00Z,104,10.042596
10.0427,10.0427,10.0427,0,10.0427,2019-11-21T05:00:00Z,0,0.0
10.0427,10.0427,10.0427,0,10.0427,2019-11-22T05:00:00Z,0,0.0
10.04,10.09,10.04,9,10.09,2019-11-25T05:00:00Z,255327,10.040027
10.04,10.09,10.04,5,10.09,2019-11-26T05:00:00Z,96848,10.040517
10.05,10.0618,10.04,9,10.04,2019-11-27T05:00:00Z,168582,10.041158
10.05,10.05,10.05,0,10.05,2019-11-29T05:00:00Z,0,0.0
10.075,10.08,10.075,3,10.08,2019-12-02T05:00:00Z,400,10.07875
10.075,10.075,10.075,0,10.075,2019-12-03T05:00:00Z,0,0.0
10.075,10.075,10.075,0,10.075,2019-12-04T05:00:00Z,0,0.0
10.06,10.06,10.06,3,10.06,2019-12-05T05:00:00Z,100015,10.060001
10.0652,10.0652,10.06,7,10.06,2019-12-06T05:00:00Z,2000,10.0613
10.06,10.0839,10.06,2,10.0839,2019-12-09T05:00:00Z,7789,10.066137
10.09,10.09,10.09,2,10.09,2019-12-10T05:00:00Z,10000,10.09
10.08,10.0835,10.08,4,10.0835,2019-12-11T05:00:00Z,2006,10.081685
10.0744,10.0744,10.0744,1,10.0744,2019-12-12T05:00:00Z,999,10.0744
10.09,10.09,10.09,2,10.09,2019-12-13T05:00:00Z,125019,10.089997
10.08,10.09,10.08,57,10.08,2019-12-16T05:00:00Z,24400,10.083607
10.09,10.1,10.0864,26,10.1,2019-12-17T05:00:00Z,22180,10.090584
10.14,10.15,10.09,49,10.1,2019-12-18T05:00:00Z,225565,10.102731
10.18,10.3073,10.15,38,10.15,2019-12-19T05:00:00Z,292045,10.15882
10.17,10.19,10.17,10,10.19,2019-12-20T05:00:00Z,8306,10.183433
10.7995,10.85,10.66,13630,10.8,2019-12-23T05:00:00Z,9889625,10.744311
10.84,11.04,10.82,5318,11.0,2019-12-24T05:00:00Z,3014807,10.874808
10.74,10.95,10.72,2890,10.95,2019-12-26T05:00:00Z,1331225,10.832342
10.68,10.8,10.6,1642,10.75,2019-12-27T05:00:00Z,552159,10.684361
10.64,10.7,10.61,1495,10.7,2019-12-30T05:00:00Z,841015,10.634542
10.7,10.8,10.59,1615,10.69,2019-12-31T05:00:00Z,567961,10.694302
10.68,10.8,10.65,1708,10.79,2020-01-02T05:00:00Z,1217134,10.705532
10.68,10.75,10.61,1143,10.66,2020-01-03T05:00:00Z,490155,10.689825
10.8,10.9,10.6917,5793,10.75,2020-01-06T05:00:00Z,2201312,10.790805
10.9,10.95,10.87,6562,10.89,2020-01-07T05:00:00Z,2018974,10.901595
11.26,11.35,10.8844,5347,10.94,2020-01-08T05:00:00Z,3015837,11.107821
12.25,12.39,11.34,13162,11.43,2020-01-09T05:00:00Z,8337124,11.85339
12.39,12.63,11.9823,8425,12.41,2020-01-10T05:00:00Z,2402344,12.372953
12.0,12.64,11.55,4992,12.61,2020-01-13T05:00:00Z,1706311,12.107522
11.94,12.28,11.82,2497,12.14,2020-01-14T05:00:00Z,611659,11.991708
12.7,13.0,11.99,8757,12.0,2020-01-15T05:00:00Z,3295403,12.383897
12.99,13.44,12.94,15593,13.11,2020-01-16T05:00:00Z,5503816,13.123555
13.57,13.67,12.76,9282,13.23,2020-01-17T05:00:00Z,3542021,13.170376
13.83,14.5,13.32,12235,13.83,2020-01-21T05:00:00Z,3319965,13.925625
14.27,14.39,13.72,6975,14.0,2020-01-22T05:00:00Z,2375037,14.024914
14.44,14.6,14.11,9713,14.47,2020-01-23T05:00:00Z,2929675,14.418188
14.36,14.7173,14.16,5556,14.6,2020-01-24T05:00:00Z,1838682,14.374273
15.0,15.14,14.35,15908,14.59,2020-01-27T05:00:00Z,4698552,14.805597
15.08,15.75,14.3,20671,15.35,2020-01-28T05:00:00Z,5909565,15.322332
14.5,14.9699,14.0,13038,14.93,2020-01-29T05:00:00Z,3508167,14.596568
14.67,14.89,14.36,9081,14.77,2020-01-30T05:00:00Z,1960961,14.604373
14.53,15.0,14.4,6285,14.79,2020-01-31T05:00:00Z,1114880,14.645968
14.51,14.87,14.04,6940,14.84,2020-02-03T05:00:00Z,1482710,14.403319
14.57,15.0255,14.45,6544,14.64,2020-02-04T05:00:00Z,1420530,14.744642
14.25,14.9,13.85,6910,14.81,2020-02-05T05:00:00Z,1285844,14.245067
13.61,14.48,13.26,12095,14.35,2020-02-06T05:00:00Z,2924856,13.809481
14.5,14.74,13.5,6280,13.64,2020-02-07T05:00:00Z,1264889,14.056236
16.02,16.74,14.5,14091,14.52,2020-02-10T05:00:00Z,3319312,15.634633
16.82,17.36,16.3,10148,16.39,2020-02-11T05:00:00Z,2423302,16.795669
18.35,18.69,16.9,20100,17.07,2020-02-12T05:00:00Z,4019959,18.104931
17.91,18.65,17.25,7869,18.48,2020-02-13T05:00:00Z,1566578,18.108672
17.33,18.3,16.86,7208,17.96,2020-02-14T05:00:00Z,1298705,17.553609
17.29,17.77,16.6501,8240,17.55,2020-02-18T05:00:00Z,1586376,17.123449
17.97,18.36,17.65,9414,17.96,2020-02-19T05:00:00Z,1707153,17.982818
17.65,18.14,16.75,7431,18.13,2020-02-20T05:00:00Z,1391460,17.552522
16.95,17.6167,16.85,3975,17.57,2020-02-21T05:00:00Z,590017,17.182061
16.64,16.8208,15.8,5483,16.44,2020-02-24T05:00:00Z,1235478,16.375234
16.96,17.8224,16.5,7660,17.37,2020-02-25T05:00:00Z,1879247,17.191358
16.83,17.65,16.3824,6589,17.39,2020-02-26T05:00:00Z,1438863,17.041122
16.17,16.7,15.94,7270,16.31,2020-02-27T05:00:00Z,1301946,16.342434
16.02,16.15,15.35,5389,15.68,2020-02-28T05:00:00Z,993450,15.784219
16.66,17.0499,16.1,3905,16.1,2020-03-02T05:00:00Z,835468,16.628506
16.41,17.05,16.25,3872,17.0,2020-03-03T05:00:00Z,898761,16.652004
18.69,19.5,16.532,12942,16.67,2020-03-04T05:00:00Z,2646375,17.968287
17.94,18.83,17.55,14137,17.79,2020-03-05T05:00:00Z,2432776,18.271359
16.83,17.465,16.7,9635,17.4,2020-03-06T05:00:00Z,2032333,17.040693
17.01,17.45,14.5,10355,15.0,2020-03-09T04:00:00Z,2074100,15.53491
16.6,17.9899,16.01,12402,17.66,2020-03-10T04:00:00Z,2399053,16.663535
14.5,16.75,13.501,18787,16.25,2020-03-11T04:00:00Z,3757561,14.579225
11.17,12.74,10.6,30778,11.0,2020-03-12T04:00:00Z,7457683,11.512105
12.45,12.45,11.2301,14131,12.29,2020-03-13T04:00:00Z,2408063,11.777651
11.8,12.0,10.9,15191,11.0,2020-03-16T04:00:00Z,2929817,11.447551
12.89,13.04,11.2701,10960,11.46,2020-03-17T04:00:00Z,2120926,12.111212
11.4,12.7399,11.25,9199,12.0,2020-03-18T04:00:00Z,1717068,11.525103
11.4,12.5,11.4,5358,11.4,2020-03-19T04:00:00Z,1171815,11.86904
11.48,12.23,11.05,6568,11.5,2020-03-20T04:00:00Z,1683292,11.579269
11.3,11.96,10.92,5031,11.36,2020-03-23T04:00:00Z,1189701,11.474266
11.85,13.04,11.6,9375,11.95,2020-03-24T04:00:00Z,1784622,12.177917
13.0,13.49,11.8,14198,12.22,2020-03-25T04:00:00Z,3108376,12.953108
13.21,13.89,12.15,12851,12.89,2020-03-26T04:00:00Z,2594725,12.860347
12.69,12.9599,12.01,14564,12.8,2020-03-27T04:00:00Z,2612249,12.462712
12.21,12.8,11.63,10345,12.67,2020-03-30T04:00:00Z,1741492,12.216815
12.34,12.7,11.9,8661,12.49,2020-03-31T04:00:00Z,2003730,12.383799
11.77,12.24,11.55,5729,12.24,2020-04-01T04:00:00Z,807185,11.843101
12.25,12.72,11.4512,7401,11.75,2020-04-02T04:00:00Z,1465669,12.205898
12.25,12.58,11.37,9660,12.58,2020-04-03T04:00:00Z,1538258,11.717404
12.61,12.79,12.26,8311,12.35,2020-04-06T04:00:00Z,1530128,12.61152
13.03,13.91,12.68,19829,13.25,2020-04-07T04:00:00Z,4094271,13.193578
14.75,15.27,13.21,16463,13.36,2020-04-08T04:00:00Z,3271121,14.371261
14.51,15.5,14.0501,13721,15.5,2020-04-09T04:00:00Z,2385495,14.596749
14.25,14.4,13.6,9893,14.08,2020-04-13T04:00:00Z,1657835,14.022544
14.75,15.14,14.05,16096,14.5,2020-04-14T04:00:00Z,2637282,14.629084
15.49,15.68,14.354,13372,14.7,2020-04-15T04:00:00Z,2368986,15.148851
16.09,16.45,15.55,14709,16.15,2020-04-16T04:00:00Z,2774728,16.006222
16.95,17.68,15.8217,20552,17.0,2020-04-17T04:00:00Z,3610732,16.646464
17.57,18.19,16.8,18257,17.15,2020-04-20T04:00:00Z,2802668,17.533831
17.2,18.7989,16.6,15798,17.74,2020-04-21T04:00:00Z,2465685,17.472958
17.15,18.1443,16.9,12027,17.89,2020-04-22T04:00:00Z,1655957,17.423156
17.53,17.85,16.11,17358,17.81,2020-04-23T04:00:00Z,2749094,17.149683
19.35,20.75,17.6,104058,20.4937,2020-04-24T04:00:00Z,11645841,19.380091
19.52,22.5,19.5,80717,22.36,2020-04-27T04:00:00Z,9865911,20.743418
18.24,19.9,18.0,42225,19.86,2020-04-28T04:00:00Z,5802854,18.686556
19.4,19.8,18.35,25819,18.35,2020-04-29T04:00:00Z,3703016,19.288238
19.46,19.85,18.88,26325,19.5,2020-04-30T04:00:00Z,4035138,19.436547
20.12,20.35,19.01,31191,19.39,2020-05-01T04:00:00Z,5270164,19.682996
20.99,21.78,19.95,41230,20.36,2020-05-04T04:00:00Z,6421072,20.889163
21.61,22.12,21.15,31335,21.94,2020-05-05T04:00:00Z,4653052,21.640084
23.83,24.48,21.75,58491,21.94,2020-05-06T04:00:00Z,9085262,23.153866
23.51,26.85,23.04,86450,24.3,2020-05-07T04:00:00Z,13411144,24.832757
23.45,24.75,23.1776,37740,24.35,2020-05-08T04:00:00Z,5302354,23.87365
24.46,25.16,23.5,51224,23.52,2020-05-11T04:00:00Z,7758243,24.424771
26.3,28.15,24.8,102503,26.15,2020-05-12T04:00:00Z,17571963,26.540201
25.855,27.95,23.5,84660,27.44,2020-05-13T04:00:00Z,14328361,26.269722
25.31,27.25,25.02,79034,26.85,2020-05-14T04:00:00Z,12308999,26.3179
29.23,29.4,25.35,130215,25.89,2020-05-15T04:00:00Z,24753374,28.122549
29.55,31.78,28.5,116574,31.7,2020-05-18T04:00:00Z,17665414,30.009734
29.57,30.41,28.23,56105,29.54,2020-05-19T04:00:00Z,8939546,29.486472
29.69,30.9974,29.55,40808,30.19,2020-05-20T04:00:00Z,5969387,29.9518
