c,h,l,n,o,t,v,vw
41.3,44.75,38.71,1478,44.75,2021-11-08T05:00:00Z,26450,41.32
39.5,42.37,38.2,634,42.0,2021-11-09T05:00:00Z,14055,40.62
36.5,40.4,36.5,299,40.4,2021-11-10T05:00:00Z,4977,38.21
33.8,37.45,33.8,343,37.4,2021-11-11T05:00:00Z,3897,35.7
31.8,34.4,31.55,348,33.8,2021-11-12T05:00:00Z,5107,32.66
32.35,41.5,27.8,53839,41.1,2021-11-15T05:00:00Z,1637728,34.19
27.95,30.8,25.75,2615,29.75,2021-11-16T05:00:00Z,79387,28.35
24.55,27.7,23.85,1204,27.7,2021-11-17T05:00:00Z,42400,25.18
25.25,26.15,23.35,713,23.75,2021-11-18T05:00:00Z,19218,24.87
25.1,25.55,24.3,464,25.55,2021-11-19T05:00:00Z,14193,24.69
24.65,25.1,22.5,525,25.1,2021-11-22T05:00:00Z,15572,23.6
22.4,24.3,22.31,458,24.3,2021-11-23T05:00:00Z,16583,22.96
21.6,22.69,21.35,213,22.05,2021-11-24T05:00:00Z,8119,21.86
22.0,22.43,20.0,350,20.0,2021-11-26T05:00:00Z,13337,20.59
22.75,23.8,22.43,314,23.15,2021-11-29T05:00:00Z,5505,22.92
20.85,23.55,19.05,659,23.4,2021-11-30T05:00:00Z,21815,20.21
19.3,21.69,19.25,425,20.7,2021-12-01T05:00:00Z,14261,20.38
19.2,20.8,18.05,316,20.8,2021-12-02T05:00:00Z,8863,19.23
19.47,20.68,18.55,673,20.65,2021-12-03T05:00:00Z,14206,19.67
20.0,20.5,18.45,337,18.85,2021-12-06T05:00:00Z,6300,19.46
19.8,20.7,19.3,209,20.25,2021-12-07T05:00:00Z,3696,19.72
19.55,19.95,19.26,149,19.26,2021-12-08T05:00:00Z,2148,19.55
19.0,19.75,18.8,186,19.65,2021-12-09T05:00:00Z,3003,19.33
19.1,19.25,18.3,256,19.05,2021-12-10T05:00:00Z,6292,18.7
19.1,19.35,18.3,218,19.35,2021-12-13T05:00:00Z,3810,18.77
17.3,19.25,17.0,211,18.9,2021-12-14T05:00:00Z,6086,18.31
17.0,17.57,15.95,255,17.5,2021-12-15T05:00:00Z,2885,17.03
