c,h,l,n,o,t,v,vw
0.81,0.9,0.5,239,0.5,2021-05-14T04:00:00Z,56258,0.770894
0.82,1.0,0.81,85,0.81,2021-05-17T04:00:00Z,23005,0.90336
0.8002,0.86,0.75,180,0.75,2021-05-18T04:00:00Z,72283,0.838263
0.86,0.86,0.825,29,0.825,2021-05-19T04:00:00Z,8235,0.850706
0.86,0.93,0.86,49,0.88,2021-05-20T04:00:00Z,20818,0.888036
0.85,0.86,0.84,65,0.86,2021-05-21T04:00:00Z,15854,0.851171
0.86,0.875,0.85,63,0.85,2021-05-24T04:00:00Z,15766,0.852438
0.9,0.98,0.8499,56,0.85,2021-05-25T04:00:00Z,36858,0.893216
0.9,0.9,0.9,0,0.9,2021-05-26T04:00:00Z,0,0.0
0.9,0.9,0.9,0,0.9,2021-05-27T04:00:00Z,0,0.0
0.8145,0.8145,0.8145,5,0.8145,2021-05-28T04:00:00Z,1300,0.8145
0.7525,0.82,0.75,25,0.82,2021-06-01T04:00:00Z,18000,0.788929
0.7801,0.7833,0.7801,14,0.7801,2021-06-02T04:00:00Z,10000,0.78042
0.8,0.8,0.78,11,0.78,2021-06-03T04:00:00Z,17900,0.791061
0.8,0.8,0.8,0,0.8,2021-06-04T04:00:00Z,0,0.0
0.75,0.8,0.75,13,0.8,2021-06-07T04:00:00Z,3600,0.764444
0.77,0.8,0.76,54,0.76,2021-06-08T04:00:00Z,8904,0.780143
0.9481,0.99,0.77,17,0.77,2021-06-09T04:00:00Z,3525,0.878255
1.11,1.11,0.8002,230,0.98,2021-06-10T04:00:00Z,78054,0.924978
1.2,1.2,0.9601,13,1.2,2021-06-11T04:00:00Z,5399,1.18785
1.1262,1.275,1.1262,22,1.2001,2021-06-14T04:00:00Z,8166,1.196227
1.0,1.06,1.0,31,1.06,2021-06-15T04:00:00Z,7001,1.018874
1.06,1.1,1.06,10,1.1,2021-06-16T04:00:00Z,1400,1.085
1.07,1.09,1.01,8,1.01,2021-06-17T04:00:00Z,1300,1.068238
1.07,1.07,1.07,0,1.07,2021-06-18T04:00:00Z,0,0.0
1.05,1.09,0.936351,185,1.0899,2021-06-21T04:00:00Z,37496,0.989412
0.9205,0.9305,0.9201,9,0.9301,2021-06-22T04:00:00Z,4000,0.921575
1.09,1.09,0.97,16,1.01,2021-06-23T04:00:00Z,3683,1.00542
1.03,1.03,0.935,70,0.9801,2021-06-24T04:00:00Z,21310,0.959627
1.02,1.04,0.9901,42,1.03,2021-06-25T04:00:00Z,8446,1.02625
1.03,1.04,1.0096,15,1.03,2021-06-28T04:00:00Z,7217,1.016547
1.25,1.4098,1.0199,156,1.07,2021-06-29T04:00:00Z,37721,1.178492
1.198,1.25,1.16,12,1.25,2021-06-30T04:00:00Z,2727,1.190022
1.26,1.26,1.26,4,1.26,2021-07-01T04:00:00Z,237,1.282939
