c,h,l,n,o,t,v,vw
25.38,25.41,25.3629,6,25.37,2024-07-11T04:00:00Z,3524,25.375153
25.5712,25.64,25.47,20,25.47,2024-07-12T04:00:00Z,7802,25.615525
25.3504,25.46,25.3504,4,25.46,2024-07-15T04:00:00Z,2004,25.425334
25.5093,25.52,25.41,20,25.41,2024-07-16T04:00:00Z,4092,25.469677
25.2606,25.33,25.2606,4,25.33,2024-07-17T04:00:00Z,2240,25.305536
25.01,25.2052,24.9999,5,25.2052,2024-07-18T04:00:00Z,751,25.060464
24.8235,24.9285,24.8235,3,24.9285,2024-07-19T04:00:00Z,3999,24.917954
24.965,24.97,24.95,8,24.97,2024-07-22T04:00:00Z,1340,24.965385
24.84,24.9,24.84,9,24.9,2024-07-23T04:00:00Z,1751,24.884392
24.5306,24.55,24.5306,3,24.55,2024-07-24T04:00:00Z,280,24.595679
24.4178,24.495,24.4178,45,24.46,2024-07-25T04:00:00Z,4048,24.497311
24.691,24.71,24.69,4,24.71,2024-07-26T04:00:00Z,505,24.704627
24.6103,24.63,24.6103,1,24.63,2024-07-29T04:00:00Z,100,24.63
24.5985,24.61,24.58,5,24.58,2024-07-30T04:00:00Z,544,24.597647
25.0131,25.06,24.95,2,24.95,2024-07-31T04:00:00Z,800,24.96375
24.4927,24.85,24.4911,4,24.85,2024-08-01T04:00:00Z,1000,24.81012
24.1287,24.14,24.08,4,24.0897,2024-08-02T04:00:00Z,500,24.11026
23.5242,23.5242,23.3305,2,23.3305,2024-08-05T04:00:00Z,200,23.41525
23.6373,23.66,23.6373,3,23.66,2024-08-06T04:00:00Z,5000,23.66
23.7598,24.0701,23.7598,11,24.0701,2024-08-07T04:00:00Z,5705,24.041793
24.211,24.211,24.09,9,24.11,2024-08-08T04:00:00Z,1300,24.126154
24.3174,24.3174,24.265,2,24.265,2024-08-09T04:00:00Z,400,24.28
24.3552,24.4169,24.3552,3,24.4169,2024-08-12T04:00:00Z,401,24.395973
24.685,24.69,24.508,5,24.508,2024-08-13T04:00:00Z,600,24.625333
24.6722,24.69,24.63,7,24.6397,2024-08-14T04:00:00Z,985,24.650365
24.9349,24.97,24.9104,5,24.9104,2024-08-15T04:00:00Z,603,24.946551
25.1203,25.1203,25.07,5,25.07,2024-08-16T04:00:00Z,494,25.089069
25.3974,25.42,25.36,4,25.36,2024-08-19T04:00:00Z,449,25.394365
25.2406,25.27,25.24,4,25.27,2024-08-20T04:00:00Z,360,25.262722
