c,h,l,n,o,t,v,vw
2925.0,3168.0,2868.75,3689,2925.0,2019-11-01T04:00:00Z,4284,2945.03
2927.25,3015.0,2484.0,1065,3015.0,2019-11-04T05:00:00Z,804,2768.61
2925.0,2936.25,2682.0,490,2922.75,2019-11-05T05:00:00Z,334,2875.5
2925.0,2981.25,2767.5,466,2920.5,2019-11-06T05:00:00Z,423,2882.87
2925.0,2927.25,2839.5,367,2922.75,2019-11-07T05:00:00Z,298,2907.77
2925.0,2956.5,2868.75,268,2934.0,2019-11-08T05:00:00Z,154,2919.35
2909.25,2947.5,2868.75,110,2886.75,2019-11-11T05:00:00Z,74,2906.18
2925.0,2927.25,2839.5,147,2922.75,2019-11-12T05:00:00Z,86,2907.18
2925.0,2992.5,2862.0,354,2907.0,2019-11-13T05:00:00Z,261,2922.54
2925.0,2947.5,2857.5,111,2857.5,2019-11-14T05:00:00Z,58,2914.53
2927.25,2947.5,2850.75,54,2925.0,2019-11-15T05:00:00Z,26,2929.78
2925.0,2927.25,2704.5,147,2868.75,2019-11-18T05:00:00Z,82,2867.81
2925.0,2936.25,2875.5,110,2875.5,2019-11-19T05:00:00Z,99,2923.82
2920.5,2925.0,2862.0,64,2880.0,2019-11-20T05:00:00Z,35,2917.15
2956.5,2992.5,2882.25,76,2882.25,2019-11-21T05:00:00Z,38,2956.05
2938.61,3006.74,2925.0,92,2936.25,2019-11-22T05:00:00Z,44,2938.23
2945.25,2972.25,2925.0,60,2938.5,2019-11-25T05:00:00Z,31,2935.81
2941.27,2949.75,2898.0,38,2925.0,2019-11-26T05:00:00Z,23,2928.62
2796.75,2936.25,2796.75,173,2880.0,2019-11-27T05:00:00Z,46,2882.16
2894.63,2940.75,2774.25,44,2774.25,2019-11-29T05:00:00Z,15,2832.3
2958.75,3091.5,2749.5,432,2781.0,2019-12-02T05:00:00Z,213,2931.42
2882.25,2958.75,2844.0,77,2862.0,2019-12-03T05:00:00Z,43,2886.99
2952.23,2958.75,2754.0,63,2855.86,2019-12-04T05:00:00Z,64,2905.69
2891.25,2988.0,2852.48,107,2871.0,2019-12-05T05:00:00Z,80,2933.62
3037.5,3087.41,2893.5,102,2893.5,2019-12-06T05:00:00Z,43,3005.46
3267.0,3341.25,3003.75,154,3003.75,2019-12-09T05:00:00Z,94,3227.99
3580.45,3580.45,3267.0,89,3267.0,2019-12-10T05:00:00Z,44,3355.08
3555.0,3555.0,3264.75,113,3550.5,2019-12-11T05:00:00Z,42,3491.53
3404.25,3582.0,3300.03,107,3550.5,2019-12-12T05:00:00Z,40,3435.74
3291.75,3415.5,3291.75,31,3415.5,2019-12-13T05:00:00Z,16,3336.0
2927.25,3352.5,2927.25,130,3291.75,2019-12-16T05:00:00Z,57,3177.51
3492.0,3492.0,2972.25,449,3195.0,2019-12-17T05:00:00Z,148,3188.99
3188.25,3429.0,3163.73,120,3177.0,2019-12-18T05:00:00Z,32,3223.81
3078.0,3299.38,3042.0,153,3190.5,2019-12-19T05:00:00Z,59,3226.06
3341.25,3372.75,3158.71,112,3220.13,2019-12-20T05:00:00Z,42,3304.12
3352.5,3372.75,3321.0,71,3321.0,2019-12-23T05:00:00Z,13,3336.57
3460.5,3460.5,3180.51,72,3180.51,2019-12-24T05:00:00Z,21,3417.31
3476.25,3492.0,3433.5,106,3444.75,2019-12-26T05:00:00Z,47,3462.43
3468.44,3476.25,3276.7,96,3276.7,2019-12-27T05:00:00Z,12,3438.31
3465.0,3465.0,3270.13,19,3270.13,2019-12-30T05:00:00Z,4,3371.85
3492.0,3492.0,3420.0,14,3492.0,2019-12-31T05:00:00Z,5,3476.07
3690.0,3722.92,3365.89,205,3365.89,2020-01-02T05:00:00Z,48,3506.65
3501.0,3685.5,3501.0,48,3685.5,2020-01-03T05:00:00Z,7,3705.37
3735.0,3735.0,3330.0,225,3453.75,2020-01-06T05:00:00Z,70,3498.37
3420.0,3712.5,3348.0,278,3712.5,2020-01-07T05:00:00Z,70,3501.36
3375.0,3487.5,3372.75,78,3487.5,2020-01-08T05:00:00Z,9,3426.32
3386.25,3487.5,3386.25,26,3487.5,2020-01-09T05:00:00Z,8,3450.27
3379.5,3379.5,3379.5,7,3379.5,2020-01-10T05:00:00Z,3,3365.56
