c,h,l,n,o,t,v,vw
19.4,20.8,16.72,1642,20.8,2022-04-27T04:00:00Z,60749,18.47
17.84,19.4,16.88,1427,19.4,2022-04-28T04:00:00Z,61776,17.99
17.52,22.32,16.88,6676,17.84,2022-04-29T04:00:00Z,344603,19.48
16.86,17.73,16.28,1168,17.6,2022-05-02T04:00:00Z,53948,17.0
16.56,16.88,16.44,597,16.52,2022-05-03T04:00:00Z,26488,16.6
16.76,17.17,16.4,289,16.76,2022-05-04T04:00:00Z,15776,16.67
16.31,17.48,16.08,353,16.6,2022-05-05T04:00:00Z,19071,16.46
15.9,16.28,15.6,436,16.2,2022-05-06T04:00:00Z,27756,15.86
14.34,16.28,13.88,639,16.28,2022-05-09T04:00:00Z,32544,14.55
14.84,15.32,14.12,352,14.16,2022-05-10T04:00:00Z,19239,14.67
15.72,18.6,15.0,13900,17.6,2022-05-11T04:00:00Z,494687,16.76
13.92,15.84,13.32,1932,15.84,2022-05-12T04:00:00Z,77237,14.18
14.76,15.01,14.0,525,14.4,2022-05-13T04:00:00Z,18215,14.56
15.16,15.26,14.2,289,14.76,2022-05-16T04:00:00Z,11150,14.58
15.52,15.68,14.44,263,14.44,2022-05-17T04:00:00Z,9871,15.26
15.0,15.64,14.44,468,15.4,2022-05-18T04:00:00Z,18082,14.85
15.4,15.64,14.8,508,15.32,2022-05-19T04:00:00Z,20057,15.18
15.28,15.56,14.84,205,15.0,2022-05-20T04:00:00Z,12299,15.0
15.04,15.52,14.2,1010,15.28,2022-05-23T04:00:00Z,23641,14.74
14.6,15.28,14.4,403,15.28,2022-05-24T04:00:00Z,16305,14.75
14.92,15.0,14.28,134,14.68,2022-05-25T04:00:00Z,5625,14.69
15.32,15.4,14.55,294,14.6,2022-05-26T04:00:00Z,9768,15.0
16.0,16.36,15.32,316,16.36,2022-05-27T04:00:00Z,8936,15.7
15.72,16.0,15.6,249,16.0,2022-05-31T04:00:00Z,8823,15.8
15.52,15.88,15.2,268,15.6,2022-06-01T04:00:00Z,9017,15.49
15.4,15.8,15.36,150,15.8,2022-06-02T04:00:00Z,3500,15.59
15.4,15.52,15.04,235,15.2,2022-06-03T04:00:00Z,14896,15.23
15.68,16.08,15.2,249,15.4,2022-06-06T04:00:00Z,12270,15.64
15.72,15.96,15.41,190,15.68,2022-06-07T04:00:00Z,4594,15.56
15.36,16.0,15.24,382,15.8,2022-06-08T04:00:00Z,16897,15.45
15.04,15.24,14.8,303,15.16,2022-06-09T04:00:00Z,13745,14.96
15.04,15.46,14.4,391,14.8,2022-06-10T04:00:00Z,18463,14.69
14.44,15.36,14.4,314,15.2,2022-06-13T04:00:00Z,18796,14.6
13.7,14.52,13.6,1596,14.52,2022-06-14T04:00:00Z,40655,13.9
13.76,13.92,13.6,194,13.92,2022-06-15T04:00:00Z,5166,13.79
13.0,13.84,12.88,330,13.84,2022-06-16T04:00:00Z,10723,13.3
13.12,13.52,12.28,366,13.08,2022-06-17T04:00:00Z,16513,12.78
13.6,13.96,13.12,247,13.16,2022-06-21T04:00:00Z,8762,13.51
12.92,14.68,12.72,288,14.68,2022-06-22T04:00:00Z,9454,13.34
13.04,13.52,12.72,230,12.96,2022-06-23T04:00:00Z,9715,13.06
13.64,13.64,13.04,100,13.04,2022-06-24T04:00:00Z,3673,13.32
13.32,13.88,13.04,221,13.88,2022-06-27T04:00:00Z,11310,13.43
12.8,13.42,12.76,239,13.36,2022-06-28T04:00:00Z,7720,13.01
11.68,13.2,11.44,500,12.8,2022-06-29T04:00:00Z,16502,11.98
11.16,11.65,11.0,319,11.64,2022-06-30T04:00:00Z,13652,11.29
11.48,12.24,10.76,147,10.92,2022-07-01T04:00:00Z,8029,11.63
12.08,12.2,11.4,286,11.64,2022-07-05T04:00:00Z,9924,11.72
11.6,12.6,11.48,213,12.12,2022-07-06T04:00:00Z,6449,11.91
11.88,12.12,11.56,257,11.56,2022-07-07T04:00:00Z,6380,11.78
11.68,11.96,11.6,184,11.96,2022-07-08T04:00:00Z,4060,11.67
11.48,11.72,11.17,208,11.4,2022-07-11T04:00:00Z,5520,11.48
10.4,11.96,10.16,678,11.96,2022-07-12T04:00:00Z,77074,11.04
11.22,11.22,10.36,335,10.4,2022-07-13T04:00:00Z,12816,10.7
10.6,11.12,10.6,240,10.88,2022-07-14T04:00:00Z,7992,10.8
10.48,10.72,10.48,305,10.64,2022-07-15T04:00:00Z,11690,10.64
11.0,11.4,10.56,284,10.56,2022-07-18T04:00:00Z,12577,11.06
11.12,11.56,11.0,230,11.16,2022-07-19T04:00:00Z,9384,11.24
11.12,11.48,11.04,211,11.24,2022-07-20T04:00:00Z,8367,11.24
11.48,11.6,11.24,291,11.56,2022-07-21T04:00:00Z,7936,11.42
11.88,11.88,11.2,191,11.2,2022-07-22T04:00:00Z,4654,11.69
12.72,13.08,11.92,252,12.2,2022-07-25T04:00:00Z,8006,12.53
13.64,13.96,12.8,384,13.2,2022-07-26T04:00:00Z,15929,13.44
