c,h,l,n,o,t,v,vw
24.0,24.02,23.94,7,24.02,2021-11-04T04:00:00Z,410,23.99
23.91,23.93,23.89,23,23.93,2021-11-05T04:00:00Z,542,23.92
23.93,23.93,23.92,18,23.92,2021-11-08T05:00:00Z,4240,23.92
23.93,23.93,23.93,0,23.93,2021-11-09T05:00:00Z,0,0.0
23.92,23.92,23.92,13,23.92,2021-11-10T05:00:00Z,617,23.92
23.85,23.85,23.84,7,23.84,2021-11-11T05:00:00Z,114,23.84
24.05,24.05,24.05,6,24.05,2021-11-12T05:00:00Z,164,24.05
24.06,24.08,24.05,19,24.07,2021-11-15T05:00:00Z,4242,24.06
24.06,24.06,24.06,0,24.06,2021-11-16T05:00:00Z,0,0.0
24.06,24.06,24.06,2,24.06,2021-11-17T05:00:00Z,103,24.06
24.06,24.06,24.06,0,24.06,2021-11-18T05:00:00Z,0,0.0
24.06,24.06,24.06,0,24.06,2021-11-19T05:00:00Z,0,0.0
24.06,24.06,24.06,0,24.06,2021-11-22T05:00:00Z,0,0.0
23.84,23.84,23.84,4,23.84,2021-11-23T05:00:00Z,208,23.84
23.94,23.94,23.88,2,23.9,2021-11-24T05:00:00Z,200,23.89
23.94,23.94,23.94,0,23.94,2021-11-26T05:00:00Z,0,0.0
23.91,23.91,23.8,8,23.8,2021-11-29T05:00:00Z,261,23.81
23.37,23.52,23.37,8,23.52,2021-11-30T05:00:00Z,293,23.52
23.19,23.34,23.19,7,23.34,2021-12-01T05:00:00Z,270,23.31
23.19,23.19,23.19,0,23.19,2021-12-02T05:00:00Z,0,0.0
23.51,23.51,23.36,7,23.36,2021-12-03T05:00:00Z,224,23.36
23.51,23.51,23.51,0,23.51,2021-12-06T05:00:00Z,0,0.0
23.51,23.51,23.51,0,23.51,2021-12-07T05:00:00Z,0,0.0
24.04,24.04,23.99,8,24.0,2021-12-08T05:00:00Z,1648,24.0
24.04,24.04,24.04,0,24.04,2021-12-09T05:00:00Z,0,0.0
24.16,24.16,24.11,1,24.11,2021-12-10T05:00:00Z,181,24.11
24.22,24.22,24.22,0,24.22,2021-12-13T05:00:00Z,0,0.0
24.22,24.22,24.22,0,24.22,2021-12-14T05:00:00Z,0,0.0
24.07,24.07,24.06,5,24.06,2021-12-15T05:00:00Z,204,24.06
24.39,24.39,24.32,3,24.33,2021-12-16T05:00:00Z,300,24.33
24.39,24.39,24.39,0,24.39,2021-12-17T05:00:00Z,0,0.0
23.97,23.97,23.92,8,23.92,2021-12-20T05:00:00Z,301,23.92
24.16,24.16,24.07,1,24.07,2021-12-21T05:00:00Z,100,24.07
24.35,24.35,24.27,5,24.27,2021-12-22T05:00:00Z,1950,24.27
24.47,24.47,24.47,1,24.47,2021-12-23T05:00:00Z,102,24.47
24.73,24.73,24.69,2,24.69,2021-12-27T05:00:00Z,101,24.69
24.77,24.8,24.77,4,24.8,2021-12-28T05:00:00Z,218,24.8
24.77,24.77,24.77,0,24.77,2021-12-29T05:00:00Z,0,0.0
24.77,24.77,24.77,0,24.77,2021-12-30T05:00:00Z,0,0.0
24.77,24.77,24.77,0,24.77,2021-12-31T05:00:00Z,0,0.0
24.63,24.63,24.6,9,24.6,2022-01-03T05:00:00Z,33454,24.6
24.55,24.62,24.55,6,24.62,2022-01-04T05:00:00Z,431,24.62
24.18,24.3,24.18,1,24.3,2022-01-05T05:00:00Z,636,24.3
24.18,24.18,24.18,0,24.18,2022-01-06T05:00:00Z,0,0.0
24.18,24.18,24.18,0,24.18,2022-01-07T05:00:00Z,0,0.0
23.88,23.88,23.77,8,23.79,2022-01-10T05:00:00Z,254,23.78
23.88,23.88,23.88,0,23.88,2022-01-11T05:00:00Z,0,0.0
23.88,23.88,23.88,0,23.88,2022-01-12T05:00:00Z,0,0.0
23.88,23.88,23.88,0,23.88,2022-01-13T05:00:00Z,0,0.0
23.88,23.88,23.88,0,23.88,2022-01-14T05:00:00Z,0,0.0
23.88,23.88,23.88,0,23.88,2022-01-18T05:00:00Z,0,0.0
23.88,23.88,23.88,0,23.88,2022-01-19T05:00:00Z,0,0.0
23.13,23.21,23.13,3,23.21,2022-01-20T05:00:00Z,165,23.21
22.88,22.88,22.88,7,22.88,2022-01-21T05:00:00Z,358,22.88
23.01,23.01,22.43,8,22.78,2022-01-24T05:00:00Z,33768,22.44
22.62,22.64,22.62,4,22.64,2022-01-25T05:00:00Z,407,22.64
22.62,22.62,22.62,0,22.62,2022-01-26T05:00:00Z,0,0.0
22.34,22.43,22.34,1,22.43,2022-01-27T05:00:00Z,130,22.43
22.8,22.8,22.59,7,22.59,2022-01-28T05:00:00Z,694,22.59
22.8,22.8,22.8,0,22.8,2022-01-31T05:00:00Z,0,0.0
22.8,22.8,22.8,0,22.8,2022-02-01T05:00:00Z,0,0.0
22.8,22.8,22.8,0,22.8,2022-02-02T05:00:00Z,0,0.0
23.0,23.16,23.0,8,23.15,2022-02-03T05:00:00Z,3982,23.16
23.0,23.0,23.0,0,23.0,2022-02-04T05:00:00Z,0,0.0
22.85,22.9,22.85,5,22.89,2022-02-07T05:00:00Z,1501,22.9
22.85,22.85,22.85,0,22.85,2022-02-08T05:00:00Z,0,0.0
23.23,23.23,23.2,3,23.2,2022-02-09T05:00:00Z,300,23.2
22.79,23.09,22.79,7,23.04,2022-02-10T05:00:00Z,1444,23.07
22.79,22.79,22.79,0,22.79,2022-02-11T05:00:00Z,0,0.0
22.41,22.41,22.35,6,22.4,2022-02-14T05:00:00Z,1689,22.4
22.41,22.41,22.41,0,22.41,2022-02-15T05:00:00Z,0,0.0
22.41,22.41,22.41,0,22.41,2022-02-16T05:00:00Z,0,0.0
22.41,22.41,22.41,0,22.41,2022-02-17T05:00:00Z,0,0.0
