c,h,l,n,o,t,v,vw
0.65,1.01,0.6,108,1.01,2020-09-22T04:00:00Z,38165,0.817551
0.74,0.8,0.66,80,0.75,2020-09-23T04:00:00Z,29279,0.747188
0.7,0.734999,0.5474,57,0.72,2020-09-24T04:00:00Z,14484,0.64921
0.7,0.725135,0.66,86,0.66,2020-09-25T04:00:00Z,8351,0.704521
0.66,0.7,0.6143,57,0.7,2020-09-28T04:00:00Z,18439,0.661617
0.62,0.75,0.62,103,0.689999,2020-09-29T04:00:00Z,7150,0.711338
0.66,0.75,0.65,241,0.73,2020-09-30T04:00:00Z,103749,0.711071
0.7639,0.899899,0.725049,30,0.73,2020-10-01T04:00:00Z,20896,0.764951
0.85,0.92,0.715151,162,0.810101,2020-10-02T04:00:00Z,217699,0.792299
0.75,0.875,0.75,19,0.800101,2020-10-05T04:00:00Z,5916,0.801644
0.65,0.75,0.65,96,0.75,2020-10-06T04:00:00Z,68291,0.682414
0.72,0.74,0.6401,91,0.7,2020-10-07T04:00:00Z,11831,0.66974
0.6201,0.7396,0.62,51,0.695,2020-10-08T04:00:00Z,31471,0.671655
0.6512,0.75,0.63,64,0.63,2020-10-09T04:00:00Z,145694,0.680703
0.64,0.65,0.64,12,0.65,2020-10-12T04:00:00Z,1128,0.645473
0.64,0.74,0.64,18,0.74,2020-10-13T04:00:00Z,4220,0.658326
0.6201,0.65,0.61,42,0.65,2020-10-14T04:00:00Z,27485,0.634777
0.6,0.689,0.6,18,0.6537,2020-10-15T04:00:00Z,40776,0.618409
0.6699,0.7,0.6,77,0.6,2020-10-16T04:00:00Z,23889,0.622749
0.5701,0.662126,0.57,111,0.6202,2020-10-19T04:00:00Z,79600,0.602492
0.576,0.6,0.4,103,0.58,2020-10-20T04:00:00Z,79319,0.511321
0.5541,0.565,0.53,29,0.565,2020-10-21T04:00:00Z,18093,0.538473
0.57,0.58,0.55,31,0.5541,2020-10-22T04:00:00Z,15154,0.556779
0.62,0.62,0.5601,71,0.6,2020-10-23T04:00:00Z,19420,0.60036
0.6201,0.6201,0.62,24,0.62,2020-10-26T04:00:00Z,2705,0.620028
0.6201,0.6201,0.6201,0,0.6201,2020-10-27T04:00:00Z,0,0.0
0.580101,0.620271,0.5501,160,0.62,2020-10-28T04:00:00Z,29133,0.578079
0.550101,0.56,0.5501,6,0.5501,2020-10-29T04:00:00Z,4730,0.550728
0.5301,0.55,0.5301,15,0.55,2020-10-30T04:00:00Z,19257,0.536695
0.6214,0.6214,0.6,8,0.6,2020-11-02T05:00:00Z,3151,0.608284
0.6214,0.6214,0.6214,0,0.6214,2020-11-03T05:00:00Z,0,0.0
0.635,0.635,0.5854,18,0.615,2020-11-04T05:00:00Z,16845,0.632238
0.635,0.635,0.635,0,0.635,2020-11-05T05:00:00Z,0,0.0
0.6,0.629899,0.6,11,0.6,2020-11-06T05:00:00Z,2477,0.616503
0.67,0.67,0.620849,7,0.625,2020-11-09T05:00:00Z,12095,0.660182
0.619999,0.65,0.619999,3,0.65,2020-11-10T05:00:00Z,600,0.629999
0.619999,0.619999,0.619999,0,0.619999,2020-11-11T05:00:00Z,0,0.0
0.6,0.6202,0.55,49,0.6202,2020-11-12T05:00:00Z,17348,0.566964
0.63,0.64,0.61,10,0.64,2020-11-13T05:00:00Z,4480,0.629331
0.63,0.63,0.63,0,0.63,2020-11-16T05:00:00Z,0,0.0
0.65,0.65,0.65,3,0.65,2020-11-17T05:00:00Z,2500,0.65
0.6701,0.7016,0.67,24,0.7,2020-11-18T05:00:00Z,12900,0.695126
0.903001,1.005,0.65,227,0.67,2020-11-19T05:00:00Z,76513,0.865833
0.9,0.9,0.85,102,0.85,2020-11-20T05:00:00Z,19279,0.858653
0.95,0.95,0.95,1,0.95,2020-11-23T05:00:00Z,1600,0.95
0.92,0.92,0.92,7,0.92,2020-11-24T05:00:00Z,520,0.92
0.95,0.975,0.9,31,0.9099,2020-11-25T05:00:00Z,13514,0.9355
0.88,1.26,0.88,116,0.9695,2020-11-27T05:00:00Z,9652,1.047954
0.9,0.9,0.9,1,0.9,2020-11-30T05:00:00Z,1900,0.9
0.85,1.05,0.85,37,1.05,2020-12-01T05:00:00Z,21646,0.938113
0.94,0.95,0.85,22,0.85,2020-12-02T05:00:00Z,3989,0.934961
1.01,1.04,0.9,97,0.94,2020-12-03T05:00:00Z,17066,0.982804
1.15,1.15,1.06,73,1.1,2020-12-04T05:00:00Z,19652,1.143204
1.2999,1.4,1.1219,139,1.1219,2020-12-07T05:00:00Z,57352,1.263235
1.11,1.3,1.09,62,1.09,2020-12-08T05:00:00Z,21685,1.198419
1.12,1.29,1.12,43,1.29,2020-12-09T05:00:00Z,9450,1.162933
1.12,1.3,1.0502,41,1.0502,2020-12-10T05:00:00Z,9801,1.221689
1.2,1.65,1.05,205,1.1,2020-12-11T05:00:00Z,34564,1.224394
1.2684,1.74,1.16,101,1.25,2020-12-14T05:00:00Z,29793,1.273015
1.29,1.39,1.19,134,1.21,2020-12-15T05:00:00Z,14050,1.255582
1.3,1.3,1.2,134,1.2,2020-12-16T05:00:00Z,49866,1.299067
1.18,1.45,1.17,27,1.45,2020-12-17T05:00:00Z,7640,1.201247
1.15,1.19,1.12,133,1.12,2020-12-18T05:00:00Z,44284,1.173416
1.11,1.2501,1.1,56,1.25,2020-12-21T05:00:00Z,18890,1.143961
1.14,1.3511,1.14,90,1.3511,2020-12-22T05:00:00Z,50179,1.220484
1.305,1.4,1.25,74,1.25,2020-12-23T05:00:00Z,84170,1.337824
1.39,1.39,1.2,81,1.24,2020-12-24T05:00:00Z,13401,1.282844
1.52,1.6001,1.45,194,1.53,2020-12-28T05:00:00Z,116425,1.53703
1.46,1.5,1.22,344,1.5,2020-12-29T05:00:00Z,62080,1.467093
1.37,1.45,1.31,119,1.45,2020-12-30T05:00:00Z,44061,1.348941
1.485,1.485,1.35,139,1.37,2020-12-31T05:00:00Z,47135,1.396161
1.65,1.7136,1.4001,240,1.6498,2021-01-04T05:00:00Z,44883,1.583606
1.64,1.79,1.41,327,1.61,2021-01-05T05:00:00Z,68522,1.599306
1.81,1.83,1.41,237,1.76,2021-01-06T05:00:00Z,25235,1.741218
1.75,1.94,1.7,460,1.94,2021-01-07T05:00:00Z,32295,1.754609
1.74,1.8314,1.73,191,1.77,2021-01-08T05:00:00Z,22542,1.742924
1.71,1.95,1.71,56,1.75,2021-01-11T05:00:00Z,13673,1.814199
1.6999,1.81,1.46,255,1.74,2021-01-12T05:00:00Z,86674,1.652077
1.7,1.85,1.635,123,1.75,2021-01-13T05:00:00Z,34104,1.718648
1.62,1.67,1.54,254,1.67,2021-01-14T05:00:00Z,83903,1.658798
1.65,1.6722,1.51,183,1.62,2021-01-15T05:00:00Z,167105,1.559026
1.6,1.63,1.51,155,1.57,2021-01-19T05:00:00Z,56684,1.560488
1.48,1.59,1.41,127,1.55,2021-01-20T05:00:00Z,52036,1.513234
1.555,1.6,1.498,133,1.51,2021-01-21T05:00:00Z,83319,1.537546
1.65,1.7,1.52,125,1.5291,2021-01-22T05:00:00Z,59075,1.592283
1.57,1.75,1.56,104,1.57,2021-01-25T05:00:00Z,28048,1.659982
1.9,2.0001,1.53,1204,1.7,2021-01-26T05:00:00Z,434504,1.868901
1.42,1.9,1.38,444,1.9,2021-01-27T05:00:00Z,149838,1.615571
1.44,1.56,1.34,118,1.5,2021-01-28T05:00:00Z,54933,1.471982
1.48,1.52,1.43,85,1.43,2021-01-29T05:00:00Z,21044,1.458652
1.7392,1.75,1.5,274,1.6,2021-02-01T05:00:00Z,178131,1.667658
1.73,1.9,1.71,160,1.8,2021-02-02T05:00:00Z,67138,1.779442
1.85,1.85,1.69,304,1.72,2021-02-03T05:00:00Z,95178,1.755826
1.88,1.88,1.7899,115,1.8499,2021-02-04T05:00:00Z,44633,1.833798
1.82,1.9,1.8,68,1.84,2021-02-05T05:00:00Z,21167,1.836514
1.76,1.8399,1.75,249,1.8,2021-02-08T05:00:00Z,56010,1.805617
1.78,1.81,1.71,137,1.8,2021-02-09T05:00:00Z,73985,1.759557
1.8,1.87,1.77,98,1.87,2021-02-10T05:00:00Z,44093,1.787313
1.76,1.8,1.76,78,1.8,2021-02-11T05:00:00Z,32070,1.773569
1.745,1.8,1.66,210,1.7401,2021-02-12T05:00:00Z,92900,1.730435
1.66,1.8,1.41,324,1.78,2021-02-16T05:00:00Z,105214,1.649219
1.72,1.75,1.6,77,1.6,2021-02-17T05:00:00Z,43765,1.706519
1.8,1.8,1.67,159,1.67,2021-02-18T05:00:00Z,97976,1.762659
1.78,1.835,1.71,259,1.79,2021-02-19T05:00:00Z,83480,1.781402
1.82,1.89,1.77,101,1.89,2021-02-22T05:00:00Z,65532,1.819334
1.61,1.82,1.61,335,1.82,2021-02-23T05:00:00Z,99943,1.663555
1.69,1.71,1.625,130,1.7058,2021-02-24T05:00:00Z,40154,1.694902
1.5323,1.7,1.405,299,1.692,2021-02-25T05:00:00Z,67551,1.505095
1.33,1.54,1.14,266,1.54,2021-02-26T05:00:00Z,89573,1.335969
1.53,1.54,1.3737,84,1.4,2021-03-01T05:00:00Z,43244,1.463234
1.52,1.55,1.25,136,1.55,2021-03-02T05:00:00Z,77395,1.501297
1.37,1.4,1.1494,196,1.4,2021-03-03T05:00:00Z,68382,1.331084
1.23,1.35,1.01,239,1.35,2021-03-04T05:00:00Z,102587,1.150025
1.09,1.2299,1.0,198,1.2299,2021-03-05T05:00:00Z,72682,1.11326
1.44,1.7499,1.385,2797,1.52,2021-03-08T05:00:00Z,1159043,1.503467
1.97,1.98,1.55,2415,1.7,2021-03-09T05:00:00Z,832989,1.805326
1.945,2.0,1.78,1124,2.0,2021-03-10T05:00:00Z,373656,1.882936
1.9785,2.0,1.85,368,1.9894,2021-03-11T05:00:00Z,227905,1.966899
2.0501,2.18,1.97,172,1.98,2021-03-12T05:00:00Z,105118,2.003652
2.1101,2.29,2.07,430,2.25,2021-03-15T04:00:00Z,207344,2.118258
1.94,2.28,1.93,497,2.2,2021-03-16T04:00:00Z,158630,2.101482
2.06,2.23,1.8,764,2.23,2021-03-17T04:00:00Z,567846,1.973775
2.18,2.46,2.1,576,2.2,2021-03-18T04:00:00Z,200527,2.246483
2.2,2.36,2.1,183,2.29,2021-03-19T04:00:00Z,48191,2.245382
2.1,2.34,2.0705,303,2.34,2021-03-22T04:00:00Z,84887,2.163024
1.99,2.75,1.95,349,2.75,2021-03-23T04:00:00Z,119122,2.198571
1.82,2.0665,1.81,227,2.0665,2021-03-24T04:00:00Z,60688,1.897724
1.725,1.8,1.4824,435,1.79,2021-03-25T04:00:00Z,179762,1.63177
1.5901,1.74,1.53,313,1.69,2021-03-26T04:00:00Z,56433,1.631008
1.7,1.76,1.64,63,1.76,2021-03-29T04:00:00Z,23470,1.712799
1.66,1.99,1.65,68,1.99,2021-03-30T04:00:00Z,55162,1.672012
1.66,1.68,1.63,64,1.68,2021-03-31T04:00:00Z,18366,1.653406
1.5225,1.73,1.46,332,1.72,2021-04-01T04:00:00Z,119733,1.534853
1.58,1.99,1.58,137,1.99,2021-04-05T04:00:00Z,39245,1.643419
1.47,1.57,1.45,192,1.55,2021-04-06T04:00:00Z,78268,1.505063
1.44,1.4899,1.4201,35,1.475,2021-04-07T04:00:00Z,8902,1.457417
1.44,1.68,1.3999,203,1.68,2021-04-08T04:00:00Z,72356,1.454168
1.39,1.5,1.37,97,1.42,2021-04-09T04:00:00Z,33622,1.431139
1.38,1.41,1.3,104,1.4,2021-04-12T04:00:00Z,70995,1.349387
1.31,1.35,1.07,319,1.26,2021-04-13T04:00:00Z,116114,1.206485
1.29,1.34,1.25,146,1.3101,2021-04-14T04:00:00Z,36422,1.305938
1.12,1.41,1.0,704,1.36,2021-04-15T04:00:00Z,325771,1.187792
1.08,1.17,1.02,135,1.02,2021-04-16T04:00:00Z,87467,1.101012
1.15,1.17,1.075,751,1.1,2021-04-19T04:00:00Z,159039,1.124971
1.21,1.2499,1.06,167,1.19,2021-04-20T04:00:00Z,25501,1.174205
1.2,1.25,0.94,259,1.1411,2021-04-21T04:00:00Z,141503,1.063054
1.29,1.3799,1.1,195,1.26,2021-04-22T04:00:00Z,73329,1.229853
1.35,1.35,1.16,111,1.2899,2021-04-23T04:00:00Z,24431,1.230984
1.42,1.43,1.25,178,1.2999,2021-04-26T04:00:00Z,63710,1.292912
1.37,1.7,1.37,158,1.7,2021-04-27T04:00:00Z,35898,1.547378
1.55,1.675,1.29,155,1.4,2021-04-28T04:00:00Z,28466,1.534558
1.6,1.63,1.3101,39,1.33,2021-04-29T04:00:00Z,5545,1.509508
1.5,1.58,1.38,52,1.38,2021-04-30T04:00:00Z,19124,1.439038
1.59,1.62,1.5,145,1.52,2021-05-03T04:00:00Z,24702,1.565802
1.59,1.6801,1.4601,156,1.65,2021-05-04T04:00:00Z,48514,1.577458
1.6,1.65,1.51,150,1.6,2021-05-05T04:00:00Z,197476,1.593123
1.6,1.625,1.5,93,1.625,2021-05-06T04:00:00Z,36510,1.589747
1.6,1.69,1.52,90,1.55,2021-05-07T04:00:00Z,21222,1.597788
1.55,1.6,1.5,192,1.6,2021-05-10T04:00:00Z,53415,1.546716
1.55,1.55,1.35,71,1.35,2021-05-11T04:00:00Z,135279,1.480611
1.536,1.55,1.5,171,1.5,2021-05-12T04:00:00Z,37855,1.523591
1.51,1.55,1.42,108,1.55,2021-05-13T04:00:00Z,31165,1.472515
1.59,1.6,1.51,60,1.51,2021-05-14T04:00:00Z,67689,1.567587
1.5401,1.6601,1.54,45,1.58,2021-05-17T04:00:00Z,35269,1.616032
1.6,1.6,1.5101,132,1.59,2021-05-18T04:00:00Z,80185,1.594368
1.62,1.65,1.585,309,1.625,2021-05-19T04:00:00Z,76883,1.617687
1.6,1.6,1.5001,22,1.51,2021-05-20T04:00:00Z,3466,1.575882
1.55,1.65,1.55,23,1.65,2021-05-21T04:00:00Z,11730,1.613206
1.7,1.7,1.5001,21,1.64,2021-05-24T04:00:00Z,4837,1.660424
1.655,1.7,1.5,31,1.7,2021-05-25T04:00:00Z,7298,1.635163
1.695,1.695,1.6301,8,1.6301,2021-05-26T04:00:00Z,1217,1.657855
1.69,1.69,1.51,29,1.64,2021-05-27T04:00:00Z,13621,1.652654
1.7,1.74,1.5,42,1.52,2021-05-28T04:00:00Z,30353,1.656915
1.66,1.75,1.62,163,1.64,2021-06-01T04:00:00Z,23356,1.660438
1.65,1.77,1.55,1559,1.77,2021-06-02T04:00:00Z,179601,1.647854
1.65,1.7,1.6201,246,1.6201,2021-06-03T04:00:00Z,50629,1.654143
1.69,1.7,1.6306,249,1.69,2021-06-04T04:00:00Z,59954,1.687947
1.72,1.74,1.62,390,1.62,2021-06-07T04:00:00Z,107414,1.666566
1.7544,1.7544,1.63,368,1.64,2021-06-08T04:00:00Z,112528,1.70725
1.78,1.79,1.63,321,1.69,2021-06-09T04:00:00Z,153605,1.750631
1.8,1.8,1.74,90,1.7504,2021-06-10T04:00:00Z,31782,1.778447
1.82,1.9,1.8,32,1.8601,2021-06-11T04:00:00Z,5592,1.864165
1.82,1.83,1.785,88,1.83,2021-06-14T04:00:00Z,3720,1.820833
1.76,1.79,1.7101,1222,1.75,2021-06-15T04:00:00Z,114944,1.75835
1.73,1.81,1.61,912,1.72,2021-06-16T04:00:00Z,117721,1.713684
1.73,1.73,1.7,78,1.71,2021-06-17T04:00:00Z,5411,1.711923
1.73,1.83,1.71,20,1.83,2021-06-18T04:00:00Z,8730,1.820274
1.775,1.775,1.7175,13,1.7175,2021-06-21T04:00:00Z,2773,1.741938
1.6501,1.77,1.6401,25,1.755,2021-06-22T04:00:00Z,13594,1.692444
1.7216,1.75,1.5401,24,1.5401,2021-06-23T04:00:00Z,9783,1.710665
1.65,1.72,1.6046,12,1.72,2021-06-24T04:00:00Z,2811,1.643305
1.735,1.79,1.7,86,1.75,2021-06-25T04:00:00Z,86050,1.743868
1.71,1.75,1.63,253,1.7,2021-06-28T04:00:00Z,46068,1.732483
1.75,1.78,1.67,192,1.78,2021-06-29T04:00:00Z,95151,1.739897
1.73,1.79,1.66,406,1.7699,2021-06-30T04:00:00Z,168199,1.739094
1.8,1.8,1.76,163,1.79,2021-07-01T04:00:00Z,24521,1.782883
1.92,1.93,1.74,134,1.9,2021-07-02T04:00:00Z,28223,1.895198
1.785,1.89,1.7,293,1.89,2021-07-06T04:00:00Z,57702,1.817408
1.82,1.82,1.74,80,1.75,2021-07-07T04:00:00Z,27720,1.794645
1.81,1.9,1.75,399,1.75,2021-07-08T04:00:00Z,153643,1.861618
1.81,1.86,1.8,204,1.86,2021-07-09T04:00:00Z,77813,1.851414
1.88,1.925,1.85,90,1.92,2021-07-12T04:00:00Z,32243,1.884132
1.78,1.93,1.73,248,1.93,2021-07-13T04:00:00Z,124974,1.760447
