c,h,l,n,o,t,v,vw
6.3899,6.7501,5.4,238,6.75,2022-07-06T04:00:00Z,26043,6.163672
7.0,7.2499,6.3,679,6.92,2022-07-07T04:00:00Z,82147,6.903039
6.3,7.0,6.1,576,7.0,2022-07-08T04:00:00Z,69153,6.391025
6.44,6.51,6.13,187,6.3,2022-07-11T04:00:00Z,14541,6.321981
6.2,6.4,5.6362,135,6.4,2022-07-12T04:00:00Z,25227,6.201328
6.0,6.19,5.6038,140,5.66,2022-07-13T04:00:00Z,14170,5.981412
5.635,6.15,5.63,920,5.84,2022-07-14T04:00:00Z,34199,5.836567
5.47,5.5,5.2084,264,5.5,2022-07-15T04:00:00Z,32443,5.455189
5.27,5.469,5.15,177,5.43,2022-07-18T04:00:00Z,16368,5.240647
4.8499,5.4799,4.5001,287,5.4,2022-07-19T04:00:00Z,27373,4.973228
4.75,5.0,4.61,235,4.61,2022-07-20T04:00:00Z,21203,4.778281
4.61,4.75,4.61,176,4.71,2022-07-21T04:00:00Z,17225,4.66205
4.5,4.6924,4.05,292,4.61,2022-07-22T04:00:00Z,25324,4.422765
4.11,4.4,4.01,263,4.4,2022-07-25T04:00:00Z,30735,4.109481
4.56,5.1,4.01,192,4.01,2022-07-26T04:00:00Z,26946,4.28505
4.67,4.83,4.09,763,4.31,2022-07-27T04:00:00Z,127876,4.465136
4.82,4.99,4.5,648,4.58,2022-07-28T04:00:00Z,57864,4.707456
5.31,5.54,4.5001,539,4.68,2022-07-29T04:00:00Z,50276,4.973892
5.46,5.5692,5.0,1285,5.32,2022-08-01T04:00:00Z,99274,5.282468
6.07,6.3,4.93,859,5.47,2022-08-02T04:00:00Z,80233,5.735537
5.8711,6.05,5.605,385,6.05,2022-08-03T04:00:00Z,28277,5.827296
5.8047,5.84,5.3,312,5.74,2022-08-04T04:00:00Z,50212,5.517905
5.31,5.8399,5.3001,250,5.43,2022-08-05T04:00:00Z,21030,5.441088
5.12,5.48,5.12,125,5.48,2022-08-08T04:00:00Z,7564,5.260085
5.18,5.27,5.075,141,5.27,2022-08-09T04:00:00Z,10457,5.165526
5.24,5.74,5.2,143,5.35,2022-08-10T04:00:00Z,21537,5.345898
5.59,5.68,5.2701,212,5.43,2022-08-11T04:00:00Z,29362,5.458557
5.5,5.7,5.1763,346,5.7,2022-08-12T04:00:00Z,40564,5.45854
5.0,5.52,4.85,384,5.34,2022-08-15T04:00:00Z,41611,5.220489
4.73,5.15,4.45,585,5.15,2022-08-16T04:00:00Z,67621,4.759372
4.59,5.09,4.445,195,4.64,2022-08-17T04:00:00Z,13068,4.581475
4.8,4.8,4.435,135,4.63,2022-08-18T04:00:00Z,11266,4.563043
4.42,4.8,4.3,229,4.8,2022-08-19T04:00:00Z,35211,4.447431
4.65,4.72,4.385,296,4.42,2022-08-22T04:00:00Z,33278,4.539778
4.3502,4.675,4.191,213,4.65,2022-08-23T04:00:00Z,19274,4.431567
4.48,4.52,4.08,210,4.52,2022-08-24T04:00:00Z,17626,4.338347
4.45,4.5576,4.36,165,4.52,2022-08-25T04:00:00Z,6942,4.421689
4.41,4.59,4.29,281,4.48,2022-08-26T04:00:00Z,27220,4.431399
4.21,4.38,4.08,167,4.38,2022-08-29T04:00:00Z,14291,4.22582
3.756,4.43,3.63,255,4.04,2022-08-30T04:00:00Z,20812,3.926662
3.87,3.9299,3.6532,133,3.9,2022-08-31T04:00:00Z,14270,3.781828
3.72,3.83,3.37,426,3.765,2022-09-01T04:00:00Z,38260,3.649275
4.15,4.3,3.62,572,3.62,2022-09-02T04:00:00Z,44270,4.097733
4.97,5.0,4.215,1061,4.25,2022-09-06T04:00:00Z,95506,4.759051
5.1,5.4,4.95,1077,4.95,2022-09-07T04:00:00Z,67152,5.107448
5.38,5.38,4.98,1007,5.06,2022-09-08T04:00:00Z,52336,5.276435
5.21,5.38,4.8,912,5.24,2022-09-09T04:00:00Z,58176,5.24406
5.2,5.57,4.965,992,5.25,2022-09-12T04:00:00Z,89549,5.383462
5.07,5.3,4.8992,1054,5.25,2022-09-13T04:00:00Z,85523,5.082194
5.07,5.2,4.96,1087,5.07,2022-09-14T04:00:00Z,167235,5.074476
5.15,5.25,4.83,1043,5.07,2022-09-15T04:00:00Z,167842,5.088831
4.9,5.11,4.75,835,5.05,2022-09-16T04:00:00Z,723033,4.906492
4.97,5.0,4.71,426,4.71,2022-09-19T04:00:00Z,162439,4.947398
5.02,5.09,4.75,406,4.75,2022-09-20T04:00:00Z,148879,5.014008
5.07,5.08,4.84,284,4.84,2022-09-21T04:00:00Z,21193,4.981038
4.74,5.2,4.635,346,4.99,2022-09-22T04:00:00Z,19543,4.737381
4.45,4.59,4.3693,347,4.59,2022-09-23T04:00:00Z,27739,4.465811
4.49,4.49,4.2561,290,4.38,2022-09-26T04:00:00Z,26092,4.398281
4.78,4.78,4.3,356,4.5,2022-09-27T04:00:00Z,31095,4.487212
4.55,4.65,4.5094,221,4.55,2022-09-28T04:00:00Z,19283,4.551222
4.52,4.65,4.3624,216,4.41,2022-09-29T04:00:00Z,19706,4.524952
4.66,4.66,4.405,300,4.405,2022-09-30T04:00:00Z,26486,4.561524
4.54,4.54,4.2701,338,4.51,2022-10-03T04:00:00Z,16066,4.472485
4.5,4.59,4.4,913,4.5,2022-10-04T04:00:00Z,28218,4.49357
4.23,4.55,4.17,702,4.4,2022-10-05T04:00:00Z,33991,4.31421
4.15,4.26,4.1,123,4.2,2022-10-06T04:00:00Z,11120,4.165688
4.0697,4.21,3.71,329,4.21,2022-10-07T04:00:00Z,30550,3.976915
4.03,4.19,3.914,170,4.19,2022-10-10T04:00:00Z,11932,3.960419
3.6,4.03,3.6,326,3.95,2022-10-11T04:00:00Z,24400,3.774759
3.2,3.73,3.13,363,3.6,2022-10-12T04:00:00Z,39328,3.388416
3.39,3.45,3.12,493,3.2,2022-10-13T04:00:00Z,55940,3.246087
3.35,3.5,3.29,177,3.3,2022-10-14T04:00:00Z,13186,3.371719
3.35,3.49,3.3,151,3.44,2022-10-17T04:00:00Z,9709,3.422067
3.31,3.4402,3.22,251,3.34,2022-10-18T04:00:00Z,28920,3.354313
3.56,3.56,3.22,311,3.31,2022-10-19T04:00:00Z,25648,3.43177
3.53,3.79,3.49,137,3.59,2022-10-20T04:00:00Z,16895,3.586075
3.53,3.7,3.4486,90,3.65,2022-10-21T04:00:00Z,9641,3.508751
3.1,3.677,3.02,432,3.53,2022-10-24T04:00:00Z,66294,3.338909
3.4491,3.51,3.2,218,3.2,2022-10-25T04:00:00Z,22547,3.398763
3.28,3.5,3.25,413,3.31,2022-10-26T04:00:00Z,37411,3.37055
3.4,3.4281,3.26,136,3.26,2022-10-27T04:00:00Z,17144,3.332377
3.43,3.54,3.2581,214,3.4223,2022-10-28T04:00:00Z,22829,3.439967
3.49,3.5,3.42,97,3.42,2022-10-31T04:00:00Z,18014,3.471385
3.43,3.511,3.42,87,3.48,2022-11-01T04:00:00Z,4577,3.469802
3.43,3.55,3.43,125,3.55,2022-11-02T04:00:00Z,4395,3.469934
3.48,3.55,3.4,338,3.42,2022-11-03T04:00:00Z,9912,3.471362
3.46,3.532,3.45,97,3.5,2022-11-04T04:00:00Z,9038,3.489758
3.4,3.49,3.3601,54,3.49,2022-11-07T05:00:00Z,9416,3.418032
3.293,3.44,3.2,255,3.44,2022-11-08T05:00:00Z,29372,3.286629
2.8856,3.29,2.8,270,3.29,2022-11-09T05:00:00Z,33997,2.992149
2.85,2.9619,2.82,95,2.95,2022-11-10T05:00:00Z,15584,2.879786
2.9649,3.1,2.8214,166,2.85,2022-11-11T05:00:00Z,18874,2.94014
2.7886,2.97,2.6818,149,2.97,2022-11-14T05:00:00Z,13338,2.775135
2.89,3.24,2.88,183,3.0907,2022-11-15T05:00:00Z,22411,3.029875
2.91,2.9957,2.84,114,2.84,2022-11-16T05:00:00Z,6913,2.916605
2.98,3.0,2.91,69,3.0,2022-11-17T05:00:00Z,8261,2.944792
2.9601,3.06,2.95,89,3.06,2022-11-18T05:00:00Z,10483,3.00131
2.7572,2.99,2.7,171,2.99,2022-11-21T05:00:00Z,22658,2.832925
2.56,2.76,2.47,278,2.75,2022-11-22T05:00:00Z,42332,2.588192
2.65,2.845,2.5175,210,2.57,2022-11-23T05:00:00Z,17430,2.670943
2.66,2.71,2.51,153,2.71,2022-11-25T05:00:00Z,21495,2.563086
2.85,2.93,2.73,157,2.8,2022-11-28T05:00:00Z,16781,2.842838
3.01,3.0481,2.8,148,2.8,2022-11-29T05:00:00Z,20240,2.925561
3.12,3.12,3.01,93,3.01,2022-11-30T05:00:00Z,12142,3.075925
3.17,3.2,3.01,103,3.01,2022-12-01T05:00:00Z,14451,3.140567
3.25,3.3,3.02,160,3.1013,2022-12-02T05:00:00Z,27880,3.211093
3.01,3.3,3.0,228,3.3,2022-12-05T05:00:00Z,9792,3.133164
3.0,3.075,2.905,103,3.0499,2022-12-06T05:00:00Z,20708,3.015437
2.79,2.98,2.7597,56,2.9798,2022-12-07T05:00:00Z,3542,2.872997
2.915,3.15,2.7,257,2.7,2022-12-08T05:00:00Z,15882,2.918924
2.825,2.9443,2.7651,75,2.7651,2022-12-09T05:00:00Z,6048,2.85451
2.5899,2.79,2.51,144,2.75,2022-12-12T05:00:00Z,22119,2.685994
2.46,2.54,2.26,126,2.5201,2022-12-13T05:00:00Z,8740,2.424111
2.55,2.565,2.44,60,2.45,2022-12-14T05:00:00Z,6971,2.48719
2.5,2.68,2.26,87,2.26,2022-12-15T05:00:00Z,6451,2.505773
2.61,2.6211,2.39,101,2.39,2022-12-16T05:00:00Z,19592,2.539807
2.4,2.544,2.3,86,2.5,2022-12-19T05:00:00Z,21257,2.440436
2.42,2.5099,2.28,80,2.33,2022-12-20T05:00:00Z,11913,2.355751
2.4,2.5,2.3,129,2.35,2022-12-21T05:00:00Z,14904,2.416419
2.24,2.43,2.24,141,2.36,2022-12-22T05:00:00Z,11823,2.343085
2.33,2.35,2.26,101,2.33,2022-12-23T05:00:00Z,6815,2.322328
2.11,2.3137,2.05,139,2.23,2022-12-27T05:00:00Z,20885,2.181694
2.0201,2.1,2.0027,198,2.01,2022-12-28T05:00:00Z,68079,2.056005
1.98,2.08,1.83,327,1.98,2022-12-29T05:00:00Z,65990,1.964987
2.13,2.14,1.7783,395,2.0,2022-12-30T05:00:00Z,83198,1.954006
2.28,2.32,2.22,96,2.28,2023-01-03T05:00:00Z,8092,2.262224
2.63,2.63,2.45,170,2.48,2023-01-04T05:00:00Z,15084,2.548913
2.66,2.697,2.52,81,2.52,2023-01-05T05:00:00Z,6117,2.648717
2.78,2.831,2.6701,95,2.74,2023-01-06T05:00:00Z,7953,2.773107
2.95,2.95,2.73,123,2.87,2023-01-09T05:00:00Z,11143,2.841984
2.79,3.28,2.67,413,2.99,2023-01-10T05:00:00Z,74834,3.037152
2.7275,2.8735,2.65,191,2.85,2023-01-11T05:00:00Z,12109,2.731092
2.6369,2.72,2.57,261,2.72,2023-01-12T05:00:00Z,27577,2.647036
2.41,2.554,2.38,135,2.54,2023-01-13T05:00:00Z,14216,2.467929
2.5649,2.63,2.5075,161,2.55,2023-01-17T05:00:00Z,18577,2.548422
2.7155,2.73,2.5607,128,2.73,2023-01-18T05:00:00Z,23525,2.631282
2.56,2.8,2.51,178,2.8,2023-01-19T05:00:00Z,10354,2.577905
2.59,2.6,2.53,57,2.56,2023-01-20T05:00:00Z,5545,2.552371
3.26,3.28,2.7,394,2.7,2023-01-23T05:00:00Z,48906,3.009274
3.4,3.4,3.22,147,3.27,2023-01-24T05:00:00Z,22007,3.325624
3.4,3.4,3.2717,97,3.4,2023-01-25T05:00:00Z,10753,3.365283
3.3299,3.44,3.2987,106,3.44,2023-01-26T05:00:00Z,8795,3.347269
3.44,3.4699,3.28,90,3.37,2023-01-27T05:00:00Z,5433,3.377481
3.31,3.5,3.3,143,3.5,2023-01-30T05:00:00Z,33651,3.4306
3.47,3.62,3.3,224,3.44,2023-01-31T05:00:00Z,20296,3.490989
3.75,3.85,3.47,273,3.5,2023-02-01T05:00:00Z,53476,3.666865
3.85,4.0755,3.79,251,3.84,2023-02-02T05:00:00Z,36734,3.933548
3.915,3.9999,3.8151,166,3.9,2023-02-03T05:00:00Z,15976,3.921617
3.88,4.09,3.6808,125,4.09,2023-02-06T05:00:00Z,36931,3.914601
3.815,3.94,3.7139,81,3.94,2023-02-07T05:00:00Z,17046,3.772021
3.7794,3.9,3.62,176,3.9,2023-02-08T05:00:00Z,19631,3.779634
3.57,3.8,3.5107,103,3.74,2023-02-09T05:00:00Z,7511,3.657316
3.4631,3.59,3.4,91,3.59,2023-02-10T05:00:00Z,13483,3.458118
3.405,3.54,3.405,93,3.54,2023-02-13T05:00:00Z,22355,3.441471
3.42,3.43,3.2501,83,3.41,2023-02-14T05:00:00Z,4256,3.369871
3.73,3.7498,3.3558,200,3.43,2023-02-15T05:00:00Z,32833,3.549253
3.9,3.94,3.655,195,3.79,2023-02-16T05:00:00Z,20600,3.794073
3.82,3.95,3.79,97,3.87,2023-02-17T05:00:00Z,9894,3.855166
3.71,3.9,3.58,209,3.88,2023-02-21T05:00:00Z,10781,3.740301
3.42,3.61,3.42,151,3.58,2023-02-22T05:00:00Z,12102,3.493047
3.6825,3.74,3.4493,289,3.49,2023-02-23T05:00:00Z,36937,3.586488
3.52,3.68,3.5,98,3.68,2023-02-24T05:00:00Z,17565,3.566375
3.61,3.6599,3.5,107,3.5,2023-02-27T05:00:00Z,8993,3.570759
3.65,3.65,3.53,130,3.58,2023-02-28T05:00:00Z,6960,3.581533
3.62,3.6707,3.4901,99,3.4901,2023-03-01T05:00:00Z,8773,3.601265
3.59,3.66,3.59,64,3.6124,2023-03-02T05:00:00Z,5475,3.619775
3.63,3.65,3.5,119,3.57,2023-03-03T05:00:00Z,8959,3.560186
3.64,3.69,3.635,99,3.67,2023-03-06T05:00:00Z,5986,3.660776
