c,h,l,n,o,t,v,vw
48.0,48.2,46.1,950,46.7,2016-01-04T05:00:00Z,21117,47.26
44.8,48.2,44.1,1469,47.9,2016-01-05T05:00:00Z,31355,45.41
41.3,44.9,40.5,1629,43.8,2016-01-06T05:00:00Z,38077,41.96
43.3,45.1,41.5,4376,41.8,2016-01-07T05:00:00Z,119830,43.35
39.6,43.8,39.0,1970,42.7,2016-01-08T05:00:00Z,43062,40.78
39.1,42.7,38.5,1109,40.6,2016-01-11T05:00:00Z,20872,39.54
37.4,40.5,36.7,1006,39.7,2016-01-12T05:00:00Z,22541,38.23
35.5,38.17,35.2,1135,37.5,2016-01-13T05:00:00Z,21245,36.23
35.0,36.7,34.25,1012,35.8,2016-01-14T05:00:00Z,25698,35.23
34.6,35.4,33.43,1046,34.5,2016-01-15T05:00:00Z,20785,34.39
34.9,35.3,33.55,1693,35.3,2016-01-19T05:00:00Z,27374,34.13
36.5,37.0,33.6,1249,34.3,2016-01-20T05:00:00Z,19809,35.1
34.8,37.9,34.15,1215,35.1,2016-01-21T05:00:00Z,24353,35.0
35.7,36.6,35.0,1010,35.3,2016-01-22T05:00:00Z,13964,35.85
35.8,37.1,34.7,661,35.2,2016-01-25T05:00:00Z,12914,35.62
37.2,37.5,34.5,801,35.8,2016-01-26T05:00:00Z,17038,36.41
35.1,36.8,34.7,661,36.8,2016-01-27T05:00:00Z,13373,35.46
34.5,35.5,34.2,812,35.1,2016-01-28T05:00:00Z,18118,34.54
34.1,35.0,33.7,685,34.3,2016-01-29T05:00:00Z,15262,34.26
35.1,35.3,32.9,952,33.7,2016-02-01T05:00:00Z,13601,34.43
34.0,35.3,33.7,293,33.9,2016-02-02T05:00:00Z,4326,34.28
33.4,34.4,33.2,426,33.8,2016-02-03T05:00:00Z,7481,33.49
34.4,34.8,33.4,385,33.5,2016-02-04T05:00:00Z,4895,34.13
33.8,34.9,32.71,315,34.4,2016-02-05T05:00:00Z,5283,33.49
32.0,33.8,31.0,537,33.8,2016-02-08T05:00:00Z,12440,31.95
30.4,31.6,28.0,1167,31.5,2016-02-09T05:00:00Z,49942,30.06
29.6,33.6,29.0,750,30.3,2016-02-10T05:00:00Z,13524,29.85
28.2,29.8,27.5,1295,29.5,2016-02-11T05:00:00Z,20737,28.39
28.6,29.2,26.5,1056,28.6,2016-02-12T05:00:00Z,19985,28.08
28.1,29.5,27.5,1330,28.6,2016-02-16T05:00:00Z,22245,28.17
28.0,29.1,26.9,1403,28.6,2016-02-17T05:00:00Z,24340,28.02
29.0,29.1,26.5,581,27.8,2016-02-18T05:00:00Z,10302,28.6
29.6,30.1,26.5,528,28.6,2016-02-19T05:00:00Z,9944,29.5
28.0,29.5,27.9,726,29.5,2016-02-22T05:00:00Z,9756,28.51
28.0,28.6,27.2,751,28.3,2016-02-23T05:00:00Z,14028,27.96
27.8,29.4,27.0,668,27.5,2016-02-24T05:00:00Z,11212,27.39
27.4,28.0,26.9,689,27.5,2016-02-25T05:00:00Z,8699,27.24
27.7,28.75,27.2,424,27.3,2016-02-26T05:00:00Z,7198,27.87
27.1,29.0,27.0,752,27.5,2016-02-29T05:00:00Z,11547,27.41
27.5,27.6,26.6,488,27.1,2016-03-01T05:00:00Z,6385,27.11
28.7,29.1,26.6,801,27.2,2016-03-02T05:00:00Z,24215,27.96
27.9,29.2,27.9,421,28.8,2016-03-03T05:00:00Z,6827,28.48
29.3,31.3,27.7,684,28.1,2016-03-04T05:00:00Z,14838,29.63
31.3,32.2,29.4,534,29.4,2016-03-07T05:00:00Z,10581,31.02
29.0,31.13,29.0,476,30.3,2016-03-08T05:00:00Z,9795,30.04
28.8,29.1,28.5,212,28.8,2016-03-09T05:00:00Z,3015,28.84
28.3,29.1,28.0,295,28.8,2016-03-10T05:00:00Z,4341,28.45
29.1,29.5,28.0,174,28.3,2016-03-11T05:00:00Z,3696,28.89
28.4,30.3,28.4,390,28.7,2016-03-14T04:00:00Z,5936,29.28
27.0,29.9,26.8,664,28.0,2016-03-15T04:00:00Z,11734,27.74
27.1,28.25,26.8,237,27.2,2016-03-16T04:00:00Z,4973,27.08
25.0,27.28,23.7,1039,26.9,2016-03-17T04:00:00Z,26534,25.36
26.1,26.4,25.0,501,25.1,2016-03-18T04:00:00Z,13131,25.94
26.6,27.3,25.9,379,26.3,2016-03-21T04:00:00Z,7868,26.76
29.5,29.7,26.7,442,26.7,2016-03-22T04:00:00Z,11532,28.16
26.9,29.6,26.4,306,29.2,2016-03-23T04:00:00Z,4135,27.7
27.1,27.8,26.3,137,26.5,2016-03-24T04:00:00Z,1775,26.79
26.7,27.1,25.48,316,27.1,2016-03-28T04:00:00Z,6143,26.41
27.6,27.95,26.25,157,26.5,2016-03-29T04:00:00Z,2910,27.23
26.4,27.8,26.4,385,27.7,2016-03-30T04:00:00Z,8964,26.75
26.8,28.4,26.4,698,26.4,2016-03-31T04:00:00Z,10194,27.33
27.9,28.6,26.4,383,26.4,2016-04-01T04:00:00Z,8310,28.01
29.6,30.4,27.5,431,27.6,2016-04-04T04:00:00Z,9721,29.45
30.0,31.2,29.3,479,29.7,2016-04-05T04:00:00Z,22330,29.85
30.2,31.96,29.8,476,30.0,2016-04-06T04:00:00Z,13079,30.46
29.9,30.7,29.5,589,30.4,2016-04-07T04:00:00Z,7213,30.2
29.5,30.2,29.2,450,29.9,2016-04-08T04:00:00Z,6247,29.7
28.1,30.1,27.7,460,29.4,2016-04-11T04:00:00Z,14342,29.04
28.9,29.3,28.1,152,28.6,2016-04-12T04:00:00Z,1906,28.78
28.7,30.0,28.01,353,28.9,2016-04-13T04:00:00Z,7295,29.48
30.2,30.6,29.0,495,29.0,2016-04-14T04:00:00Z,9142,30.04
29.6,30.2,29.2,200,29.8,2016-04-15T04:00:00Z,3120,29.79
30.6,30.9,29.1,288,29.2,2016-04-18T04:00:00Z,5390,30.31
32.5,34.1,30.63,447,30.8,2016-04-19T04:00:00Z,16045,32.24
31.04,33.4,31.0,169,32.2,2016-04-20T04:00:00Z,3005,32.31
32.4,35.01,31.1,949,31.8,2016-04-21T04:00:00Z,29474,33.28
31.5,34.7,31.5,697,32.8,2016-04-22T04:00:00Z,17532,33.02
31.7,33.4,31.7,389,32.0,2016-04-25T04:00:00Z,7305,32.23
30.2,32.0,29.6,637,31.7,2016-04-26T04:00:00Z,13625,30.84
30.2,31.2,29.7,233,29.8,2016-04-27T04:00:00Z,5611,30.05
30.2,31.12,30.2,266,30.3,2016-04-28T04:00:00Z,2834,30.44
28.7,30.4,28.6,285,30.35,2016-04-29T04:00:00Z,5685,29.2
29.4,30.2,29.3,343,29.7,2016-05-02T04:00:00Z,5812,29.6
29.9,30.0,29.1,224,29.5,2016-05-03T04:00:00Z,3594,29.49
28.5,31.0,28.4,365,29.5,2016-05-04T04:00:00Z,8373,29.28
28.6,29.4,26.9,393,28.7,2016-05-05T04:00:00Z,17687,28.16
28.7,29.1,27.2,321,27.2,2016-05-06T04:00:00Z,8951,28.54
29.9,31.16,28.7,273,28.7,2016-05-09T04:00:00Z,6687,29.84
29.7,30.5,28.8,422,30.0,2016-05-10T04:00:00Z,4978,29.71
29.6,30.4,28.9,261,29.3,2016-05-11T04:00:00Z,3683,29.51
27.9,29.3,27.9,389,29.1,2016-05-12T04:00:00Z,6228,28.35
27.5,28.65,26.9,392,28.0,2016-05-13T04:00:00Z,7877,27.58
27.7,27.9,27.1,210,27.5,2016-05-16T04:00:00Z,3380,27.56
27.7,28.3,27.3,247,27.6,2016-05-17T04:00:00Z,4086,27.69
28.3,30.4,27.5,180,27.5,2016-05-18T04:00:00Z,2098,28.21
28.1,29.8,27.6,185,28.4,2016-05-19T04:00:00Z,3503,27.87
28.6,29.8,27.9,207,27.9,2016-05-20T04:00:00Z,4512,28.58
29.5,29.9,28.1,294,28.5,2016-05-23T04:00:00Z,5809,28.76
30.4,30.6,29.4,230,29.7,2016-05-24T04:00:00Z,4372,29.85
30.0,30.6,29.7,227,30.11,2016-05-25T04:00:00Z,5040,30.01
31.0,31.8,29.63,186,29.8,2016-05-26T04:00:00Z,4502,30.56
38.5,38.7,30.6,1723,30.6,2016-05-27T04:00:00Z,35721,35.84
35.0,38.4,35.0,471,38.4,2016-05-31T04:00:00Z,13714,36.06
35.2,37.95,34.9,397,35.0,2016-06-01T04:00:00Z,11509,35.88
36.4,36.8,34.6,195,34.6,2016-06-02T04:00:00Z,3954,36.01
35.1,36.4,35.1,215,36.4,2016-06-03T04:00:00Z,3190,35.44
34.3,35.3,34.0,470,34.7,2016-06-06T04:00:00Z,12919,34.65
34.6,35.4,33.7,219,34.0,2016-06-07T04:00:00Z,6525,34.7
35.6,35.8,34.4,149,34.6,2016-06-08T04:00:00Z,3407,35.14
34.3,35.9,34.1,193,35.85,2016-06-09T04:00:00Z,4085,35.06
34.9,35.7,33.6,460,34.19,2016-06-10T04:00:00Z,7442,35.13
34.3,35.4,33.9,192,35.1,2016-06-13T04:00:00Z,3474,34.49
32.8,34.1,32.2,342,34.0,2016-06-14T04:00:00Z,7028,33.21
32.6,33.3,32.3,115,33.3,2016-06-15T04:00:00Z,2377,32.87
30.6,33.1,30.0,538,32.5,2016-06-16T04:00:00Z,10985,31.38
30.0,31.6,30.0,180,31.0,2016-06-17T04:00:00Z,6653,30.22
30.5,30.8,29.4,242,29.4,2016-06-20T04:00:00Z,4132,30.1
30.1,32.7,29.9,78,32.7,2016-06-21T04:00:00Z,1549,30.31
29.4,31.2,29.4,196,31.2,2016-06-22T04:00:00Z,2919,29.99
32.0,33.1,29.8,383,29.9,2016-06-23T04:00:00Z,6821,31.72
30.8,31.6,30.1,362,31.0,2016-06-24T04:00:00Z,8892,30.65
28.1,33.1,28.1,572,30.3,2016-06-27T04:00:00Z,9548,29.12
28.4,29.7,28.4,337,28.6,2016-06-28T04:00:00Z,6963,28.96
28.3,29.3,27.8,939,28.9,2016-06-29T04:00:00Z,11836,28.66
28.3,29.9,27.8,730,28.2,2016-06-30T04:00:00Z,13178,28.5
29.5,29.7,28.5,261,28.5,2016-07-01T04:00:00Z,4858,29.21
30.6,31.8,30.1,462,30.1,2016-07-05T04:00:00Z,12218,30.98
30.2,30.6,29.9,272,30.4,2016-07-06T04:00:00Z,4303,30.29
30.67,30.75,30.4,103,30.65,2016-07-07T04:00:00Z,1243,30.63
31.5,31.7,30.8,305,30.8,2016-07-08T04:00:00Z,6398,31.33
32.0,32.2,31.4,167,31.5,2016-07-11T04:00:00Z,3467,31.83
33.0,33.4,32.0,356,32.0,2016-07-12T04:00:00Z,5480,32.85
32.6,33.3,32.1,251,33.0,2016-07-13T04:00:00Z,4641,32.67
35.0,36.4,32.5,1657,32.5,2016-07-14T04:00:00Z,51066,34.94
34.3,35.51,33.3,592,34.8,2016-07-15T04:00:00Z,9344,34.18
33.1,33.9,32.44,250,33.8,2016-07-18T04:00:00Z,3219,33.19
33.3,34.7,33.2,135,33.4,2016-07-19T04:00:00Z,1693,33.39
35.0,35.0,33.22,294,33.6,2016-07-20T04:00:00Z,4748,34.34
34.9,35.9,34.3,190,35.3,2016-07-21T04:00:00Z,5788,34.8
34.9,34.9,34.7,42,34.7,2016-07-22T04:00:00Z,769,34.84
33.6,35.0,33.1,338,34.8,2016-07-25T04:00:00Z,6228,33.93
37.8,38.1,33.3,935,33.3,2016-07-26T04:00:00Z,25505,36.57
37.9,39.5,37.5,562,38.5,2016-07-27T04:00:00Z,14583,38.4
38.1,38.3,37.4,296,37.8,2016-07-28T04:00:00Z,4840,37.85
38.2,38.5,37.5,316,37.68,2016-07-29T04:00:00Z,6436,38.26
39.3,39.5,37.6,646,38.0,2016-08-01T04:00:00Z,11566,38.89
39.1,39.6,38.87,143,39.3,2016-08-02T04:00:00Z,3354,39.12
39.3,41.3,38.6,570,38.8,2016-08-03T04:00:00Z,11132,39.88
39.1,39.8,38.69,158,39.4,2016-08-04T04:00:00Z,2463,39.32
39.4,39.7,38.7,303,39.02,2016-08-05T04:00:00Z,5780,39.42
39.2,39.7,38.9,213,39.7,2016-08-08T04:00:00Z,3998,39.22
40.0,42.5,39.1,637,39.1,2016-08-09T04:00:00Z,13101,40.23
39.1,40.0,39.1,152,39.8,2016-08-10T04:00:00Z,2137,39.57
39.2,39.7,39.0,204,39.3,2016-08-11T04:00:00Z,2168,39.22
39.3,39.3,38.5,195,39.04,2016-08-12T04:00:00Z,4144,38.81
41.1,41.5,39.7,944,40.0,2016-08-15T04:00:00Z,27810,40.65
40.8,41.3,40.5,396,41.3,2016-08-16T04:00:00Z,6040,40.96
40.0,40.7,39.5,324,40.6,2016-08-17T04:00:00Z,4719,39.87
39.9,40.3,39.64,248,40.3,2016-08-18T04:00:00Z,4010,39.99
39.6,40.1,39.2,217,40.1,2016-08-19T04:00:00Z,3756,39.57
40.2,40.3,39.2,173,39.2,2016-08-22T04:00:00Z,3261,39.99
40.0,40.2,39.7,137,40.0,2016-08-23T04:00:00Z,3122,39.91
39.8,40.2,39.43,201,40.0,2016-08-24T04:00:00Z,4021,39.86
39.6,40.1,39.5,93,39.97,2016-08-25T04:00:00Z,1309,39.68
39.3,39.76,39.3,107,39.7,2016-08-26T04:00:00Z,4299,39.47
39.8,40.2,39.2,293,39.2,2016-08-29T04:00:00Z,5573,39.74
39.7,40.0,39.5,117,39.6,2016-08-30T04:00:00Z,2464,39.67
38.7,39.9,38.5,269,39.7,2016-08-31T04:00:00Z,5143,38.97
37.7,38.8,37.4,179,38.5,2016-09-01T04:00:00Z,3763,37.82
37.0,37.5,36.7,280,37.5,2016-09-02T04:00:00Z,6469,37.05
37.0,37.2,36.66,301,37.0,2016-09-06T04:00:00Z,3633,37.01
36.8,37.2,36.7,347,37.2,2016-09-07T04:00:00Z,6418,36.9
37.1,37.2,36.8,77,37.1,2016-09-08T04:00:00Z,1613,37.11
37.0,37.2,36.5,182,37.2,2016-09-09T04:00:00Z,2921,37.03
38.3,38.3,37.0,522,37.0,2016-09-12T04:00:00Z,11374,37.71
37.6,37.9,36.18,400,37.9,2016-09-13T04:00:00Z,8025,37.08
37.2,38.2,37.0,375,37.3,2016-09-14T04:00:00Z,6073,37.57
36.3,38.2,35.6,1160,37.0,2016-09-15T04:00:00Z,27768,36.91
35.5,36.2,35.3,301,36.2,2016-09-16T04:00:00Z,6704,35.84
34.7,35.2,34.4,687,35.2,2016-09-19T04:00:00Z,9379,34.83
34.65,35.1,34.5,374,34.7,2016-09-20T04:00:00Z,7501,34.84
33.9,34.75,33.5,307,34.6,2016-09-21T04:00:00Z,4779,34.02
32.8,34.0,32.7,527,33.5,2016-09-22T04:00:00Z,10348,33.06
32.2,32.9,31.9,284,32.7,2016-09-23T04:00:00Z,6418,32.35
31.7,31.9,31.1,230,31.9,2016-09-26T04:00:00Z,3889,31.59
32.3,32.69,31.1,582,31.2,2016-09-27T04:00:00Z,14264,32.2
32.5,32.78,32.2,238,32.5,2016-09-28T04:00:00Z,4729,32.55
31.8,33.0,31.8,175,32.6,2016-09-29T04:00:00Z,3795,32.33
30.1,32.0,30.0,1061,31.7,2016-09-30T04:00:00Z,18177,30.8
29.4,32.24,29.2,671,30.0,2016-10-03T04:00:00Z,16037,29.71
28.3,30.1,28.2,833,29.7,2016-10-04T04:00:00Z,14257,28.91
29.4,29.49,28.1,577,28.1,2016-10-05T04:00:00Z,10482,28.72
28.0,29.1,27.9,684,29.1,2016-10-06T04:00:00Z,10862,28.22
26.9,28.1,26.5,1093,27.6,2016-10-07T04:00:00Z,19847,27.26
23.9,26.77,23.8,1207,26.6,2016-10-10T04:00:00Z,29827,24.89
24.1,24.39,23.3,878,23.9,2016-10-11T04:00:00Z,19526,23.9
23.8,24.3,23.1,370,24.0,2016-10-12T04:00:00Z,6462,23.63
23.5,24.0,22.9,770,23.7,2016-10-13T04:00:00Z,20355,23.36
23.1,23.7,22.9,403,23.3,2016-10-14T04:00:00Z,9964,23.28
22.8,23.0,21.8,664,22.9,2016-10-17T04:00:00Z,20803,22.38
23.3,23.7,22.6,442,22.8,2016-10-18T04:00:00Z,11733,23.25
22.8,24.1,22.3,441,23.2,2016-10-19T04:00:00Z,11344,22.92
22.8,23.1,22.0,603,22.7,2016-10-20T04:00:00Z,12001,22.64
23.3,23.6,22.3,670,22.8,2016-10-21T04:00:00Z,14305,22.77
23.1,23.5,22.6,594,23.5,2016-10-24T04:00:00Z,12748,23.0
21.9,23.6,21.6,642,23.2,2016-10-25T04:00:00Z,27053,22.1
21.7,22.3,21.5,466,21.9,2016-10-26T04:00:00Z,9926,21.71
21.4,22.6,21.3,305,21.7,2016-10-27T04:00:00Z,5985,21.53
21.1,22.0,20.6,500,21.4,2016-10-28T04:00:00Z,12769,21.05
20.8,21.6,20.3,537,20.9,2016-10-31T04:00:00Z,11502,20.6
19.6,21.8,18.8,10076,20.8,2016-11-01T04:00:00Z,127342,19.83
19.1,20.7,18.1,9672,19.6,2016-11-02T04:00:00Z,137238,19.09
19.1,19.5,17.8,3276,19.3,2016-11-03T04:00:00Z,55334,18.69
19.6,20.9,19.2,1108,19.2,2016-11-04T04:00:00Z,18279,20.12
20.7,21.0,19.8,513,19.8,2016-11-07T05:00:00Z,10165,20.5
19.8,20.8,19.1,496,20.8,2016-11-08T05:00:00Z,9314,20.06
19.3,20.1,19.3,377,19.5,2016-11-09T05:00:00Z,8283,19.74
19.6,20.0,18.5,729,19.7,2016-11-10T05:00:00Z,12899,19.52
19.2,19.6,19.1,524,19.6,2016-11-11T05:00:00Z,11995,19.39
19.1,19.9,19.1,751,19.3,2016-11-14T05:00:00Z,23642,19.5
18.7,19.7,18.5,730,19.2,2016-11-15T05:00:00Z,16040,18.82
19.3,19.9,18.7,393,18.7,2016-11-16T05:00:00Z,9350,19.35
19.1,20.3,19.0,471,19.7,2016-11-17T05:00:00Z,13117,19.56
18.8,19.8,18.5,393,19.2,2016-11-18T05:00:00Z,9939,19.0
19.4,19.7,18.8,383,18.8,2016-11-21T05:00:00Z,8659,19.39
19.0,19.7,18.7,377,19.4,2016-11-22T05:00:00Z,8924,19.08
18.5,19.3,18.32,339,19.0,2016-11-23T05:00:00Z,12414,18.65
18.4,18.7,18.3,144,18.5,2016-11-25T05:00:00Z,5148,18.4
18.9,19.0,18.5,184,18.5,2016-11-28T05:00:00Z,5093,18.72
19.1,20.5,18.9,529,18.9,2016-11-29T05:00:00Z,16345,19.4
18.6,19.4,18.4,333,19.3,2016-11-30T05:00:00Z,8385,18.74
17.7,18.8,17.6,644,18.2,2016-12-01T05:00:00Z,14578,17.96
18.1,18.2,17.0,625,17.7,2016-12-02T05:00:00Z,19558,17.65
17.2,18.5,16.5,2489,18.0,2016-12-05T05:00:00Z,59913,17.27
17.2,17.5,16.7,1837,17.2,2016-12-06T05:00:00Z,50662,17.1
17.4,18.4,17.2,628,17.3,2016-12-07T05:00:00Z,9667,17.46
16.9,18.0,16.7,2592,17.2,2016-12-08T05:00:00Z,57572,17.31
17.4,17.9,16.7,533,16.9,2016-12-09T05:00:00Z,12594,17.34
17.0,17.9,16.9,443,17.5,2016-12-12T05:00:00Z,12161,17.24
15.6,17.5,15.0,4295,17.0,2016-12-13T05:00:00Z,82508,15.77
15.6,16.0,15.0,1776,15.6,2016-12-14T05:00:00Z,44524,15.64
16.0,16.7,15.5,2203,15.8,2016-12-15T05:00:00Z,57720,16.11
17.3,17.3,16.35,250,16.6,2016-12-16T05:00:00Z,10036,16.83
18.1,18.5,16.9,402,17.3,2016-12-19T05:00:00Z,13266,18.02
18.8,19.3,18.2,574,18.5,2016-12-20T05:00:00Z,14109,18.82
18.5,19.0,18.1,492,18.9,2016-12-21T05:00:00Z,9091,18.4
18.4,19.0,18.1,485,18.3,2016-12-22T05:00:00Z,9827,18.44
19.7,19.7,18.3,486,18.4,2016-12-23T05:00:00Z,11457,19.26
19.4,20.0,19.0,202,19.5,2016-12-27T05:00:00Z,7038,19.48
18.0,19.4,17.7,752,19.4,2016-12-28T05:00:00Z,18705,18.23
16.8,18.2,16.8,694,18.1,2016-12-29T05:00:00Z,19978,17.34
17.1,17.4,16.5,746,17.0,2016-12-30T05:00:00Z,28081,17.06
17.7,18.5,17.2,464,17.3,2017-01-03T05:00:00Z,11425,17.65
