c,h,l,n,o,t,v,vw
18.94,19.4,18.53,540,18.61,2016-01-04T05:00:00Z,75195,18.74
19.28,19.47,18.64,319,18.97,2016-01-05T05:00:00Z,25586,19.09
19.42,19.51,18.75,437,18.89,2016-01-06T05:00:00Z,39353,19.17
18.88,19.36,18.63,283,19.09,2016-01-07T05:00:00Z,39974,18.91
18.96,19.27,18.84,389,18.97,2016-01-08T05:00:00Z,30079,18.98
19.08,19.23,18.88,259,19.13,2016-01-11T05:00:00Z,22674,19.04
18.96,19.23,18.88,247,19.15,2016-01-12T05:00:00Z,31810,18.99
18.87,19.27,18.74,302,19.16,2016-01-13T05:00:00Z,29408,18.93
18.59,19.19,18.56,372,18.87,2016-01-14T05:00:00Z,40837,18.78
17.54,18.15,16.93,327,18.15,2016-01-15T05:00:00Z,40898,17.54
17.61,17.95,17.39,361,17.79,2016-01-19T05:00:00Z,31685,17.69
18.43,18.56,17.19,527,17.48,2016-01-20T05:00:00Z,63005,17.84
17.71,18.8,17.54,308,18.32,2016-01-21T05:00:00Z,33838,17.92
17.72,17.81,17.37,353,17.76,2016-01-22T05:00:00Z,30988,17.65
17.2,17.88,17.18,424,17.67,2016-01-25T05:00:00Z,31513,17.49
17.48,18.1,17.38,477,17.42,2016-01-26T05:00:00Z,29627,17.53
17.38,17.93,17.23,355,17.47,2016-01-27T05:00:00Z,34071,17.59
17.77,18.21,17.3,315,17.43,2016-01-28T05:00:00Z,26087,17.75
18.14,18.63,17.47,608,18.16,2016-01-29T05:00:00Z,69615,17.94
17.65,18.15,17.64,264,17.95,2016-02-01T05:00:00Z,27928,17.79
17.37,17.74,16.82,376,17.57,2016-02-02T05:00:00Z,41731,17.38
17.03,17.41,16.1,333,17.35,2016-02-03T05:00:00Z,40469,17.09
17.22,17.35,16.9,268,17.16,2016-02-04T05:00:00Z,24452,17.13
16.91,17.55,16.82,302,17.06,2016-02-05T05:00:00Z,40219,17.02
17.05,17.16,16.63,288,16.86,2016-02-08T05:00:00Z,23428,16.99
17.02,17.18,16.77,133,16.96,2016-02-09T05:00:00Z,12610,16.99
16.74,17.48,16.62,220,17.25,2016-02-10T05:00:00Z,18954,16.9
16.3,17.21,16.08,279,17.13,2016-02-11T05:00:00Z,23158,16.44
16.88,17.06,15.96,302,16.47,2016-02-12T05:00:00Z,28471,16.65
17.22,17.34,16.79,214,16.99,2016-02-16T05:00:00Z,20866,17.11
17.0,17.43,16.87,286,17.21,2016-02-17T05:00:00Z,26109,17.08
16.71,17.27,15.94,269,17.04,2016-02-18T05:00:00Z,20145,16.84
17.25,17.54,16.71,313,16.71,2016-02-19T05:00:00Z,26404,17.13
17.16,17.7,17.03,267,17.49,2016-02-22T05:00:00Z,24379,17.25
16.91,17.45,16.82,395,17.18,2016-02-23T05:00:00Z,34413,17.02
17.24,17.77,16.75,326,17.46,2016-02-24T05:00:00Z,25219,17.12
17.11,17.65,16.95,171,17.65,2016-02-25T05:00:00Z,13058,17.11
17.17,17.32,16.94,185,17.06,2016-02-26T05:00:00Z,12683,17.15
16.77,17.32,16.69,334,17.05,2016-02-29T05:00:00Z,34652,16.9
17.36,17.36,16.75,345,16.75,2016-03-01T05:00:00Z,27000,17.13
17.33,17.36,17.06,245,17.15,2016-03-02T05:00:00Z,22148,17.25
17.57,17.78,17.13,288,17.48,2016-03-03T05:00:00Z,23035,17.51
17.88,18.05,17.28,279,17.68,2016-03-04T05:00:00Z,25299,17.75
18.1,18.57,17.87,260,17.87,2016-03-07T05:00:00Z,19429,18.18
18.04,18.64,17.91,195,18.02,2016-03-08T05:00:00Z,19362,18.1
17.9,18.64,17.69,228,18.22,2016-03-09T05:00:00Z,21967,17.98
17.59,17.86,17.54,121,17.86,2016-03-10T05:00:00Z,10959,17.67
17.89,18.65,17.47,198,17.63,2016-03-11T05:00:00Z,18232,17.72
17.73,18.14,17.73,367,18.11,2016-03-14T04:00:00Z,24506,17.88
17.62,17.96,17.54,206,17.73,2016-03-15T04:00:00Z,17635,17.72
17.51,17.94,17.4,197,17.71,2016-03-16T04:00:00Z,16931,17.64
17.46,17.65,17.27,235,17.65,2016-03-17T04:00:00Z,29772,17.44
17.89,17.99,17.1,237,17.55,2016-03-18T04:00:00Z,58321,17.69
17.75,17.79,17.51,282,17.79,2016-03-21T04:00:00Z,26501,17.69
17.88,18.2,17.69,344,17.69,2016-03-22T04:00:00Z,28658,17.91
17.75,18.44,17.7,319,18.1,2016-03-23T04:00:00Z,32553,17.95
16.8,17.67,16.69,487,17.67,2016-03-24T04:00:00Z,44815,16.87
17.38,17.46,17.07,239,17.15,2016-03-28T04:00:00Z,21671,17.31
17.78,17.83,17.28,199,17.29,2016-03-29T04:00:00Z,23545,17.7
18.06,18.37,17.81,310,17.81,2016-03-30T04:00:00Z,37102,18.11
18.21,18.34,18.1,181,18.22,2016-03-31T04:00:00Z,21250,18.19
