c,h,l,n,o,t,v,vw
17.88,18.22,17.54,242,18.22,2020-03-13T04:00:00Z,45587,17.83
16.33,17.39,15.94,637,17.39,2020-03-16T04:00:00Z,73448,16.75
15.94,17.2,15.19,764,16.65,2020-03-17T04:00:00Z,196563,16.37
12.91,15.56,12.57,981,15.56,2020-03-18T04:00:00Z,241042,13.94
13.67,14.54,12.61,1409,13.66,2020-03-19T04:00:00Z,284611,13.9
13.57,14.54,13.57,772,14.43,2020-03-20T04:00:00Z,177822,14.02
14.23,14.46,13.59,1065,14.43,2020-03-23T04:00:00Z,136947,13.79
14.02,14.99,13.94,1075,14.43,2020-03-24T04:00:00Z,141977,14.47
15.18,15.37,13.86,1246,14.61,2020-03-25T04:00:00Z,331355,14.63
16.61,16.61,15.33,384,15.7,2020-03-26T04:00:00Z,98101,15.92
16.76,16.81,15.35,419,16.44,2020-03-27T04:00:00Z,60865,16.47
18.18,18.21,16.7,1041,16.82,2020-03-30T04:00:00Z,356642,17.59
17.18,18.39,17.18,1568,18.21,2020-03-31T04:00:00Z,459163,17.76
15.94,17.31,15.46,248,17.31,2020-04-01T04:00:00Z,57025,16.48
15.94,16.68,15.57,245,15.57,2020-04-02T04:00:00Z,42097,16.23
15.75,16.47,15.72,133,15.94,2020-04-03T04:00:00Z,36469,15.98
16.02,16.7,15.94,851,16.01,2020-04-06T04:00:00Z,181115,16.14
16.79,17.32,16.03,1569,16.13,2020-04-07T04:00:00Z,385010,16.4
17.08,17.62,16.93,187,17.27,2020-04-08T04:00:00Z,60585,17.34
17.54,18.19,17.27,259,17.45,2020-04-09T04:00:00Z,48927,17.74
17.23,18.14,17.23,146,17.57,2020-04-13T04:00:00Z,51834,17.5
17.53,18.03,17.46,224,17.84,2020-04-14T04:00:00Z,55195,17.64
17.46,17.84,17.13,155,17.13,2020-04-15T04:00:00Z,21518,17.61
18.02,18.05,17.35,624,17.44,2020-04-16T04:00:00Z,81083,17.5
17.84,18.21,17.84,656,17.96,2020-04-17T04:00:00Z,173679,17.89
17.29,17.95,16.94,501,17.89,2020-04-20T04:00:00Z,105911,17.5
17.22,17.58,17.19,415,17.37,2020-04-21T04:00:00Z,49953,17.32
17.54,17.76,17.44,313,17.54,2020-04-22T04:00:00Z,74032,17.53
18.19,18.43,17.67,352,17.76,2020-04-23T04:00:00Z,34242,17.98
18.34,18.37,18.11,165,18.11,2020-04-24T04:00:00Z,30218,18.26
18.3,18.58,18.03,559,18.33,2020-04-27T04:00:00Z,66866,18.38
18.24,18.58,18.18,934,18.49,2020-04-28T04:00:00Z,191761,18.26
18.71,18.77,18.41,333,18.41,2020-04-29T04:00:00Z,195605,18.65
19.12,19.27,18.59,1888,18.78,2020-04-30T04:00:00Z,2227510,19.06
18.71,18.97,18.38,251,18.38,2020-05-01T04:00:00Z,152066,18.46
18.97,19.0,18.49,583,18.67,2020-05-04T04:00:00Z,102893,18.88
19.02,19.68,18.91,542,18.98,2020-05-05T04:00:00Z,133360,19.02
18.96,19.09,18.9,341,19.06,2020-05-06T04:00:00Z,43347,19.0
18.94,19.01,18.9,124,19.01,2020-05-07T04:00:00Z,59955,18.93
18.98,19.02,18.94,88,18.98,2020-05-08T04:00:00Z,14271,18.97
19.0,19.06,18.87,157,19.06,2020-05-11T04:00:00Z,23080,18.99
18.98,19.08,18.9,137,19.08,2020-05-12T04:00:00Z,35596,19.0
18.41,19.15,18.24,373,19.01,2020-05-13T04:00:00Z,84589,18.74
17.99,18.78,17.75,536,18.34,2020-05-14T04:00:00Z,89656,18.0
17.8,18.59,17.55,429,17.88,2020-05-15T04:00:00Z,85770,17.76
17.99,18.62,17.93,141,17.99,2020-05-18T04:00:00Z,27984,18.06
18.51,18.58,17.92,160,18.04,2020-05-19T04:00:00Z,19225,18.35
18.98,19.12,18.54,156,18.54,2020-05-20T04:00:00Z,28215,18.92
18.87,19.01,18.84,93,19.0,2020-05-21T04:00:00Z,19255,18.94
19.0,19.01,18.91,112,18.97,2020-05-22T04:00:00Z,18959,18.97
19.01,19.15,18.99,114,19.15,2020-05-26T04:00:00Z,29167,19.06
19.06,19.09,18.97,44,19.09,2020-05-27T04:00:00Z,5712,19.04
18.99,19.12,18.97,205,19.12,2020-05-28T04:00:00Z,43480,19.04
18.98,19.07,18.96,184,19.07,2020-05-29T04:00:00Z,43715,18.99
18.98,19.06,18.96,156,19.02,2020-06-01T04:00:00Z,45333,18.99
19.0,19.09,18.94,105,19.09,2020-06-02T04:00:00Z,24772,19.0
19.03,19.08,18.96,120,19.08,2020-06-03T04:00:00Z,17216,19.01
18.99,19.08,18.95,174,19.08,2020-06-04T04:00:00Z,39162,19.0
18.98,19.12,18.98,117,19.12,2020-06-05T04:00:00Z,20817,19.03
18.98,19.05,18.95,96,18.95,2020-06-08T04:00:00Z,33346,18.99
18.98,19.05,18.97,130,18.98,2020-06-09T04:00:00Z,32089,18.99
19.0,19.03,18.96,116,19.03,2020-06-10T04:00:00Z,27554,18.99
18.71,18.9,18.64,152,18.9,2020-06-11T04:00:00Z,37901,18.75
