c,h,l,n,o,t,v,vw
3.4,4.62,3.073,5434,4.0,2021-08-31T04:00:00Z,2236816,3.626
12.85,16.32,3.8,332805,4.147,2021-09-01T04:00:00Z,61129360,11.77
11.94,16.83,11.03,307226,14.28,2021-09-02T04:00:00Z,58087038,14.44
9.307,11.87,8.66,43540,11.51,2021-09-03T04:00:00Z,8609068,9.949
9.773,11.63,8.979,30683,9.047,2021-09-07T04:00:00Z,5754573,10.32
9.953,10.93,9.007,13124,9.727,2021-09-08T04:00:00Z,2961696,10.09
9.873,10.85,9.587,9329,9.953,2021-09-09T04:00:00Z,2162913,10.2
9.66,10.5,9.053,5804,10.0,2021-09-10T04:00:00Z,1172515,9.729
8.807,9.587,8.693,3499,9.473,2021-09-13T04:00:00Z,455178,9.033
6.6,8.967,6.567,5577,8.8,2021-09-14T04:00:00Z,763482,7.458
7.467,8.56,6.533,20304,6.84,2021-09-15T04:00:00Z,4516380,7.674
8.5,9.547,7.137,6710,7.147,2021-09-16T04:00:00Z,1523797,8.267
8.587,8.8,7.9,3309,8.493,2021-09-17T04:00:00Z,717913,8.344
7.713,8.289,7.467,2183,8.013,2021-09-20T04:00:00Z,354433,7.787
7.273,8.167,7.267,3056,8.033,2021-09-21T04:00:00Z,474490,7.667
7.267,7.833,7.147,1995,7.36,2021-09-22T04:00:00Z,261828,7.422
7.153,7.499,7.02,2277,7.167,2021-09-23T04:00:00Z,255979,7.189
7.54,8.653,7.347,19062,7.667,2021-09-24T04:00:00Z,3118843,7.904
7.04,7.5,6.807,4742,7.36,2021-09-27T04:00:00Z,643966,7.17
7.1,7.291,6.747,3060,7.04,2021-09-28T04:00:00Z,559354,7.001
6.033,6.933,6.0,3534,6.84,2021-09-29T04:00:00Z,625279,6.327
5.773,6.26,5.58,2676,6.133,2021-09-30T04:00:00Z,546046,5.826
5.167,5.773,5.02,3653,5.773,2021-10-01T04:00:00Z,772438,5.381
5.653,6.453,5.167,14252,5.26,2021-10-04T04:00:00Z,3616704,5.982
5.493,5.867,5.227,5138,5.727,2021-10-05T04:00:00Z,1008433,5.506
5.267,5.507,5.12,2536,5.273,2021-10-06T04:00:00Z,500209,5.281
5.253,5.433,5.173,1924,5.353,2021-10-07T04:00:00Z,290284,5.276
5.007,5.56,4.907,1983,5.313,2021-10-08T04:00:00Z,367425,5.175
5.213,5.56,4.887,1967,4.92,2021-10-11T04:00:00Z,338584,5.208
5.473,6.127,5.003,5377,5.167,2021-10-12T04:00:00Z,1357873,5.555
5.893,6.567,5.507,7756,5.64,2021-10-13T04:00:00Z,1933362,6.072
5.9,6.993,5.4,7117,5.773,2021-10-14T04:00:00Z,1795696,6.094
5.6,5.907,5.487,1639,5.747,2021-10-15T04:00:00Z,251220,5.637
5.46,5.667,5.347,1451,5.487,2021-10-18T04:00:00Z,253704,5.46
5.4,5.573,5.353,768,5.467,2021-10-19T04:00:00Z,105628,5.411
5.367,5.68,5.333,1358,5.467,2021-10-20T04:00:00Z,304039,5.473
5.433,5.518,5.347,846,5.393,2021-10-21T04:00:00Z,156399,5.406
5.24,5.387,5.087,2107,5.367,2021-10-22T04:00:00Z,328203,5.228
5.133,5.26,5.067,938,5.127,2021-10-25T04:00:00Z,102576,5.147
5.18,5.217,5.087,939,5.12,2021-10-26T04:00:00Z,225870,5.154
5.133,5.22,5.067,805,5.18,2021-10-27T04:00:00Z,113626,5.139
5.073,5.14,5.033,538,5.113,2021-10-28T04:00:00Z,48097,5.074
5.02,5.133,4.933,851,5.067,2021-10-29T04:00:00Z,112222,5.031
5.24,5.269,5.013,947,5.02,2021-11-01T04:00:00Z,154438,5.117
5.193,5.227,5.053,730,5.18,2021-11-02T04:00:00Z,87915,5.144
5.18,5.24,5.08,442,5.1,2021-11-03T04:00:00Z,40863,5.166
5.28,5.4,5.14,1275,5.2,2021-11-04T04:00:00Z,197670,5.258
5.173,5.3,5.147,677,5.3,2021-11-05T04:00:00Z,51469,5.201
5.253,5.307,5.147,988,5.153,2021-11-08T05:00:00Z,85851,5.253
5.527,5.667,5.16,2213,5.2,2021-11-09T05:00:00Z,446104,5.458
5.54,5.56,5.253,908,5.36,2021-11-10T05:00:00Z,87445,5.427
6.093,6.987,5.426,8398,5.48,2021-11-11T05:00:00Z,2182869,6.219
5.887,6.2,5.52,2727,6.08,2021-11-12T05:00:00Z,454987,5.916
5.333,6.117,5.273,1322,5.767,2021-11-15T05:00:00Z,196807,5.531
5.873,5.96,5.253,3020,5.34,2021-11-16T05:00:00Z,305517,5.743
5.94,6.513,5.647,4643,5.873,2021-11-17T05:00:00Z,1098511,6.092
