c,h,l,n,o,t,v,vw
24.9,24.93,24.75,49,24.78,2023-06-12T04:00:00Z,1972,24.86
25.1,25.13,25.06,59,25.13,2023-06-13T04:00:00Z,3420,25.08
25.11,25.24,25.02,30,25.17,2023-06-14T04:00:00Z,2325,25.19
25.38,25.38,25.08,39,25.08,2023-06-15T04:00:00Z,901,25.25
25.21,25.4,25.2,52,25.4,2023-06-16T04:00:00Z,44280,25.22
25.06,25.06,24.98,37,25.04,2023-06-20T04:00:00Z,2107,25.0
25.03,25.07,24.92,40,24.96,2023-06-21T04:00:00Z,39809,25.06
24.89,24.96,24.87,27,24.96,2023-06-22T04:00:00Z,680,24.94
24.73,24.74,24.64,23,24.64,2023-06-23T04:00:00Z,2548,24.7
24.62,24.82,24.62,44,24.76,2023-06-26T04:00:00Z,5279,24.7
24.85,24.87,24.62,34,24.62,2023-06-27T04:00:00Z,14136,24.73
24.97,24.97,24.8,42,24.8,2023-06-28T04:00:00Z,1739,24.87
25.11,25.11,24.97,32,25.06,2023-06-29T04:00:00Z,5168,25.0
25.38,25.42,25.15,43,25.15,2023-06-30T04:00:00Z,2739,25.36
25.35,25.35,24.82,37,24.82,2023-07-03T04:00:00Z,2846,24.94
25.05,25.08,24.82,33,24.82,2023-07-05T04:00:00Z,2453,24.96
24.75,24.75,24.66,29,24.66,2023-07-06T04:00:00Z,712,24.71
24.9,24.9,24.9,23,24.9,2023-07-07T04:00:00Z,88,24.9
25.1,25.1,25.07,21,25.07,2023-07-10T04:00:00Z,442,25.07
25.49,25.52,25.14,25,25.14,2023-07-11T04:00:00Z,2039,25.24
25.8,25.87,25.73,43,25.79,2023-07-12T04:00:00Z,7986,25.76
26.19,26.19,26.0,46,26.07,2023-07-13T04:00:00Z,3753,26.11
26.12,26.23,26.12,39,26.23,2023-07-14T04:00:00Z,1878,26.17
26.49,26.49,26.26,51,26.26,2023-07-17T04:00:00Z,1649,26.41
26.63,26.63,26.4,41,26.4,2023-07-18T04:00:00Z,1871,26.55
26.7,26.82,26.62,64,26.62,2023-07-19T04:00:00Z,4052,26.76
26.61,26.61,26.52,38,26.56,2023-07-20T04:00:00Z,1571,26.56
26.68,26.68,26.61,29,26.61,2023-07-21T04:00:00Z,2774,26.61
26.75,26.76,26.63,57,26.63,2023-07-24T04:00:00Z,3875,26.69
26.74,26.8,26.74,30,26.74,2023-07-25T04:00:00Z,1714,26.77
26.77,26.82,26.74,36,26.82,2023-07-26T04:00:00Z,1248,26.76
26.42,26.76,26.41,36,26.76,2023-07-27T04:00:00Z,1325,26.63
26.56,26.7,26.41,56,26.69,2023-07-28T04:00:00Z,10077,26.49
26.65,26.7,26.65,40,26.7,2023-07-31T04:00:00Z,1125,26.69
26.58,26.58,26.49,46,26.5,2023-08-01T04:00:00Z,2189,26.55
26.1,26.21,26.1,43,26.13,2023-08-02T04:00:00Z,846,26.18
26.15,26.16,26.03,30,26.03,2023-08-03T04:00:00Z,1015,26.09
26.18,26.46,26.18,26,26.44,2023-08-04T04:00:00Z,491,26.45
26.41,26.41,26.36,20,26.36,2023-08-07T04:00:00Z,343,26.36
26.1,26.1,25.9,36,26.02,2023-08-08T04:00:00Z,1787,25.99
25.99,26.12,25.99,28,26.01,2023-08-09T04:00:00Z,1102,26.02
25.92,26.02,25.92,20,26.02,2023-08-10T04:00:00Z,889,26.01
25.85,25.91,25.84,39,25.84,2023-08-11T04:00:00Z,1506,25.89
25.92,25.92,25.68,26,25.71,2023-08-14T04:00:00Z,1054,25.8
25.69,25.71,25.57,25,25.71,2023-08-15T04:00:00Z,2557,25.63
26.04,26.27,26.04,21,26.25,2023-08-16T04:00:00Z,1109,26.19
25.32,25.58,25.32,40,25.58,2023-08-17T04:00:00Z,788,25.42
25.42,25.44,25.27,42,25.3,2023-08-18T04:00:00Z,3653,25.39
25.26,25.32,25.13,45,25.13,2023-08-21T04:00:00Z,2435,25.25
25.2,25.23,25.18,29,25.18,2023-08-22T04:00:00Z,3686,25.19
25.49,25.49,25.41,26,25.41,2023-08-23T04:00:00Z,208,25.41
25.29,25.49,25.29,10,25.49,2023-08-24T04:00:00Z,478,25.49
25.47,25.52,25.33,19,25.33,2023-08-25T04:00:00Z,868,25.41
25.69,25.7,25.53,35,25.53,2023-08-28T04:00:00Z,1197,25.58
26.05,26.05,25.98,19,25.98,2023-08-29T04:00:00Z,252,25.98
26.21,26.24,26.19,17,26.19,2023-08-30T04:00:00Z,2255,26.22
26.24,26.29,26.24,31,26.24,2023-08-31T04:00:00Z,2470,26.26
26.32,26.32,26.24,38,26.31,2023-09-01T04:00:00Z,2792,26.3
26.1,26.22,26.1,36,26.22,2023-09-05T04:00:00Z,7609,26.17
25.97,25.98,25.92,26,25.98,2023-09-06T04:00:00Z,754,25.95
25.91,25.91,25.9,20,25.9,2023-09-07T04:00:00Z,386,25.9
25.77,25.88,25.74,27,25.85,2023-09-08T04:00:00Z,2340,25.81
25.92,25.95,25.85,25,25.85,2023-09-11T04:00:00Z,1126,25.89
25.92,25.92,25.86,13,25.86,2023-09-12T04:00:00Z,460,25.87
25.82,25.95,25.82,21,25.95,2023-09-13T04:00:00Z,1274,25.89
25.98,26.02,25.82,32,25.82,2023-09-14T04:00:00Z,3116,25.87
25.84,26.01,25.84,37,26.01,2023-09-15T04:00:00Z,5388,25.87
25.78,25.86,25.78,37,25.86,2023-09-18T04:00:00Z,1764,25.82
25.63,25.75,25.57,48,25.75,2023-09-19T04:00:00Z,2667,25.64
25.49,25.81,25.49,31,25.77,2023-09-20T04:00:00Z,1023,25.8
