c,h,l,n,o,t,v,vw
0.2386,0.28,0.2386,98,0.27,2022-01-13T05:00:00Z,1004847,0.254303
0.211,0.264999,0.1807,37,0.25,2022-01-14T05:00:00Z,1813476,0.249994
0.211,0.211,0.211,0,0.211,2022-01-18T05:00:00Z,0,0.0
0.211,0.211,0.211,0,0.211,2022-01-19T05:00:00Z,0,0.0
0.211,0.211,0.211,0,0.211,2022-01-20T05:00:00Z,0,0.0
0.23,0.23,0.22,91,0.2201,2022-01-21T05:00:00Z,283950,0.222673
0.1965,0.2,0.19,6,0.2,2022-01-24T05:00:00Z,303559,0.199667
0.2,0.21,0.2,219,0.2025,2022-01-25T05:00:00Z,191160,0.201586
0.22,0.22,0.2001,25,0.2188,2022-01-26T05:00:00Z,226000,0.219533
0.2,0.2277,0.2,97,0.2094,2022-01-27T05:00:00Z,115700,0.218798
0.1901,0.1901,0.19,47,0.1901,2022-01-28T05:00:00Z,65500,0.19009
0.1901,0.1901,0.1901,6,0.1901,2022-01-31T05:00:00Z,5201,0.1901
0.1894,0.1988,0.1894,20,0.1988,2022-02-01T05:00:00Z,4627,0.197987
0.1901,0.1901,0.1901,3,0.1901,2022-02-02T05:00:00Z,300,0.1901
0.1901,0.1901,0.1901,0,0.1901,2022-02-03T05:00:00Z,0,0.0
0.1901,0.1901,0.1901,0,0.1901,2022-02-04T05:00:00Z,0,0.0
0.1907,0.1952,0.1907,13,0.1907,2022-02-07T05:00:00Z,3388,0.193625
0.21,0.21,0.1994,27,0.1994,2022-02-08T05:00:00Z,355202,0.205624
0.21,0.21,0.21,0,0.21,2022-02-09T05:00:00Z,0,0.0
0.1876,0.205253,0.1852,79,0.205253,2022-02-10T05:00:00Z,92800,0.198017
0.185,0.1851,0.1806,13,0.1851,2022-02-11T05:00:00Z,9964,0.184889
0.1806,0.1806,0.1806,1,0.1806,2022-02-14T05:00:00Z,518,0.1806
0.1751,0.1751,0.1751,3,0.1751,2022-02-15T05:00:00Z,1000,0.1751
0.172,0.1749,0.172,67,0.1749,2022-02-16T05:00:00Z,50701,0.174883
0.17,0.1706,0.17,51,0.1706,2022-02-17T05:00:00Z,34684,0.170016
0.17,0.17,0.17,0,0.17,2022-02-18T05:00:00Z,0,0.0
0.17,0.17,0.17,2,0.17,2022-02-22T05:00:00Z,154505,0.17
0.17,0.17,0.17,0,0.17,2022-02-23T05:00:00Z,0,0.0
0.17,0.17,0.17,0,0.17,2022-02-24T05:00:00Z,0,0.0
0.1496,0.175,0.1,1598,0.17,2022-02-25T05:00:00Z,284084,0.150044
0.13,0.1406,0.13,27,0.1406,2022-02-28T05:00:00Z,2559,0.135923
0.13,0.13,0.13,0,0.13,2022-03-01T05:00:00Z,0,0.0
0.13,0.13,0.13,0,0.13,2022-03-02T05:00:00Z,0,0.0
0.13,0.13,0.13,0,0.13,2022-03-03T05:00:00Z,0,0.0
0.1321,0.1322,0.1321,10,0.1321,2022-03-04T05:00:00Z,8277,0.132192
0.1321,0.1321,0.1321,0,0.1321,2022-03-07T05:00:00Z,0,0.0
0.1321,0.1321,0.1321,0,0.1321,2022-03-08T05:00:00Z,0,0.0
0.15,0.15,0.1494,61,0.1494,2022-03-09T05:00:00Z,78000,0.14999
0.15,0.15,0.1406,60,0.15,2022-03-10T05:00:00Z,172911,0.149842
0.15,0.15,0.15,0,0.15,2022-03-11T05:00:00Z,0,0.0
0.15,0.15,0.15,0,0.15,2022-03-14T04:00:00Z,0,0.0
0.15,0.15,0.15,0,0.15,2022-03-15T04:00:00Z,0,0.0
0.15,0.15,0.15,0,0.15,2022-03-16T04:00:00Z,0,0.0
0.15,0.15,0.145,270,0.1476,2022-03-17T04:00:00Z,27163,0.149807
0.15,0.15,0.15,0,0.15,2022-03-18T04:00:00Z,0,0.0
0.15,0.15,0.15,3,0.15,2022-03-21T04:00:00Z,269,0.151729
0.145,0.1475,0.145,17,0.145,2022-03-22T04:00:00Z,2030,0.145123
0.15,0.15,0.15,9,0.15,2022-03-23T04:00:00Z,100003,0.15
0.15,0.15,0.15,0,0.15,2022-03-24T04:00:00Z,0,0.0
0.15,0.15,0.15,8,0.15,2022-03-25T04:00:00Z,77001,0.15
0.15,0.15,0.15,0,0.15,2022-03-28T04:00:00Z,0,0.0
0.15,0.15,0.1492,4,0.1493,2022-03-29T04:00:00Z,450410,0.149999
0.15,0.15,0.1493,13,0.1493,2022-03-30T04:00:00Z,20000,0.149956
0.1697,0.1697,0.1594,47,0.1594,2022-03-31T04:00:00Z,129344,0.16069
0.16,0.1634,0.16,10,0.1634,2022-04-01T04:00:00Z,8140,0.160163
0.1601,0.1601,0.1601,8,0.1601,2022-04-04T04:00:00Z,2281,0.16004
0.1601,0.1694,0.1601,24,0.1693,2022-04-05T04:00:00Z,4437,0.160934
0.1601,0.1601,0.1601,0,0.1601,2022-04-06T04:00:00Z,0,0.0
0.1601,0.1601,0.1601,0,0.1601,2022-04-07T04:00:00Z,0,0.0
0.168,0.1714,0.1505,29,0.1694,2022-04-08T04:00:00Z,168200,0.160077
0.168,0.168,0.168,0,0.168,2022-04-11T04:00:00Z,0,0.0
0.16,0.16,0.16,5,0.16,2022-04-12T04:00:00Z,600,0.16
0.16,0.16,0.16,0,0.16,2022-04-13T04:00:00Z,0,0.0
0.17,0.17,0.17,1,0.17,2022-04-14T04:00:00Z,100,0.17
0.16,0.16,0.16,12,0.16,2022-04-18T04:00:00Z,2100,0.16
0.16,0.16,0.16,6,0.16,2022-04-19T04:00:00Z,601,0.16
0.16,0.16,0.16,0,0.16,2022-04-20T04:00:00Z,0,0.0
0.15,0.16,0.15,31,0.16,2022-04-21T04:00:00Z,18000,0.150929
0.1466,0.163371,0.145,26,0.15,2022-04-22T04:00:00Z,29905,0.147161
0.121,0.121,0.121,2,0.121,2022-04-25T04:00:00Z,200,0.1274
0.121,0.121,0.121,0,0.121,2022-04-26T04:00:00Z,0,0.0
0.15,0.168,0.15,10,0.166295,2022-04-27T04:00:00Z,2676,0.165309
0.15,0.15,0.15,14,0.15,2022-04-28T04:00:00Z,5005,0.15
0.15,0.15,0.15,0,0.15,2022-04-29T04:00:00Z,0,0.0
0.15,0.15,0.15,0,0.15,2022-05-02T04:00:00Z,0,0.0
0.15,0.15,0.15,0,0.15,2022-05-03T04:00:00Z,0,0.0
0.15,0.15,0.15,0,0.15,2022-05-04T04:00:00Z,0,0.0
0.1694,0.1694,0.1,2,0.1,2022-05-05T04:00:00Z,944,0.162048
0.1694,0.1694,0.1694,0,0.1694,2022-05-06T04:00:00Z,0,0.0
0.1723,0.1794,0.1694,10,0.1794,2022-05-09T04:00:00Z,4995,0.17176
0.1724,0.1724,0.1723,6,0.1723,2022-05-10T04:00:00Z,2200,0.17235
0.1724,0.1724,0.1724,0,0.1724,2022-05-11T04:00:00Z,0,0.0
0.1724,0.1724,0.1724,0,0.1724,2022-05-12T04:00:00Z,0,0.0
0.1613,0.1794,0.1015,91,0.1794,2022-05-13T04:00:00Z,9811,0.131311
0.1197,0.158,0.1197,15,0.158,2022-05-16T04:00:00Z,1205,0.136907
0.1197,0.1197,0.1197,0,0.1197,2022-05-17T04:00:00Z,0,0.0
0.1197,0.1197,0.1197,3,0.1197,2022-05-18T04:00:00Z,5800,0.1197
0.179899,0.179899,0.1794,5,0.1794,2022-05-19T04:00:00Z,911,0.179259
0.179899,0.179899,0.179899,0,0.179899,2022-05-20T04:00:00Z,0,0.0
0.179899,0.179899,0.179899,0,0.179899,2022-05-23T04:00:00Z,0,0.0
0.179899,0.179899,0.179899,0,0.179899,2022-05-24T04:00:00Z,0,0.0
0.14,0.14,0.14,3,0.14,2022-05-25T04:00:00Z,300,0.14
0.13,0.13,0.13,4,0.13,2022-05-26T04:00:00Z,210,0.119524
0.13,0.13,0.13,0,0.13,2022-05-27T04:00:00Z,0,0.0
0.1348,0.135,0.1348,18,0.135,2022-05-31T04:00:00Z,8411,0.134967
0.1306,0.1306,0.1306,14,0.1306,2022-06-01T04:00:00Z,2099,0.1306
