c,h,l,n,o,t,v,vw
12.45,13.19,12.35,3864,12.87,2016-01-04T05:00:00Z,974590,12.52
12.4,12.6,12.27,2100,12.48,2016-01-05T05:00:00Z,565164,12.42
12.5,12.69,12.19,2629,12.22,2016-01-06T05:00:00Z,666180,12.52
11.99,12.4,11.97,3397,12.35,2016-01-07T05:00:00Z,871904,12.08
11.82,12.2,11.79,2790,12.12,2016-01-08T05:00:00Z,839712,11.97
11.9,12.04,11.82,2312,11.97,2016-01-11T05:00:00Z,440396,11.92
11.86,12.33,11.64,2685,12.04,2016-01-12T05:00:00Z,791556,11.82
11.33,11.91,11.25,3491,11.91,2016-01-13T05:00:00Z,717444,11.44
11.42,11.55,11.24,3213,11.48,2016-01-14T05:00:00Z,741338,11.42
11.28,11.3,10.81,5342,11.04,2016-01-15T05:00:00Z,1283584,11.14
11.36,11.68,11.24,4076,11.44,2016-01-19T05:00:00Z,1076880,11.35
11.27,11.44,10.84,4936,11.13,2016-01-20T05:00:00Z,1043940,11.14
11.13,11.48,11.02,5687,11.26,2016-01-21T05:00:00Z,1354448,11.24
11.28,11.4,11.04,2909,11.22,2016-01-22T05:00:00Z,700486,11.27
10.82,11.22,10.76,3608,11.22,2016-01-25T05:00:00Z,844660,10.89
11.26,11.33,10.89,3620,10.89,2016-01-26T05:00:00Z,826742,11.2
11.39,11.71,11.16,4215,11.25,2016-01-27T05:00:00Z,973746,11.42
11.78,11.98,11.54,3499,11.54,2016-01-28T05:00:00Z,716976,11.79
11.2,11.28,10.73,10256,10.98,2016-01-29T05:00:00Z,3090138,11.08
11.17,11.34,11.06,4173,11.16,2016-02-01T05:00:00Z,1063970,11.19
10.5,11.03,10.48,6466,10.99,2016-02-02T05:00:00Z,1595942,10.63
10.85,10.86,10.34,5434,10.64,2016-02-03T05:00:00Z,893038,10.67
10.9,11.08,10.73,3258,10.78,2016-02-04T05:00:00Z,721528,10.89
11.04,11.15,10.73,5617,10.89,2016-02-05T05:00:00Z,1974226,11.03
11.18,11.24,10.77,5955,10.92,2016-02-08T05:00:00Z,1290794,11.05
11.09,11.25,10.99,3981,11.01,2016-02-09T05:00:00Z,978378,11.12
11.09,11.44,11.09,4411,11.15,2016-02-10T05:00:00Z,995496,11.25
11.01,11.12,10.59,3758,10.85,2016-02-11T05:00:00Z,863402,10.89
11.54,11.62,11.13,3560,11.22,2016-02-12T05:00:00Z,746154,11.49
11.82,11.9,11.45,2238,11.73,2016-02-16T05:00:00Z,554144,11.79
11.67,11.94,11.64,1697,11.92,2016-02-17T05:00:00Z,568264,11.71
11.54,11.78,11.41,2250,11.67,2016-02-18T05:00:00Z,427592,11.53
11.61,11.76,11.48,1715,11.51,2016-02-19T05:00:00Z,471194,11.6
11.75,11.86,11.72,1459,11.76,2016-02-22T05:00:00Z,319458,11.77
11.3,11.77,11.19,3204,11.67,2016-02-23T05:00:00Z,577424,11.32
11.3,11.36,10.74,3540,11.13,2016-02-24T05:00:00Z,623706,11.14
11.34,11.43,11.17,1411,11.35,2016-02-25T05:00:00Z,279124,11.31
11.53,11.64,11.22,1829,11.41,2016-02-26T05:00:00Z,287372,11.52
11.33,11.84,11.29,2762,11.78,2016-02-29T05:00:00Z,666540,11.41
11.85,11.91,11.35,2118,11.35,2016-03-01T05:00:00Z,355930,11.77
11.93,11.97,11.73,2079,11.85,2016-03-02T05:00:00Z,404620,11.9
12.3,12.31,11.84,2245,11.89,2016-03-03T05:00:00Z,516368,12.24
12.4,12.51,12.25,1805,12.36,2016-03-04T05:00:00Z,382718,12.38
12.6,12.6,12.29,1599,12.3,2016-03-07T05:00:00Z,401772,12.55
12.24,12.51,12.22,1668,12.48,2016-03-08T05:00:00Z,330854,12.29
12.07,12.33,12.03,1034,12.29,2016-03-09T05:00:00Z,220206,12.11
12.2,12.24,11.92,1303,12.1,2016-03-10T05:00:00Z,257532,12.12
12.54,12.56,12.28,1304,12.3,2016-03-11T05:00:00Z,255396,12.49
12.35,12.52,12.22,1402,12.52,2016-03-14T04:00:00Z,243560,12.34
12.22,12.4,12.21,1302,12.31,2016-03-15T04:00:00Z,320852,12.27
12.12,12.4,12.0,1538,12.21,2016-03-16T04:00:00Z,285618,12.18
12.55,12.56,11.93,2525,12.12,2016-03-17T04:00:00Z,659236,12.36
12.72,13.06,12.6,2262,12.66,2016-03-18T04:00:00Z,1653090,12.72
12.7,12.79,12.62,1145,12.72,2016-03-21T04:00:00Z,235146,12.71
12.67,12.74,12.57,924,12.66,2016-03-22T04:00:00Z,208854,12.66
12.44,12.72,12.44,1630,12.61,2016-03-23T04:00:00Z,404464,12.51
12.56,12.58,12.01,1571,12.33,2016-03-24T04:00:00Z,377002,12.43
12.49,12.64,12.39,1309,12.57,2016-03-28T04:00:00Z,238608,12.52
12.75,12.76,12.34,1983,12.49,2016-03-29T04:00:00Z,564546,12.63
12.77,12.91,12.7,1568,12.77,2016-03-30T04:00:00Z,250080,12.79
12.76,12.93,12.62,1389,12.74,2016-03-31T04:00:00Z,386078,12.75
12.7,12.87,12.37,1291,12.64,2016-04-01T04:00:00Z,320678,12.65
12.71,12.77,12.48,1716,12.67,2016-04-04T04:00:00Z,353264,12.68
12.51,12.6,12.42,2121,12.59,2016-04-05T04:00:00Z,528242,12.52
12.62,12.7,12.38,1795,12.55,2016-04-06T04:00:00Z,366486,12.56
12.08,12.49,11.96,1830,12.49,2016-04-07T04:00:00Z,397430,12.14
12.18,12.33,12.08,1350,12.2,2016-04-08T04:00:00Z,277892,12.17
12.41,12.55,12.15,1158,12.27,2016-04-11T04:00:00Z,261938,12.41
12.71,12.71,12.36,1499,12.45,2016-04-12T04:00:00Z,235266,12.65
13.25,13.25,12.71,2219,12.83,2016-04-13T04:00:00Z,539270,13.15
13.39,13.57,13.09,1437,13.17,2016-04-14T04:00:00Z,256376,13.37
13.32,13.57,12.71,1065,13.31,2016-04-15T04:00:00Z,333960,13.35
13.42,13.48,13.14,1477,13.2,2016-04-18T04:00:00Z,264486,13.37
13.62,13.69,13.37,1380,13.45,2016-04-19T04:00:00Z,242670,13.6
13.81,13.95,13.59,2022,13.64,2016-04-20T04:00:00Z,453192,13.8
13.84,14.01,13.8,2114,13.84,2016-04-21T04:00:00Z,476946,13.87
13.76,13.98,13.46,2497,13.78,2016-04-22T04:00:00Z,675244,13.7
13.68,13.73,13.47,1769,13.73,2016-04-25T04:00:00Z,320194,13.64
14.09,14.1,13.6,1964,13.75,2016-04-26T04:00:00Z,368918,13.99
14.15,14.23,14.0,1754,14.08,2016-04-27T04:00:00Z,306524,14.12
13.94,14.18,13.68,1256,14.01,2016-04-28T04:00:00Z,282106,13.98
13.96,14.12,13.77,1272,13.85,2016-04-29T04:00:00Z,340952,13.97
14.09,14.2,13.97,1758,14.06,2016-05-02T04:00:00Z,356674,14.09
13.63,14.04,13.58,1589,13.93,2016-05-03T04:00:00Z,267016,13.68
13.47,13.72,13.25,2240,13.59,2016-05-04T04:00:00Z,467090,13.43
13.31,13.64,13.27,1394,13.56,2016-05-05T04:00:00Z,313176,13.36
13.38,13.4,13.18,1585,13.21,2016-05-06T04:00:00Z,548552,13.35
13.37,13.47,13.17,943,13.33,2016-05-09T04:00:00Z,197446,13.39
13.61,13.74,13.34,877,13.47,2016-05-10T04:00:00Z,185300,13.58
13.53,13.76,13.51,819,13.56,2016-05-11T04:00:00Z,173142,13.58
13.51,13.72,13.38,1027,13.53,2016-05-12T04:00:00Z,245582,13.51
13.25,13.65,13.19,1755,13.49,2016-05-13T04:00:00Z,351524,13.3
13.48,13.61,13.17,1338,13.3,2016-05-16T04:00:00Z,259292,13.45
13.38,13.67,13.21,2230,13.46,2016-05-17T04:00:00Z,491118,13.37
14.04,14.09,13.37,2037,13.37,2016-05-18T04:00:00Z,298040,13.92
13.77,14.23,13.63,1117,13.96,2016-05-19T04:00:00Z,203420,13.84
14.05,14.09,13.87,1337,13.87,2016-05-20T04:00:00Z,338814,14.01
13.97,14.09,13.8,1245,14.02,2016-05-23T04:00:00Z,337918,13.99
14.37,14.44,14.04,1589,14.04,2016-05-24T04:00:00Z,369908,14.33
14.44,14.62,14.36,2285,14.41,2016-05-25T04:00:00Z,462710,14.48
14.29,14.47,14.25,1221,14.43,2016-05-26T04:00:00Z,196668,14.32
14.4,14.4,14.19,1580,14.31,2016-05-27T04:00:00Z,388658,14.35
14.45,14.49,14.29,1622,14.48,2016-05-31T04:00:00Z,523284,14.43
14.54,14.59,14.3,1442,14.37,2016-06-01T04:00:00Z,356318,14.48
14.58,14.6,14.34,1556,14.51,2016-06-02T04:00:00Z,321142,14.53
14.34,14.39,13.89,1729,14.39,2016-06-03T04:00:00Z,318238,14.17
14.65,14.7,14.33,1758,14.38,2016-06-06T04:00:00Z,431462,14.62
14.68,14.78,14.48,1907,14.62,2016-06-07T04:00:00Z,662006,14.67
14.82,14.88,14.64,1918,14.67,2016-06-08T04:00:00Z,423164,14.81
14.58,14.67,14.33,1625,14.67,2016-06-09T04:00:00Z,389328,14.52
14.51,14.59,14.3,2760,14.38,2016-06-10T04:00:00Z,538254,14.47
14.41,14.62,14.34,2384,14.41,2016-06-13T04:00:00Z,388504,14.46
14.15,14.48,14.06,2386,14.37,2016-06-14T04:00:00Z,375288,14.23
14.09,14.41,14.06,1462,14.17,2016-06-15T04:00:00Z,249286,14.19
13.79,14.0,13.63,2860,14.0,2016-06-16T04:00:00Z,372696,13.8
13.8,14.04,13.68,2067,13.84,2016-06-17T04:00:00Z,1684502,13.82
13.99,14.31,13.88,2203,14.04,2016-06-20T04:00:00Z,474844,14.09
13.96,14.06,13.83,1789,14.02,2016-06-21T04:00:00Z,426840,13.95
13.87,14.16,13.86,1404,13.96,2016-06-22T04:00:00Z,259874,13.97
14.48,14.49,13.64,2423,14.11,2016-06-23T04:00:00Z,480530,14.39
13.56,14.13,13.51,4639,13.54,2016-06-24T04:00:00Z,1436270,13.6
12.99,13.4,12.88,3768,13.32,2016-06-27T04:00:00Z,708012,13.05
13.28,13.37,13.04,2856,13.23,2016-06-28T04:00:00Z,506796,13.24
13.78,13.8,13.24,1951,13.46,2016-06-29T04:00:00Z,376068,13.69
14.22,14.25,13.63,2374,13.85,2016-06-30T04:00:00Z,710538,14.11
13.99,14.35,13.84,2282,14.17,2016-07-01T04:00:00Z,416254,13.99
13.65,14.0,13.57,1329,13.8,2016-07-05T04:00:00Z,284114,13.68
13.8,13.82,13.42,1295,13.59,2016-07-06T04:00:00Z,290778,13.72
13.92,14.13,13.83,1605,13.86,2016-07-07T04:00:00Z,267594,13.93
14.23,14.36,14.07,1821,14.13,2016-07-08T04:00:00Z,646820,14.25
14.48,14.55,14.36,1623,14.36,2016-07-11T04:00:00Z,367954,14.47
14.88,15.0,14.68,2072,14.69,2016-07-12T04:00:00Z,486140,14.88
14.88,15.0,14.74,2061,14.87,2016-07-13T04:00:00Z,508608,14.87
14.96,15.23,14.94,1751,15.16,2016-07-14T04:00:00Z,364096,15.08
15.18,15.23,15.02,2056,15.2,2016-07-15T04:00:00Z,508884,15.16
15.05,15.2,14.96,2241,15.14,2016-07-18T04:00:00Z,426514,15.12
15.06,15.14,14.93,1368,14.96,2016-07-19T04:00:00Z,307730,15.06
15.06,15.17,14.91,1251,15.12,2016-07-20T04:00:00Z,250746,15.08
14.93,15.08,14.89,1683,15.01,2016-07-21T04:00:00Z,298562,14.96
15.05,15.29,14.55,1930,14.99,2016-07-22T04:00:00Z,392278,15.02
14.94,15.07,14.87,2018,15.01,2016-07-25T04:00:00Z,344874,14.94
15.06,15.08,14.9,1849,14.92,2016-07-26T04:00:00Z,339608,15.02
15.2,15.28,15.0,2143,15.01,2016-07-27T04:00:00Z,401638,15.16
15.04,15.26,15.03,1243,15.19,2016-07-28T04:00:00Z,240412,15.08
14.82,15.07,14.79,2343,15.0,2016-07-29T04:00:00Z,732998,14.87
14.61,14.97,14.6,1777,14.85,2016-08-01T04:00:00Z,410154,14.76
14.52,14.7,14.44,1494,14.61,2016-08-02T04:00:00Z,286220,14.54
14.81,14.83,14.49,1757,14.49,2016-08-03T04:00:00Z,348172,14.74
14.84,14.91,14.79,937,14.79,2016-08-04T04:00:00Z,132954,14.84
15.33,15.37,14.92,1840,14.97,2016-08-05T04:00:00Z,449496,15.28
15.26,15.43,14.82,1110,15.39,2016-08-08T04:00:00Z,183866,15.26
15.29,15.39,15.18,1207,15.23,2016-08-09T04:00:00Z,258056,15.26
15.04,15.29,15.04,1164,15.27,2016-08-10T04:00:00Z,179926,15.08
15.04,15.2,15.03,1042,15.07,2016-08-11T04:00:00Z,227738,15.08
15.02,15.05,14.82,1202,14.96,2016-08-12T04:00:00Z,238928,14.96
15.26,15.3,15.02,932,15.02,2016-08-15T04:00:00Z,207520,15.24
15.21,15.26,15.0,997,15.17,2016-08-16T04:00:00Z,200186,15.21
