c,h,l,n,o,t,v,vw
10.92,11.14,10.69,54,11.14,2016-01-04T05:00:00Z,13193,10.93
10.68,10.85,10.63,18,10.69,2016-01-05T05:00:00Z,1741,10.68
10.47,10.67,10.47,24,10.67,2016-01-06T05:00:00Z,7339,10.57
10.29,10.66,10.29,32,10.41,2016-01-07T05:00:00Z,5725,10.45
10.36,10.48,10.24,31,10.48,2016-01-08T05:00:00Z,3753,10.34
10.23,10.31,10.23,20,10.31,2016-01-11T05:00:00Z,4490,10.28
10.13,10.25,10.1,152,10.23,2016-01-12T05:00:00Z,34288,10.16
9.896,10.3,9.896,59,10.27,2016-01-13T05:00:00Z,12385,10.09
9.896,10.06,9.754,318,9.928,2016-01-14T05:00:00Z,53550,9.908
9.754,9.897,9.585,40,9.897,2016-01-15T05:00:00Z,11324,9.68
9.646,9.822,9.58,333,9.779,2016-01-19T05:00:00Z,101425,9.69
9.781,9.781,9.363,30,9.363,2016-01-20T05:00:00Z,5265,9.725
9.619,9.823,9.396,231,9.423,2016-01-21T05:00:00Z,104425,9.487
9.822,9.998,9.765,296,9.869,2016-01-22T05:00:00Z,105138,9.849
9.842,9.964,9.762,163,9.788,2016-01-25T05:00:00Z,76040,9.832
10.04,10.08,9.849,52,10.03,2016-01-26T05:00:00Z,12396,9.931
9.896,10.07,9.896,13,10.0,2016-01-27T05:00:00Z,4418,10.03
10.05,10.08,9.985,27,10.06,2016-01-28T05:00:00Z,10674,10.01
10.32,10.32,10.29,12,10.29,2016-01-29T05:00:00Z,2673,10.3
10.22,10.35,10.21,83,10.35,2016-02-01T05:00:00Z,31438,10.25
10.1,10.22,10.04,106,10.14,2016-02-02T05:00:00Z,19244,10.09
10.27,10.32,10.15,57,10.27,2016-02-03T05:00:00Z,41333,10.23
10.31,10.45,10.27,310,10.27,2016-02-04T05:00:00Z,59418,10.31
10.19,10.25,10.19,13,10.25,2016-02-05T05:00:00Z,2454,10.22
10.24,10.24,10.05,42,10.14,2016-02-08T05:00:00Z,6239,10.14
10.08,10.18,9.994,8,10.18,2016-02-09T05:00:00Z,1334,10.08
10.07,10.18,10.07,19,10.16,2016-02-10T05:00:00Z,3850,10.12
10.02,10.05,9.998,23,10.03,2016-02-11T05:00:00Z,3293,10.01
10.08,10.11,10.04,53,10.11,2016-02-12T05:00:00Z,15912,10.07
10.12,10.12,10.12,1,10.12,2016-02-16T05:00:00Z,330,10.12
10.32,10.32,10.28,2,10.28,2016-02-17T05:00:00Z,1341,10.31
10.31,10.4,10.31,2,10.4,2016-02-18T05:00:00Z,390,10.37
10.38,10.38,10.38,2,10.38,2016-02-19T05:00:00Z,389,10.38
