c,h,l,n,o,t,v,vw
9.7,9.7,9.55,17,9.55,2022-02-09T05:00:00Z,377140,9.699636
9.7,9.7,9.7,9,9.7,2022-02-10T05:00:00Z,76068,9.700027
9.7,9.7,9.7,0,9.7,2022-02-11T05:00:00Z,0,0.0
9.7,9.7,9.7,0,9.7,2022-02-14T05:00:00Z,0,0.0
9.7,9.7,9.7,0,9.7,2022-02-15T05:00:00Z,0,0.0
9.7,9.7,9.7,0,9.7,2022-02-16T05:00:00Z,0,0.0
9.7,9.7,9.7,0,9.7,2022-02-17T05:00:00Z,0,0.0
9.7,9.7,9.7,0,9.7,2022-02-18T05:00:00Z,0,0.0
9.75,9.75,9.74,6,9.74,2022-02-22T05:00:00Z,30028,9.746687
9.75,9.75,9.75,13,9.75,2022-02-23T05:00:00Z,1102,9.750036
9.75,9.75,9.75,18,9.75,2022-02-24T05:00:00Z,8900,9.75
9.75,9.76,9.75,66,9.75,2022-02-25T05:00:00Z,79929,9.75008
9.76,9.77,9.75,6,9.75,2022-02-28T05:00:00Z,22503,9.751779
9.76,9.77,9.76,21,9.76,2022-03-01T05:00:00Z,5500,9.764545
9.77,9.77,9.77,4,9.77,2022-03-02T05:00:00Z,3000,9.77
9.77,9.77,9.77,4,9.77,2022-03-03T05:00:00Z,600,9.77
9.77,9.77,9.77,2,9.77,2022-03-04T05:00:00Z,601,9.770008
9.77,9.77,9.77,0,9.77,2022-03-07T05:00:00Z,0,0.0
9.78,9.78,9.78,7,9.78,2022-03-08T05:00:00Z,839,9.779547
9.78,9.78,9.78,0,9.78,2022-03-09T05:00:00Z,0,0.0
9.78,9.78,9.78,0,9.78,2022-03-10T05:00:00Z,0,0.0
9.78,9.78,9.78,0,9.78,2022-03-11T05:00:00Z,0,0.0
9.78,9.78,9.78,0,9.78,2022-03-14T04:00:00Z,0,0.0
9.78,9.78,9.78,0,9.78,2022-03-15T04:00:00Z,0,0.0
9.78,9.78,9.78,0,9.78,2022-03-16T04:00:00Z,0,0.0
9.78,9.78,9.78,0,9.78,2022-03-17T04:00:00Z,0,0.0
9.78,9.78,9.78,0,9.78,2022-03-18T04:00:00Z,0,0.0
9.76,9.78,9.75,152,9.77,2022-03-21T04:00:00Z,44609,9.767256
9.76,9.76,9.76,11,9.76,2022-03-22T04:00:00Z,1089,9.762452
9.76,9.76,9.76,0,9.76,2022-03-23T04:00:00Z,0,0.0
9.77,9.77,9.77,44,9.77,2022-03-24T04:00:00Z,4472,9.769866
9.77,9.77,9.77,0,9.77,2022-03-25T04:00:00Z,0,0.0
9.77,9.77,9.77,0,9.77,2022-03-28T04:00:00Z,0,0.0
9.77,9.77,9.77,8,9.77,2022-03-29T04:00:00Z,1000,9.77
9.78,9.78,9.7799,13,9.78,2022-03-30T04:00:00Z,44000,9.779989
9.77,9.78,9.77,50,9.77,2022-03-31T04:00:00Z,52394,9.778798
9.77,9.77,9.76,379,9.77,2022-04-01T04:00:00Z,83446,9.76978
9.8,9.8,9.77,100,9.77,2022-04-04T04:00:00Z,193270,9.78852
9.8,9.8,9.8,12,9.8,2022-04-05T04:00:00Z,1004,9.8
9.8,9.8,9.8,0,9.8,2022-04-06T04:00:00Z,0,0.0
9.83,9.83,9.8,4,9.83,2022-04-07T04:00:00Z,306,9.820196
9.83,9.83,9.83,5,9.83,2022-04-08T04:00:00Z,1208,9.829853
9.82,9.82,9.82,4,9.82,2022-04-11T04:00:00Z,6000,9.82
9.82,9.82,9.82,0,9.82,2022-04-12T04:00:00Z,0,0.0
9.8,9.8,9.79,117,9.8,2022-04-13T04:00:00Z,60260,9.791703
9.8,9.8,9.8,0,9.8,2022-04-14T04:00:00Z,0,0.0
9.81,9.81,9.81,2,9.81,2022-04-18T04:00:00Z,400,9.8075
9.81,9.82,9.8,308,9.81,2022-04-19T04:00:00Z,60800,9.811497
9.81,9.81,9.8,50,9.81,2022-04-20T04:00:00Z,282867,9.808861
9.81,9.81,9.81,61,9.81,2022-04-21T04:00:00Z,282167,9.810002
9.81,9.81,9.81,0,9.81,2022-04-22T04:00:00Z,0,0.0
9.81,9.82,9.81,18,9.82,2022-04-25T04:00:00Z,105500,9.819479
9.82,9.82,9.82,3,9.82,2022-04-26T04:00:00Z,50002,9.82
9.82,9.82,9.82,0,9.82,2022-04-27T04:00:00Z,0,0.0
9.82,9.82,9.82,9,9.82,2022-04-28T04:00:00Z,53004,9.82
9.82,9.82,9.82,0,9.82,2022-04-29T04:00:00Z,0,0.0
9.82,9.82,9.82,0,9.82,2022-05-02T04:00:00Z,0,0.0
9.82,9.825,9.82,100,9.82,2022-05-03T04:00:00Z,77571,9.821347
9.82,9.82,9.82,9,9.82,2022-05-04T04:00:00Z,30156,9.820019
9.82,9.82,9.82,2,9.82,2022-05-05T04:00:00Z,5002,9.82
9.81,9.81,9.81,3,9.81,2022-05-06T04:00:00Z,201,9.81005
9.78,9.8,9.77,293,9.8,2022-05-09T04:00:00Z,390755,9.779274
9.79,9.79,9.74,273,9.78,2022-05-10T04:00:00Z,677945,9.760081
9.75,9.77,9.75,20,9.77,2022-05-11T04:00:00Z,664000,9.768837
9.71,9.77,9.71,33,9.77,2022-05-12T04:00:00Z,655910,9.767884
9.74,9.74,9.7,29,9.71,2022-05-13T04:00:00Z,19029,9.733276
9.73,9.73,9.73,4,9.73,2022-05-16T04:00:00Z,150,9.73332
9.73,9.73,9.73,3,9.73,2022-05-17T04:00:00Z,102,9.730564
9.76,9.76,9.74,7,9.74,2022-05-18T04:00:00Z,5204,9.758055
9.76,9.76,9.76,0,9.76,2022-05-19T04:00:00Z,0,0.0
9.76,9.76,9.76,0,9.76,2022-05-20T04:00:00Z,0,0.0
9.76,9.76,9.76,0,9.76,2022-05-23T04:00:00Z,0,0.0
9.76,9.76,9.76,0,9.76,2022-05-24T04:00:00Z,0,0.0
9.76,9.76,9.76,0,9.76,2022-05-25T04:00:00Z,0,0.0
9.77,9.77,9.77,25,9.77,2022-05-26T04:00:00Z,20500,9.77
9.755,9.755,9.755,3,9.755,2022-05-27T04:00:00Z,94704,9.755037
9.74,9.79,9.74,9,9.79,2022-05-31T04:00:00Z,179405,9.74368
9.74,9.74,9.74,0,9.74,2022-06-01T04:00:00Z,0,0.0
9.74,9.74,9.74,0,9.74,2022-06-02T04:00:00Z,0,0.0
9.8,9.81,9.75,27,9.79,2022-06-03T04:00:00Z,5460,9.797619
9.8,9.8,9.8,34,9.8,2022-06-06T04:00:00Z,63224,9.799991
9.8,9.8,9.8,0,9.8,2022-06-07T04:00:00Z,0,0.0
9.76,9.76,9.76,3,9.76,2022-06-08T04:00:00Z,201,9.76
9.76,9.76,9.76,1,9.76,2022-06-09T04:00:00Z,100,9.76
9.76,9.76,9.76,0,9.76,2022-06-10T04:00:00Z,0,0.0
9.8,9.8,9.8,4,9.8,2022-06-13T04:00:00Z,3301,9.799988
9.8,9.8,9.8,59,9.8,2022-06-14T04:00:00Z,47000,9.8
9.76,9.76,9.76,2,9.76,2022-06-15T04:00:00Z,461,9.76
9.76,9.76,9.76,0,9.76,2022-06-16T04:00:00Z,0,0.0
9.76,9.76,9.76,0,9.76,2022-06-17T04:00:00Z,0,0.0
9.79,9.79,9.79,22,9.79,2022-06-21T04:00:00Z,809,9.795247
9.79,9.79,9.79,0,9.79,2022-06-22T04:00:00Z,0,0.0
9.78,9.79,9.78,3,9.79,2022-06-23T04:00:00Z,375300,9.780003
9.78,9.79,9.78,5,9.79,2022-06-24T04:00:00Z,303,9.783333
9.78,9.78,9.78,0,9.78,2022-06-27T04:00:00Z,0,0.0
9.79,9.79,9.79,6,9.79,2022-06-28T04:00:00Z,1000,9.79
9.79,9.79,9.79,0,9.79,2022-06-29T04:00:00Z,0,0.0
9.78,9.8,9.78,64,9.785,2022-06-30T04:00:00Z,113850,9.780295
9.78,9.78,9.78,0,9.78,2022-07-01T04:00:00Z,0,0.0
9.79,9.79,9.79,16,9.79,2022-07-05T04:00:00Z,339139,9.78999
9.81,9.81,9.81,4,9.81,2022-07-06T04:00:00Z,235,9.807021
9.81,9.81,9.81,0,9.81,2022-07-07T04:00:00Z,0,0.0
9.79,9.81,9.78,33,9.81,2022-07-08T04:00:00Z,3122,9.800583
9.78,9.79,9.78,4,9.79,2022-07-11T04:00:00Z,5102,9.789804
9.8,9.8,9.8,6,9.8,2022-07-12T04:00:00Z,600,9.8
9.82,9.82,9.8,46,9.8,2022-07-13T04:00:00Z,6802,9.800623
9.82,9.82,9.81,58,9.81,2022-07-14T04:00:00Z,4212,9.811465
9.81,9.82,9.81,31,9.82,2022-07-15T04:00:00Z,25200,9.819921
9.81,9.84,9.81,36,9.81,2022-07-18T04:00:00Z,447650,9.837093
9.81,9.81,9.81,0,9.81,2022-07-19T04:00:00Z,0,0.0
9.82,9.82,9.81,49,9.81,2022-07-20T04:00:00Z,50300,9.81006
9.82,9.82,9.81,92,9.81,2022-07-21T04:00:00Z,80107,9.813736
9.81,9.84,9.81,107,9.82,2022-07-22T04:00:00Z,60541,9.810107
9.82,9.83,9.81,107,9.81,2022-07-25T04:00:00Z,45417,9.817068
9.82,9.825,9.82,106,9.82,2022-07-26T04:00:00Z,26647,9.821133
9.83,9.83,9.83,75,9.83,2022-07-27T04:00:00Z,51250,9.830087
9.85,9.85,9.82,64,9.85,2022-07-28T04:00:00Z,10702,9.829432
9.83,9.85,9.83,91,9.85,2022-07-29T04:00:00Z,6882,9.843243
9.82,9.86,9.82,32,9.86,2022-08-01T04:00:00Z,8987,9.830626
9.84,9.84,9.84,134,9.84,2022-08-02T04:00:00Z,900,9.845578
9.84,9.84,9.83,11,9.84,2022-08-03T04:00:00Z,957,9.836573
9.825,9.83,9.7962,364,9.7962,2022-08-04T04:00:00Z,37870,9.82046
9.84,9.84,9.815,80,9.84,2022-08-05T04:00:00Z,167424,9.839583
9.84,9.85,9.84,10,9.845,2022-08-08T04:00:00Z,1300,9.843846
9.84,9.84,9.84,41,9.84,2022-08-09T04:00:00Z,28609,9.84
9.835,9.84,9.8,125,9.83,2022-08-10T04:00:00Z,131135,9.827682
9.84,9.85,9.84,86,9.84,2022-08-11T04:00:00Z,27758,9.840108
9.84,9.84,9.84,30,9.84,2022-08-12T04:00:00Z,2802,9.839996
