c,h,l,n,o,t,v,vw
39.39,39.52,39.28,37,39.28,2017-11-03T04:00:00Z,6456,39.48
39.39,39.39,39.39,0,39.39,2017-11-06T05:00:00Z,0,0.0
39.52,39.52,39.52,2,39.52,2017-11-07T05:00:00Z,600,39.52
39.48,39.48,39.41,20,39.41,2017-11-08T05:00:00Z,3000,39.44
39.47,39.48,39.46,60,39.47,2017-11-09T05:00:00Z,5920,39.48
39.47,39.47,39.47,0,39.47,2017-11-10T05:00:00Z,0,0.0
39.38,39.43,39.38,83,39.43,2017-11-13T05:00:00Z,17000,39.38
39.48,39.48,39.48,13,39.48,2017-11-14T05:00:00Z,1203,39.48
39.48,39.48,39.48,4,39.48,2017-11-15T05:00:00Z,418,39.48
39.48,39.48,39.48,0,39.48,2017-11-16T05:00:00Z,0,0.0
39.52,39.53,39.52,13,39.53,2017-11-17T05:00:00Z,1700,39.53
39.55,39.56,39.55,2,39.56,2017-11-20T05:00:00Z,600,39.55
39.54,39.54,39.54,1,39.54,2017-11-21T05:00:00Z,300,39.54
39.54,39.54,39.54,0,39.54,2017-11-22T05:00:00Z,0,0.0
39.54,39.54,39.54,0,39.54,2017-11-24T05:00:00Z,0,0.0
39.54,39.54,39.54,0,39.54,2017-11-27T05:00:00Z,0,0.0
39.54,39.54,39.54,0,39.54,2017-11-28T05:00:00Z,0,0.0
39.54,39.54,39.54,0,39.54,2017-11-29T05:00:00Z,0,0.0
39.54,39.54,39.54,0,39.54,2017-11-30T05:00:00Z,0,0.0
39.54,39.54,39.54,0,39.54,2017-12-01T05:00:00Z,0,0.0
39.54,39.54,39.54,0,39.54,2017-12-04T05:00:00Z,0,0.0
39.54,39.54,39.54,0,39.54,2017-12-05T05:00:00Z,0,0.0
39.54,39.54,39.54,0,39.54,2017-12-06T05:00:00Z,0,0.0
39.92,39.92,39.88,5,39.88,2017-12-07T05:00:00Z,802,39.89
39.56,39.81,39.56,9,39.8,2017-12-08T05:00:00Z,1509,39.75
39.56,39.56,39.56,0,39.56,2017-12-11T05:00:00Z,0,0.0
39.56,39.56,39.56,0,39.56,2017-12-12T05:00:00Z,0,0.0
39.79,39.79,39.79,4,39.79,2017-12-13T05:00:00Z,403,39.79
39.85,39.96,39.71,16,39.77,2017-12-14T05:00:00Z,2453,39.86
