c,h,l,n,o,t,v,vw
0.624,0.85,0.6012,562,0.764,2023-08-22T04:00:00Z,146361,0.708736
0.5801,0.65,0.56,28,0.65,2023-08-23T04:00:00Z,13236,0.582446
0.58,0.7,0.58,106,0.6,2023-08-24T04:00:00Z,43549,0.616548
0.5099,0.65,0.5099,114,0.61,2023-08-25T04:00:00Z,14904,0.582639
0.47,0.5,0.47,15,0.5,2023-08-28T04:00:00Z,27420,0.499791
0.6,0.6,0.6,1,0.6,2023-08-29T04:00:00Z,201,0.6
0.67,0.73,0.6,38,0.6,2023-08-30T04:00:00Z,62928,0.658683
0.73,0.73,0.67,20,0.7,2023-08-31T04:00:00Z,52097,0.702535
0.77,0.77,0.7,21,0.73,2023-09-01T04:00:00Z,2120,0.736107
0.68,0.8817,0.68,6,0.8817,2023-09-05T04:00:00Z,6600,0.685057
0.88,1.99,0.68,42,0.72,2023-09-06T04:00:00Z,39900,0.95831
0.6798,0.7,0.6798,17,0.7,2023-09-07T04:00:00Z,6390,0.682308
0.6798,0.6798,0.6798,0,0.6798,2023-09-08T04:00:00Z,0,0.0
0.6798,0.6798,0.6798,0,0.6798,2023-09-11T04:00:00Z,0,0.0
0.6798,0.6798,0.6798,0,0.6798,2023-09-12T04:00:00Z,0,0.0
0.6798,0.6798,0.6798,0,0.6798,2023-09-13T04:00:00Z,0,0.0
0.5,0.53,0.5,10,0.53,2023-09-14T04:00:00Z,14610,0.501232
0.495,0.688,0.3513,32,0.3513,2023-09-15T04:00:00Z,1224,0.448819
0.462,0.462,0.462,1,0.462,2023-09-18T04:00:00Z,997,0.462
0.462,0.462,0.462,0,0.462,2023-09-19T04:00:00Z,0,0.0
0.6348,0.6348,0.5237,5,0.6348,2023-09-20T04:00:00Z,420,0.607025
0.6348,0.6348,0.6348,0,0.6348,2023-09-21T04:00:00Z,0,0.0
0.51,0.636,0.4079,66,0.4383,2023-09-22T04:00:00Z,4457,0.49864
0.5828,0.585,0.28,45,0.4979,2023-09-25T04:00:00Z,4267,0.469579
0.4916,0.53,0.48,7,0.53,2023-09-26T04:00:00Z,498,0.5079
0.55,0.8026,0.3598,242,0.53,2023-09-27T04:00:00Z,62071,0.563565
0.6897,0.89,0.4482,174,0.4499,2023-09-28T04:00:00Z,13893,0.655323
0.5901,0.7483,0.43,95,0.65,2023-09-29T04:00:00Z,10728,0.617895
0.5221,0.5221,0.3811,17,0.3811,2023-10-02T04:00:00Z,1350,0.463354
0.65,0.65,0.59,17,0.59,2023-10-03T04:00:00Z,7445,0.646755
0.4,0.6086,0.4,38,0.6086,2023-10-04T04:00:00Z,8948,0.474058
0.4,0.4,0.4,0,0.4,2023-10-05T04:00:00Z,0,0.0
0.5,0.5,0.43,21,0.4655,2023-10-06T04:00:00Z,2936,0.449455
0.5,0.5,0.5,0,0.5,2023-10-09T04:00:00Z,0,0.0
0.5,0.5,0.5,0,0.5,2023-10-10T04:00:00Z,0,0.0
0.4919,0.5744,0.4919,5,0.57,2023-10-11T04:00:00Z,500,0.54586
0.4919,0.4919,0.4919,0,0.4919,2023-10-12T04:00:00Z,0,0.0
0.45,0.45,0.45,2,0.45,2023-10-13T04:00:00Z,200,0.45
0.45,0.45,0.45,0,0.45,2023-10-16T04:00:00Z,0,0.0
