c,h,l,n,o,t,v,vw
13530.0,14300.0,12650.0,699,14300.0,2017-08-08T04:00:00Z,143,13439.35
13178.0,13598.2,13090.0,325,13574.0,2017-08-09T04:00:00Z,92,13263.83
12243.0,12958.0,11891.0,199,12584.0,2017-08-10T04:00:00Z,49,12413.97
13299.0,13365.0,12210.0,236,12210.0,2017-08-11T04:00:00Z,61,12942.08
13485.12,14415.72,13310.0,306,13365.0,2017-08-14T04:00:00Z,72,13449.69
14502.4,14597.0,13222.0,522,13530.0,2017-08-15T04:00:00Z,139,13740.8
14150.51,14547.5,14080.11,364,14135.0,2017-08-16T04:00:00Z,89,14322.38
14179.0,14278.0,14036.0,193,14278.0,2017-08-17T04:00:00Z,49,14198.39
14190.0,14267.0,14067.13,183,14267.0,2017-08-18T04:00:00Z,56,14204.83
14091.0,14201.0,13983.97,168,14190.0,2017-08-21T04:00:00Z,41,14153.96
13750.0,14146.0,13270.84,187,14146.0,2017-08-22T04:00:00Z,51,13921.38
13794.0,13970.0,13453.0,135,13860.0,2017-08-23T04:00:00Z,26,13885.52
13772.0,13827.0,13332.0,365,13821.61,2017-08-24T04:00:00Z,83,13735.6
13750.0,14026.21,13420.0,479,13805.0,2017-08-25T04:00:00Z,107,13729.5
13607.0,13772.0,13530.0,258,13552.0,2017-08-28T04:00:00Z,67,13643.83
13574.0,13728.0,13420.0,266,13574.0,2017-08-29T04:00:00Z,63,13632.51
13629.0,13739.0,13497.0,350,13640.0,2017-08-30T04:00:00Z,75,13653.99
13640.0,13717.0,13629.0,242,13706.0,2017-08-31T04:00:00Z,59,13683.97
13585.0,13706.0,13530.0,203,13706.0,2017-09-01T04:00:00Z,55,13634.28
13552.0,13618.0,13475.0,287,13530.0,2017-09-05T04:00:00Z,67,13580.77
13959.0,14829.32,13541.0,409,13596.0,2017-09-06T04:00:00Z,120,13794.27
13970.0,14058.0,13596.0,344,14058.0,2017-09-07T04:00:00Z,68,13895.84
14003.0,14003.0,13596.0,231,14003.0,2017-09-08T04:00:00Z,54,13959.43
14047.0,14058.0,13750.0,240,13860.0,2017-09-11T04:00:00Z,54,14011.0
14091.0,14212.0,13970.0,262,14080.0,2017-09-12T04:00:00Z,64,14094.45
14982.0,15014.12,14065.7,637,14113.0,2017-09-13T04:00:00Z,168,14489.35
15070.0,15180.0,14916.0,393,15092.0,2017-09-14T04:00:00Z,101,15019.92
15686.0,15686.0,15147.0,642,15169.0,2017-09-15T04:00:00Z,162,15378.77
16192.0,16192.0,15565.0,635,15620.0,2017-09-18T04:00:00Z,162,15838.47
16522.0,16566.0,16170.0,661,16203.0,2017-09-19T04:00:00Z,156,16406.32
16500.0,16676.0,16005.0,557,16676.0,2017-09-20T04:00:00Z,152,16385.38
16544.0,16621.0,16335.0,501,16599.0,2017-09-21T04:00:00Z,122,16483.64
16456.0,16665.0,16214.0,601,16500.11,2017-09-22T04:00:00Z,166,16440.33
17578.0,18293.0,16489.0,977,16499.89,2017-09-25T04:00:00Z,196,17333.7
19932.0,20839.28,17853.0,1439,17853.0,2017-09-26T04:00:00Z,225,18972.2
22044.0,22044.0,19261.0,1116,19261.0,2017-09-27T04:00:00Z,216,20681.24
22044.0,22055.0,21417.0,1094,21835.0,2017-09-28T04:00:00Z,223,21768.5
21956.0,21978.0,21428.0,631,21879.0,2017-09-29T04:00:00Z,136,21731.49
23155.0,23441.0,21681.0,760,21901.0,2017-10-02T04:00:00Z,161,22262.83
22935.0,23540.0,20302.59,924,23034.0,2017-10-03T04:00:00Z,158,22388.51
25520.0,25597.0,21395.0,1874,23100.0,2017-10-04T04:00:00Z,286,22474.75
25421.0,25575.0,21978.0,1849,25322.0,2017-10-05T04:00:00Z,267,23540.22
25190.0,27225.0,24233.0,1018,25036.0,2017-10-06T04:00:00Z,155,25159.57
26037.0,26378.0,24794.0,1165,25311.0,2017-10-09T04:00:00Z,205,25574.21
25861.0,26224.0,24750.0,1270,25905.0,2017-10-10T04:00:00Z,221,25443.28
25828.0,25996.08,24805.0,949,25795.0,2017-10-11T04:00:00Z,166,25251.96
25080.0,25959.89,24310.0,998,25817.0,2017-10-12T04:00:00Z,140,25126.72
24805.0,25311.0,24640.0,500,24981.0,2017-10-13T04:00:00Z,76,24871.48
25190.0,25245.0,24420.0,817,25003.0,2017-10-16T04:00:00Z,135,24855.22
24706.0,25278.0,24596.0,879,25278.0,2017-10-17T04:00:00Z,118,24803.06
31790.0,33000.0,23117.6,2008,24882.0,2017-10-18T04:00:00Z,304,28537.56
32125.5,33693.0,28072.0,1702,31900.0,2017-10-19T04:00:00Z,265,31331.41
32461.0,33110.0,30470.0,2233,32010.0,2017-10-20T04:00:00Z,269,31575.39
34617.0,36299.89,31746.0,2282,32461.0,2017-10-23T04:00:00Z,361,33460.3
35321.0,36739.89,33539.0,2281,34111.0,2017-10-24T04:00:00Z,342,34859.77
36311.0,37037.0,34650.0,2564,34892.0,2017-10-25T04:00:00Z,430,35900.44
41085.0,42251.0,36520.0,2416,36520.0,2017-10-26T04:00:00Z,409,40049.43
44154.0,46066.35,39094.0,3324,41635.0,2017-10-27T04:00:00Z,491,43648.45
45430.0,46750.0,41800.0,3609,44165.0,2017-10-30T04:00:00Z,584,44669.0
45540.0,47629.45,43043.0,3393,45430.0,2017-10-31T04:00:00Z,542,45077.24
33220.0,45496.0,33000.0,4442,45485.0,2017-11-01T04:00:00Z,604,42342.62
41679.0,41679.0,36300.0,1641,36300.0,2017-11-02T04:00:00Z,203,38865.37
42845.0,43736.0,40205.0,1797,41327.0,2017-11-03T04:00:00Z,275,41803.31
44418.0,44858.0,42020.11,2836,42328.0,2017-11-06T05:00:00Z,465,43714.51
52470.0,52800.0,44385.0,2715,44572.0,2017-11-07T05:00:00Z,400,50517.82
53284.0,53350.0,51018.0,2364,52041.0,2017-11-08T05:00:00Z,376,52356.94
53053.0,53130.0,46267.1,2122,52657.0,2017-11-09T05:00:00Z,344,51864.83
54230.0,54439.0,52228.0,1558,52228.0,2017-11-10T05:00:00Z,285,53023.25
53251.0,54230.0,52910.0,1771,52910.0,2017-11-13T05:00:00Z,317,53581.83
54769.0,55737.0,51678.0,1873,52723.0,2017-11-14T05:00:00Z,317,53725.24
60720.0,61435.0,54549.0,2096,55572.0,2017-11-15T05:00:00Z,365,58336.54
63294.0,64251.0,60148.0,1950,60896.0,2017-11-16T05:00:00Z,315,62254.9
65010.0,65098.0,62920.0,2007,63294.0,2017-11-17T05:00:00Z,329,64352.82
66682.0,68365.0,64416.0,2743,64900.0,2017-11-20T05:00:00Z,425,66474.63
65538.0,67903.0,61380.0,3856,64889.0,2017-11-21T05:00:00Z,554,64697.08
64526.0,65945.0,64185.0,1745,65560.0,2017-11-22T05:00:00Z,260,65132.25
65230.0,67100.0,63591.0,1152,64020.0,2017-11-24T05:00:00Z,196,65506.6
64481.12,66407.0,63470.0,1919,65758.0,2017-11-27T05:00:00Z,288,65108.91
