c,h,l,n,o,t,v,vw
0.45,0.46,0.45,51,0.45,2021-12-27T05:00:00Z,316605,0.452022
0.4,0.425,0.4,2,0.425,2021-12-28T05:00:00Z,249161,0.400112
0.41,0.41,0.4001,9,0.4001,2021-12-29T05:00:00Z,90500,0.400538
0.39,0.4002,0.3895,154,0.4002,2021-12-30T05:00:00Z,51900,0.391548
0.3899,0.4,0.3899,4,0.4,2021-12-31T05:00:00Z,2150,0.395236
0.39,0.4,0.39,191,0.4,2022-01-03T05:00:00Z,547450,0.390173
0.39,0.39,0.39,2,0.39,2022-01-04T05:00:00Z,182,0.39
0.4,0.4,0.37,25,0.3896,2022-01-05T05:00:00Z,9400,0.383489
0.409899,0.409899,0.37,19,0.3879,2022-01-06T05:00:00Z,9414,0.380734
0.3857,0.4,0.3857,13,0.4,2022-01-07T05:00:00Z,1400,0.3901
0.38,0.4,0.38,101,0.39,2022-01-10T05:00:00Z,95450,0.390694
0.3795,0.38,0.3795,6,0.38,2022-01-11T05:00:00Z,2225,0.379702
0.3748,0.3792,0.37,48,0.3792,2022-01-12T05:00:00Z,17902,0.376688
0.3698,0.37,0.36,75,0.37,2022-01-13T05:00:00Z,56500,0.369394
0.3608,0.3672,0.36,66,0.3672,2022-01-14T05:00:00Z,22800,0.360168
0.36,0.361,0.36,212,0.3608,2022-01-18T05:00:00Z,13320,0.360716
0.36,0.36,0.36,5,0.36,2022-01-19T05:00:00Z,1000,0.36
0.35,0.3599,0.35,73,0.3599,2022-01-20T05:00:00Z,36900,0.352889
0.3445,0.3498,0.3445,34,0.3498,2022-01-21T05:00:00Z,20002,0.347188
0.2901,0.34,0.2901,58,0.34,2022-01-24T05:00:00Z,17596,0.338206
0.31,0.31,0.31,1,0.31,2022-01-25T05:00:00Z,800,0.31
0.2883,0.31,0.2883,4,0.31,2022-01-26T05:00:00Z,7200,0.309699
0.2883,0.2883,0.2883,0,0.2883,2022-01-27T05:00:00Z,0,0.0
0.2401,0.2401,0.2401,1,0.2401,2022-01-28T05:00:00Z,101,0.2401
0.2401,0.2401,0.2401,0,0.2401,2022-01-31T05:00:00Z,0,0.0
0.24,0.2401,0.2384,58,0.2399,2022-02-01T05:00:00Z,43802,0.239932
0.24,0.24,0.24,0,0.24,2022-02-02T05:00:00Z,0,0.0
0.22,0.22,0.2199,3,0.2199,2022-02-03T05:00:00Z,3450,0.219994
0.22,0.22,0.22,0,0.22,2022-02-04T05:00:00Z,0,0.0
0.2001,0.22,0.2,16,0.2199,2022-02-07T05:00:00Z,3799,0.211458
0.25,0.25,0.2399,15,0.2399,2022-02-08T05:00:00Z,45400,0.2411
0.25,0.25,0.2499,3,0.2499,2022-02-09T05:00:00Z,22789,0.249999
0.25,0.25,0.25,0,0.25,2022-02-10T05:00:00Z,0,0.0
0.25,0.25,0.2499,4,0.2499,2022-02-11T05:00:00Z,601,0.24995
0.25,0.25,0.25,0,0.25,2022-02-14T05:00:00Z,0,0.0
0.25,0.25,0.25,0,0.25,2022-02-15T05:00:00Z,0,0.0
0.2579,0.2579,0.14,9,0.14,2022-02-16T05:00:00Z,1455,0.215079
0.2579,0.2579,0.2579,0,0.2579,2022-02-17T05:00:00Z,0,0.0
0.248,0.248,0.248,1,0.248,2022-02-18T05:00:00Z,300,0.248
0.2301,0.24,0.2301,2,0.24,2022-02-22T05:00:00Z,400,0.23505
0.2161,0.2379,0.2161,2,0.2379,2022-02-23T05:00:00Z,400,0.227
0.25,0.25,0.2199,7,0.22,2022-02-24T05:00:00Z,2582,0.224644
0.2899,0.2899,0.2899,2,0.2899,2022-02-25T05:00:00Z,200,0.2899
0.2825,0.29,0.2825,2,0.29,2022-02-28T05:00:00Z,400,0.28625
0.2825,0.2825,0.2825,0,0.2825,2022-03-01T05:00:00Z,0,0.0
0.3,0.3,0.3,2,0.3,2022-03-02T05:00:00Z,200,0.3
0.26,0.2636,0.252999,6,0.263,2022-03-03T05:00:00Z,900,0.259403
0.26,0.26,0.2228,5,0.23,2022-03-04T05:00:00Z,1520,0.233089
0.26,0.26,0.26,0,0.26,2022-03-07T05:00:00Z,0,0.0
0.27,0.28,0.263764,16,0.28,2022-03-08T05:00:00Z,930,0.27367
0.2599,0.28,0.2599,6,0.28,2022-03-09T05:00:00Z,1000,0.2646
0.2072,0.3099,0.2071,6,0.2071,2022-03-10T05:00:00Z,1780,0.224492
0.2072,0.2072,0.2072,0,0.2072,2022-03-11T05:00:00Z,0,0.0
0.299,0.3,0.274415,6,0.274415,2022-03-14T04:00:00Z,800,0.295774
0.29,0.3199,0.288434,10,0.3199,2022-03-15T04:00:00Z,1400,0.294622
0.28,0.28,0.2799,4,0.2799,2022-03-16T04:00:00Z,600,0.279983
0.28,0.2899,0.2798,34,0.28,2022-03-17T04:00:00Z,3918,0.280526
0.274084,0.274084,0.274084,12,0.274084,2022-03-18T04:00:00Z,546,0.274084
0.23,0.2541,0.2287,19,0.2541,2022-03-21T04:00:00Z,3900,0.245069
0.23,0.23,0.23,2,0.23,2022-03-22T04:00:00Z,500,0.23
0.2518,0.3099,0.2518,20,0.2518,2022-03-23T04:00:00Z,1548,0.27495
0.2855,0.2855,0.27,19,0.27,2022-03-24T04:00:00Z,2503,0.279629
0.3099,0.3099,0.26,14,0.296,2022-03-25T04:00:00Z,138900,0.260727
0.2998,0.2999,0.27,9,0.27,2022-03-28T04:00:00Z,1800,0.293501
0.2329,0.3099,0.23,24,0.28,2022-03-29T04:00:00Z,6036,0.26792
0.254,0.255,0.25,6,0.25,2022-03-30T04:00:00Z,1004,0.251474
0.25,0.2551,0.2426,20,0.2551,2022-03-31T04:00:00Z,4800,0.252771
0.2368,0.2499,0.23,10,0.2301,2022-04-01T04:00:00Z,6100,0.233961
0.2518,0.2518,0.2518,2,0.2518,2022-04-04T04:00:00Z,1100,0.2518
0.2518,0.2518,0.2518,0,0.2518,2022-04-05T04:00:00Z,0,0.0
0.246,0.2956,0.246,9,0.27,2022-04-06T04:00:00Z,2102,0.272584
0.246,0.246,0.246,0,0.246,2022-04-07T04:00:00Z,0,0.0
0.246,0.246,0.246,0,0.246,2022-04-08T04:00:00Z,0,0.0
0.246,0.246,0.246,0,0.246,2022-04-11T04:00:00Z,0,0.0
0.2693,0.2693,0.2693,1,0.2693,2022-04-12T04:00:00Z,500,0.2693
0.27,0.2799,0.23,18,0.23,2022-04-13T04:00:00Z,2000,0.264668
0.27,0.27,0.27,0,0.27,2022-04-14T04:00:00Z,0,0.0
0.27,0.27,0.27,0,0.27,2022-04-18T04:00:00Z,0,0.0
0.28,0.29,0.28,7,0.29,2022-04-19T04:00:00Z,1110,0.286145
0.3,0.3099,0.3,6,0.3,2022-04-20T04:00:00Z,1500,0.30066
0.2779,0.3199,0.27,8,0.27,2022-04-21T04:00:00Z,2400,0.276463
0.3199,0.3199,0.27,3,0.27,2022-04-22T04:00:00Z,1300,0.289192
