c,h,l,n,o,t,v,vw
12.79,13.28,12.58,1335,13.28,2016-01-04T05:00:00Z,140048,12.82
12.6,12.95,12.09,702,12.9,2016-01-05T05:00:00Z,82960,12.51
12.23,12.42,11.92,737,12.39,2016-01-06T05:00:00Z,92399,12.14
11.35,12.24,11.26,1114,11.93,2016-01-07T05:00:00Z,126007,11.48
11.4,11.52,10.78,1161,11.36,2016-01-08T05:00:00Z,143010,11.22
10.66,11.36,10.41,1237,11.36,2016-01-11T05:00:00Z,168468,10.77
10.19,10.95,9.495,1370,10.77,2016-01-12T05:00:00Z,176383,10.11
9.782,10.46,9.425,1170,10.27,2016-01-13T05:00:00Z,135381,9.865
9.98,10.18,9.386,983,9.802,2016-01-14T05:00:00Z,119104,9.948
9.871,9.891,9.029,1222,9.633,2016-01-15T05:00:00Z,160425,9.485
9.425,10.23,9.087,834,9.951,2016-01-19T05:00:00Z,110145,9.432
9.822,9.921,8.722,971,9.217,2016-01-20T05:00:00Z,90594,9.403
10.07,10.58,9.733,621,9.802,2016-01-21T05:00:00Z,76527,10.09
10.3,10.8,10.02,660,10.31,2016-01-22T05:00:00Z,77286,10.29
9.842,10.23,9.663,716,10.23,2016-01-25T05:00:00Z,88062,9.881
10.5,10.64,9.921,511,9.921,2016-01-26T05:00:00Z,65516,10.43
10.71,10.95,10.26,648,10.43,2016-01-27T05:00:00Z,82281,10.7
10.51,11.23,10.26,684,10.87,2016-01-28T05:00:00Z,78508,10.65
11.43,11.46,10.5,764,10.5,2016-01-29T05:00:00Z,101119,11.18
11.33,11.43,10.87,566,11.29,2016-02-01T05:00:00Z,53589,11.18
10.97,11.12,10.7,619,11.12,2016-02-02T05:00:00Z,84714,10.97
11.19,11.27,10.66,887,11.09,2016-02-03T05:00:00Z,61604,11.09
11.68,12.35,11.14,697,11.14,2016-02-04T05:00:00Z,90954,11.74
11.55,12.21,11.4,464,11.4,2016-02-05T05:00:00Z,71597,11.64
12.11,12.18,11.38,596,11.45,2016-02-08T05:00:00Z,80815,11.79
11.54,12.27,11.31,512,11.9,2016-02-09T05:00:00Z,57930,11.62
11.25,11.72,11.07,472,11.58,2016-02-10T05:00:00Z,54039,11.35
11.12,11.48,10.87,479,11.02,2016-02-11T05:00:00Z,52847,11.07
12.21,12.55,11.15,1187,11.3,2016-02-12T05:00:00Z,136073,12.21
