c,h,l,n,o,t,v,vw
31.95,31.95,31.5,606,31.72,2016-01-04T05:00:00Z,150477,31.74
31.93,32.05,31.69,981,32.0,2016-01-05T05:00:00Z,199060,31.85
31.27,31.54,31.06,1018,31.49,2016-01-06T05:00:00Z,222962,31.29
30.63,31.08,30.53,767,30.75,2016-01-07T05:00:00Z,203608,30.74
30.21,30.81,30.14,686,30.78,2016-01-08T05:00:00Z,236850,30.48
29.99,30.33,29.66,990,30.31,2016-01-11T05:00:00Z,439726,29.94
30.09,30.34,29.66,1202,30.27,2016-01-12T05:00:00Z,806934,29.94
29.35,30.29,29.26,865,30.21,2016-01-13T05:00:00Z,207074,29.55
29.75,29.92,29.04,789,29.44,2016-01-14T05:00:00Z,214228,29.65
29.06,29.18,28.62,834,28.96,2016-01-15T05:00:00Z,232323,28.94
28.81,29.37,28.52,829,29.37,2016-01-19T05:00:00Z,223992,28.9
28.45,28.72,27.55,1395,28.39,2016-01-20T05:00:00Z,375251,27.96
28.82,29.15,28.32,815,28.47,2016-01-21T05:00:00Z,172970,28.83
29.39,29.6,29.11,762,29.31,2016-01-22T05:00:00Z,141844,29.31
28.64,29.22,28.62,1139,29.22,2016-01-25T05:00:00Z,366808,28.86
29.36,29.4,28.82,656,28.82,2016-01-26T05:00:00Z,148059,29.24
29.24,29.77,29.04,681,29.26,2016-01-27T05:00:00Z,171138,29.34
29.36,29.65,29.08,906,29.54,2016-01-28T05:00:00Z,194952,29.33
30.28,30.28,29.49,1186,29.49,2016-01-29T05:00:00Z,205423,29.99
30.31,30.43,29.9,567,30.04,2016-02-01T05:00:00Z,166512,30.16
29.62,30.0,29.49,493,30.0,2016-02-02T05:00:00Z,106581,29.66
30.11,30.16,29.17,787,29.82,2016-02-03T05:00:00Z,350496,29.79
30.37,30.7,29.99,753,29.99,2016-02-04T05:00:00Z,224794,30.36
30.1,30.39,30.0,543,30.25,2016-02-05T05:00:00Z,135366,30.2
29.58,29.79,29.19,578,29.79,2016-02-08T05:00:00Z,148010,29.47
29.34,29.6,29.1,685,29.27,2016-02-09T05:00:00Z,168507,29.32
29.21,29.65,29.2,740,29.44,2016-02-10T05:00:00Z,332683,29.4
28.75,29.07,28.45,887,28.8,2016-02-11T05:00:00Z,234042,28.75
29.44,29.45,28.86,739,29.03,2016-02-12T05:00:00Z,147309,29.27
30.11,30.12,29.63,548,29.82,2016-02-16T05:00:00Z,145708,29.95
30.78,30.86,30.35,415,30.35,2016-02-17T05:00:00Z,155123,30.76
30.84,30.97,30.63,393,30.86,2016-02-18T05:00:00Z,72159,30.82
30.61,30.65,30.34,428,30.65,2016-02-19T05:00:00Z,92517,30.54
31.31,31.31,30.92,479,30.92,2016-02-22T05:00:00Z,170231,31.22
30.86,31.2,30.82,451,31.18,2016-02-23T05:00:00Z,80607,30.96
31.08,31.11,30.31,722,30.56,2016-02-24T05:00:00Z,142793,30.81
31.38,31.38,30.9,360,31.13,2016-02-25T05:00:00Z,81080,31.12
31.45,31.67,31.38,374,31.61,2016-02-26T05:00:00Z,89586,31.57
31.42,31.72,31.38,427,31.47,2016-02-29T05:00:00Z,76775,31.53
31.99,32.02,31.52,421,31.65,2016-03-01T05:00:00Z,89689,31.85
32.36,32.36,31.84,350,31.91,2016-03-02T05:00:00Z,86856,32.15
32.82,32.84,32.34,386,32.38,2016-03-03T05:00:00Z,115481,32.66
33.09,33.31,32.77,420,32.9,2016-03-04T05:00:00Z,168205,33.18
33.47,33.53,32.92,571,32.92,2016-03-07T05:00:00Z,137647,33.39
32.8,33.33,32.77,317,33.33,2016-03-08T05:00:00Z,72648,32.91
32.98,33.21,32.82,408,32.97,2016-03-09T05:00:00Z,87427,33.03
33.04,33.24,32.67,368,33.1,2016-03-10T05:00:00Z,116433,33.01
33.73,33.74,33.4,389,33.41,2016-03-11T05:00:00Z,87367,33.6
33.62,33.69,33.44,362,33.57,2016-03-14T04:00:00Z,98534,33.59
33.34,33.34,33.09,291,33.31,2016-03-15T04:00:00Z,92486,33.25
33.75,33.81,33.28,473,33.28,2016-03-16T04:00:00Z,122586,33.53
34.19,34.3,33.71,484,33.79,2016-03-17T04:00:00Z,251644,34.19
34.35,34.54,34.22,672,34.33,2016-03-18T04:00:00Z,302701,34.32
34.33,34.44,34.19,276,34.29,2016-03-21T04:00:00Z,57961,34.29
34.22,34.35,34.05,350,34.1,2016-03-22T04:00:00Z,85407,34.24
33.67,34.11,33.66,330,34.11,2016-03-23T04:00:00Z,135974,33.79
33.7,33.7,33.29,576,33.45,2016-03-24T04:00:00Z,533521,33.39
33.7,33.8,33.54,294,33.74,2016-03-28T04:00:00Z,69765,33.68
34.0,34.01,33.44,318,33.54,2016-03-29T04:00:00Z,53512,33.72
34.08,34.29,33.96,247,34.2,2016-03-30T04:00:00Z,52910,34.09
34.12,34.19,34.05,362,34.13,2016-03-31T04:00:00Z,66628,34.13
34.06,34.09,33.65,411,33.92,2016-04-01T04:00:00Z,69254,33.94
33.75,34.1,33.7,259,34.04,2016-04-04T04:00:00Z,55088,33.87
33.28,33.54,33.27,526,33.52,2016-04-05T04:00:00Z,285232,33.43
33.52,33.53,33.09,317,33.33,2016-04-06T04:00:00Z,82812,33.36
33.05,33.44,32.93,343,33.35,2016-04-07T04:00:00Z,71644,33.21
33.17,33.48,33.08,452,33.38,2016-04-08T04:00:00Z,170368,33.22
33.19,33.56,33.19,314,33.28,2016-04-11T04:00:00Z,54769,33.37
33.59,33.66,33.15,235,33.29,2016-04-12T04:00:00Z,44719,33.43
34.2,34.2,33.76,266,33.76,2016-04-13T04:00:00Z,57890,34.12
34.1,34.21,34.01,504,34.11,2016-04-14T04:00:00Z,113364,34.12
34.06,34.13,33.99,294,34.13,2016-04-15T04:00:00Z,80132,34.06
34.26,34.28,33.84,244,33.84,2016-04-18T04:00:00Z,35827,34.15
34.57,34.67,34.34,351,34.34,2016-04-19T04:00:00Z,91609,34.5
34.76,34.88,34.56,401,34.57,2016-04-20T04:00:00Z,145876,34.78
34.53,34.85,34.5,365,34.83,2016-04-21T04:00:00Z,77199,34.64
34.78,34.86,34.53,403,34.53,2016-04-22T04:00:00Z,103078,34.7
34.51,34.64,34.37,303,34.64,2016-04-25T04:00:00Z,61761,34.46
34.81,34.83,34.57,518,34.67,2016-04-26T04:00:00Z,136400,34.75
35.01,35.09,34.76,421,34.88,2016-04-27T04:00:00Z,106609,34.92
34.52,34.96,34.48,357,34.73,2016-04-28T04:00:00Z,72862,34.8
34.07,34.45,33.84,766,34.43,2016-04-29T04:00:00Z,200144,34.0
34.22,34.3,33.98,291,34.14,2016-05-02T04:00:00Z,67280,34.2
