c,h,l,n,o,t,v,vw
21.04,21.04,20.39,120,20.72,2023-03-16T04:00:00Z,31814,20.67
21.5,21.5,21.04,67,21.09,2023-03-17T04:00:00Z,13681,21.15
21.69,21.77,21.42,198,21.69,2023-03-20T04:00:00Z,91920,21.63
21.04,21.04,20.95,16,20.97,2023-03-21T04:00:00Z,3022,21.05
20.82,21.64,20.77,9,21.64,2023-03-22T04:00:00Z,1441,21.12
20.83,20.83,20.82,9,20.82,2023-03-23T04:00:00Z,467,20.81
21.0,21.04,19.96,69,21.04,2023-03-24T04:00:00Z,11173,20.13
21.0,21.0,21.0,0,21.0,2023-03-27T04:00:00Z,0,0.0
19.96,19.96,19.55,28,19.96,2023-03-28T04:00:00Z,3056,19.93
20.0,20.31,20.0,11,20.18,2023-03-29T04:00:00Z,909,20.21
20.13,20.47,19.96,85,19.96,2023-03-30T04:00:00Z,17110,19.98
21.02,21.04,20.14,26,20.14,2023-03-31T04:00:00Z,6612,20.45
21.04,21.04,20.63,47,21.01,2023-04-03T04:00:00Z,13055,20.91
21.13,21.23,20.87,12,20.89,2023-04-04T04:00:00Z,2757,21.02
21.27,21.27,21.23,23,21.25,2023-04-05T04:00:00Z,2232,21.26
21.43,21.54,21.43,9,21.54,2023-04-06T04:00:00Z,1614,21.46
21.38,21.38,21.37,8,21.38,2023-04-10T04:00:00Z,452,21.35
20.61,21.0,20.61,47,21.0,2023-04-11T04:00:00Z,4815,20.87
20.19,20.96,19.96,75,20.82,2023-04-12T04:00:00Z,16565,20.32
19.93,20.59,19.55,78,20.59,2023-04-13T04:00:00Z,15745,19.94
20.05,20.05,19.96,5,19.96,2023-04-14T04:00:00Z,518,20.02
20.52,20.6,20.11,67,20.33,2023-04-17T04:00:00Z,9313,20.4
19.97,20.65,19.97,38,20.64,2023-04-18T04:00:00Z,6776,20.36
20.05,20.61,19.96,55,19.96,2023-04-19T04:00:00Z,11589,20.06
20.96,21.17,19.96,22,19.96,2023-04-20T04:00:00Z,4279,20.41
20.5,20.8,20.39,25,20.8,2023-04-21T04:00:00Z,1711,20.57
20.39,20.44,20.13,33,20.44,2023-04-24T04:00:00Z,2947,20.37
20.39,20.39,20.39,0,20.39,2023-04-25T04:00:00Z,0,0.0
20.18,20.35,19.98,13,20.31,2023-04-26T04:00:00Z,1246,20.21
20.44,20.93,20.27,31,20.61,2023-04-27T04:00:00Z,3160,20.57
20.26,20.26,20.22,8,20.22,2023-04-28T04:00:00Z,3253,20.22
20.58,20.81,20.52,57,20.52,2023-05-01T04:00:00Z,10244,20.61
20.99,20.99,20.99,2,20.99,2023-05-02T04:00:00Z,346,20.95
20.61,20.61,20.61,6,20.61,2023-05-03T04:00:00Z,884,20.62
20.05,20.73,20.03,41,20.73,2023-05-04T04:00:00Z,2369,20.13
20.71,20.71,19.96,67,19.98,2023-05-05T04:00:00Z,9684,20.0
20.71,21.17,19.96,98,19.96,2023-05-08T04:00:00Z,16420,20.25
20.31,20.47,19.96,83,20.25,2023-05-09T04:00:00Z,18801,20.04
20.18,20.7,19.74,48,20.7,2023-05-10T04:00:00Z,9488,20.11
20.39,20.39,20.39,8,20.39,2023-05-11T04:00:00Z,850,20.19
20.25,20.31,19.97,24,19.97,2023-05-12T04:00:00Z,3286,20.15
20.43,20.56,20.25,42,20.5,2023-05-15T04:00:00Z,5731,20.44
20.43,20.43,20.43,0,20.43,2023-05-16T04:00:00Z,0,0.0
20.61,20.83,20.44,18,20.44,2023-05-17T04:00:00Z,2872,20.53
20.58,21.0,20.58,12,20.89,2023-05-18T04:00:00Z,2928,20.73
20.58,20.58,20.58,0,20.58,2023-05-19T04:00:00Z,0,0.0
20.78,20.88,20.78,16,20.83,2023-05-22T04:00:00Z,1427,20.82
20.83,20.87,20.81,19,20.81,2023-05-23T04:00:00Z,1583,20.82
20.18,20.77,20.08,87,20.61,2023-05-24T04:00:00Z,19494,20.52
19.97,20.13,19.97,27,20.11,2023-05-25T04:00:00Z,1436,20.08
20.48,20.83,20.39,16,20.39,2023-05-26T04:00:00Z,3659,20.63
19.89,20.81,19.11,245,20.43,2023-05-30T04:00:00Z,47043,20.04
20.26,20.45,19.89,84,20.4,2023-05-31T04:00:00Z,12747,20.16
19.96,20.7,19.95,80,20.7,2023-06-01T04:00:00Z,13250,20.33
19.71,20.3,19.63,206,20.02,2023-06-02T04:00:00Z,13879,20.04
21.23,21.23,19.63,263,19.78,2023-06-05T04:00:00Z,22561,20.62
20.5,21.23,20.5,20,21.23,2023-06-06T04:00:00Z,903,20.74
21.26,21.35,19.97,201,20.26,2023-06-07T04:00:00Z,15521,20.79
20.54,21.35,20.22,136,21.15,2023-06-08T04:00:00Z,19995,20.66
20.06,20.95,20.06,281,20.37,2023-06-09T04:00:00Z,17648,20.35
20.1,20.48,20.04,151,20.17,2023-06-12T04:00:00Z,14246,20.28
20.4,20.4,20.2,7,20.2,2023-06-13T04:00:00Z,516,20.29
20.39,20.52,19.87,154,20.48,2023-06-14T04:00:00Z,25555,20.13
20.05,20.48,20.05,74,20.48,2023-06-15T04:00:00Z,9827,20.39
20.25,20.43,20.24,39,20.43,2023-06-16T04:00:00Z,2440,20.34
20.28,20.48,20.24,55,20.48,2023-06-20T04:00:00Z,2810,20.37
20.47,20.52,20.04,77,20.33,2023-06-21T04:00:00Z,9832,20.4
20.98,21.17,19.95,40,20.44,2023-06-22T04:00:00Z,6779,20.38
20.49,20.8,20.48,48,20.48,2023-06-23T04:00:00Z,3291,20.57
20.89,20.93,20.53,25,20.53,2023-06-26T04:00:00Z,1768,20.86
20.93,21.06,20.7,78,20.7,2023-06-27T04:00:00Z,12228,20.9
21.19,21.19,20.84,25,21.04,2023-06-28T04:00:00Z,3293,20.89
20.88,21.24,20.84,79,20.93,2023-06-29T04:00:00Z,7058,20.96
20.97,21.02,20.85,32,20.85,2023-06-30T04:00:00Z,3568,20.98
21.24,21.24,21.0,8,21.0,2023-07-03T04:00:00Z,743,21.09
21.19,21.35,21.15,18,21.19,2023-07-05T04:00:00Z,3005,21.21
21.24,21.24,21.15,19,21.19,2023-07-06T04:00:00Z,2009,21.21
20.66,21.28,20.48,84,21.24,2023-07-07T04:00:00Z,9213,20.97
21.46,21.55,20.85,37,20.93,2023-07-10T04:00:00Z,4977,21.23
21.46,21.63,21.15,28,21.16,2023-07-11T04:00:00Z,4660,21.45
21.46,21.46,21.46,0,21.46,2023-07-12T04:00:00Z,0,0.0
21.36,21.56,21.18,19,21.19,2023-07-13T04:00:00Z,2541,21.39
21.43,21.51,21.36,90,21.48,2023-07-14T04:00:00Z,11760,21.41
21.41,21.57,21.36,53,21.57,2023-07-17T04:00:00Z,4475,21.41
21.58,21.58,21.41,16,21.41,2023-07-18T04:00:00Z,1706,21.51
21.44,21.46,21.44,7,21.46,2023-07-19T04:00:00Z,518,21.46
21.51,21.52,21.43,31,21.45,2023-07-20T04:00:00Z,7989,21.47
21.41,21.57,21.36,53,21.57,2023-07-21T04:00:00Z,3503,21.4
21.36,21.5,21.36,31,21.42,2023-07-24T04:00:00Z,6003,21.42
21.46,21.47,21.46,3,21.47,2023-07-25T04:00:00Z,285,21.44
21.37,21.44,21.36,38,21.44,2023-07-26T04:00:00Z,6951,21.38
21.58,21.64,21.41,24,21.58,2023-07-27T04:00:00Z,5680,21.53
21.71,21.71,21.58,32,21.7,2023-07-28T04:00:00Z,2385,21.65
21.8,21.8,21.63,16,21.7,2023-07-31T04:00:00Z,1727,21.72
21.71,21.72,21.61,21,21.61,2023-08-01T04:00:00Z,3691,21.64
21.88,21.88,21.82,7,21.82,2023-08-02T04:00:00Z,258,21.84
21.7,21.7,21.7,2,21.7,2023-08-03T04:00:00Z,302,21.7
21.89,21.89,21.79,5,21.79,2023-08-04T04:00:00Z,342,21.84
21.9,21.93,21.9,25,21.9,2023-08-07T04:00:00Z,2952,21.91
21.81,21.86,21.81,25,21.85,2023-08-08T04:00:00Z,2102,21.84
21.81,21.81,21.77,22,21.77,2023-08-09T04:00:00Z,2637,21.78
21.74,21.84,21.74,18,21.84,2023-08-10T04:00:00Z,1662,21.78
21.98,21.98,21.68,41,21.85,2023-08-11T04:00:00Z,5619,21.84
21.92,21.92,21.92,9,21.92,2023-08-14T04:00:00Z,505,21.86
21.92,21.92,21.92,0,21.92,2023-08-15T04:00:00Z,0,0.0
21.6,21.91,21.6,22,21.74,2023-08-16T04:00:00Z,5139,21.73
21.98,21.99,21.76,39,21.77,2023-08-17T04:00:00Z,5703,21.87
21.98,21.98,21.98,9,21.98,2023-08-18T04:00:00Z,607,21.98
21.98,21.98,21.82,30,21.97,2023-08-21T04:00:00Z,5513,21.84
21.83,21.95,21.73,8,21.95,2023-08-22T04:00:00Z,1122,21.79
