c,h,l,n,o,t,v,vw
11.62,11.64,11.62,10,11.64,2016-01-04T05:00:00Z,838,11.63
11.69,11.69,11.69,6,11.69,2016-01-05T05:00:00Z,505,11.69
11.56,11.61,11.56,8,11.61,2016-01-06T05:00:00Z,818,11.59
11.28,11.47,11.28,3,11.47,2016-01-07T05:00:00Z,355,11.4
11.41,11.41,11.41,7,11.41,2016-01-08T05:00:00Z,2500,11.41
11.29,11.29,11.26,4,11.26,2016-01-11T05:00:00Z,400,11.28
11.29,11.29,11.29,0,11.29,2016-01-12T05:00:00Z,0,0.0
11.29,11.29,11.29,4,11.29,2016-01-13T05:00:00Z,235,11.29
11.27,11.27,11.27,2,11.27,2016-01-14T05:00:00Z,120,11.27
11.1,11.1,11.01,5,11.01,2016-01-15T05:00:00Z,995,11.07
10.94,11.1,10.93,13,11.1,2016-01-19T05:00:00Z,1341,10.98
10.62,10.72,10.62,2,10.72,2016-01-20T05:00:00Z,315,10.69
10.85,10.85,10.85,2,10.85,2016-01-21T05:00:00Z,251,10.85
10.85,10.85,10.85,0,10.85,2016-01-22T05:00:00Z,0,0.0
10.85,10.85,10.85,0,10.85,2016-01-25T05:00:00Z,0,0.0
11.13,11.13,11.02,13,11.04,2016-01-26T05:00:00Z,1802,11.05
11.11,11.11,11.1,3,11.1,2016-01-27T05:00:00Z,230,11.11
11.11,11.11,11.11,0,11.11,2016-01-28T05:00:00Z,0,0.0
11.11,11.11,11.11,0,11.11,2016-01-29T05:00:00Z,0,0.0
11.11,11.11,11.11,0,11.11,2016-02-01T05:00:00Z,0,0.0
11.11,11.11,11.11,0,11.11,2016-02-02T05:00:00Z,0,0.0
11.09,11.14,11.09,4,11.14,2016-02-03T05:00:00Z,1050,11.12
11.22,11.22,11.22,1,11.22,2016-02-04T05:00:00Z,415,11.22
11.22,11.22,11.22,0,11.22,2016-02-05T05:00:00Z,0,0.0
10.99,10.99,10.5,4,10.5,2016-02-08T05:00:00Z,672,10.62
10.99,10.99,10.99,0,10.99,2016-02-09T05:00:00Z,0,0.0
10.99,10.99,10.99,0,10.99,2016-02-10T05:00:00Z,0,0.0
10.99,10.99,10.99,0,10.99,2016-02-11T05:00:00Z,0,0.0
10.99,10.99,10.99,0,10.99,2016-02-12T05:00:00Z,0,0.0
10.99,10.99,10.99,0,10.99,2016-02-16T05:00:00Z,0,0.0
11.19,11.19,11.19,1,11.19,2016-02-17T05:00:00Z,623,11.19
11.19,11.19,11.19,0,11.19,2016-02-18T05:00:00Z,0,0.0
11.19,11.19,11.19,0,11.19,2016-02-19T05:00:00Z,0,0.0
11.19,11.19,11.19,0,11.19,2016-02-22T05:00:00Z,0,0.0
11.24,11.24,11.24,0,11.24,2016-02-23T05:00:00Z,0,0.0
11.24,11.24,11.24,0,11.24,2016-02-24T05:00:00Z,0,0.0
11.24,11.24,11.24,0,11.24,2016-02-25T05:00:00Z,0,0.0
11.43,11.43,11.43,3,11.43,2016-02-26T05:00:00Z,593,11.43
11.39,11.41,11.39,12,11.4,2016-02-29T05:00:00Z,6626,11.4
