c,h,l,n,o,t,v,vw
30.1,30.1,30.1,22,30.1,2023-06-16T04:00:00Z,775,29.82929
32.0,35.0,32.0,97,33.11,2023-06-20T04:00:00Z,9723,32.387078
32.52,34.0,32.0,182,32.5,2023-06-21T04:00:00Z,10887,32.621202
33.25,33.25,32.6,66,32.8,2023-06-22T04:00:00Z,78578,33.082883
33.75,35.47,33.0,99,35.47,2023-06-23T04:00:00Z,107815,33.625396
33.75,33.75,33.75,0,33.75,2023-06-26T04:00:00Z,0,0.0
34.27,35.5,32.82,471,34.0,2023-06-27T04:00:00Z,197078,34.268585
34.26,35.0,34.0,229,34.25,2023-06-28T04:00:00Z,90229,34.270004
35.42,35.5,34.01,2787,34.55,2023-06-29T04:00:00Z,808918,34.724435
34.01,35.76,33.6,6692,35.76,2023-06-30T04:00:00Z,1917225,34.386266
36.84,36.84,32.8,19741,33.8,2023-07-03T04:00:00Z,6506239,35.159658
37.0,37.3,34.2,46372,36.84,2023-07-05T04:00:00Z,23951082,36.628555
33.99,36.61,33.325,50073,35.98,2023-07-06T04:00:00Z,6018852,34.720219
32.22,33.6475,31.14,43147,32.99,2023-07-07T04:00:00Z,7580184,32.238781
30.65,32.06,29.69,48364,31.25,2023-07-10T04:00:00Z,7603635,30.903966
30.85,31.38,29.66,39129,30.3,2023-07-11T04:00:00Z,4523796,30.777586
31.15,31.84,30.65,35030,30.85,2023-07-12T04:00:00Z,3454199,31.169915
32.21,32.44,30.29,19118,31.15,2023-07-13T04:00:00Z,1854047,31.590522
32.52,32.965,31.5,16593,31.87,2023-07-14T04:00:00Z,1999520,32.452382
33.11,33.21,31.75,16753,32.15,2023-07-17T04:00:00Z,2258345,32.830474
33.45,34.03,32.48,15568,32.48,2023-07-18T04:00:00Z,1773486,33.352527
33.36,34.11,33.15,14469,34.11,2023-07-19T04:00:00Z,1584774,33.469837
32.99,33.465,32.6,16676,33.14,2023-07-20T04:00:00Z,1315810,32.979338
32.9,33.14,32.05,17259,32.78,2023-07-21T04:00:00Z,1737056,32.71991
33.79,34.03,31.7525,13090,32.53,2023-07-24T04:00:00Z,1312516,33.282272
33.75,34.0,33.33,10869,33.55,2023-07-25T04:00:00Z,928144,33.789312
33.1,33.7,32.87,8042,33.35,2023-07-26T04:00:00Z,691773,33.183178
33.01,33.22,32.15,8833,33.06,2023-07-27T04:00:00Z,924156,32.930039
31.73,33.25,31.63,7951,33.02,2023-07-28T04:00:00Z,1178013,32.277348
31.96,32.01,29.94,11085,31.12,2023-07-31T04:00:00Z,1628342,31.57488
30.81,31.63,30.71,11592,31.63,2023-08-01T04:00:00Z,791827,31.024961
30.0,31.95,29.72,14916,30.75,2023-08-02T04:00:00Z,1574377,30.357977
30.29,30.64,29.34,12919,29.67,2023-08-03T04:00:00Z,1491217,30.076297
29.77,30.44,29.085,12684,30.27,2023-08-04T04:00:00Z,1191656,29.587693
30.21,31.05,28.35,16404,29.25,2023-08-07T04:00:00Z,1792242,30.031985
30.63,30.85,29.5517,10049,29.72,2023-08-08T04:00:00Z,737268,30.510441
30.06,30.555,29.5801,9494,30.21,2023-08-09T04:00:00Z,742037,30.26867
30.41,30.82,29.53,8137,30.06,2023-08-10T04:00:00Z,434695,30.419769
30.64,31.01,29.88,11434,30.46,2023-08-11T04:00:00Z,1079900,30.593707
26.9,27.69,25.68,36324,26.26,2023-08-14T04:00:00Z,4929285,26.739924
27.18,27.89,26.2601,18842,26.52,2023-08-15T04:00:00Z,1992119,26.97428
27.1,27.55,26.75,12529,26.94,2023-08-16T04:00:00Z,982862,27.097684
26.52,27.385,26.49,9585,27.02,2023-08-17T04:00:00Z,767733,26.673945
26.08,26.77,25.77,10879,26.49,2023-08-18T04:00:00Z,950463,26.115241
25.11,26.02,24.98,13651,26.02,2023-08-21T04:00:00Z,1289949,25.267043
25.14,25.585,24.925,9781,25.06,2023-08-22T04:00:00Z,531830,25.309695
25.36,25.405,24.99,14620,25.15,2023-08-23T04:00:00Z,1183344,25.238307
26.48,26.95,25.93,14222,26.77,2023-08-24T04:00:00Z,1431189,26.525953
27.47,27.69,26.255,15609,26.49,2023-08-25T04:00:00Z,1579034,27.248856
26.82,27.97,26.8,12055,27.48,2023-08-28T04:00:00Z,968047,27.337225
27.05,27.11,26.41,14360,26.9,2023-08-29T04:00:00Z,949013,26.771599
27.24,27.64,26.8,10934,26.96,2023-08-30T04:00:00Z,789859,27.206856
27.55,28.27,26.75,11439,26.96,2023-08-31T04:00:00Z,1269461,27.546118
27.17,27.98,26.97,9020,27.78,2023-09-01T04:00:00Z,575513,27.324505
26.32,27.2,26.05,15340,27.04,2023-09-05T04:00:00Z,1092588,26.47891
25.99,26.71,25.9,18016,26.3,2023-09-06T04:00:00Z,2077705,26.198897
27.0,27.115,25.8,18481,25.95,2023-09-07T04:00:00Z,1356404,26.425886
26.12,26.75,25.89,24268,26.5,2023-09-08T04:00:00Z,1946686,26.202744
26.5,26.55,25.8,20745,26.12,2023-09-11T04:00:00Z,1520448,26.233245
27.61,27.91,26.09,17877,26.56,2023-09-12T04:00:00Z,1546870,27.078293
28.82,29.06,26.64,30264,27.59,2023-09-13T04:00:00Z,2132232,28.710814
29.0,29.74,28.54,27577,28.9,2023-09-14T04:00:00Z,1835718,29.162136
29.22,29.6,28.81,28737,29.02,2023-09-15T04:00:00Z,3757792,29.271918
28.72,29.52,28.31,20157,29.28,2023-09-18T04:00:00Z,1656849,28.818882
28.3,29.41,28.15,11217,29.41,2023-09-19T04:00:00Z,1037555,28.36859
28.85,29.08,28.25,15610,28.585,2023-09-20T04:00:00Z,1269679,28.685186
27.93,28.77,27.81,21122,28.59,2023-09-21T04:00:00Z,2004738,28.127556
27.78,28.28,27.59,21812,27.96,2023-09-22T04:00:00Z,1730806,27.777486
28.56,28.85,27.6,21234,27.86,2023-09-25T04:00:00Z,1640967,28.471318
28.35,28.83,28.035,22285,28.41,2023-09-26T04:00:00Z,1697067,28.472877
29.29,29.31,28.07,21662,28.28,2023-09-27T04:00:00Z,1604139,28.754891
28.66,30.21,28.17,24111,29.44,2023-09-28T04:00:00Z,2572534,28.943786
28.59,29.25,28.46,19285,28.75,2023-09-29T04:00:00Z,1427486,28.818609
27.73,28.915,27.63,12597,28.75,2023-10-02T04:00:00Z,962023,28.049218
27.17,27.7801,27.15,13979,27.52,2023-10-03T04:00:00Z,874164,27.453799
27.22,27.56,26.59,20235,26.79,2023-10-04T04:00:00Z,1716519,27.245507
27.49,27.83,26.62,14098,27.24,2023-10-05T04:00:00Z,1067008,27.515482
27.13,27.695,26.64,10298,27.33,2023-10-06T04:00:00Z,657362,27.319813
28.0,28.08,26.77,11280,27.07,2023-10-09T04:00:00Z,1171741,27.43812
28.6,28.61,27.875,12623,28.01,2023-10-10T04:00:00Z,977005,28.338268
29.25,29.29,27.99,13362,28.22,2023-10-11T04:00:00Z,1038641,28.87729
28.75,29.5,28.64,28211,28.95,2023-10-12T04:00:00Z,2559910,29.068421
29.46,29.55,28.71,16792,28.93,2023-10-13T04:00:00Z,3507524,28.956148
30.11,30.17,29.34,17635,29.55,2023-10-16T04:00:00Z,1745698,29.522358
30.96,31.74,30.29,21737,31.11,2023-10-17T04:00:00Z,1954697,31.104854
29.55,31.08,29.23,11837,30.92,2023-10-18T04:00:00Z,840915,29.630748
29.14,29.97,29.0,14970,29.31,2023-10-19T04:00:00Z,1607029,29.06529
28.46,29.49,28.22,12598,29.43,2023-10-20T04:00:00Z,1226280,28.428111
27.75,28.5088,27.57,10964,28.36,2023-10-23T04:00:00Z,994703,27.961951
28.35,28.54,27.8,10597,28.05,2023-10-24T04:00:00Z,753080,28.345497
27.12,28.23,27.12,10727,27.86,2023-10-25T04:00:00Z,710405,27.537705
27.9,28.04,26.81,12268,27.05,2023-10-26T04:00:00Z,934632,27.685314
27.53,27.91,27.4,12131,27.9,2023-10-27T04:00:00Z,887973,27.582823
27.29,27.7975,26.85,9614,27.75,2023-10-30T04:00:00Z,579757,27.187533
28.4,28.465,27.31,10655,27.32,2023-10-31T04:00:00Z,788207,28.160982
28.26,28.325,27.5,13330,28.26,2023-11-01T04:00:00Z,1084237,28.040983
29.44,29.51,27.77,9486,28.56,2023-11-02T04:00:00Z,564004,29.263693
29.85,30.6,29.775,10633,29.99,2023-11-03T04:00:00Z,591464,30.024848
29.71,30.23,29.44,9899,29.82,2023-11-06T05:00:00Z,783933,29.686462
29.17,29.62,28.95,9883,29.58,2023-11-07T05:00:00Z,702194,29.262702
28.48,29.46,28.45,9305,29.19,2023-11-08T05:00:00Z,544844,28.689592
28.45,28.715,28.0001,16367,28.66,2023-11-09T05:00:00Z,1170081,28.492338
28.21,28.72,27.84,16782,28.54,2023-11-10T05:00:00Z,1245755,28.291203
30.92,31.89,29.43,31739,29.43,2023-11-13T05:00:00Z,3277341,30.933192
32.48,33.37,31.85,28043,31.98,2023-11-14T05:00:00Z,2118345,32.62204
32.68,34.17,32.41,17414,32.53,2023-11-15T05:00:00Z,1274272,33.094039
32.44,32.76,31.93,17901,32.5,2023-11-16T05:00:00Z,1201297,32.194081
31.89,32.955,31.23,16398,32.65,2023-11-17T05:00:00Z,1117410,31.931776
32.32,32.52,31.43,15675,31.74,2023-11-20T05:00:00Z,1089049,32.013892
32.64,32.84,32.03,13386,32.25,2023-11-21T05:00:00Z,710894,32.564093
32.85,33.165,32.335,11492,32.61,2023-11-22T05:00:00Z,799006,32.715754
33.45,33.55,32.87,4957,33.0,2023-11-24T05:00:00Z,290036,33.365386
33.55,33.63,32.99,10525,33.15,2023-11-27T05:00:00Z,751112,33.479333
31.0,33.39,30.3,21075,33.25,2023-11-28T05:00:00Z,2237655,31.192533
29.53,31.72,28.47,20096,31.1,2023-11-29T05:00:00Z,1797654,29.562857
29.44,29.8,28.63,24319,29.8,2023-11-30T05:00:00Z,3027624,29.277663
31.13,31.81,29.78,20440,30.22,2023-12-01T05:00:00Z,1755275,31.183023
31.64,32.13,31.13,14907,31.13,2023-12-04T05:00:00Z,961603,31.692024
30.94,31.46,30.7,8590,31.32,2023-12-05T05:00:00Z,531966,31.03249
30.91,31.78,30.71,10225,31.07,2023-12-06T05:00:00Z,969374,31.219126
31.07,31.59,29.84,9086,30.81,2023-12-07T05:00:00Z,540530,30.920279
30.66,31.4,30.5,8487,30.98,2023-12-08T05:00:00Z,707054,30.870611
31.27,31.9,30.805,11909,31.61,2023-12-11T05:00:00Z,1010343,31.261949
31.81,31.95,31.11,12324,31.31,2023-12-12T05:00:00Z,788080,31.65561
32.18,32.54,31.29,13902,31.88,2023-12-13T05:00:00Z,949416,31.988751
32.72,33.92,32.43,16676,32.43,2023-12-14T05:00:00Z,1395188,33.1842
32.44,33.49,31.85,13333,33.44,2023-12-15T05:00:00Z,2697005,32.409947
32.81,33.39,32.41,10436,32.41,2023-12-18T05:00:00Z,631447,32.973469
33.64,34.24,32.881,9874,33.07,2023-12-19T05:00:00Z,717669,33.696532
32.64,34.24,32.64,11635,33.65,2023-12-20T05:00:00Z,829877,33.165241
34.7,34.75,32.855,10519,32.9,2023-12-21T05:00:00Z,747496,34.113559
34.85,35.485,34.44,9327,34.89,2023-12-22T05:00:00Z,674952,34.834091
35.17,35.76,34.48,8338,34.87,2023-12-26T05:00:00Z,607118,35.369539
35.25,35.75,34.84,8080,35.2,2023-12-27T05:00:00Z,447225,35.283989
35.23,35.385,34.76,7595,35.03,2023-12-28T05:00:00Z,433476,35.148063
34.9,35.545,34.76,6525,35.25,2023-12-29T05:00:00Z,387231,34.950351
34.46,34.78,34.06,13040,34.6,2024-01-02T05:00:00Z,892624,34.43452
33.3,34.39,32.83,11492,34.39,2024-01-03T05:00:00Z,762542,33.174335
33.0,34.455,32.95,8269,34.33,2024-01-04T05:00:00Z,524224,33.389913
32.9,33.05,32.09,10506,32.23,2024-01-05T05:00:00Z,909681,32.850766
33.29,34.27,32.71,18627,33.01,2024-01-08T05:00:00Z,2066583,33.533804
32.35,33.25,31.915,16380,32.93,2024-01-09T05:00:00Z,1505375,32.345684
31.05,32.25,30.35,18719,32.25,2024-01-10T05:00:00Z,1871751,30.888329
29.99,31.1,29.92,20248,30.85,2024-01-11T05:00:00Z,2057647,30.30313
30.73,30.975,30.02,12497,30.25,2024-01-12T05:00:00Z,1302642,30.547312
31.22,31.25,30.38,12274,30.38,2024-01-16T05:00:00Z,1128260,31.031312
30.0,31.48,29.86,12334,30.92,2024-01-17T05:00:00Z,1182453,30.245479
