c,h,l,n,o,t,v,vw
19.95,20.07,19.85,281,19.85,2020-11-03T05:00:00Z,74545,19.96
20.09,20.39,19.97,2313,20.06,2020-11-04T05:00:00Z,323998,20.13
20.09,20.14,19.95,183,20.06,2020-11-05T05:00:00Z,85978,20.02
20.06,20.09,19.92,84,20.09,2020-11-06T05:00:00Z,13874,20.03
20.02,20.13,19.88,359,20.13,2020-11-09T05:00:00Z,66087,19.97
20.02,20.03,19.97,94,20.03,2020-11-10T05:00:00Z,18790,20.01
20.12,20.14,19.96,237,20.02,2020-11-11T05:00:00Z,37271,20.07
20.14,20.27,20.09,227,20.12,2020-11-12T05:00:00Z,35802,20.18
20.27,20.36,20.13,415,20.19,2020-11-13T05:00:00Z,63727,20.22
20.28,20.38,20.27,373,20.31,2020-11-16T05:00:00Z,92756,20.3
20.27,20.34,20.22,353,20.34,2020-11-17T05:00:00Z,96256,20.3
20.32,20.39,20.27,237,20.31,2020-11-18T05:00:00Z,90108,20.33
20.41,20.46,20.35,360,20.38,2020-11-19T05:00:00Z,49777,20.39
20.5,20.53,20.41,246,20.45,2020-11-20T05:00:00Z,29020,20.45
20.62,20.63,20.47,365,20.52,2020-11-23T05:00:00Z,55944,20.56
20.61,20.75,20.57,895,20.66,2020-11-24T05:00:00Z,93599,20.64
20.62,20.69,20.56,406,20.62,2020-11-25T05:00:00Z,101826,20.6
20.64,20.72,20.54,239,20.72,2020-11-27T05:00:00Z,215112,20.64
20.46,20.74,20.44,1738,20.67,2020-11-30T05:00:00Z,1330093,20.5
20.38,20.5,20.35,194,20.5,2020-12-01T05:00:00Z,13111,20.42
20.24,20.39,20.24,298,20.39,2020-12-02T05:00:00Z,79983,20.32
20.25,20.36,20.24,182,20.27,2020-12-03T05:00:00Z,16171,20.29
20.27,20.32,20.27,134,20.31,2020-12-04T05:00:00Z,18243,20.3
20.31,20.35,20.27,32,20.35,2020-12-07T05:00:00Z,3292,20.3
20.29,20.37,20.29,216,20.31,2020-12-08T05:00:00Z,44613,20.31
20.27,20.33,20.24,54,20.3,2020-12-09T05:00:00Z,5940,20.29
20.24,20.3,20.17,104,20.26,2020-12-10T05:00:00Z,14188,20.24
20.22,20.24,20.2,44,20.24,2020-12-11T05:00:00Z,8227,20.23
20.15,20.31,20.15,80,20.24,2020-12-14T05:00:00Z,12127,20.26
20.22,20.24,20.19,107,20.24,2020-12-15T05:00:00Z,10495,20.22
