c,h,l,n,o,t,v,vw
17.38,17.38,17.2,7,17.2,2016-01-04T05:00:00Z,1235,17.28
17.34,17.38,17.34,2,17.38,2016-01-05T05:00:00Z,1240,17.36
17.29,17.34,17.24,8,17.24,2016-01-06T05:00:00Z,1089,17.29
17.36,17.44,17.29,8,17.29,2016-01-07T05:00:00Z,1900,17.33
17.35,17.35,17.35,1,17.35,2016-01-08T05:00:00Z,500,17.35
17.42,17.42,17.24,16,17.24,2016-01-11T05:00:00Z,3601,17.34
17.26,17.38,17.26,40,17.33,2016-01-12T05:00:00Z,9666,17.33
16.68,17.27,16.62,23,17.03,2016-01-13T05:00:00Z,6720,17.0
16.32,16.94,16.09,55,16.94,2016-01-14T05:00:00Z,12018,16.38
15.97,16.18,15.18,13,16.18,2016-01-15T05:00:00Z,4030,15.96
15.94,16.27,15.8,17,16.1,2016-01-19T05:00:00Z,3304,16.15
15.1,16.42,14.98,216,16.16,2016-01-20T05:00:00Z,33204,15.49
16.43,16.43,15.55,26,15.55,2016-01-21T05:00:00Z,9545,15.94
16.28,16.41,15.89,26,16.35,2016-01-22T05:00:00Z,4102,16.22
16.24,16.35,15.44,12,16.27,2016-01-25T05:00:00Z,1656,15.99
16.07,16.35,15.61,42,15.66,2016-01-26T05:00:00Z,7607,15.87
16.39,16.39,15.9,13,15.9,2016-01-27T05:00:00Z,3245,16.14
16.34,16.43,16.34,5,16.42,2016-01-28T05:00:00Z,1400,16.37
16.67,16.67,16.67,7,16.67,2016-01-29T05:00:00Z,550,16.67
15.97,16.57,15.97,13,16.43,2016-02-01T05:00:00Z,1111,16.36
16.37,16.38,15.83,49,16.23,2016-02-02T05:00:00Z,5443,16.18
16.42,16.57,16.21,12,16.28,2016-02-03T05:00:00Z,2609,16.29
16.42,16.42,16.42,0,16.42,2016-02-04T05:00:00Z,0,0.0
16.42,16.42,16.42,0,16.42,2016-02-05T05:00:00Z,0,0.0
16.3,16.62,15.86,5,16.24,2016-02-08T05:00:00Z,1250,16.35
16.46,16.58,15.82,17,16.55,2016-02-09T05:00:00Z,3325,16.48
16.07,16.34,16.07,4,16.34,2016-02-10T05:00:00Z,500,16.22
16.07,16.07,16.07,0,16.07,2016-02-11T05:00:00Z,0,0.0
16.07,16.07,16.07,2,16.07,2016-02-12T05:00:00Z,504,16.07
15.76,16.31,15.76,9,15.76,2016-02-16T05:00:00Z,1290,15.96
16.55,16.55,15.73,9,15.76,2016-02-17T05:00:00Z,1200,15.9
16.23,16.48,15.82,8,15.82,2016-02-18T05:00:00Z,1024,16.2
16.33,16.46,15.97,8,16.46,2016-02-19T05:00:00Z,1520,16.17
15.97,16.27,15.93,6,15.93,2016-02-22T05:00:00Z,600,16.05
16.27,16.27,16.27,5,16.27,2016-02-23T05:00:00Z,401,16.27
16.42,16.42,16.06,19,16.27,2016-02-24T05:00:00Z,6400,16.14
16.13,16.41,16.03,16,16.41,2016-02-25T05:00:00Z,3502,16.18
16.15,16.17,16.13,13,16.17,2016-02-26T05:00:00Z,2398,16.14
16.16,16.28,16.16,9,16.28,2016-02-29T05:00:00Z,898,16.21
16.17,16.17,15.9,46,16.1,2016-03-01T05:00:00Z,8980,15.99
16.34,16.41,16.17,28,16.31,2016-03-02T05:00:00Z,3779,16.27
16.38,16.42,16.34,5,16.42,2016-03-03T05:00:00Z,1385,16.36
16.4,16.51,16.4,12,16.41,2016-03-04T05:00:00Z,1624,16.47
16.41,16.41,16.41,1,16.41,2016-03-07T05:00:00Z,200,16.41
16.73,16.73,16.45,5,16.45,2016-03-08T05:00:00Z,872,16.52
16.73,16.73,16.73,0,16.73,2016-03-09T05:00:00Z,0,0.0
16.77,16.79,16.56,4,16.79,2016-03-10T05:00:00Z,1400,16.71
16.76,16.76,16.63,4,16.63,2016-03-11T05:00:00Z,2247,16.65
16.73,16.78,16.73,2,16.78,2016-03-14T04:00:00Z,400,16.74
16.73,16.73,16.53,9,16.53,2016-03-15T04:00:00Z,2002,16.67
16.91,16.93,16.73,10,16.93,2016-03-16T04:00:00Z,2132,16.83
17.0,17.0,17.0,0,17.0,2016-03-17T04:00:00Z,0,0.0
17.0,17.0,16.98,7,17.0,2016-03-18T04:00:00Z,1620,17.0
17.0,17.0,17.0,0,17.0,2016-03-21T04:00:00Z,0,0.0
16.99,17.0,16.99,5,16.99,2016-03-22T04:00:00Z,900,16.99
16.97,16.98,16.73,17,16.97,2016-03-23T04:00:00Z,4418,16.87
16.68,16.95,16.68,18,16.71,2016-03-24T04:00:00Z,3697,16.81
16.65,16.95,16.22,49,16.72,2016-03-28T04:00:00Z,14871,16.51
16.69,16.69,16.44,5,16.44,2016-03-29T04:00:00Z,2562,16.62
17.06,17.1,16.79,40,16.79,2016-03-30T04:00:00Z,8895,16.86
17.06,17.14,16.76,19,17.14,2016-03-31T04:00:00Z,2869,17.0
17.02,17.15,16.97,11,17.15,2016-04-01T04:00:00Z,1236,17.02
17.12,17.12,16.95,16,16.95,2016-04-04T04:00:00Z,1662,17.04
17.14,17.15,16.83,16,17.15,2016-04-05T04:00:00Z,1764,17.09
17.19,17.29,17.14,21,17.14,2016-04-06T04:00:00Z,2200,17.22
17.11,17.22,16.86,16,17.22,2016-04-07T04:00:00Z,3424,17.07
