c,h,l,n,o,t,v,vw
9.95,9.98,9.91,4895,9.91,2021-10-01T04:00:00Z,19500869,9.930399
9.97,9.97,9.92,383,9.93,2021-10-04T04:00:00Z,951412,9.95999
9.93,9.97,9.93,37,9.97,2021-10-05T04:00:00Z,40104,9.967314
9.94,9.96,9.93,32,9.93,2021-10-06T04:00:00Z,602616,9.950015
9.95,10.0,9.94,1335,10.0,2021-10-07T04:00:00Z,324429,9.951253
9.936,10.39,9.9305,32,10.39,2021-10-08T04:00:00Z,11877,9.996359
9.97,10.0,9.9496,62,10.0,2021-10-11T04:00:00Z,66356,9.970042
9.96,9.96,9.95,168,9.95,2021-10-12T04:00:00Z,55912,9.954529
9.95,9.96,9.95,37,9.96,2021-10-13T04:00:00Z,15975,9.956396
9.98,9.98,9.94,116,9.94,2021-10-14T04:00:00Z,59587,9.957192
9.96,9.96,9.93,11,9.93,2021-10-15T04:00:00Z,2996,9.957934
9.95,9.95,9.93,69,9.93,2021-10-18T04:00:00Z,2842,9.945403
9.92,9.955,9.9,22,9.955,2021-10-19T04:00:00Z,12102,9.916988
9.95,9.9598,9.94,10,9.94,2021-10-20T04:00:00Z,17654,9.94102
9.9303,9.9303,9.915,3,9.915,2021-10-21T04:00:00Z,550,9.923236
9.95,9.95,9.93,10,9.935,2021-10-22T04:00:00Z,15657,9.94731
9.96,9.96,9.9146,61,9.9146,2021-10-25T04:00:00Z,44729,9.95534
9.95,9.95,9.91,6,9.91,2021-10-26T04:00:00Z,7552,9.93543
9.95,9.95,9.92,20,9.92,2021-10-27T04:00:00Z,50500,9.949703
9.95,9.96,9.95,46,9.95,2021-10-28T04:00:00Z,12611,9.950161
9.97,9.98,9.94,92,9.95,2021-10-29T04:00:00Z,51021,9.947587
9.95,9.95,9.95,62,9.95,2021-11-01T04:00:00Z,30000,9.95
9.95,9.95,9.95,0,9.95,2021-11-02T04:00:00Z,0,0.0
9.975,9.975,9.96,64,9.96,2021-11-03T04:00:00Z,13400,9.97269
9.97,10.0,9.97,18,10.0,2021-11-04T04:00:00Z,51520,9.999652
9.96,9.9999,9.96,22,9.9999,2021-11-05T04:00:00Z,632869,9.985001
9.95,9.95,9.95,4,9.95,2021-11-08T05:00:00Z,502,9.95
9.95,9.9925,9.93,42,9.965,2021-11-09T05:00:00Z,6646,9.953791
9.95,9.95,9.95,4,9.95,2021-11-10T05:00:00Z,203,9.95
9.98,9.995,9.96,31,9.96,2021-11-11T05:00:00Z,194650,9.966651
9.98,9.98,9.955,7,9.955,2021-11-12T05:00:00Z,700,9.973057
9.98,10.0,9.97,53,9.97,2021-11-15T05:00:00Z,25250,9.98395
9.99,10.0,9.99,7,10.0,2021-11-16T05:00:00Z,5400,9.99887
9.9664,10.02,9.9664,37,10.02,2021-11-17T05:00:00Z,14200,10.005083
9.965,10.0,9.965,27,9.99,2021-11-18T05:00:00Z,720015,9.965961
