c,h,l,n,o,t,v,vw
8.339,8.339,8.339,1,8.339,2019-02-05T05:00:00Z,21000,8.339
8.339,8.339,8.339,0,8.339,2019-02-06T05:00:00Z,0,0.0
8.339,8.339,8.339,0,8.339,2019-02-07T05:00:00Z,0,0.0
8.339,8.339,8.339,0,8.339,2019-02-08T05:00:00Z,0,0.0
8.339,8.339,8.339,0,8.339,2019-02-11T05:00:00Z,0,0.0
8.339,8.339,8.339,0,8.339,2019-02-12T05:00:00Z,0,0.0
8.339,8.339,8.339,0,8.339,2019-02-13T05:00:00Z,0,0.0
8.407,8.407,8.39,9,8.39,2019-02-14T05:00:00Z,892053,8.397
8.45,8.45,8.407,14,8.407,2019-02-15T05:00:00Z,126305,8.408
8.407,8.424,8.407,8,8.412,2019-02-19T05:00:00Z,3958,8.415
8.407,8.407,8.407,0,8.407,2019-02-20T05:00:00Z,0,0.0
8.45,8.45,8.407,9,8.407,2019-02-21T05:00:00Z,283506,8.407
8.45,8.45,8.45,0,8.45,2019-02-22T05:00:00Z,0,0.0
8.45,8.45,8.45,0,8.45,2019-02-25T05:00:00Z,0,0.0
8.45,8.45,8.45,0,8.45,2019-02-26T05:00:00Z,0,0.0
8.424,8.424,8.416,5,8.416,2019-02-27T05:00:00Z,204,8.412
8.424,8.424,8.424,0,8.424,2019-02-28T05:00:00Z,0,0.0
8.424,8.424,8.424,0,8.424,2019-03-01T05:00:00Z,0,0.0
8.424,8.424,8.142,7,8.142,2019-03-04T05:00:00Z,2104,8.384
8.424,8.424,8.424,0,8.424,2019-03-05T05:00:00Z,0,0.0
8.424,8.424,8.424,0,8.424,2019-03-06T05:00:00Z,0,0.0
8.424,8.424,8.416,4,8.416,2019-03-07T05:00:00Z,51110,8.424
8.424,8.424,8.424,0,8.424,2019-03-08T05:00:00Z,0,0.0
8.424,8.424,8.424,0,8.424,2019-03-11T04:00:00Z,0,0.0
8.433,8.433,8.424,7,8.424,2019-03-12T04:00:00Z,122703,8.425
8.433,8.433,8.433,0,8.433,2019-03-13T04:00:00Z,0,0.0
8.433,8.433,8.433,0,8.433,2019-03-14T04:00:00Z,0,0.0
8.51,8.51,8.441,13,8.51,2019-03-15T04:00:00Z,101032,8.442
8.493,8.493,8.493,2,8.493,2019-03-18T04:00:00Z,348,8.494
8.476,8.476,8.476,2,8.476,2019-03-19T04:00:00Z,1001,8.476
8.467,8.476,8.458,9,8.476,2019-03-20T04:00:00Z,4600,8.466
8.467,8.467,8.467,1,8.467,2019-03-21T04:00:00Z,1000,8.467
8.467,8.476,8.467,11,8.476,2019-03-22T04:00:00Z,1200,8.468
8.467,8.467,8.467,0,8.467,2019-03-25T04:00:00Z,0,0.0
8.467,8.467,8.467,0,8.467,2019-03-26T04:00:00Z,0,0.0
8.467,8.467,8.467,0,8.467,2019-03-27T04:00:00Z,0,0.0
8.467,8.467,8.467,0,8.467,2019-03-28T04:00:00Z,0,0.0
8.467,8.467,8.433,7,8.433,2019-03-29T04:00:00Z,67775,8.451
8.459,8.467,8.424,35,8.467,2019-04-01T04:00:00Z,14835,8.455
8.45,8.45,8.45,1,8.45,2019-04-02T04:00:00Z,160200,8.45
8.45,8.45,8.45,0,8.45,2019-04-03T04:00:00Z,0,0.0
8.51,8.51,8.245,5,8.245,2019-04-04T04:00:00Z,13660,8.411
8.493,8.493,8.493,1,8.493,2019-04-05T04:00:00Z,300,8.493
8.493,8.493,8.493,0,8.493,2019-04-08T04:00:00Z,0,0.0
8.493,8.493,8.493,0,8.493,2019-04-09T04:00:00Z,0,0.0
8.493,8.493,8.493,0,8.493,2019-04-10T04:00:00Z,0,0.0
8.493,8.493,8.493,0,8.493,2019-04-11T04:00:00Z,0,0.0
8.493,8.493,8.493,0,8.493,2019-04-12T04:00:00Z,0,0.0
8.493,8.493,8.493,0,8.493,2019-04-15T04:00:00Z,0,0.0
8.476,8.476,8.476,1,8.476,2019-04-16T04:00:00Z,275,8.476
8.476,8.476,8.476,1,8.476,2019-04-17T04:00:00Z,557,8.476
