c,h,l,n,o,t,v,vw
24.62,24.64,21.81,25,21.81,2016-11-04T04:00:00Z,264,23.61
21.97,23.1,21.93,927,22.18,2016-11-07T05:00:00Z,23722,22.1
21.95,22.31,20.91,411,22.04,2016-11-08T05:00:00Z,15250,21.72
22.01,22.01,21.21,360,21.21,2016-11-09T05:00:00Z,9896,21.72
22.01,22.29,21.31,127,21.31,2016-11-10T05:00:00Z,6637,21.7
21.95,21.99,21.31,83,21.31,2016-11-11T05:00:00Z,3468,21.7
21.67,21.91,21.41,204,21.41,2016-11-14T05:00:00Z,5431,21.56
21.35,21.69,21.31,205,21.69,2016-11-15T05:00:00Z,6038,21.39
21.34,21.37,21.21,80,21.21,2016-11-16T05:00:00Z,2768,21.3
21.45,21.51,21.31,39,21.41,2016-11-17T05:00:00Z,2462,21.4
20.91,21.55,20.91,66,21.42,2016-11-18T05:00:00Z,1591,21.27
21.61,21.63,20.83,108,20.83,2016-11-21T05:00:00Z,2488,21.33
21.77,21.79,21.21,66,21.21,2016-11-22T05:00:00Z,1675,21.53
21.77,21.81,21.03,50,21.55,2016-11-23T05:00:00Z,1143,21.47
21.61,21.81,21.61,15,21.81,2016-11-25T05:00:00Z,209,21.65
21.81,21.81,21.31,63,21.53,2016-11-28T05:00:00Z,1483,21.51
21.71,21.71,21.31,82,21.71,2016-11-29T05:00:00Z,1754,21.44
21.71,21.71,21.35,70,21.35,2016-11-30T05:00:00Z,2440,21.51
21.49,21.71,21.31,105,21.33,2016-12-01T05:00:00Z,5463,21.41
21.23,21.53,21.14,84,21.33,2016-12-02T05:00:00Z,1735,21.32
21.27,21.43,21.13,95,21.21,2016-12-05T05:00:00Z,3820,21.25
21.51,21.51,21.3,116,21.3,2016-12-06T05:00:00Z,5543,21.39
21.39,21.55,21.31,47,21.35,2016-12-07T05:00:00Z,1809,21.42
21.27,21.31,21.01,107,21.31,2016-12-08T05:00:00Z,7815,21.14
21.63,21.81,20.87,160,21.11,2016-12-09T05:00:00Z,8636,21.21
21.31,21.48,21.21,101,21.21,2016-12-12T05:00:00Z,2680,21.29
21.21,21.28,21.11,47,21.27,2016-12-13T05:00:00Z,1339,21.22
21.17,21.61,21.09,143,21.21,2016-12-14T05:00:00Z,8055,21.19
21.11,21.41,21.11,39,21.21,2016-12-15T05:00:00Z,2120,21.32
21.11,21.42,21.11,15,21.18,2016-12-16T05:00:00Z,1529,21.16
21.01,21.11,20.61,257,20.99,2016-12-19T05:00:00Z,9958,20.88
20.91,20.92,20.85,25,20.85,2016-12-20T05:00:00Z,697,20.89
21.01,21.06,20.83,50,20.96,2016-12-21T05:00:00Z,1420,20.94
20.95,21.01,20.85,27,20.88,2016-12-22T05:00:00Z,907,20.93
20.91,21.01,20.87,51,20.92,2016-12-23T05:00:00Z,1853,20.95
21.91,21.91,21.03,565,21.11,2016-12-27T05:00:00Z,27919,21.74
21.95,22.7,21.8,345,21.95,2016-12-28T05:00:00Z,15880,22.08
22.41,22.57,21.71,313,21.75,2016-12-29T05:00:00Z,11386,22.26
23.24,23.7,22.52,358,22.6,2016-12-30T05:00:00Z,45349,23.23
23.04,23.42,22.73,156,23.32,2017-01-03T05:00:00Z,4565,23.19
23.3,23.44,22.91,207,22.93,2017-01-04T05:00:00Z,9381,23.31
23.48,23.55,23.01,221,23.26,2017-01-05T05:00:00Z,4950,23.3
23.04,23.28,22.98,134,23.28,2017-01-06T05:00:00Z,2387,23.11
23.04,23.3,22.96,213,23.26,2017-01-09T05:00:00Z,4481,23.14
22.82,23.14,22.78,80,23.04,2017-01-10T05:00:00Z,3383,22.96
22.66,22.7,22.43,127,22.7,2017-01-11T05:00:00Z,4353,22.6
22.66,22.9,22.6,25,22.88,2017-01-12T05:00:00Z,393,22.67
22.92,22.98,22.74,94,22.9,2017-01-13T05:00:00Z,1306,22.89
22.82,22.92,22.54,174,22.92,2017-01-17T05:00:00Z,3376,22.69
