c,h,l,n,o,t,v,vw
22.32,22.46,22.19,280,22.33,2023-08-17T04:00:00Z,76865,22.31
22.28,22.37,22.23,154,22.32,2023-08-18T04:00:00Z,25051,22.28
22.23,22.39,22.23,100,22.39,2023-08-21T04:00:00Z,13234,22.26
22.29,22.29,22.21,109,22.24,2023-08-22T04:00:00Z,22070,22.26
22.28,22.32,22.23,54,22.23,2023-08-23T04:00:00Z,16854,22.29
22.41,22.43,22.28,26,22.31,2023-08-24T04:00:00Z,15744,22.38
22.37,22.39,22.32,24,22.32,2023-08-25T04:00:00Z,11104,22.33
22.46,22.46,22.37,51,22.41,2023-08-28T04:00:00Z,9231,22.42
22.51,22.51,22.37,28,22.41,2023-08-29T04:00:00Z,8365,22.43
22.51,22.55,22.41,25,22.55,2023-08-30T04:00:00Z,7994,22.51
22.49,22.55,22.45,34,22.55,2023-08-31T04:00:00Z,7704,22.49
22.51,22.55,22.5,57,22.5,2023-09-01T04:00:00Z,19181,22.51
22.5,22.6,22.5,37,22.55,2023-09-05T04:00:00Z,7963,22.55
22.64,22.64,22.46,27,22.6,2023-09-06T04:00:00Z,3982,22.55
22.59,22.64,22.54,29,22.61,2023-09-07T04:00:00Z,2970,22.61
22.64,22.64,22.6,56,22.64,2023-09-08T04:00:00Z,6645,22.64
22.64,22.69,22.61,61,22.69,2023-09-11T04:00:00Z,8224,22.65
22.68,22.69,22.6,27,22.62,2023-09-12T04:00:00Z,1745,22.65
22.67,22.67,22.6,36,22.6,2023-09-13T04:00:00Z,3900,22.66
22.61,22.7,22.59,47,22.7,2023-09-14T04:00:00Z,9374,22.66
22.66,22.66,22.58,21,22.66,2023-09-15T04:00:00Z,2189,22.64
22.62,22.66,22.61,29,22.66,2023-09-18T04:00:00Z,4961,22.7
22.71,22.71,22.64,54,22.64,2023-09-19T04:00:00Z,14003,22.66
22.75,22.75,22.67,21,22.67,2023-09-20T04:00:00Z,3333,22.7
22.57,22.66,22.57,17,22.57,2023-09-21T04:00:00Z,2948,22.58
22.57,22.68,22.57,14,22.66,2023-09-22T04:00:00Z,2715,22.66
