c,h,l,n,o,t,v,vw
46.4,48.0,44.48,102440,47.0,2021-10-28T04:00:00Z,22172547,46.292206
48.74,49.48,45.61,35124,46.0,2021-10-29T04:00:00Z,4606879,47.48381
53.87,59.99,53.06,86422,54.27,2021-11-01T04:00:00Z,10303607,55.520818
56.42,58.615,55.0,39708,57.5079,2021-11-02T04:00:00Z,4231380,56.643173
59.0,59.38,56.17,24677,57.0,2021-11-03T04:00:00Z,2701145,57.709656
62.68,65.74,60.35,37998,60.35,2021-11-04T04:00:00Z,4063416,62.702357
63.63,66.0,56.16,40014,65.0,2021-11-05T04:00:00Z,4326982,61.629645
59.36,62.97,58.8165,27424,62.81,2021-11-08T05:00:00Z,3059543,60.143272
59.83,61.1159,56.87,17579,58.9765,2021-11-09T05:00:00Z,2087119,59.228812
57.72,59.81,56.93,13669,59.0,2021-11-10T05:00:00Z,1561275,58.181575
56.19,59.66,55.05,14777,58.73,2021-11-11T05:00:00Z,1795363,57.101598
55.96,56.35,53.25,16416,55.63,2021-11-12T05:00:00Z,1727866,54.969237
59.6,60.12,53.85,12885,55.69,2021-11-15T05:00:00Z,1458219,57.361635
61.67,62.77,57.7,11445,59.13,2021-11-16T05:00:00Z,1172548,60.691559
62.7,64.165,61.5,14420,61.94,2021-11-17T05:00:00Z,1468324,62.862563
64.27,67.39,63.5,31082,67.39,2021-11-18T05:00:00Z,2906203,65.338163
62.11,67.9,61.7,26322,66.01,2021-11-19T05:00:00Z,2471800,65.199882
63.99,68.19,62.6,41829,66.14,2021-11-22T05:00:00Z,4337359,65.963002
63.78,64.78,61.6105,16396,64.06,2021-11-23T05:00:00Z,1608254,62.909405
68.97,69.5738,62.3304,22093,63.87,2021-11-24T05:00:00Z,2048464,67.497255
67.29,69.39,64.7505,16278,65.57,2021-11-26T05:00:00Z,1522735,66.28841
70.54,73.2525,68.7966,41960,68.9629,2021-11-29T05:00:00Z,3886017,70.889124
69.24,71.4599,64.22,37586,71.0,2021-11-30T05:00:00Z,3560132,67.771331
66.26,72.4772,66.06,34826,72.0,2021-12-01T05:00:00Z,3238557,68.347983
