c,h,l,n,o,t,v,vw
9.97,9.99,9.96,2177,9.98,2022-09-20T04:00:00Z,3883645,9.975075
9.965,9.99,9.965,786,9.99,2022-09-21T04:00:00Z,701199,9.970593
9.98,9.99,9.96,301,9.97,2022-09-22T04:00:00Z,610841,9.975151
9.97,9.985,9.97,171,9.97,2022-09-23T04:00:00Z,198899,9.971719
9.96,9.97,9.96,26,9.96,2022-09-26T04:00:00Z,11761,9.968358
9.97,9.99,9.965,193,9.98,2022-09-27T04:00:00Z,98130,9.975747
9.99,9.99,9.97,49,9.97,2022-09-28T04:00:00Z,37358,9.973486
10.0,10.0,9.98,85,9.98,2022-09-29T04:00:00Z,25265,9.991148
10.0,10.0,9.982,23,9.9999,2022-09-30T04:00:00Z,255036,9.999771
10.01,10.01,9.9965,10,9.9965,2022-10-03T04:00:00Z,16235,9.998978
10.04,10.04,10.01,25,10.0101,2022-10-04T04:00:00Z,4062,10.014642
10.08,10.08,9.98,36,9.98,2022-10-05T04:00:00Z,167435,10.070663
10.0499,10.06,10.02,21,10.05,2022-10-06T04:00:00Z,30537,10.04071
10.0499,10.0499,10.0499,0,10.0499,2022-10-07T04:00:00Z,0,0.0
10.065,10.065,10.02,9,10.02,2022-10-10T04:00:00Z,6541,10.026923
10.065,10.065,10.065,0,10.065,2022-10-11T04:00:00Z,0,0.0
10.02,10.02,10.02,6,10.02,2022-10-12T04:00:00Z,528,10.02
10.02,10.02,10.01,8,10.01,2022-10-13T04:00:00Z,5147,10.018669
10.02,10.02,10.02,5,10.02,2022-10-14T04:00:00Z,489,10.02
10.02,10.02,10.02,0,10.02,2022-10-17T04:00:00Z,0,0.0
10.02,10.02,10.02,0,10.02,2022-10-18T04:00:00Z,0,0.0
10.04,10.04,10.04,3,10.04,2022-10-19T04:00:00Z,104,10.04
10.04,10.04,10.04,0,10.04,2022-10-20T04:00:00Z,0,0.0
10.04,10.04,10.04,0,10.04,2022-10-21T04:00:00Z,0,0.0
10.08,10.08,10.04,23,10.04,2022-10-24T04:00:00Z,13586,10.064123
10.1,10.1,10.07,45,10.08,2022-10-25T04:00:00Z,19466,10.087799
10.095,10.095,10.095,1,10.095,2022-10-26T04:00:00Z,100,10.095
10.095,10.095,10.095,0,10.095,2022-10-27T04:00:00Z,0,0.0
