c,h,l,n,o,t,v,vw
50.2022,50.2022,50.13,3,50.13,2024-08-01T04:00:00Z,5001,50.130022
50.2022,50.2022,50.2022,0,50.2022,2024-08-02T04:00:00Z,0,0.0
49.84,49.84,49.84,4,49.84,2024-08-05T04:00:00Z,8,49.88975
50.05,50.05,49.84,37,49.84,2024-08-06T04:00:00Z,407100,50.048986
50.2,50.23,50.05,125,50.21,2024-08-07T04:00:00Z,615542,50.19887
50.13,50.13,49.98,34,49.98,2024-08-08T04:00:00Z,578081,50.054964
50.1053,50.11,50.1053,14,50.11,2024-08-09T04:00:00Z,446,50.123346
50.185,51.59,50.12,74,51.59,2024-08-12T04:00:00Z,6598,50.255104
50.3052,50.3081,50.22,26,50.22,2024-08-13T04:00:00Z,2792,50.270017
50.445,50.52,50.245,17,50.52,2024-08-14T04:00:00Z,1444,50.416102
50.4521,50.51,50.3939,24,50.4039,2024-08-15T04:00:00Z,1509,50.535394
50.5348,50.5348,50.475,21,50.5,2024-08-16T04:00:00Z,1495,50.511952
50.575,50.6,50.575,26,50.58,2024-08-19T04:00:00Z,1123,50.819353
