c,h,l,n,o,t,v,vw
434.0,600.0,393.0,88532,569.96,2021-09-15T04:00:00Z,782144,470.23
435.0,502.5,421.82,60094,450.0,2021-09-16T04:00:00Z,414016,464.96
397.0,438.86,366.7,41725,435.0,2021-09-17T04:00:00Z,317106,396.59
307.8,381.9,305.0,46704,348.0,2021-09-20T04:00:00Z,389172,334.88
301.4,316.8,280.1,35456,312.0,2021-09-21T04:00:00Z,417638,296.03
290.9,313.1,280.5,24421,313.1,2021-09-22T04:00:00Z,292976,294.66
254.0,305.0,252.3,27929,290.0,2021-09-23T04:00:00Z,278541,277.23
261.5,277.9,236.1,31201,241.3,2021-09-24T04:00:00Z,392902,262.07
251.7,270.5,242.6,12123,255.9,2021-09-27T04:00:00Z,126676,257.84
237.8,249.82,236.5,9162,247.6,2021-09-28T04:00:00Z,70359,241.6
254.0,325.0,250.0,196794,294.1,2021-09-29T04:00:00Z,2488003,298.0
255.4,269.7,240.2,21739,252.6,2021-09-30T04:00:00Z,287637,254.3
250.9,267.5,245.6,12515,259.1,2021-10-01T04:00:00Z,138303,254.65
262.7,278.5,235.3,19119,243.1,2021-10-04T04:00:00Z,215467,258.7
254.0,274.9,251.1,13597,261.3,2021-10-05T04:00:00Z,178391,260.87
249.9,270.1,244.5,15597,255.0,2021-10-06T04:00:00Z,206053,258.09
243.7,253.0,242.0,8910,242.0,2021-10-07T04:00:00Z,98118,245.99
229.5,244.04,228.2,11567,243.7,2021-10-08T04:00:00Z,88065,236.11
232.4,253.6,231.1,10952,234.7,2021-10-11T04:00:00Z,136137,242.17
228.1,237.2,227.3,8440,232.5,2021-10-12T04:00:00Z,62676,231.03
239.5,242.0,220.4,16018,227.3,2021-10-13T04:00:00Z,270716,232.29
224.9,234.89,223.5,11326,232.7,2021-10-14T04:00:00Z,117270,227.97
242.5,250.8,222.5,23038,227.1,2021-10-15T04:00:00Z,331181,239.46
238.9,263.6,233.7,16840,238.0,2021-10-18T04:00:00Z,250675,251.34
227.0,244.69,226.9,11081,240.2,2021-10-19T04:00:00Z,115251,235.56
229.1,239.6,228.1,8971,230.0,2021-10-20T04:00:00Z,107698,233.81
218.8,234.0,216.8,11512,227.5,2021-10-21T04:00:00Z,114261,223.21
203.6,219.0,200.05,13307,218.7,2021-10-22T04:00:00Z,131487,208.18
202.6,210.2,202.26,7046,207.4,2021-10-25T04:00:00Z,71369,206.32
204.9,232.5,201.2,14918,204.2,2021-10-26T04:00:00Z,197778,218.24
212.8,237.2,195.0,15021,203.5,2021-10-27T04:00:00Z,184689,213.49
203.2,217.2,202.3,7246,216.1,2021-10-28T04:00:00Z,71686,208.42
271.9,286.7,200.2,178534,202.0,2021-10-29T04:00:00Z,2775294,257.07
264.6,307.2,241.5,80557,259.4,2021-11-01T04:00:00Z,1126728,276.24
253.0,272.3,251.0,20401,258.6,2021-11-02T04:00:00Z,227831,258.86
249.8,259.0,242.5,12785,249.1,2021-11-03T04:00:00Z,155594,250.44
241.9,257.5,240.8,8121,244.8,2021-11-04T04:00:00Z,94018,248.23
258.4,276.5,235.6,38141,243.6,2021-11-05T04:00:00Z,604587,259.42
282.4,307.9,262.1,35639,262.1,2021-11-08T05:00:00Z,521030,286.06
269.7,305.0,265.6,14213,292.2,2021-11-09T05:00:00Z,192865,281.61
256.0,279.2,251.5,15060,279.2,2021-11-10T05:00:00Z,213919,262.28
256.0,265.8,253.5,6488,259.9,2021-11-11T05:00:00Z,83996,258.63
