c,h,l,n,o,t,v,vw
9.9,9.9,9.88,111,9.9,2022-01-10T05:00:00Z,826900,9.893893
9.89,9.91,9.89,8,9.9,2022-01-11T05:00:00Z,517620,9.893343
9.9092,9.91,9.9,12,9.9,2022-01-12T05:00:00Z,105936,9.900212
9.9,9.91,9.9,19,9.91,2022-01-13T05:00:00Z,181243,9.900932
9.905,9.905,9.9,61,9.9,2022-01-14T05:00:00Z,31978,9.903655
9.905,9.905,9.905,0,9.905,2022-01-18T05:00:00Z,0,0.0
9.905,9.905,9.905,0,9.905,2022-01-19T05:00:00Z,0,0.0
9.9,9.9,9.89,10,9.89,2022-01-20T05:00:00Z,77360,9.890298
9.9,9.9,9.87,100,9.88,2022-01-21T05:00:00Z,61026,9.874124
9.89,9.91,9.89,47,9.89,2022-01-24T05:00:00Z,50283,9.896821
9.91,9.91,9.87,134,9.87,2022-01-25T05:00:00Z,317334,9.908158
9.89,9.91,9.89,13,9.9,2022-01-26T05:00:00Z,3102,9.89871
9.89,9.9,9.89,106,9.9,2022-01-27T05:00:00Z,68889,9.890015
9.91,9.91,9.91,25,9.91,2022-01-28T05:00:00Z,17041,9.91
9.91,9.91,9.91,0,9.91,2022-01-31T05:00:00Z,0,0.0
9.91,9.91,9.91,6,9.91,2022-02-01T05:00:00Z,5635,9.91
9.91,9.91,9.91,0,9.91,2022-02-02T05:00:00Z,0,0.0
9.92,9.92,9.9,21,9.92,2022-02-03T05:00:00Z,138772,9.916952
9.94,9.94,9.92,10,9.92,2022-02-04T05:00:00Z,19229,9.92366
9.95,9.95,9.95,6,9.95,2022-02-07T05:00:00Z,205,9.95
9.95,9.95,9.95,2,9.95,2022-02-08T05:00:00Z,5679,9.95
9.92,9.94,9.9163,95,9.94,2022-02-09T05:00:00Z,392494,9.923469
9.92,9.93,9.92,10,9.92,2022-02-10T05:00:00Z,22800,9.920044
9.92,9.92,9.92,2,9.92,2022-02-11T05:00:00Z,200,9.92
9.92,9.92,9.92,4,9.92,2022-02-14T05:00:00Z,2300,9.92
9.93,9.93,9.92,5,9.92,2022-02-15T05:00:00Z,25318,9.929881
9.93,9.93,9.92,35,9.93,2022-02-16T05:00:00Z,44850,9.924391
9.93,9.93,9.93,0,9.93,2022-02-17T05:00:00Z,0,0.0
9.93,9.93,9.93,0,9.93,2022-02-18T05:00:00Z,0,0.0
9.94,9.94,9.93,8,9.93,2022-02-22T05:00:00Z,28858,9.935432
9.95,9.95,9.94,16,9.94,2022-02-23T05:00:00Z,8987,9.942164
9.96,9.96,9.96,2,9.96,2022-02-24T05:00:00Z,394,9.96
9.94,9.94,9.94,7,9.94,2022-02-25T05:00:00Z,1329,9.94
9.94,9.94,9.94,0,9.94,2022-02-28T05:00:00Z,0,0.0
9.96,9.96,9.91,14,9.91,2022-03-01T05:00:00Z,24513,9.957311
9.96,9.96,9.96,0,9.96,2022-03-02T05:00:00Z,0,0.0
9.96,9.96,9.96,0,9.96,2022-03-03T05:00:00Z,0,0.0
9.96,9.96,9.96,0,9.96,2022-03-04T05:00:00Z,0,0.0
9.96,9.96,9.96,0,9.96,2022-03-07T05:00:00Z,0,0.0
9.96,9.96,9.96,0,9.96,2022-03-08T05:00:00Z,0,0.0
9.96,9.96,9.96,0,9.96,2022-03-09T05:00:00Z,0,0.0
9.96,9.96,9.96,0,9.96,2022-03-10T05:00:00Z,0,0.0
9.96,9.96,9.96,0,9.96,2022-03-11T05:00:00Z,0,0.0
