c,h,l,n,o,t,v,vw
25.33,25.33,25.33,3,25.33,2024-07-11T04:00:00Z,25,25.3
25.48,25.48,25.48,4,25.48,2024-07-12T04:00:00Z,46,25.48
25.06,25.14,25.06,17,25.14,2024-07-15T04:00:00Z,304,25.17
25.2,25.2,25.2,5,25.2,2024-07-16T04:00:00Z,9,25.18
25.38,25.38,25.38,1,25.38,2024-07-17T04:00:00Z,31,25.23
25.38,25.38,25.38,0,25.38,2024-07-18T04:00:00Z,0,0.0
25.35,25.35,25.33,25,25.33,2024-07-19T04:00:00Z,133151,25.33
25.35,25.35,25.35,0,25.35,2024-07-22T04:00:00Z,0,0.0
25.35,25.35,25.35,0,25.35,2024-07-23T04:00:00Z,0,0.0
25.04,25.08,25.04,3,25.08,2024-07-24T04:00:00Z,116166,25.08
25.04,25.04,25.04,0,25.04,2024-07-25T04:00:00Z,0,0.0
25.04,25.04,25.04,0,25.04,2024-07-26T04:00:00Z,0,0.0
25.21,25.21,25.21,3,25.21,2024-07-29T04:00:00Z,3,25.22
25.19,25.19,25.17,1,25.17,2024-07-30T04:00:00Z,140000,25.17
25.19,25.19,25.19,0,25.19,2024-07-31T04:00:00Z,0,0.0
25.28,25.28,25.28,1,25.28,2024-08-01T04:00:00Z,1,25.2
25.13,25.13,25.13,1,25.13,2024-08-02T04:00:00Z,20,25.14
25.13,25.13,25.13,0,25.13,2024-08-05T04:00:00Z,0,0.0
24.87,24.87,24.87,1,24.87,2024-08-06T04:00:00Z,37,24.96
24.85,24.85,24.85,1,24.85,2024-08-07T04:00:00Z,20,24.92
25.07,25.07,25.07,1,25.07,2024-08-08T04:00:00Z,10,25.08
25.11,25.11,25.04,3,25.04,2024-08-09T04:00:00Z,190021,25.04
25.11,25.12,25.11,2,25.12,2024-08-12T04:00:00Z,200,25.12
25.11,25.11,25.11,0,25.11,2024-08-13T04:00:00Z,0,0.0
25.11,25.11,25.11,0,25.11,2024-08-14T04:00:00Z,0,0.0
25.11,25.11,25.11,0,25.11,2024-08-15T04:00:00Z,0,0.0
25.8,25.8,25.8,3,25.8,2024-08-16T04:00:00Z,21,25.77
25.96,25.96,25.96,1,25.96,2024-08-19T04:00:00Z,1,25.94
25.96,25.96,25.96,0,25.96,2024-08-20T04:00:00Z,0,0.0
25.96,25.96,25.96,0,25.96,2024-08-21T04:00:00Z,0,0.0
25.96,25.96,25.96,0,25.96,2024-08-22T04:00:00Z,0,0.0
25.96,25.96,25.96,0,25.96,2024-08-23T04:00:00Z,0,0.0
25.96,25.96,25.96,0,25.96,2024-08-26T04:00:00Z,0,0.0
25.96,25.96,25.96,0,25.96,2024-08-27T04:00:00Z,0,0.0
25.96,25.96,25.96,0,25.96,2024-08-28T04:00:00Z,0,0.0
25.96,25.96,25.96,0,25.96,2024-08-29T04:00:00Z,0,0.0
25.96,25.96,25.96,0,25.96,2024-08-30T04:00:00Z,0,0.0
25.96,25.96,25.96,0,25.96,2024-09-03T04:00:00Z,0,0.0
25.96,25.96,25.96,0,25.96,2024-09-04T04:00:00Z,0,0.0
25.96,25.96,25.96,0,25.96,2024-09-05T04:00:00Z,0,0.0
25.96,25.96,25.96,0,25.96,2024-09-06T04:00:00Z,0,0.0
25.96,25.96,25.96,0,25.96,2024-09-09T04:00:00Z,0,0.0
25.96,25.96,25.96,0,25.96,2024-09-10T04:00:00Z,0,0.0
26.0762,26.0762,26.0762,0,26.0762,2024-09-11T04:00:00Z,0,0.0
25.7835,25.7835,25.7835,2,25.7835,2024-09-12T04:00:00Z,2,25.7125
25.7835,25.7835,25.7835,0,25.7835,2024-09-13T04:00:00Z,0,0.0
25.7835,25.7835,25.7835,0,25.7835,2024-09-16T04:00:00Z,0,0.0
25.8907,25.8907,25.8907,1,25.8907,2024-09-17T04:00:00Z,1,25.96
25.8144,25.8144,25.8144,2,25.8144,2024-09-18T04:00:00Z,2,25.99
25.8144,25.8144,25.8144,0,25.8144,2024-09-19T04:00:00Z,0,0.0
25.8144,25.8144,25.8144,0,25.8144,2024-09-20T04:00:00Z,0,0.0
25.8144,25.8144,25.8144,0,25.8144,2024-09-23T04:00:00Z,0,0.0
26.1468,26.1468,26.1468,1,26.1468,2024-09-24T04:00:00Z,1,26.32
26.1468,26.1468,26.1468,0,26.1468,2024-09-25T04:00:00Z,0,0.0
26.329,26.329,26.24,7,26.24,2024-09-26T04:00:00Z,2500,26.24398
