c,h,l,n,o,t,v,vw
6.221,6.264,5.83,18388,5.866,2016-01-04T05:00:00Z,3611119,6.144
5.902,6.286,5.851,19064,6.286,2016-01-05T05:00:00Z,3675584,5.967
5.612,5.88,5.605,19580,5.822,2016-01-06T05:00:00Z,4015910,5.714
5.366,5.533,5.229,20385,5.431,2016-01-07T05:00:00Z,4476502,5.36
5.279,5.663,5.25,10135,5.381,2016-01-08T05:00:00Z,2133917,5.376
5.134,5.433,5.004,18402,5.33,2016-01-11T05:00:00Z,3616913,5.147
5.142,5.243,5.048,11343,5.185,2016-01-12T05:00:00Z,2014707,5.113
5.033,5.221,4.997,11540,5.142,2016-01-13T05:00:00Z,2079486,5.067
5.156,5.24,4.953,9203,5.033,2016-01-14T05:00:00Z,2397789,5.113
4.917,5.098,4.867,11579,4.968,2016-01-15T05:00:00Z,2498591,4.965
5.048,5.163,4.982,12095,5.033,2016-01-19T05:00:00Z,2372821,5.071
4.982,5.04,4.533,16149,5.004,2016-01-20T05:00:00Z,3917121,4.778
5.033,5.033,4.83,7792,4.99,2016-01-21T05:00:00Z,1462400,4.971
5.221,5.272,5.091,7111,5.156,2016-01-22T05:00:00Z,1427636,5.211
5.243,5.373,5.229,7241,5.287,2016-01-25T05:00:00Z,1554287,5.299
5.301,5.345,5.134,5439,5.178,2016-01-26T05:00:00Z,1143349,5.257
5.279,5.431,5.258,6210,5.301,2016-01-27T05:00:00Z,1236723,5.331
5.352,5.395,5.287,9172,5.337,2016-01-28T05:00:00Z,1924316,5.357
5.62,5.692,5.366,10401,5.366,2016-01-29T05:00:00Z,2155135,5.605
5.62,5.714,5.555,7759,5.62,2016-02-01T05:00:00Z,1655201,5.626
5.489,5.593,5.359,9225,5.591,2016-02-02T05:00:00Z,1928365,5.458
5.518,5.573,5.402,8567,5.54,2016-02-03T05:00:00Z,1679508,5.477
5.866,5.938,5.497,12253,5.794,2016-02-04T05:00:00Z,3184336,5.776
5.851,6.04,5.765,12118,5.859,2016-02-05T05:00:00Z,3078152,5.883
5.851,5.855,5.634,10419,5.794,2016-02-08T05:00:00Z,2068559,5.748
5.424,5.801,5.29,13910,5.714,2016-02-09T05:00:00Z,3424546,5.477
5.475,5.634,5.359,4556,5.402,2016-02-10T05:00:00Z,855191,5.508
5.504,5.518,5.366,6095,5.417,2016-02-11T05:00:00Z,1226499,5.457
5.721,5.75,5.439,6452,5.504,2016-02-12T05:00:00Z,1219932,5.65
5.953,6.09,5.728,11347,5.728,2016-02-16T05:00:00Z,2490680,5.958
6.09,6.185,6.025,6363,6.083,2016-02-17T05:00:00Z,1410687,6.089
5.996,6.119,5.846,5347,6.105,2016-02-18T05:00:00Z,1274099,5.968
6.105,6.181,5.938,9162,5.975,2016-02-19T05:00:00Z,1573216,6.106
6.329,6.366,6.119,8073,6.148,2016-02-22T05:00:00Z,2182964,6.287
6.373,6.539,6.322,11152,6.453,2016-02-23T05:00:00Z,2567770,6.426
6.663,6.692,6.177,13947,6.337,2016-02-24T05:00:00Z,2822974,6.514
6.597,6.699,6.438,10164,6.699,2016-02-25T05:00:00Z,1837687,6.573
7.025,7.05,6.554,19573,6.605,2016-02-26T05:00:00Z,4225734,6.891
