c,h,l,n,o,t,v,vw
0.349,0.349,0.25,80,0.25,2021-08-05T04:00:00Z,358286,0.250401
0.25,0.27,0.2398,154,0.26,2021-08-06T04:00:00Z,56154,0.251119
0.25,0.265,0.2399,392,0.25,2021-08-09T04:00:00Z,131511,0.246199
0.219899,0.2501,0.219899,73,0.2501,2021-08-10T04:00:00Z,70700,0.230974
0.205,0.23,0.2,78,0.2,2021-08-11T04:00:00Z,139960,0.205338
0.2119,0.2119,0.2,18,0.2056,2021-08-12T04:00:00Z,50500,0.204331
0.21,0.2525,0.2,154,0.2,2021-08-13T04:00:00Z,89461,0.205037
0.233011,0.233011,0.19,153,0.2001,2021-08-16T04:00:00Z,77741,0.199841
0.22,0.22,0.22,3,0.22,2021-08-17T04:00:00Z,1004,0.22
0.2,0.201001,0.2,64,0.200101,2021-08-18T04:00:00Z,18306,0.200408
0.201,0.201,0.199899,116,0.2,2021-08-19T04:00:00Z,84811,0.200256
0.227,0.239,0.1986,114,0.2,2021-08-20T04:00:00Z,105948,0.209086
0.2,0.22,0.199878,76,0.2,2021-08-23T04:00:00Z,62865,0.200386
0.2,0.2001,0.2,128,0.2,2021-08-24T04:00:00Z,119375,0.2
0.2,0.2001,0.1667,257,0.2,2021-08-25T04:00:00Z,134700,0.191278
0.2,0.21,0.2,38,0.2,2021-08-26T04:00:00Z,13928,0.201893
0.2,0.2,0.2,0,0.2,2021-08-27T04:00:00Z,0,0.0
0.2,0.238,0.1999,61,0.21,2021-08-30T04:00:00Z,11713,0.212281
0.21,0.22,0.199899,55,0.2,2021-08-31T04:00:00Z,10019,0.211369
0.21,0.21,0.21,0,0.21,2021-09-01T04:00:00Z,0,0.0
0.1703,0.2,0.1703,63,0.2,2021-09-02T04:00:00Z,29299,0.180442
0.1853,0.1853,0.1697,136,0.1702,2021-09-03T04:00:00Z,163176,0.170013
0.1888,0.1888,0.1888,6,0.1888,2021-09-07T04:00:00Z,671,0.1888
0.2,0.2,0.18,60,0.19,2021-09-08T04:00:00Z,9250,0.191524
0.192,0.192,0.1858,19,0.1901,2021-09-09T04:00:00Z,22200,0.190479
0.219,0.3,0.19,819,0.3,2021-09-10T04:00:00Z,763400,0.213061
0.24,0.24,0.219,65,0.2199,2021-09-13T04:00:00Z,58513,0.22614
0.192,0.222,0.17,77,0.1801,2021-09-14T04:00:00Z,20500,0.175742
0.2049,0.2088,0.19,15,0.2088,2021-09-15T04:00:00Z,10342,0.198956
0.229,0.229,0.2099,48,0.2099,2021-09-16T04:00:00Z,19491,0.2231
0.236244,0.24,0.23245,32,0.24,2021-09-17T04:00:00Z,3769,0.236905
0.219,0.2248,0.192,82,0.22,2021-09-20T04:00:00Z,11793,0.214794
0.2395,0.2399,0.22,14,0.22,2021-09-21T04:00:00Z,20564,0.221045
0.24,0.2499,0.220101,34,0.220101,2021-09-22T04:00:00Z,13660,0.245386
0.24,0.24,0.24,0,0.24,2021-09-23T04:00:00Z,0,0.0
0.2399,0.2495,0.225,7,0.225,2021-09-24T04:00:00Z,3518,0.227669
0.2495,0.2495,0.2495,4,0.2495,2021-09-27T04:00:00Z,2580,0.2495
0.2399,0.2497,0.23,14,0.2495,2021-09-28T04:00:00Z,20007,0.234953
0.23,0.2495,0.2116,16,0.2495,2021-09-29T04:00:00Z,25101,0.229586
0.235,0.235,0.2,6,0.2,2021-09-30T04:00:00Z,90722,0.200188
0.24,0.240101,0.24,2,0.240101,2021-10-01T04:00:00Z,800,0.240051
0.2399,0.240248,0.222,17,0.24,2021-10-04T04:00:00Z,53450,0.231585
0.23,0.2301,0.212101,11,0.2301,2021-10-05T04:00:00Z,27639,0.22942
0.23,0.2499,0.21,63,0.23,2021-10-06T04:00:00Z,37350,0.229195
0.225,0.232,0.2152,68,0.232,2021-10-07T04:00:00Z,84841,0.229396
0.2397,0.2399,0.2397,4,0.2399,2021-10-08T04:00:00Z,202,0.2398
0.2176,0.2251,0.2152,15,0.2251,2021-10-11T04:00:00Z,27300,0.222229
0.2297,0.23,0.2151,21,0.225,2021-10-12T04:00:00Z,27415,0.224975
0.22,0.2202,0.2194,23,0.2202,2021-10-13T04:00:00Z,92437,0.220004
0.2049,0.2329,0.19,238,0.2011,2021-10-14T04:00:00Z,54000,0.200591
0.2299,0.2299,0.219,5,0.2199,2021-10-15T04:00:00Z,500,0.22136
0.23,0.23,0.23,1,0.23,2021-10-18T04:00:00Z,100,0.23
0.23,0.23,0.23,0,0.23,2021-10-19T04:00:00Z,0,0.0
0.2165,0.2199,0.1701,23,0.1701,2021-10-20T04:00:00Z,31805,0.172559
0.2088,0.2199,0.1917,27,0.2,2021-10-21T04:00:00Z,3400,0.208068
0.2288,0.23,0.200016,86,0.2099,2021-10-22T04:00:00Z,44020,0.209448
0.2288,0.2288,0.2288,6,0.2288,2021-10-25T04:00:00Z,8001,0.2288
0.2299,0.2299,0.22,19,0.22,2021-10-26T04:00:00Z,24300,0.220163
0.2299,0.2299,0.2091,21,0.2299,2021-10-27T04:00:00Z,6655,0.228308
0.2299,0.2299,0.2299,0,0.2299,2021-10-28T04:00:00Z,0,0.0
0.229623,0.23,0.22055,20,0.2299,2021-10-29T04:00:00Z,4000,0.225485
0.2299,0.2299,0.2009,20,0.2201,2021-11-01T04:00:00Z,3660,0.218385
0.2331,0.2499,0.2295,1868,0.2295,2021-11-02T04:00:00Z,513752,0.230293
0.25,0.25,0.2361,61,0.2399,2021-11-03T04:00:00Z,24005,0.242029
0.29,0.2999,0.26,9,0.26,2021-11-04T04:00:00Z,1954,0.269995
0.28,0.2979,0.28,11,0.2979,2021-11-05T04:00:00Z,3591,0.283566
0.2778,0.281,0.2778,4,0.281,2021-11-08T05:00:00Z,1400,0.280086
0.2799,0.2799,0.26,4,0.26,2021-11-09T05:00:00Z,399,0.266633
0.2799,0.2799,0.2799,0,0.2799,2021-11-10T05:00:00Z,0,0.0
0.2779,0.2779,0.2779,1,0.2779,2021-11-11T05:00:00Z,500,0.2779
0.2759,0.2759,0.2462,13,0.2463,2021-11-12T05:00:00Z,1404,0.256015
0.248,0.2493,0.2272,23,0.2493,2021-11-15T05:00:00Z,7010,0.245954
0.25,0.25,0.25,1,0.25,2021-11-16T05:00:00Z,200,0.25
0.25,0.25,0.25,5,0.25,2021-11-17T05:00:00Z,4310,0.25
0.25,0.25,0.24255,9,0.25,2021-11-18T05:00:00Z,565,0.247422
0.27,0.27,0.25,12,0.25,2021-11-19T05:00:00Z,16600,0.252922
0.268,0.268,0.2426,2,0.2426,2021-11-22T05:00:00Z,2600,0.243577
0.268,0.268,0.268,0,0.268,2021-11-23T05:00:00Z,0,0.0
0.268,0.268,0.25,10,0.268,2021-11-24T05:00:00Z,1500,0.2584
0.268,0.268,0.268,0,0.268,2021-11-26T05:00:00Z,0,0.0
0.258,0.26,0.258,33,0.258,2021-11-29T05:00:00Z,16860,0.259193
0.23,0.244,0.2203,29,0.23,2021-11-30T05:00:00Z,7540,0.230044
0.2245,0.231,0.21,51,0.231,2021-12-01T05:00:00Z,59131,0.219861
0.2292,0.2292,0.2001,47,0.212,2021-12-02T05:00:00Z,11470,0.21016
0.22,0.22,0.21,11,0.2195,2021-12-03T05:00:00Z,5968,0.219052
0.22,0.22,0.2001,5,0.2001,2021-12-06T05:00:00Z,4694,0.200719
0.1906,0.22,0.1902,43,0.2013,2021-12-07T05:00:00Z,29669,0.20068
0.1961,0.209,0.1961,4,0.209,2021-12-08T05:00:00Z,703,0.197943
0.1999,0.2,0.199899,7,0.199899,2021-12-09T05:00:00Z,4097,0.199961
0.189,0.19,0.1801,131,0.19,2021-12-10T05:00:00Z,98436,0.189334
0.1848,0.185,0.1607,57,0.1849,2021-12-13T05:00:00Z,28346,0.17777
0.169899,0.18,0.1602,20,0.18,2021-12-14T05:00:00Z,6744,0.164039
0.179899,0.18,0.179899,8,0.18,2021-12-15T05:00:00Z,497,0.179975
0.179899,0.179899,0.179899,0,0.179899,2021-12-16T05:00:00Z,0,0.0
0.1799,0.1799,0.161101,21,0.179799,2021-12-17T05:00:00Z,4700,0.175674
0.179799,0.18,0.175726,25,0.18,2021-12-20T05:00:00Z,13900,0.17968
0.1753,0.1753,0.161067,7,0.1611,2021-12-21T05:00:00Z,700,0.167176
0.17,0.17,0.1699,7,0.1699,2021-12-22T05:00:00Z,1600,0.169975
0.1671,0.17,0.1671,7,0.1699,2021-12-23T05:00:00Z,3400,0.169824
0.167,0.167,0.167,2,0.167,2021-12-27T05:00:00Z,200,0.167
0.1949,0.1949,0.1949,33,0.1949,2021-12-28T05:00:00Z,1216,0.1949
0.17,0.17,0.1673,8,0.1673,2021-12-29T05:00:00Z,3400,0.169841
0.1671,0.169899,0.1671,5,0.169899,2021-12-30T05:00:00Z,520,0.168779
0.1625,0.165,0.1625,6,0.165,2021-12-31T05:00:00Z,3320,0.164848
0.1895,0.1895,0.1895,2,0.1895,2022-01-03T05:00:00Z,178,0.1895
0.165,0.1799,0.165,61,0.17,2022-01-04T05:00:00Z,28825,0.169161
0.165,0.165,0.165,0,0.165,2022-01-05T05:00:00Z,0,0.0
0.165,0.17,0.165,9,0.165,2022-01-06T05:00:00Z,1270,0.165455
0.16,0.1611,0.1321,51,0.1611,2022-01-07T05:00:00Z,36899,0.157082
0.16,0.16,0.159633,37,0.16,2022-01-10T05:00:00Z,19800,0.159931
0.16,0.16,0.144598,76,0.149899,2022-01-11T05:00:00Z,216500,0.150041
0.1799,0.1799,0.1699,2,0.1699,2022-01-12T05:00:00Z,200,0.1749
0.1799,0.1799,0.1799,0,0.1799,2022-01-13T05:00:00Z,0,0.0
0.1799,0.1799,0.1799,0,0.1799,2022-01-14T05:00:00Z,0,0.0
0.1799,0.1799,0.1799,0,0.1799,2022-01-18T05:00:00Z,0,0.0
0.1799,0.1799,0.1799,0,0.1799,2022-01-19T05:00:00Z,0,0.0
0.1799,0.1799,0.1799,0,0.1799,2022-01-20T05:00:00Z,0,0.0
0.17,0.1801,0.17,21,0.18,2022-01-21T05:00:00Z,33907,0.179948
0.1799,0.1799,0.1799,5,0.1799,2022-01-24T05:00:00Z,300,0.1799
0.1699,0.1699,0.135,11,0.135,2022-01-25T05:00:00Z,28053,0.152615
0.1699,0.1699,0.1699,0,0.1699,2022-01-26T05:00:00Z,0,0.0
0.1699,0.1699,0.1699,0,0.1699,2022-01-27T05:00:00Z,0,0.0
0.1579,0.1579,0.146,4,0.146,2022-01-28T05:00:00Z,402,0.15192
