c,h,l,n,o,t,v,vw
0.8,0.8,0.77,9,0.77,2020-08-24T04:00:00Z,8501,0.778519
1.4,2.5,0.87,49,0.8922,2020-08-25T04:00:00Z,16121,1.139642
1.21,1.48,1.0,32,1.0,2020-08-26T04:00:00Z,6751,1.190755
1.1436,1.1601,1.11,43,1.16,2020-08-27T04:00:00Z,11572,1.147315
1.06,1.1325,1.06,6,1.1325,2020-08-28T04:00:00Z,519,1.110133
1.24,1.3,1.1,25,1.1,2020-08-31T04:00:00Z,7001,1.241218
1.11,1.24,1.05,34,1.22,2020-09-01T04:00:00Z,9111,1.164643
1.09,1.09,1.09,3,1.09,2020-09-02T04:00:00Z,110,1.090455
1.05,1.05,1.05,6,1.05,2020-09-03T04:00:00Z,730,1.052096
0.99,1.1001,0.99,8,1.1,2020-09-04T04:00:00Z,1082,1.043877
0.99,1.07,0.99,9,1.07,2020-09-08T04:00:00Z,811,1.036819
1.18,1.18,0.99,20,0.99,2020-09-09T04:00:00Z,3846,1.017769
0.8883,1.13,0.85,36,1.13,2020-09-10T04:00:00Z,13615,0.980516
0.8,0.8,0.75,6,0.75,2020-09-11T04:00:00Z,362,0.78453
0.980001,0.980001,0.85,7,0.85,2020-09-14T04:00:00Z,730,0.932891
0.8,0.94,0.75,13,0.94,2020-09-15T04:00:00Z,4515,0.888359
0.81,0.99,0.81,7,0.9788,2020-09-16T04:00:00Z,7900,0.968805
0.9,0.900748,0.9,4,0.9,2020-09-17T04:00:00Z,6300,0.900356
0.9,0.9,0.9,0,0.9,2020-09-18T04:00:00Z,0,0.0
0.9,0.9,0.9,0,0.9,2020-09-21T04:00:00Z,0,0.0
0.8998,0.9,0.84,12,0.84,2020-09-22T04:00:00Z,6050,0.889724
0.8998,0.8998,0.8998,0,0.8998,2020-09-23T04:00:00Z,0,0.0
0.8998,0.8998,0.8998,0,0.8998,2020-09-24T04:00:00Z,0,0.0
0.8998,0.8998,0.8998,0,0.8998,2020-09-25T04:00:00Z,0,0.0
