c,h,l,n,o,t,v,vw
10.12,10.15,10.1,60,10.15,2023-01-26T05:00:00Z,306526,10.106962
10.13,10.13,10.12,24,10.12,2023-01-27T05:00:00Z,355625,10.12367
10.12,10.14,10.12,194,10.14,2023-01-30T05:00:00Z,260168,10.120305
10.125,10.14,10.125,2,10.14,2023-01-31T05:00:00Z,50100,10.12503
10.13,10.13,10.13,7,10.13,2023-02-01T05:00:00Z,198010,10.13
10.13,10.13,10.12,7,10.13,2023-02-02T05:00:00Z,10373,10.129709
10.13,10.14,10.12,91,10.13,2023-02-03T05:00:00Z,442543,10.129451
10.14,10.14,10.12,67,10.14,2023-02-06T05:00:00Z,405055,10.135101
10.13,10.14,10.13,25,10.14,2023-02-07T05:00:00Z,4129,10.134547
10.13,10.16,10.13,15,10.16,2023-02-08T05:00:00Z,2090,10.150548
10.13,10.15,10.13,47,10.14,2023-02-09T05:00:00Z,114261,10.140024
10.14,10.15,10.14,120,10.15,2023-02-10T05:00:00Z,146982,10.142447
10.14,10.15,10.14,30,10.15,2023-02-13T05:00:00Z,70058,10.149654
10.14,10.15,10.14,21,10.15,2023-02-14T05:00:00Z,7001,10.143286
10.145,10.15,10.14,27,10.15,2023-02-15T05:00:00Z,168538,10.144362
10.14,10.15,10.14,17,10.14,2023-02-16T05:00:00Z,59046,10.140568
10.14,10.14,10.14,0,10.14,2023-02-17T05:00:00Z,0,0.0
10.14,10.14,10.13,115,10.13,2023-02-21T05:00:00Z,66711,10.131072
10.16,10.16,10.145,22,10.145,2023-02-22T05:00:00Z,8000,10.150459
10.1566,10.16,10.15,88,10.16,2023-02-23T05:00:00Z,351102,10.159833
10.17,10.17,10.17,6,10.17,2023-02-24T05:00:00Z,402,10.17
10.17,10.18,10.17,28,10.18,2023-02-27T05:00:00Z,7049,10.17029
10.18,10.18,10.18,5,10.18,2023-02-28T05:00:00Z,1805,10.18
10.15,10.18,10.15,11,10.18,2023-03-01T05:00:00Z,3306,10.169697
10.165,10.165,10.165,3,10.165,2023-03-02T05:00:00Z,1751,10.165
10.165,10.165,10.165,0,10.165,2023-03-03T05:00:00Z,0,0.0
10.1558,10.2,10.1554,7,10.2,2023-03-06T05:00:00Z,3383,10.166737
10.18,10.18,10.16,9,10.16,2023-03-07T05:00:00Z,3500,10.165714
10.18,10.19,10.18,5,10.19,2023-03-08T05:00:00Z,845,10.18625
10.18,10.18,10.18,2,10.18,2023-03-09T05:00:00Z,272,10.18
10.18,10.18,10.18,3,10.18,2023-03-10T05:00:00Z,222,10.18
10.18,10.18,10.18,14,10.18,2023-03-13T04:00:00Z,10000,10.18
10.19,10.2,10.19,23,10.2,2023-03-14T04:00:00Z,9971,10.195263
10.18,10.18,10.18,7,10.18,2023-03-15T04:00:00Z,6718,10.18
10.19,10.19,10.19,4,10.19,2023-03-16T04:00:00Z,5042,10.19
10.18,10.18,10.18,2,10.18,2023-03-17T04:00:00Z,143,10.18
10.18,10.18,10.18,0,10.18,2023-03-20T04:00:00Z,0,0.0
10.18,10.18,10.18,0,10.18,2023-03-21T04:00:00Z,0,0.0
10.2,10.2,10.2,16,10.2,2023-03-22T04:00:00Z,2653,10.2
