c,h,l,n,o,t,v,vw
7.134,7.29,6.87,2175,7.195,2016-01-04T05:00:00Z,1053984,7.12
7.25,7.36,7.129,1450,7.153,2016-01-05T05:00:00Z,715108,7.274
7.221,7.274,7.082,1444,7.12,2016-01-06T05:00:00Z,582976,7.211
7.044,7.195,6.917,1530,7.032,2016-01-07T05:00:00Z,625560,7.105
6.966,7.351,6.936,821,7.115,2016-01-08T05:00:00Z,448136,7.064
6.211,7.15,6.192,2655,6.995,2016-01-11T05:00:00Z,1331320,6.465
6.452,6.483,6.157,1200,6.254,2016-01-12T05:00:00Z,444612,6.384
6.336,6.551,6.277,1852,6.494,2016-01-13T05:00:00Z,724696,6.396
6.299,6.566,6.218,1064,6.381,2016-01-14T05:00:00Z,475744,6.323
6.133,6.188,5.999,1326,6.131,2016-01-15T05:00:00Z,635964,6.111
6.303,6.334,6.055,1763,6.251,2016-01-19T05:00:00Z,1273580,6.241
6.428,6.478,6.084,1849,6.162,2016-01-20T05:00:00Z,1320832,6.349
6.452,6.596,6.369,1121,6.473,2016-01-21T05:00:00Z,734880,6.46
6.516,6.556,6.263,870,6.535,2016-01-22T05:00:00Z,417776,6.466
6.612,6.825,6.465,769,6.473,2016-01-25T05:00:00Z,686532,6.611
6.615,6.709,6.523,640,6.622,2016-01-26T05:00:00Z,284532,6.613
6.631,6.745,6.466,736,6.579,2016-01-27T05:00:00Z,633540,6.614
6.686,6.792,6.611,945,6.704,2016-01-28T05:00:00Z,375572,6.674
6.549,6.754,6.188,1143,6.714,2016-01-29T05:00:00Z,505544,6.552
6.478,6.535,6.407,494,6.511,2016-02-01T05:00:00Z,202068,6.479
6.256,6.629,6.223,940,6.452,2016-02-02T05:00:00Z,353208,6.286
6.327,6.365,6.07,713,6.31,2016-02-03T05:00:00Z,276248,6.303
6.433,6.494,6.308,1079,6.32,2016-02-04T05:00:00Z,588188,6.405
6.485,6.565,6.31,707,6.412,2016-02-05T05:00:00Z,2264860,6.383
6.254,6.506,6.142,989,6.393,2016-02-08T05:00:00Z,2780624,6.324
6.183,6.584,6.098,764,6.195,2016-02-09T05:00:00Z,456940,6.187
6.067,6.475,6.065,393,6.244,2016-02-10T05:00:00Z,149004,6.128
6.074,6.136,6.03,1566,6.053,2016-02-11T05:00:00Z,404192,6.086
