c,h,l,n,o,t,v,vw
25.49,26.19,25.13,829,26.01,2016-01-04T05:00:00Z,96416,25.44
25.96,26.2,25.3,656,25.3,2016-01-05T05:00:00Z,62428,25.8
25.78,25.99,25.41,432,25.41,2016-01-06T05:00:00Z,54387,25.8
24.03,25.68,24.03,1365,25.33,2016-01-07T05:00:00Z,166560,24.56
23.48,24.36,21.8,1302,24.12,2016-01-08T05:00:00Z,147368,23.94
23.56,23.83,23.06,885,23.1,2016-01-11T05:00:00Z,97010,23.56
23.53,23.73,23.13,788,23.57,2016-01-12T05:00:00Z,103749,23.44
23.01,23.52,22.75,779,23.52,2016-01-13T05:00:00Z,88147,23.09
23.01,23.68,22.99,955,23.01,2016-01-14T05:00:00Z,103601,23.22
22.68,22.91,22.1,723,22.34,2016-01-15T05:00:00Z,97794,22.55
22.89,23.01,22.64,564,22.92,2016-01-19T05:00:00Z,80858,22.82
23.31,23.63,22.55,734,22.55,2016-01-20T05:00:00Z,82014,23.14
22.78,23.31,22.7,743,23.31,2016-01-21T05:00:00Z,94771,22.98
22.94,23.17,22.73,549,23.17,2016-01-22T05:00:00Z,81543,22.93
22.18,22.95,22.14,542,22.92,2016-01-25T05:00:00Z,68058,22.37
24.74,24.99,22.84,1168,22.84,2016-01-26T05:00:00Z,130225,24.24
24.06,24.73,24.02,973,24.73,2016-01-27T05:00:00Z,83807,24.27
24.52,24.91,24.35,662,24.91,2016-01-28T05:00:00Z,75576,24.63
25.16,25.25,24.41,747,24.53,2016-01-29T05:00:00Z,96824,24.99
24.52,24.92,24.48,432,24.92,2016-02-01T05:00:00Z,47182,24.61
24.02,24.31,23.92,281,24.31,2016-02-02T05:00:00Z,33194,24.04
24.45,24.52,23.68,683,24.16,2016-02-03T05:00:00Z,82716,24.18
24.44,24.77,24.25,504,24.34,2016-02-04T05:00:00Z,50258,24.47
24.09,24.81,24.05,689,24.45,2016-02-05T05:00:00Z,91346,24.21
24.57,24.69,23.68,704,23.78,2016-02-08T05:00:00Z,76515,24.34
