c,h,l,n,o,t,v,vw
56.63,58.96,56.56,2722,58.54,2016-01-04T05:00:00Z,277906,57.372814
58.25,58.4,56.37,2325,56.66,2016-01-05T05:00:00Z,264980,57.518043
57.83,59.01,57.42,1716,57.53,2016-01-06T05:00:00Z,181392,58.152962
55.27,57.15,55.26,2267,56.96,2016-01-07T05:00:00Z,273152,55.909668
55.4,56.5,54.38,1511,55.47,2016-01-08T05:00:00Z,163099,55.709271
55.91,56.57,54.74,1870,55.43,2016-01-11T05:00:00Z,197992,55.898434
56.68,57.12,55.8,1431,56.22,2016-01-12T05:00:00Z,169236,56.57605
53.22,57.08,53.01,2012,56.83,2016-01-13T05:00:00Z,204347,54.315011
55.24,56.51,52.73,2570,53.62,2016-01-14T05:00:00Z,296247,55.083718
54.93,55.15,53.74,2327,53.74,2016-01-15T05:00:00Z,210816,54.468371
54.37,55.63,52.08,3007,55.1,2016-01-19T05:00:00Z,341220,54.393274
54.52,55.49,52.6,3192,53.51,2016-01-20T05:00:00Z,312836,54.131467
53.67,55.815,53.62,2244,54.33,2016-01-21T05:00:00Z,226635,54.482867
54.16,54.66,53.65,2686,54.27,2016-01-22T05:00:00Z,281600,54.126203
54.14,54.58,53.31,2093,53.76,2016-01-25T05:00:00Z,196832,54.098529
56.76,57.47,54.26,2049,54.26,2016-01-26T05:00:00Z,198841,56.461612
56.11,57.98,55.92,2088,56.41,2016-01-27T05:00:00Z,211453,56.684566
54.86,57.245,54.67,1336,56.53,2016-01-28T05:00:00Z,153554,55.699829
56.11,56.38,55.21,1864,55.21,2016-01-29T05:00:00Z,234200,56.056285
56.2,56.74,55.0,1967,55.85,2016-02-01T05:00:00Z,243029,55.949195
54.95,56.535,54.81,1109,55.58,2016-02-02T05:00:00Z,109529,55.101821
54.31,56.285,53.35,1419,55.47,2016-02-03T05:00:00Z,133978,54.002999
54.13,54.98,53.99,885,54.08,2016-02-04T05:00:00Z,82615,54.291299
51.84,54.69,51.67,1396,53.79,2016-02-05T05:00:00Z,159781,52.156066
51.05,51.72,50.0,2381,51.64,2016-02-08T05:00:00Z,266230,50.977653
50.95,52.12,48.065,2044,50.37,2016-02-09T05:00:00Z,225447,51.253875
50.22,52.865,50.04,1653,51.34,2016-02-10T05:00:00Z,154690,50.812825
50.33,50.75,49.12,2396,49.38,2016-02-11T05:00:00Z,139459,50.135762
50.87,55.16,48.83,2062,50.98,2016-02-12T05:00:00Z,238079,50.274895
51.38,52.54,50.9,1924,51.38,2016-02-16T05:00:00Z,149698,51.63341
52.31,53.17,51.48,2041,51.62,2016-02-17T05:00:00Z,178590,52.341093
49.95,52.7,49.63,2088,52.49,2016-02-18T05:00:00Z,224067,50.598855
52.05,54.19,49.99,2702,49.99,2016-02-19T05:00:00Z,170291,51.931023
50.52,54.15,49.8,2597,52.58,2016-02-22T05:00:00Z,230241,50.888312
50.45,52.695,46.0,6223,46.0,2016-02-23T05:00:00Z,734704,50.584656
52.75,52.96,49.37,2595,50.06,2016-02-24T05:00:00Z,246681,51.551767
55.11,56.2,52.32,3080,52.73,2016-02-25T05:00:00Z,287180,54.960337
55.42,56.08,54.21,3116,55.18,2016-02-26T05:00:00Z,250562,55.507746
55.52,56.68,54.95,2115,55.59,2016-02-29T05:00:00Z,226407,55.835713
57.7,57.84,55.275,2673,56.07,2016-03-01T05:00:00Z,300971,56.874242
58.18,58.6399,57.05,2570,57.52,2016-03-02T05:00:00Z,299335,57.981565
58.87,58.98,56.94,2645,58.39,2016-03-03T05:00:00Z,360018,58.341655
59.54,59.9,58.13,2430,58.4,2016-03-04T05:00:00Z,270175,59.242945
58.68,60.0,58.44,1790,59.4,2016-03-07T05:00:00Z,214089,59.191728
56.77,58.38,56.7,2645,57.68,2016-03-08T05:00:00Z,285229,57.42331
57.33,57.62,56.61,2006,57.15,2016-03-09T05:00:00Z,223636,57.112262
56.45,59.03,55.62,1959,57.7,2016-03-10T05:00:00Z,241393,56.590807
57.87,58.12,56.13,1774,57.02,2016-03-11T05:00:00Z,193485,57.390062
56.84,58.1,56.68,1528,57.74,2016-03-14T04:00:00Z,199844,57.2577
55.59,57.58,54.81,1906,56.68,2016-03-15T04:00:00Z,190396,55.675364
54.78,55.82,51.1104,1743,55.26,2016-03-16T04:00:00Z,179459,55.155463
56.9,57.13,53.98,1877,54.85,2016-03-17T04:00:00Z,222210,56.155088
58.42,58.83,57.14,1994,57.22,2016-03-18T04:00:00Z,415446,58.136215
57.72,58.84,57.49,1642,58.36,2016-03-21T04:00:00Z,214829,57.999949
57.48,58.025,57.09,1379,57.36,2016-03-22T04:00:00Z,131389,57.610653
55.97,58.22,55.95,1880,57.53,2016-03-23T04:00:00Z,242340,56.406713
56.98,57.14,55.48,2172,55.87,2016-03-24T04:00:00Z,359501,56.472252
56.13,56.95,54.91,2277,56.95,2016-03-28T04:00:00Z,248909,56.01108
58.76,58.8,55.48,1955,56.17,2016-03-29T04:00:00Z,234091,57.848002
58.03,59.48,57.85,2086,58.92,2016-03-30T04:00:00Z,194119,58.467573
58.19,58.47,57.16,2232,58.16,2016-03-31T04:00:00Z,425097,58.103778
58.67,58.97,56.16,2041,57.5,2016-04-01T04:00:00Z,223870,57.923352
57.8,58.88,57.65,1638,58.81,2016-04-04T04:00:00Z,182977,58.278898
57.47,58.57,57.4,2034,57.52,2016-04-05T04:00:00Z,205683,57.820217
56.63,57.9599,56.43,1608,57.42,2016-04-06T04:00:00Z,169633,57.10007
54.72,56.8173,54.26,2613,56.1,2016-04-07T04:00:00Z,357479,54.829741
54.38,55.69,54.28,1731,55.04,2016-04-08T04:00:00Z,144517,54.763419
54.98,55.65,54.46,1522,54.68,2016-04-11T04:00:00Z,167751,54.966434
55.14,55.79,54.14,1660,54.91,2016-04-12T04:00:00Z,170740,55.12357
56.59,56.67,55.03,1129,55.56,2016-04-13T04:00:00Z,130663,56.030989
56.99,57.0,56.01,1429,56.68,2016-04-14T04:00:00Z,154230,56.476681
57.87,58.05,56.69,1011,56.69,2016-04-15T04:00:00Z,106724,57.62505
59.16,59.3,57.5,1551,57.58,2016-04-18T04:00:00Z,143347,58.770477
59.59,59.74,58.38,1568,59.42,2016-04-19T04:00:00Z,160494,59.350071
