c,h,l,n,o,t,v,vw
119.73,122.68,119.58,73,122.43,2021-07-14T04:00:00Z,2095,121.94
118.1,119.68,116.83,142,119.18,2021-07-15T04:00:00Z,2392,118.42
115.28,118.16,115.28,61,118.16,2021-07-16T04:00:00Z,1048,117.29
114.03,115.59,112.58,86,114.33,2021-07-19T04:00:00Z,2112,114.04
117.68,118.03,113.83,135,115.13,2021-07-20T04:00:00Z,3403,114.86
122.23,122.38,119.33,117,119.33,2021-07-21T04:00:00Z,2476,120.66
120.38,123.48,120.38,73,123.48,2021-07-22T04:00:00Z,2496,121.91
118.13,120.48,117.78,54,120.48,2021-07-23T04:00:00Z,1558,119.8
116.53,118.36,115.93,91,117.83,2021-07-26T04:00:00Z,2466,117.16
114.23,116.83,113.63,62,116.83,2021-07-27T04:00:00Z,1025,116.14
118.93,118.98,116.03,186,118.03,2021-07-28T04:00:00Z,6965,117.11
119.28,122.98,119.23,79,122.98,2021-07-29T04:00:00Z,2271,121.11
118.92,119.08,118.08,66,118.73,2021-07-30T04:00:00Z,1879,118.65
118.21,120.03,118.21,117,119.43,2021-08-02T04:00:00Z,1903,119.15
117.43,118.48,116.93,80,118.43,2021-08-03T04:00:00Z,2098,118.21
113.93,117.33,113.93,214,116.48,2021-08-04T04:00:00Z,3903,116.02
114.18,114.58,112.19,291,112.93,2021-08-05T04:00:00Z,6878,113.38
114.53,116.28,114.53,334,115.38,2021-08-06T04:00:00Z,8984,115.6
118.38,119.03,114.36,205,116.08,2021-08-09T04:00:00Z,2803,117.02
120.5,122.38,119.43,415,121.88,2021-08-10T04:00:00Z,11221,121.19
118.48,121.68,117.08,275,121.68,2021-08-11T04:00:00Z,4397,119.49
116.08,118.03,114.93,196,117.78,2021-08-12T04:00:00Z,2585,115.74
112.39,114.93,112.39,316,114.93,2021-08-13T04:00:00Z,2662,113.4
110.04,111.89,109.94,203,110.69,2021-08-16T04:00:00Z,6072,110.48
107.34,107.99,106.39,179,107.99,2021-08-17T04:00:00Z,2783,107.41
112.54,113.68,110.14,128,110.74,2021-08-18T04:00:00Z,1598,111.71
108.99,111.19,108.91,132,110.24,2021-08-19T04:00:00Z,1388,109.65
108.94,109.14,107.69,259,107.69,2021-08-20T04:00:00Z,4819,108.63
112.44,112.79,109.29,125,109.69,2021-08-23T04:00:00Z,1636,110.99
114.93,114.93,113.72,148,114.03,2021-08-24T04:00:00Z,2094,114.55
116.93,117.73,115.31,225,116.08,2021-08-25T04:00:00Z,6365,116.35
116.35,117.98,116.03,218,117.58,2021-08-26T04:00:00Z,3027,117.11
117.63,118.68,115.68,182,115.68,2021-08-27T04:00:00Z,4421,117.53
