c,h,l,n,o,t,v,vw
23.15,23.15,23.05,30,23.05,2020-02-28T05:00:00Z,13900,23.08
23.17,23.23,23.17,8,23.23,2020-03-02T05:00:00Z,800,23.22
23.39,23.56,23.19,99,23.25,2020-03-03T05:00:00Z,16800,23.43
23.41,23.45,23.41,7,23.45,2020-03-04T05:00:00Z,700,23.44
23.54,23.54,23.53,5,23.53,2020-03-05T05:00:00Z,550,23.53
23.89,23.99,23.87,56,23.97,2020-03-06T05:00:00Z,6202,23.9
24.21,24.45,24.21,134,24.45,2020-03-09T04:00:00Z,16311,24.31
23.77,24.17,23.77,186,24.04,2020-03-10T04:00:00Z,22000,23.98
23.63,23.86,23.63,100,23.86,2020-03-11T04:00:00Z,16300,23.71
23.48,23.89,23.48,226,23.81,2020-03-12T04:00:00Z,32433,23.78
23.27,25.34,23.27,404,23.42,2020-03-13T04:00:00Z,325024,23.5
23.81,23.87,23.6,46,23.71,2020-03-16T04:00:00Z,15719,23.67
23.34,23.78,23.34,19,23.77,2020-03-17T04:00:00Z,4954,23.46
22.97,23.27,22.79,191,23.03,2020-03-18T04:00:00Z,24298,23.02
22.93,23.19,22.9,72,22.9,2020-03-19T04:00:00Z,8185,23.09
23.51,23.51,23.34,37,23.35,2020-03-20T04:00:00Z,2926,23.38
23.92,23.92,23.79,31,23.79,2020-03-23T04:00:00Z,2712,23.81
23.72,23.74,23.64,23,23.73,2020-03-24T04:00:00Z,3373,23.7
23.67,23.82,23.67,18,23.82,2020-03-25T04:00:00Z,2054,23.7
23.8,23.8,23.8,7,23.8,2020-03-26T04:00:00Z,616,23.8
24.04,24.04,23.89,11,23.89,2020-03-27T04:00:00Z,522,23.99
24.08,24.39,24.05,351,24.21,2020-03-30T04:00:00Z,253152,24.11
24.15,24.29,24.13,96,24.16,2020-03-31T04:00:00Z,7732,24.16
24.16,24.78,24.16,117,24.26,2020-04-01T04:00:00Z,90817,24.24
24.18,24.27,24.18,31,24.27,2020-04-02T04:00:00Z,1282,24.24
24.2,24.32,24.2,39,24.23,2020-04-03T04:00:00Z,3948,24.28
24.15,24.17,24.06,25,24.17,2020-04-06T04:00:00Z,1131,24.14
23.9,24.11,23.9,24,24.11,2020-04-07T04:00:00Z,1629,24.09
23.95,24.0,23.94,15,23.94,2020-04-08T04:00:00Z,601,23.96
23.95,24.03,23.95,35,23.99,2020-04-09T04:00:00Z,2220,24.0
23.92,23.99,23.92,18,23.92,2020-04-13T04:00:00Z,2252,23.93
23.94,23.99,23.94,43,23.99,2020-04-14T04:00:00Z,2916,23.95
24.21,24.21,24.21,17,24.21,2020-04-15T04:00:00Z,544,24.21
24.25,24.27,24.24,29,24.27,2020-04-16T04:00:00Z,1507,24.25
24.2,24.29,24.2,25,24.29,2020-04-17T04:00:00Z,1577,24.27
24.25,24.26,24.22,43,24.22,2020-04-20T04:00:00Z,3759,24.24
24.33,24.39,24.33,15,24.39,2020-04-21T04:00:00Z,815,24.37
24.28,24.28,24.27,21,24.27,2020-04-22T04:00:00Z,979,24.28
24.28,24.28,24.28,0,24.28,2020-04-23T04:00:00Z,0,0.0
24.3,24.3,24.28,24,24.29,2020-04-24T04:00:00Z,1179,24.29
24.15,24.21,24.15,37,24.2,2020-04-27T04:00:00Z,4331,24.18
24.23,24.23,24.17,13,24.17,2020-04-28T04:00:00Z,907,24.18
24.22,24.31,24.21,25,24.23,2020-04-29T04:00:00Z,1223,24.26
24.27,24.29,24.25,18,24.25,2020-04-30T04:00:00Z,928,24.27
24.22,24.24,24.2,31,24.21,2020-05-01T04:00:00Z,2147,24.22
24.18,24.21,24.18,21,24.21,2020-05-04T04:00:00Z,645,24.19
24.19,24.2,24.17,23,24.2,2020-05-05T04:00:00Z,676,24.19
24.09,24.09,24.05,24,24.05,2020-05-06T04:00:00Z,1054,24.08
24.21,24.23,24.08,33,24.08,2020-05-07T04:00:00Z,903,24.18
24.21,24.21,24.21,20,24.21,2020-05-08T04:00:00Z,875,24.21
24.08,24.12,24.08,31,24.12,2020-05-11T04:00:00Z,1304,24.1
24.11,24.11,24.11,10,24.11,2020-05-12T04:00:00Z,227,24.11
24.25,24.25,24.2,23,24.2,2020-05-13T04:00:00Z,1113,24.23
24.31,24.31,24.26,32,24.26,2020-05-14T04:00:00Z,1822,24.3
24.25,24.25,24.23,11,24.23,2020-05-15T04:00:00Z,526,24.24
24.07,24.07,24.07,12,24.07,2020-05-18T04:00:00Z,301,24.07
24.07,24.07,24.07,0,24.07,2020-05-19T04:00:00Z,0,0.0
24.09,24.09,24.09,14,24.09,2020-05-20T04:00:00Z,513,24.09
24.17,24.17,24.16,14,24.16,2020-05-21T04:00:00Z,639,24.17
24.21,24.21,24.2,12,24.2,2020-05-22T04:00:00Z,623,24.21
24.15,24.15,24.15,13,24.15,2020-05-26T04:00:00Z,468,24.15
24.19,24.21,24.19,9,24.21,2020-05-27T04:00:00Z,396,24.19
24.16,24.2,24.16,42,24.19,2020-05-28T04:00:00Z,11269,24.19
24.2,24.21,24.2,20,24.21,2020-05-29T04:00:00Z,1116,24.2
24.2,24.2,24.2,12,24.2,2020-06-01T04:00:00Z,505,24.2
24.17,24.19,24.17,21,24.19,2020-06-02T04:00:00Z,925,24.17
24.05,24.05,24.03,37,24.03,2020-06-03T04:00:00Z,1903,24.03
24.05,24.05,24.05,0,24.05,2020-06-04T04:00:00Z,0,0.0
23.73,23.75,23.73,28,23.75,2020-06-05T04:00:00Z,1028,23.73
23.81,23.81,23.77,19,23.77,2020-06-08T04:00:00Z,754,23.79
23.9,23.94,23.9,19,23.93,2020-06-09T04:00:00Z,677,23.92
24.04,24.04,24.0,16,24.0,2020-06-10T04:00:00Z,551,24.03
24.21,24.21,24.21,14,24.21,2020-06-11T04:00:00Z,408,24.21
24.18,24.18,24.18,25,24.18,2020-06-12T04:00:00Z,637,24.18
24.18,24.18,24.18,0,24.18,2020-06-15T04:00:00Z,0,0.0
24.05,24.11,24.05,23,24.11,2020-06-16T04:00:00Z,3358,24.07
24.1,24.1,24.07,19,24.09,2020-06-17T04:00:00Z,1268,24.1
24.19,24.19,24.17,17,24.17,2020-06-18T04:00:00Z,786,24.19
24.17,24.17,24.17,10,24.17,2020-06-19T04:00:00Z,316,24.17
