c,h,l,n,o,t,v,vw
22.53,22.62,22.53,2,22.62,2022-07-08T04:00:00Z,4000,22.62
22.72,22.72,22.72,1,22.72,2022-07-11T04:00:00Z,1,0.0
22.62,22.62,22.62,0,22.62,2022-07-12T04:00:00Z,0,0.0
22.89,22.89,22.84,3,22.84,2022-07-13T04:00:00Z,102,22.84
22.78,22.78,22.78,3,22.78,2022-07-14T04:00:00Z,33,0.0
22.84,22.85,22.84,11,22.85,2022-07-15T04:00:00Z,110,22.85
22.77,22.77,22.77,4,22.77,2022-07-18T04:00:00Z,9,0.0
22.67,22.67,22.67,1,22.67,2022-07-19T04:00:00Z,3,0.0
22.65,22.65,22.64,1,22.64,2022-07-20T04:00:00Z,128,22.64
22.89,22.89,22.75,13,22.75,2022-07-21T04:00:00Z,3298,22.77
23.18,23.18,23.12,7,23.16,2022-07-22T04:00:00Z,4484,23.14
23.08,23.08,23.03,2,23.03,2022-07-25T04:00:00Z,200,23.03
23.1,23.25,23.1,4,23.25,2022-07-26T04:00:00Z,328,23.18
23.14,23.14,23.14,0,23.14,2022-07-27T04:00:00Z,0,0.0
23.37,23.39,23.35,45,23.35,2022-07-28T04:00:00Z,2716,23.37
23.39,23.44,23.31,10,23.31,2022-07-29T04:00:00Z,3096,23.36
23.53,23.53,23.44,6,23.46,2022-08-01T04:00:00Z,428,23.46
23.2,23.55,23.2,10,23.55,2022-08-02T04:00:00Z,1537,23.39
23.3,23.3,23.22,4,23.22,2022-08-03T04:00:00Z,541,23.26
23.41,23.41,23.33,6,23.37,2022-08-04T04:00:00Z,600,23.36
23.07,23.07,23.0,10,23.05,2022-08-05T04:00:00Z,1104,23.04
23.22,23.22,23.21,6,23.21,2022-08-08T04:00:00Z,874,23.21
23.16,23.16,23.15,7,23.15,2022-08-09T04:00:00Z,811,23.16
23.16,23.31,23.16,6,23.31,2022-08-10T04:00:00Z,622,23.3
22.96,22.97,22.96,2,22.97,2022-08-11T04:00:00Z,192,22.97
23.06,23.06,23.01,11,23.06,2022-08-12T04:00:00Z,4201,23.04
23.13,23.16,23.13,2,23.16,2022-08-15T04:00:00Z,2695,23.16
23.11,23.11,23.11,1,23.11,2022-08-16T04:00:00Z,46,0.0
