c,h,l,n,o,t,v,vw
13.92,13.95,12.95,887,13.0,2024-05-29T04:00:00Z,260650,13.492495
15.86,15.99,13.85,4513,13.85,2024-05-30T04:00:00Z,725625,15.144728
16.25,16.5,15.25,5188,15.97,2024-05-31T04:00:00Z,544085,16.008335
18.02,18.1899,16.31,5978,16.5,2024-06-03T04:00:00Z,541254,17.307623
17.21,18.63,16.98,5560,18.45,2024-06-04T04:00:00Z,465516,17.734716
16.89,18.95,16.8,5325,18.33,2024-06-05T04:00:00Z,608740,17.566006
16.24,16.74,16.09,2896,16.74,2024-06-06T04:00:00Z,407153,16.301214
16.65,17.2,16.15,5189,16.15,2024-06-07T04:00:00Z,343871,16.681441
16.59,17.3884,16.48,4136,17.28,2024-06-10T04:00:00Z,276898,16.720888
16.84,16.89,16.48,3362,16.48,2024-06-11T04:00:00Z,404630,16.704714
16.52,16.72,16.25,3004,16.53,2024-06-12T04:00:00Z,342118,16.372851
16.59,16.74,16.34,1579,16.4,2024-06-13T04:00:00Z,213505,16.599506
15.7,16.65,15.65,2228,16.44,2024-06-14T04:00:00Z,193964,16.135992
14.19,15.76,13.86,4200,15.64,2024-06-17T04:00:00Z,287182,14.503991
14.57,14.68,13.85,2169,14.14,2024-06-18T04:00:00Z,109598,14.376106
14.49,14.64,13.67,2811,14.46,2024-06-20T04:00:00Z,210201,14.303641
15.14,15.675,14.53,3503,14.53,2024-06-21T04:00:00Z,836123,15.115785
15.47,16.0,14.92,2376,15.115,2024-06-24T04:00:00Z,144735,15.469323
15.09,15.85,15.06,1376,15.42,2024-06-25T04:00:00Z,160778,15.306359
14.62,15.3,14.53,2512,15.02,2024-06-26T04:00:00Z,161704,14.785252
14.06,14.91,13.91,3250,14.54,2024-06-27T04:00:00Z,267516,14.321772
14.17,14.78,13.75,4429,14.04,2024-06-28T04:00:00Z,820419,14.170077
13.74,14.515,13.7,2522,13.97,2024-07-01T04:00:00Z,239286,14.006337
13.56,14.3,13.33,2429,13.78,2024-07-02T04:00:00Z,173880,13.596264
13.44,13.85,12.945,1170,13.55,2024-07-03T04:00:00Z,81644,13.297695
12.89,13.87,12.61,3405,13.23,2024-07-05T04:00:00Z,221790,12.867821
13.61,14.32,12.92,1431,12.92,2024-07-08T04:00:00Z,136977,13.406365
13.02,13.56,12.9,1602,13.47,2024-07-09T04:00:00Z,185137,13.044638
12.97,13.11,12.8364,1889,12.99,2024-07-10T04:00:00Z,95367,12.985533
13.25,13.4,13.0,1367,13.22,2024-07-11T04:00:00Z,79502,13.175362
13.29,13.595,12.8001,1007,13.38,2024-07-12T04:00:00Z,53283,13.304652
13.86,14.01,13.14,2240,13.5,2024-07-15T04:00:00Z,170989,13.66299
14.41,14.5,13.76,1533,13.76,2024-07-16T04:00:00Z,194420,14.091702
13.91,14.47,13.54,1711,14.2,2024-07-17T04:00:00Z,78156,13.92229
12.98,13.865,12.96,2058,13.8,2024-07-18T04:00:00Z,186074,13.256513
12.88,13.02,12.84,882,13.01,2024-07-19T04:00:00Z,49836,12.915396
13.49,13.56,12.7557,1081,12.86,2024-07-22T04:00:00Z,60847,13.106069
