c,h,l,n,o,t,v,vw
103.32,106.81,101.73,16680,106.5,2016-01-04T05:00:00Z,1639775,103.514106
103.8,105.98,101.9,11585,102.14,2016-01-05T05:00:00Z,1240097,103.758071
102.26,103.62,100.265,16420,101.44,2016-01-06T05:00:00Z,2419089,102.157035
95.76,100.79,95.62,18324,100.1,2016-01-07T05:00:00Z,1870115,98.02578
94.78,97.99,93.06,15993,97.08,2016-01-08T05:00:00Z,1746270,95.279339
92.19,96.2199,90.7,19539,95.9,2016-01-11T05:00:00Z,2130994,92.412842
88.09,96.75,84.57,34391,93.62,2016-01-12T05:00:00Z,3938757,89.003347
78.42,89.65,78.23,33302,88.52,2016-01-13T05:00:00Z,4226195,82.287513
80.98,82.59,74.73,23894,79.76,2016-01-14T05:00:00Z,2541917,79.362959
76.95,79.052,73.22,29653,74.48,2016-01-15T05:00:00Z,4613988,76.015506
73.31,79.26,70.17,26361,79.19,2016-01-19T05:00:00Z,2887642,74.360606
74.25,75.9898,69.73,34456,71.63,2016-01-20T05:00:00Z,3850556,72.617879
73.78,76.715,71.0,22845,73.87,2016-01-21T05:00:00Z,2249725,74.6808
79.4,80.32,75.28,18816,75.5,2016-01-22T05:00:00Z,1963551,78.694199
78.31,84.2,78.12,21939,78.48,2016-01-25T05:00:00Z,2421062,80.285668
76.04,78.67,74.24,22554,78.06,2016-01-26T05:00:00Z,2161904,75.947698
74.99,79.57,73.84,21121,76.54,2016-01-27T05:00:00Z,2133482,76.360814
67.81,70.5699,64.51,47199,70.01,2016-01-28T05:00:00Z,7076022,67.429803
70.56,70.88,67.81,24609,68.24,2016-01-29T05:00:00Z,3024792,69.52846
72.58,73.55,68.8,29866,70.0,2016-02-01T05:00:00Z,3389711,70.881879
68.94,71.85,67.11,28747,71.85,2016-02-02T05:00:00Z,4248625,69.100863
69.17,70.41,65.51,29013,69.54,2016-02-03T05:00:00Z,2873835,67.816724
72.03,73.0,66.555,26313,68.92,2016-02-04T05:00:00Z,3072172,70.832808
71.0,71.56,68.0,33581,70.68,2016-02-05T05:00:00Z,4698786,69.998786
70.91,71.7,65.61,27201,69.5,2016-02-08T05:00:00Z,3483168,69.280254
72.26,74.54,68.31,27401,68.97,2016-02-09T05:00:00Z,3135887,71.865613
72.31,76.335,71.71,29346,73.57,2016-02-10T05:00:00Z,3524873,73.784159
65.51,66.28,55.0,92980,58.6,2016-02-11T05:00:00Z,15566873,59.585647
68.36,68.5,63.507,26784,65.54,2016-02-12T05:00:00Z,4799808,66.312805
71.67,71.94,68.7792,24874,70.3,2016-02-16T05:00:00Z,3468542,70.605727
74.45,77.29,71.62,23987,72.0,2016-02-17T05:00:00Z,2721294,74.895104
71.02,75.3575,70.96,18182,74.86,2016-02-18T05:00:00Z,1909357,72.31976
72.7,73.59,68.56,17737,70.84,2016-02-19T05:00:00Z,1966128,72.038101
