c,h,l,n,o,t,v,vw
87.85,88.33,86.7,25288,87.67,2016-01-04T05:00:00Z,2952246,87.31
89.31,89.47,88.04,15258,88.74,2016-01-05T05:00:00Z,1973421,88.98
89.63,89.81,87.65,22852,87.9,2016-01-06T05:00:00Z,2621468,89.28
88.19,90.04,87.07,20487,88.24,2016-01-07T05:00:00Z,2657983,88.35
86.97,89.64,86.86,18152,88.65,2016-01-08T05:00:00Z,2144839,87.78
87.78,88.02,86.97,17381,87.61,2016-01-11T05:00:00Z,1979550,87.52
88.57,88.86,87.36,12696,88.42,2016-01-12T05:00:00Z,1440957,88.32
85.63,89.27,85.51,17489,88.81,2016-01-13T05:00:00Z,2008609,86.97
88.07,89.15,85.1,22617,86.2,2016-01-14T05:00:00Z,2676448,87.4
85.43,86.78,84.58,23636,85.38,2016-01-15T05:00:00Z,3335134,85.58
84.86,86.97,84.08,23769,86.69,2016-01-19T05:00:00Z,2601165,85.24
85.9,86.73,82.79,28140,83.6,2016-01-20T05:00:00Z,3007589,84.41
85.86,87.47,85.17,16479,86.66,2016-01-21T05:00:00Z,1546407,86.4
87.41,87.78,86.09,11500,86.91,2016-01-22T05:00:00Z,1176334,87.29
85.66,87.46,85.53,13915,87.28,2016-01-25T05:00:00Z,1395430,86.29
86.51,86.57,85.0,10427,85.85,2016-01-26T05:00:00Z,1235113,86.22
84.76,87.08,84.46,10589,86.29,2016-01-27T05:00:00Z,1021606,85.53
85.93,86.11,84.69,11821,85.66,2016-01-28T05:00:00Z,1214794,85.63
89.19,89.3,85.99,15110,86.58,2016-01-29T05:00:00Z,2662681,88.81
89.99,90.55,88.11,12769,88.97,2016-02-01T05:00:00Z,1399716,89.65
87.92,89.33,87.75,20691,89.0,2016-02-02T05:00:00Z,2566604,88.24
89.54,90.03,87.78,19107,88.71,2016-02-03T05:00:00Z,2035146,88.95
90.34,90.51,88.57,18149,89.46,2016-02-04T05:00:00Z,1709940,89.92
85.71,89.88,85.2,29080,89.73,2016-02-05T05:00:00Z,3046049,86.58
84.9,85.19,82.99,26943,84.89,2016-02-08T05:00:00Z,2879052,84.04
84.16,86.04,83.56,21964,84.12,2016-02-09T05:00:00Z,2014277,84.5
84.28,86.29,83.99,19524,85.24,2016-02-10T05:00:00Z,1987039,84.91
85.36,85.97,82.33,21532,82.33,2016-02-11T05:00:00Z,2086056,84.46
88.3,88.43,85.44,20418,86.81,2016-02-12T05:00:00Z,2327917,87.64
89.05,89.47,87.48,18998,87.5,2016-02-16T05:00:00Z,2620112,88.65
91.85,92.15,89.09,15207,89.48,2016-02-17T05:00:00Z,1956731,91.31
90.08,92.13,89.73,18950,91.31,2016-02-18T05:00:00Z,1890950,90.58
90.75,91.15,89.0,19402,90.13,2016-02-19T05:00:00Z,2068161,90.42
91.74,92.17,90.58,12722,91.68,2016-02-22T05:00:00Z,1505050,91.36
90.91,91.62,89.87,16362,91.08,2016-02-23T05:00:00Z,1941526,90.87
92.29,92.43,89.09,21926,89.97,2016-02-24T05:00:00Z,2240987,91.06
93.44,93.53,91.45,21937,92.54,2016-02-25T05:00:00Z,2394859,92.5
89.41,94.31,87.87,37085,94.23,2016-02-26T05:00:00Z,3981154,89.68
90.24,90.88,88.67,22513,89.05,2016-02-29T05:00:00Z,3000020,90.26
92.31,92.31,90.18,22193,91.2,2016-03-01T05:00:00Z,2304417,91.55
92.1,93.04,91.57,15272,92.01,2016-03-02T05:00:00Z,1688089,92.27
91.24,91.96,90.01,16419,91.57,2016-03-03T05:00:00Z,1938273,90.97
92.61,92.69,90.62,18223,91.61,2016-03-04T05:00:00Z,1991203,92.04
92.8,93.14,91.12,18431,91.65,2016-03-07T05:00:00Z,2134123,92.53
92.7,93.61,91.88,18362,92.11,2016-03-08T05:00:00Z,2225352,92.95
92.88,93.39,92.36,13892,92.81,2016-03-09T05:00:00Z,1628395,92.83
91.53,93.63,90.44,16549,92.96,2016-03-10T05:00:00Z,1756734,91.72
93.34,93.64,91.56,11719,92.24,2016-03-11T05:00:00Z,1644529,93.0
92.85,93.54,92.64,12670,93.01,2016-03-14T04:00:00Z,1334223,92.96
92.75,93.09,92.17,10665,92.58,2016-03-15T04:00:00Z,1081045,92.65
93.65,93.88,92.2,14157,92.82,2016-03-16T04:00:00Z,1317445,93.19
94.15,94.52,93.0,13207,93.48,2016-03-17T04:00:00Z,1517013,94.0
95.26,95.52,93.41,16678,94.63,2016-03-18T04:00:00Z,4188373,95.0
95.26,95.26,94.25,9299,94.74,2016-03-21T04:00:00Z,1069101,94.96
95.39,95.73,94.58,9182,94.94,2016-03-22T04:00:00Z,1281961,95.28
94.97,95.29,94.37,12719,94.94,2016-03-23T04:00:00Z,1731956,94.83
95.14,95.36,94.02,9110,94.67,2016-03-24T04:00:00Z,1553220,94.95
95.29,95.54,94.82,10394,95.12,2016-03-28T04:00:00Z,1074683,95.24
95.78,96.11,94.49,12276,94.86,2016-03-29T04:00:00Z,1028638,95.5
96.35,96.55,95.72,10317,96.18,2016-03-30T04:00:00Z,1068857,96.25
97.12,97.59,95.68,13451,95.95,2016-03-31T04:00:00Z,2680951,97.12
97.76,97.84,96.67,8892,96.9,2016-04-01T04:00:00Z,970796,97.5
98.01,98.31,97.7,10865,97.96,2016-04-04T04:00:00Z,966377,97.99
97.02,97.91,96.91,9018,97.51,2016-04-05T04:00:00Z,1058927,97.3
98.17,98.35,96.74,10093,97.04,2016-04-06T04:00:00Z,876399,97.81
96.62,97.81,96.12,12066,97.7,2016-04-07T04:00:00Z,1385577,96.69
96.82,97.5,96.38,8294,97.26,2016-04-08T04:00:00Z,720362,96.82
96.1,97.45,95.8,10711,97.45,2016-04-11T04:00:00Z,1066928,96.39
96.19,96.55,95.37,15007,96.12,2016-04-12T04:00:00Z,1501939,95.88
96.75,96.97,96.19,12830,96.43,2016-04-13T04:00:00Z,1431915,96.58
96.39,97.44,96.29,13766,97.36,2016-04-14T04:00:00Z,1346123,96.68
96.3,97.07,95.61,11940,96.62,2016-04-15T04:00:00Z,1815997,96.29
97.2,97.4,95.85,10369,96.05,2016-04-18T04:00:00Z,1290386,96.96
97.32,97.71,96.55,8862,97.48,2016-04-19T04:00:00Z,851914,97.22
97.15,97.87,96.97,8139,97.63,2016-04-20T04:00:00Z,969491,97.42
95.8,97.33,95.79,13116,97.15,2016-04-21T04:00:00Z,1310557,96.18
95.83,95.93,94.36,16040,95.56,2016-04-22T04:00:00Z,1774755,95.41
95.86,96.08,95.42,8844,95.66,2016-04-25T04:00:00Z,991901,95.82
97.32,98.33,96.57,12990,97.95,2016-04-26T04:00:00Z,1336592,97.26
96.94,97.84,96.06,11183,97.36,2016-04-27T04:00:00Z,1122212,96.86
94.93,96.28,94.65,14639,96.14,2016-04-28T04:00:00Z,1404993,95.43
94.48,94.67,92.9,16393,94.1,2016-04-29T04:00:00Z,1819018,94.02
95.72,95.83,94.23,19245,94.96,2016-05-02T04:00:00Z,1905761,95.44
94.96,95.43,94.31,10641,94.99,2016-05-03T04:00:00Z,986278,94.87
93.55,94.82,93.28,12342,94.61,2016-05-04T04:00:00Z,1312664,93.81
94.02,94.9,93.65,11144,93.79,2016-05-05T04:00:00Z,1176782,94.19
94.62,94.8,92.95,9619,93.25,2016-05-06T04:00:00Z,957738,94.09
95.21,95.92,94.75,8259,94.92,2016-05-09T04:00:00Z,791334,95.31
96.27,96.32,94.99,7969,95.71,2016-05-10T04:00:00Z,805400,95.94
95.82,96.95,95.74,6797,96.26,2016-05-11T04:00:00Z,686694,96.06
95.72,96.52,94.78,6324,95.91,2016-05-12T04:00:00Z,945016,95.67
95.55,96.62,95.52,8243,95.64,2016-05-13T04:00:00Z,871764,95.85
97.14,97.9,95.61,12246,95.76,2016-05-16T04:00:00Z,1125027,97.14
95.66,97.04,95.41,9999,96.95,2016-05-17T04:00:00Z,1020179,96.09
96.18,96.56,95.34,11708,95.73,2016-05-18T04:00:00Z,1135190,96.06
94.98,95.96,94.32,10589,95.31,2016-05-19T04:00:00Z,904113,94.94
96.49,97.0,95.14,10757,95.42,2016-05-20T04:00:00Z,1356076,96.34
97.98,98.37,96.97,17825,97.06,2016-05-23T04:00:00Z,2210266,97.92
100.5,100.64,98.42,24551,98.46,2016-05-24T04:00:00Z,2941108,99.97
98.35,99.22,95.34,40054,96.49,2016-05-25T04:00:00Z,4854447,97.5
100.05,100.9,98.22,25776,98.33,2016-05-26T04:00:00Z,2761773,99.94
101.04,101.08,100.06,14318,100.48,2016-05-27T04:00:00Z,1492203,100.78
99.89,101.78,99.18,20801,101.14,2016-05-31T04:00:00Z,3064959,100.03
100.39,100.64,98.92,13407,99.13,2016-06-01T04:00:00Z,1425404,100.2
101.25,101.38,99.74,12464,100.14,2016-06-02T04:00:00Z,1230246,100.86
100.63,100.92,99.94,16752,100.78,2016-06-03T04:00:00Z,1876694,100.54
101.26,101.51,100.28,16857,100.54,2016-06-06T04:00:00Z,1642831,101.16
101.56,102.03,101.37,13359,101.42,2016-06-07T04:00:00Z,1411620,101.68
100.61,101.94,100.5,15243,101.79,2016-06-08T04:00:00Z,1529993,100.96
100.69,100.75,99.92,15764,100.28,2016-06-09T04:00:00Z,1542842,100.38
99.68,100.36,99.05,14800,99.13,2016-06-10T04:00:00Z,1513447,99.76
98.95,100.18,98.88,14765,98.88,2016-06-13T04:00:00Z,1600843,99.27
99.47,99.7,98.14,10372,98.61,2016-06-14T04:00:00Z,969433,99.31
99.53,100.1,99.39,10962,100.01,2016-06-15T04:00:00Z,1369230,99.63
99.73,99.93,98.56,10170,99.12,2016-06-16T04:00:00Z,939053,99.32
98.67,99.68,98.07,12169,99.53,2016-06-17T04:00:00Z,2152214,98.85
100.53,100.9,99.32,14358,99.58,2016-06-20T04:00:00Z,1526617,100.49
