c,h,l,n,o,t,v,vw
0.2,0.2,0.18,2,0.18,2024-02-16T05:00:00Z,7222,0.186153
0.2,0.2,0.18,10,0.2,2024-02-20T05:00:00Z,281256,0.182196
0.22,0.22,0.18,7,0.18,2024-02-21T05:00:00Z,50700,0.190118
0.22,0.22,0.22,0,0.22,2024-02-22T05:00:00Z,0,0.0
0.19,0.19,0.19,1,0.19,2024-02-23T05:00:00Z,50000,0.19
0.2,0.22,0.19,5,0.22,2024-02-26T05:00:00Z,500,0.2057
0.19,0.19,0.19,3,0.19,2024-02-27T05:00:00Z,560,0.19
0.18,0.18,0.18,2,0.18,2024-02-28T05:00:00Z,867,0.18
0.1881,0.1881,0.18,17,0.18,2024-02-29T05:00:00Z,30100,0.180027
0.18,0.1881,0.18,16,0.18,2024-03-01T05:00:00Z,130190,0.180006
0.19,0.22,0.19,35,0.22,2024-03-04T05:00:00Z,10640,0.219716
0.2,0.2,0.18,118,0.18,2024-03-05T05:00:00Z,163516,0.191389
0.2,0.2,0.18,137,0.18,2024-03-06T05:00:00Z,289437,0.186012
0.19,0.205,0.1801,16,0.205,2024-03-07T05:00:00Z,3072,0.198268
0.185,0.1944,0.18,38,0.18,2024-03-08T05:00:00Z,185600,0.181146
0.2,0.2,0.18,103,0.18,2024-03-11T04:00:00Z,52603,0.192144
0.2,0.2,0.18,14,0.18,2024-03-12T04:00:00Z,60000,0.180673
0.1951,0.2,0.18,132,0.1802,2024-03-13T04:00:00Z,150573,0.193074
0.1951,0.1951,0.1951,0,0.1951,2024-03-14T04:00:00Z,0,0.0
0.1951,0.1951,0.1951,0,0.1951,2024-03-15T04:00:00Z,0,0.0
0.19,0.2001,0.19,3,0.2001,2024-03-18T04:00:00Z,5061,0.192487
0.23,0.23,0.23,2,0.23,2024-03-19T04:00:00Z,195,0.23
0.2,0.2001,0.2,23,0.2,2024-03-20T04:00:00Z,67455,0.2
0.2,0.2,0.2,0,0.2,2024-03-21T04:00:00Z,0,0.0
0.2001,0.2001,0.2001,3,0.2001,2024-03-22T04:00:00Z,580,0.2001
0.2,0.2,0.2,2,0.2,2024-03-25T04:00:00Z,625,0.2
0.2,0.2,0.2,0,0.2,2024-03-26T04:00:00Z,0,0.0
0.2,0.2,0.2,0,0.2,2024-03-27T04:00:00Z,0,0.0
0.2034,0.2034,0.1901,3,0.1901,2024-03-28T04:00:00Z,636,0.193748
0.2034,0.2034,0.2034,0,0.2034,2024-04-01T04:00:00Z,0,0.0
0.2,0.2001,0.2,8,0.2001,2024-04-02T04:00:00Z,1319,0.200054
0.2,0.2,0.2,0,0.2,2024-04-03T04:00:00Z,0,0.0
0.1901,0.2,0.1901,9,0.2,2024-04-04T04:00:00Z,1254,0.198812
0.1902,0.23,0.1902,6,0.2,2024-04-05T04:00:00Z,840,0.213833
0.2101,0.2101,0.21,6,0.21,2024-04-08T04:00:00Z,2221,0.210055
0.2101,0.2101,0.2101,0,0.2101,2024-04-09T04:00:00Z,0,0.0
0.24,0.24,0.2001,39,0.2001,2024-04-10T04:00:00Z,11369,0.224688
0.24,0.24,0.24,0,0.24,2024-04-11T04:00:00Z,0,0.0
0.24,0.24,0.24,0,0.24,2024-04-12T04:00:00Z,0,0.0
0.24,0.24,0.24,0,0.24,2024-04-15T04:00:00Z,0,0.0
0.2,0.2,0.2,1,0.2,2024-04-16T04:00:00Z,765,0.2
0.2,0.2,0.2,0,0.2,2024-04-17T04:00:00Z,0,0.0
0.1802,0.1802,0.1802,2,0.1802,2024-04-18T04:00:00Z,1306,0.1802
0.1802,0.1802,0.1802,0,0.1802,2024-04-19T04:00:00Z,0,0.0
0.1802,0.1802,0.1802,0,0.1802,2024-04-22T04:00:00Z,0,0.0
0.1802,0.1802,0.1802,0,0.1802,2024-04-23T04:00:00Z,0,0.0
0.21,0.3,0.2001,27,0.21,2024-04-24T04:00:00Z,5643,0.221931
0.21,0.21,0.21,0,0.21,2024-04-25T04:00:00Z,0,0.0
0.21,0.21,0.21,0,0.21,2024-04-26T04:00:00Z,0,0.0
