c,h,l,n,o,t,v,vw
2.05,2.13,1.89,91,2.13,2016-01-04T05:00:00Z,11846,2.04801
2.07,2.07,2.01,27,2.01,2016-01-05T05:00:00Z,5062,2.038725
2.24,2.4,2.1,754,2.1,2016-01-06T05:00:00Z,189966,2.27714
2.31,2.31,2.1904,179,2.23,2016-01-07T05:00:00Z,50657,2.258695
2.4,2.4,2.3,239,2.3,2016-01-08T05:00:00Z,49432,2.342173
2.3,2.4,2.3,148,2.36,2016-01-11T05:00:00Z,32688,2.355271
2.3,2.38,2.2646,119,2.32,2016-01-12T05:00:00Z,25044,2.323005
2.322,2.35,2.26,174,2.32,2016-01-13T05:00:00Z,30557,2.298299
2.39,2.39,2.26,218,2.29,2016-01-14T05:00:00Z,77146,2.290369
2.26,2.36,2.25,144,2.25,2016-01-15T05:00:00Z,25916,2.293646
2.28,2.35,2.23,263,2.26,2016-01-19T05:00:00Z,81971,2.293998
2.3,2.3,2.21,184,2.2501,2016-01-20T05:00:00Z,46358,2.239805
2.25,2.3,2.24,28,2.3,2016-01-21T05:00:00Z,8589,2.26007
2.29,2.3,2.23,77,2.24,2016-01-22T05:00:00Z,16000,2.259647
2.26,2.28,2.26,47,2.28,2016-01-25T05:00:00Z,8834,2.264119
2.18,2.25,2.15,278,2.25,2016-01-26T05:00:00Z,126410,2.199276
2.16,2.2,2.15,36,2.18,2016-01-27T05:00:00Z,5493,2.187682
2.17,2.2,2.15,67,2.18,2016-01-28T05:00:00Z,11828,2.170148
2.13,2.205,2.13,98,2.17,2016-01-29T05:00:00Z,35126,2.185052
2.19,2.21,2.13,41,2.13,2016-02-01T05:00:00Z,8113,2.189724
2.2,2.2,2.1801,20,2.2,2016-02-02T05:00:00Z,19833,2.198145
2.17,2.23,2.15,58,2.22,2016-02-03T05:00:00Z,10577,2.176158
2.2,2.2,2.19,27,2.19,2016-02-04T05:00:00Z,10902,2.193836
2.1,2.17,2.09,63,2.17,2016-02-05T05:00:00Z,19818,2.120688
2.15,2.22,2.15,58,2.2,2016-02-08T05:00:00Z,18610,2.170491
2.12,2.21,2.11,22,2.19,2016-02-09T05:00:00Z,5490,2.148644
2.12,2.1729,2.055,72,2.1,2016-02-10T05:00:00Z,7508,2.133391
2.11,2.1396,2.072,65,2.1396,2016-02-11T05:00:00Z,32949,2.101581
2.2,2.28,2.06,163,2.28,2016-02-12T05:00:00Z,75774,2.178236
2.32,2.34,2.252,81,2.2617,2016-02-16T05:00:00Z,31017,2.315652
2.35,2.38,2.33,144,2.36,2016-02-17T05:00:00Z,55396,2.351694
2.41,2.46,2.32,130,2.32,2016-02-18T05:00:00Z,93314,2.40492
2.45,2.57,2.38,152,2.4,2016-02-19T05:00:00Z,103962,2.457361
2.49,2.6,2.43,131,2.43,2016-02-22T05:00:00Z,81865,2.534642
2.57,2.6,2.43,132,2.45,2016-02-23T05:00:00Z,77133,2.50091
2.6,2.6,2.55,166,2.58,2016-02-24T05:00:00Z,62824,2.576745
2.57,2.6,2.49,88,2.6,2016-02-25T05:00:00Z,40721,2.581423
2.57,2.6,2.55,42,2.5801,2016-02-26T05:00:00Z,14036,2.572062
2.55,2.6,2.55,52,2.55,2016-02-29T05:00:00Z,36270,2.552359
2.57,2.5915,2.55,59,2.55,2016-03-01T05:00:00Z,22202,2.574617
2.6,2.6,2.55,61,2.59,2016-03-02T05:00:00Z,12975,2.590345
2.59,2.6,2.584,55,2.5985,2016-03-03T05:00:00Z,20033,2.595206
2.59,2.6,2.59,45,2.6,2016-03-04T05:00:00Z,22954,2.598552
2.62,2.65,2.55,174,2.57,2016-03-07T05:00:00Z,100762,2.616896
2.63,2.65,2.62,79,2.62,2016-03-08T05:00:00Z,24528,2.64252
2.6301,2.65,2.614,64,2.614,2016-03-09T05:00:00Z,42266,2.641581
2.61,2.64,2.6,54,2.63,2016-03-10T05:00:00Z,17613,2.630672
2.65,2.65,2.62,48,2.62,2016-03-11T05:00:00Z,27050,2.642081
2.63,2.65,2.63,98,2.635,2016-03-14T04:00:00Z,12080,2.637901
2.63,2.65,2.58,30,2.64,2016-03-15T04:00:00Z,17557,2.611148
2.5901,2.64,2.58,49,2.6101,2016-03-16T04:00:00Z,26019,2.595322
2.61,2.61,2.42,137,2.56,2016-03-17T04:00:00Z,64655,2.534445
2.49,2.62,2.48,97,2.57,2016-03-18T04:00:00Z,40072,2.53493
2.39,2.57,2.36,173,2.46,2016-03-21T04:00:00Z,45137,2.46916
2.48,2.49,2.4347,14,2.4347,2016-03-22T04:00:00Z,1336,2.457054
2.43,2.5,2.43,31,2.5,2016-03-23T04:00:00Z,6711,2.463582
2.44,2.44,2.39,34,2.4,2016-03-24T04:00:00Z,12588,2.403968
