c,h,l,n,o,t,v,vw
15.06,15.23,14.68,299,15.14,2016-01-04T05:00:00Z,39204,14.82
14.89,14.89,14.68,166,14.8,2016-01-05T05:00:00Z,29943,14.84
14.82,14.88,14.58,58,14.65,2016-01-06T05:00:00Z,3893,14.79
14.46,14.64,14.35,90,14.64,2016-01-07T05:00:00Z,11650,14.44
14.22,14.52,14.18,43,14.52,2016-01-08T05:00:00Z,6922,14.24
13.94,14.21,13.83,118,14.21,2016-01-11T05:00:00Z,13212,13.95
13.64,13.69,13.6,86,13.6,2016-01-12T05:00:00Z,13524,13.64
13.1,13.5,13.1,153,13.38,2016-01-13T05:00:00Z,22196,13.26
13.48,13.49,13.16,55,13.25,2016-01-14T05:00:00Z,6935,13.35
13.44,13.44,13.14,230,13.16,2016-01-15T05:00:00Z,44240,13.25
13.59,13.59,13.44,181,13.49,2016-01-19T05:00:00Z,32130,13.55
13.43,13.51,13.24,51,13.44,2016-01-20T05:00:00Z,6445,13.32
13.46,13.47,13.11,96,13.14,2016-01-21T05:00:00Z,15189,13.33
13.46,13.46,13.29,63,13.42,2016-01-22T05:00:00Z,5613,13.4
13.42,13.6,13.32,173,13.36,2016-01-25T05:00:00Z,38573,13.5
13.6,13.64,13.36,111,13.36,2016-01-26T05:00:00Z,9224,13.57
13.63,13.68,13.51,77,13.54,2016-01-27T05:00:00Z,15018,13.64
13.86,13.87,13.66,80,13.66,2016-01-28T05:00:00Z,10663,13.81
14.2,14.24,13.87,69,13.87,2016-01-29T05:00:00Z,9769,14.03
14.48,14.64,14.14,59,14.14,2016-02-01T05:00:00Z,6025,14.38
14.11,14.4,14.1,43,14.25,2016-02-02T05:00:00Z,3740,14.22
14.22,14.22,13.84,52,13.94,2016-02-03T05:00:00Z,4199,14.11
13.86,13.89,13.68,69,13.89,2016-02-04T05:00:00Z,7324,13.78
13.64,13.79,13.63,44,13.79,2016-02-05T05:00:00Z,10678,13.69
13.44,13.46,13.26,69,13.33,2016-02-08T05:00:00Z,8614,13.37
13.36,13.37,13.18,61,13.18,2016-02-09T05:00:00Z,5103,13.3
13.36,13.39,13.25,50,13.35,2016-02-10T05:00:00Z,6945,13.34
13.05,13.17,12.75,46,13.17,2016-02-11T05:00:00Z,13860,12.91
12.99,13.14,12.9,23,12.92,2016-02-12T05:00:00Z,1768,13.0
14.06,14.14,13.68,94,13.9,2016-02-16T05:00:00Z,10452,14.0
14.04,14.11,14.04,55,14.11,2016-02-17T05:00:00Z,7270,14.09
14.18,14.38,14.16,72,14.18,2016-02-18T05:00:00Z,7413,14.24
14.31,14.35,14.31,68,14.32,2016-02-19T05:00:00Z,7055,14.33
14.17,14.3,14.15,36,14.3,2016-02-22T05:00:00Z,4957,14.2
14.53,14.64,14.4,43,14.53,2016-02-23T05:00:00Z,3778,14.53
13.58,13.61,13.17,295,13.36,2016-02-24T05:00:00Z,198327,13.41
13.89,14.21,13.75,93,13.75,2016-02-25T05:00:00Z,49093,13.83
13.75,13.91,13.73,61,13.85,2016-02-26T05:00:00Z,7267,13.82
13.22,13.4,13.21,123,13.36,2016-02-29T05:00:00Z,155135,13.35
13.5,13.53,13.36,212,13.37,2016-03-01T05:00:00Z,33044,13.41
13.42,13.48,13.3,184,13.45,2016-03-02T05:00:00Z,41473,13.4
13.5,13.52,13.36,301,13.4,2016-03-03T05:00:00Z,93628,13.44
13.5,13.68,13.43,109,13.44,2016-03-04T05:00:00Z,20462,13.55
13.67,13.71,13.5,150,13.53,2016-03-07T05:00:00Z,72137,13.63
13.52,13.74,13.52,284,13.64,2016-03-08T05:00:00Z,38724,13.66
13.64,13.66,13.52,117,13.53,2016-03-09T05:00:00Z,15830,13.61
13.47,13.64,13.44,501,13.57,2016-03-10T05:00:00Z,47135,13.54
13.44,13.56,13.41,580,13.49,2016-03-11T05:00:00Z,63683,13.46
14.28,14.4,14.04,345,14.17,2016-03-14T04:00:00Z,298852,14.29
14.1,14.31,14.03,226,14.16,2016-03-15T04:00:00Z,23502,14.13
14.3,14.37,13.97,315,14.07,2016-03-16T04:00:00Z,53272,14.24
14.29,14.48,14.22,119,14.37,2016-03-17T04:00:00Z,10616,14.35
14.43,14.57,14.26,220,14.43,2016-03-18T04:00:00Z,31110,14.45
14.25,14.25,14.11,57,14.25,2016-03-21T04:00:00Z,5143,14.2
14.23,14.29,14.14,110,14.14,2016-03-22T04:00:00Z,16660,14.24
14.06,14.31,14.06,92,14.25,2016-03-23T04:00:00Z,8297,14.19
14.16,14.16,14.01,51,14.02,2016-03-24T04:00:00Z,5354,14.09
14.39,14.48,14.15,224,14.15,2016-03-28T04:00:00Z,26345,14.35
14.58,14.64,14.33,255,14.33,2016-03-29T04:00:00Z,46241,14.53
14.89,14.95,14.65,274,14.65,2016-03-30T04:00:00Z,41863,14.83
15.36,15.43,15.06,60,15.06,2016-03-31T04:00:00Z,9061,15.28
15.64,15.72,15.25,328,15.25,2016-04-01T04:00:00Z,44036,15.49
15.54,15.58,15.35,220,15.45,2016-04-04T04:00:00Z,28511,15.49
15.39,15.75,15.26,277,15.3,2016-04-05T04:00:00Z,34259,15.36
15.47,15.5,15.2,194,15.26,2016-04-06T04:00:00Z,30790,15.43
15.44,15.5,15.32,256,15.38,2016-04-07T04:00:00Z,28358,15.42
15.41,15.57,15.39,70,15.57,2016-04-08T04:00:00Z,8181,15.47
15.48,15.57,15.37,300,15.39,2016-04-11T04:00:00Z,37991,15.47
15.52,15.63,15.4,214,15.43,2016-04-12T04:00:00Z,23273,15.52
15.68,15.7,15.42,208,15.46,2016-04-13T04:00:00Z,31667,15.62
