c,h,l,n,o,t,v,vw
35.99,36.18,35.6,2957,36.18,2016-01-04T05:00:00Z,2140100,35.79
36.02,36.16,35.82,1977,36.12,2016-01-05T05:00:00Z,950414,35.98
35.62,35.83,35.4,1094,35.53,2016-01-06T05:00:00Z,391266,35.62
34.73,35.35,34.68,791,34.97,2016-01-07T05:00:00Z,515078,34.95
34.35,35.03,34.3,977,34.97,2016-01-08T05:00:00Z,526800,34.69
34.35,34.62,33.9,1336,34.56,2016-01-11T05:00:00Z,1255068,34.21
34.7,34.81,34.23,1386,34.62,2016-01-12T05:00:00Z,687090,34.5
33.66,34.8,33.6,1646,34.8,2016-01-13T05:00:00Z,787140,34.12
34.14,34.41,33.3,1232,33.75,2016-01-14T05:00:00Z,977822,34.08
33.47,33.61,33.0,3360,33.29,2016-01-15T05:00:00Z,3622912,33.25
33.47,33.89,33.14,2271,33.85,2016-01-19T05:00:00Z,1678390,33.47
33.33,33.6,32.28,1194,33.02,2016-01-20T05:00:00Z,486054,32.76
33.41,33.77,33.12,1372,33.42,2016-01-21T05:00:00Z,775702,33.5
34.17,34.19,33.87,798,33.9,2016-01-22T05:00:00Z,493956,34.05
33.73,34.15,33.67,1032,34.1,2016-01-25T05:00:00Z,781638,33.95
34.06,34.13,33.69,1297,33.82,2016-01-26T05:00:00Z,535618,33.98
33.52,34.17,33.33,566,33.97,2016-01-27T05:00:00Z,292372,33.76
33.64,33.83,33.31,439,33.81,2016-01-28T05:00:00Z,280142,33.6
34.42,34.42,33.72,1176,33.72,2016-01-29T05:00:00Z,768656,34.12
34.54,34.66,34.12,1465,34.23,2016-02-01T05:00:00Z,774056,34.4
33.91,34.32,33.78,1128,34.32,2016-02-02T05:00:00Z,423092,34.02
33.96,34.17,33.33,341,34.06,2016-02-03T05:00:00Z,173382,33.75
33.99,34.19,33.75,233,33.87,2016-02-04T05:00:00Z,149840,33.9
33.09,33.85,32.99,731,33.85,2016-02-05T05:00:00Z,382164,33.37
32.51,32.71,32.0,775,32.71,2016-02-08T05:00:00Z,292850,32.29
32.54,32.84,32.09,337,32.16,2016-02-09T05:00:00Z,126032,32.51
32.6,33.08,32.56,234,32.74,2016-02-10T05:00:00Z,77976,32.89
32.33,32.54,31.97,367,32.14,2016-02-11T05:00:00Z,187714,32.21
32.86,32.9,32.46,237,32.63,2016-02-12T05:00:00Z,131074,32.73
33.52,33.53,33.1,332,33.27,2016-02-16T05:00:00Z,191432,33.32
34.16,34.2,33.76,279,33.76,2016-02-17T05:00:00Z,148630,34.08
33.92,34.22,33.89,206,34.22,2016-02-18T05:00:00Z,85514,34.01
33.99,34.0,33.66,228,33.79,2016-02-19T05:00:00Z,77240,33.92
34.44,34.52,34.29,257,34.29,2016-02-22T05:00:00Z,85172,34.42
34.11,34.43,34.08,504,34.33,2016-02-23T05:00:00Z,136000,34.19
34.29,34.33,33.56,224,33.81,2016-02-24T05:00:00Z,94610,33.97
34.68,34.68,34.24,139,34.41,2016-02-25T05:00:00Z,85994,34.47
