c,h,l,n,o,t,v,vw
4.72,4.8,4.65,67,4.65,2016-01-04T05:00:00Z,21160,4.754433
4.91,5.05,4.75,195,4.8,2016-01-05T05:00:00Z,36496,4.91107
5.0,5.02,4.87,172,4.87,2016-01-06T05:00:00Z,25897,4.982459
5.08,5.15,4.92,105,4.93,2016-01-07T05:00:00Z,21283,5.081642
4.89,5.19,4.75,192,5.1,2016-01-08T05:00:00Z,56565,4.954715
4.89,5.0,4.77,163,4.93,2016-01-11T05:00:00Z,22575,4.916854
4.89,5.0,4.86,83,5.0,2016-01-12T05:00:00Z,13296,4.935807
4.46,5.09,4.45,300,4.95,2016-01-13T05:00:00Z,129728,4.865654
4.71,4.86,4.52,469,4.52,2016-01-14T05:00:00Z,92783,4.719648
4.66,5.06,4.63,156,4.63,2016-01-15T05:00:00Z,19153,4.691293
4.6,4.99,4.59,75,4.98,2016-01-19T05:00:00Z,5915,4.687351
4.52,4.63,4.49,229,4.6,2016-01-20T05:00:00Z,35240,4.54613
4.43,4.55,4.3011,266,4.43,2016-01-21T05:00:00Z,38935,4.403383
4.49,4.74,4.47,121,4.57,2016-01-22T05:00:00Z,14170,4.518656
4.44,4.6,4.44,78,4.49,2016-01-25T05:00:00Z,17693,4.480081
4.45,4.8,4.41,94,4.41,2016-01-26T05:00:00Z,22878,4.459454
4.59,4.7399,4.51,61,4.7399,2016-01-27T05:00:00Z,9670,4.623065
4.5,4.96,4.5,160,4.96,2016-01-28T05:00:00Z,23489,4.591764
4.47,4.74,4.44,208,4.59,2016-01-29T05:00:00Z,126236,4.495086
4.42,4.47,4.38,89,4.38,2016-02-01T05:00:00Z,26084,4.410531
4.4,4.45,4.38,90,4.4115,2016-02-02T05:00:00Z,9571,4.419025
4.45,4.5,4.42,67,4.49,2016-02-03T05:00:00Z,8220,4.443646
4.48,4.735,4.35,412,4.43,2016-02-04T05:00:00Z,93993,4.477915
4.6,4.8,4.51,207,4.51,2016-02-05T05:00:00Z,30170,4.653514
4.52,4.68,4.4,166,4.66,2016-02-08T05:00:00Z,28768,4.510166
4.42,4.6,4.35,129,4.58,2016-02-09T05:00:00Z,13710,4.406807
4.42,4.52,4.35,86,4.45,2016-02-10T05:00:00Z,15083,4.403826
4.41,4.67,4.32,83,4.35,2016-02-11T05:00:00Z,19864,4.431278
4.21,4.69,4.12,254,4.35,2016-02-12T05:00:00Z,72378,4.293359
4.36,4.4,4.28,217,4.28,2016-02-16T05:00:00Z,28573,4.341165
4.29,4.44,4.22,112,4.44,2016-02-17T05:00:00Z,18483,4.376491
4.34,4.43,4.21,110,4.24,2016-02-18T05:00:00Z,158815,4.259528
4.31,4.48,4.31,143,4.31,2016-02-19T05:00:00Z,19826,4.376271
4.39,4.69,4.38,211,4.38,2016-02-22T05:00:00Z,34957,4.418935
4.28,4.35,4.23,156,4.3,2016-02-23T05:00:00Z,29141,4.290481
4.24,4.35,4.2,135,4.2837,2016-02-24T05:00:00Z,22642,4.267021
4.3,4.32,4.2,152,4.23,2016-02-25T05:00:00Z,18014,4.260502
4.35,4.38,4.3,38,4.3101,2016-02-26T05:00:00Z,3866,4.332636
4.49,4.5,4.24,100,4.24,2016-02-29T05:00:00Z,38816,4.282898
4.51,4.6,4.3,66,4.3,2016-03-01T05:00:00Z,12744,4.526498
4.58,4.68,4.5,160,4.5,2016-03-02T05:00:00Z,23092,4.57863
4.5,4.64,4.5,182,4.51,2016-03-03T05:00:00Z,25993,4.516971
4.53,4.64,4.51,77,4.5593,2016-03-04T05:00:00Z,20500,4.57094
4.54,4.6,4.53,89,4.56,2016-03-07T05:00:00Z,10113,4.565501
4.34,4.545,4.33,97,4.53,2016-03-08T05:00:00Z,10324,4.444863
4.37,4.42,4.31,64,4.35,2016-03-09T05:00:00Z,7643,4.375012
4.36,4.48,4.35,48,4.4,2016-03-10T05:00:00Z,6983,4.393464
4.23,4.48,4.21,180,4.41,2016-03-11T05:00:00Z,29333,4.256172
4.24,4.3,4.2,114,4.26,2016-03-14T04:00:00Z,12345,4.222919
4.23,4.45,3.99,391,4.22,2016-03-15T04:00:00Z,77808,4.162121
4.31,4.37,4.03,75,4.03,2016-03-16T04:00:00Z,6632,4.234254
4.41,4.44,4.25,92,4.26,2016-03-17T04:00:00Z,14625,4.38839
4.91,4.94,4.3,183,4.45,2016-03-18T04:00:00Z,68589,4.771274
4.88,5.0,4.74,159,4.91,2016-03-21T04:00:00Z,28170,4.906902
4.93,4.99,4.85,32,4.85,2016-03-22T04:00:00Z,2211,4.937686
4.74,4.865,4.71,75,4.86,2016-03-23T04:00:00Z,8274,4.799659
4.68,4.78,4.52,84,4.52,2016-03-24T04:00:00Z,9104,4.716404
4.58,4.68,4.51,41,4.65,2016-03-28T04:00:00Z,4416,4.617181
4.44,4.6,4.43,179,4.57,2016-03-29T04:00:00Z,28099,4.526168
4.48,4.6,4.44,131,4.49,2016-03-30T04:00:00Z,39271,4.510864
4.5,4.6,4.4,292,4.4,2016-03-31T04:00:00Z,81607,4.508414
4.49,4.66,4.44,54,4.45,2016-04-01T04:00:00Z,6381,4.537707
4.5,4.55,4.39,70,4.39,2016-04-04T04:00:00Z,7285,4.47999
4.51,4.51,4.42,50,4.45,2016-04-05T04:00:00Z,3650,4.459728
4.47,4.53,4.46,46,4.5,2016-04-06T04:00:00Z,7092,4.498824
4.41,4.49,4.35,110,4.35,2016-04-07T04:00:00Z,24055,4.433162
4.49,4.5,4.39,34,4.39,2016-04-08T04:00:00Z,1531,4.469549
4.4,4.5,4.36,130,4.49,2016-04-11T04:00:00Z,19480,4.426029
4.42,4.47,4.34,98,4.4,2016-04-12T04:00:00Z,19287,4.402097
